Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time	AVG Time Per Epoch
1	-55.160988	94.0843	11.596735	-354.23483	-2084.1763	1003.1393	-73.41974	-2739.2378	166.26666	807.6	4999	12.78619	13.559354	92.19097	-8.05071	-15.693952	1.4375049	22.314522981643677	22.314525365829468
2	-45.040047	75.95374	13.874555	-338.74503	-73.45207	52.178783	-25.093393	-198.90083	137.67647	28.0	9999	204.1004	125.89987	563.839	-147.49121	-225.35542	76.30669	45.43053865432739	22.715270280838013
3	-182.02083	389.2889	-13.640751	-2595.4658	-89.331696	67.33456	-36.461838	-258.75497	79.09091	32.9	14999	621.5529	81.39394	821.2707	-655.0265	-641.6552	708.6448	69.38387680053711	23.127959569295246
4	-552.5049	923.7292	1.2227091	-2534.4988	-240.20586	540.54834	-10.231948	-1857.898	254.63637	140.2	19999	714.8843	70.11588	859.053	-400.40826	-730.0524	546.9614	93.28149223327637	23.320373594760895
5	-226.18423	498.49893	-11.251498	-1729.721	-74.39004	72.97528	-12.655377	-249.17989	138.72223	48.9	24999	748.1375	66.61222	919.3387	-537.638	-761.8385	519.56366	118.2337384223938	23.646748065948486
6	-288.56863	462.63712	-16.578413	-1664.7518	-844.8375	890.37994	-11.541886	-2038.4719	184.93103	442.8	29999	727.9135	66.23955	916.85254	-581.85736	-739.44763	494.81	144.77126097679138	24.128543853759766
7	-140.73291	356.51248	-5.1427894	-1654.1375	-378.77374	661.6759	-14.07431	-1805.4006	90.66038	228.2	34999	672.66956	64.91713	846.43	-546.8133	-682.479	504.28394	170.73802375793457	24.391146557671682
8	-473.9178	678.82196	-16.245054	-1794.7019	-234.65633	606.42004	-5.602135	-2052.8855	321.5	127.1	39999	600.5337	59.416656	749.2025	-436.324	-608.8315	354.8833	196.58187818527222	24.572735011577606
9	-271.9333	540.29175	90.81408	-1809.4568	-68.77302	80.028404	-19.111456	-295.19644	180.33333	49.4	44999	527.1102	53.764153	656.3877	-467.72708	-534.0631	267.87	222.65603184700012	24.739559438493515
10	-230.12273	515.3395	29.194435	-1814.7689	-53.41935	87.23688	7.81125	-304.23138	159.02777	45.7	49999	451.65524	49.065292	588.7188	-404.0276	-457.4143	218.8889	248.51132583618164	24.851132774353026
11	-447.5903	635.8152	-2.179435	-1805.071	-12.449654	406.43942	345.58444	-1178.583	349.3846	620.0	54999	378.47684	43.90209	507.80844	-340.3176	-383.16226	142.24423	277.4321584701538	25.221105510538276
12	-334.0434	502.48175	192.58849	-1066.7812	254.4886	313.57312	646.53284	-264.32938	599.7778	910.4	59999	313.5952	38.4726	443.88748	-273.0909	-317.58908	93.27686	308.2009787559509	25.683415055274963
13	-49.075634	165.65115	69.19994	-798.70746	161.7172	332.38953	440.60944	-734.06964	182.73914	839.8	64999	261.64722	35.223103	399.34903	-249.66592	-265.2359	77.95864	337.5607132911682	25.966208861424374
14	-110.197655	243.8106	125.389084	-658.47046	171.80206	385.69193	661.98975	-685.7363	546.6	698.1	69999	219.79779	33.596516	334.48398	-191.78758	-223.03195	58.35674	367.2845993041992	26.234614389283315
15	-189.3761	278.60962	76.74399	-770.6957	89.550964	652.50397	680.1962	-1167.2416	446.16666	820.5	74999	185.89655	35.09149	308.3681	-220.95058	-188.859	43.68527	398.750914812088	26.583394447962444
16	-146.98198	256.52173	41.753273	-845.2398	401.053	127.41187	616.56775	261.3181	423.1	1000.0	79999	160.94435	40.831646	296.8698	-131.71042	-163.85342	40.565174	430.812317609787	26.925769984722137
17	-299.09998	348.76138	4.5178385	-884.4884	133.42575	296.13486	488.4859	-301.7979	458.72726	1000.0	84999	144.94623	48.402554	295.98703	-151.35747	-147.81148	36.694496	461.19169759750366	27.128923500285428
18	-71.11174	251.57123	388.21365	-629.50446	-45.10551	126.41996	253.5164	-191.69496	553.0	463.2	89999	133.8996	53.447964	314.55222	-132.40799	-136.79248	34.1579	486.9577922821045	27.053210801548428
19	-140.76543	179.83945	-15.940964	-618.40924	-66.586044	274.73077	329.30502	-565.7994	421.63635	421.7	94999	126.62068	56.750687	297.39148	-136.76984	-129.47925	32.226555	511.87353444099426	26.94071243938647
20	-67.49054	124.73444	135.51846	-308.5453	-2.3807616	639.6241	682.2172	-1791.7004	528.9	747.2	99999	122.03112	58.935425	291.29767	-107.33302	-124.91966	30.082144	539.9155361652374	26.995776903629302
21	-197.12448	229.46269	33.006603	-672.8789	-42.595776	302.1449	553.4694	-482.93204	504.1	919.1	104999	120.031136	59.216213	245.41179	-130.08344	-122.82455	26.628098	569.764089345932	27.131623393013363
22	-278.58463	435.41217	237.60841	-914.61804	70.36045	333.45624	358.18802	-770.20844	854.6667	1000.0	109999	120.58385	57.51841	263.00824	-107.87781	-123.44723	24.637186	602.4204866886139	27.38274949247187
23	-9.367289	144.78574	261.64066	-230.87466	112.84535	292.74753	616.6872	-236.19649	552.0	744.7	114999	125.04792	54.66353	282.1489	-114.44005	-128.03416	25.964962	633.1754450798035	27.52936728104301
24	-166.35068	328.0036	30.594519	-965.4285	-459.22455	561.1621	162.36903	-1239.1919	697.8571	618.3	119999	130.7765	51.21703	312.13892	-196.0729	-133.82832	28.689312	662.1504106521606	27.589600523312885
25	-116.728096	194.0546	135.78752	-686.52997	171.8483	183.11743	473.84167	-51.568573	372.7857	719.9	124999	135.25008	49.646656	293.07346	-107.2034	-138.17607	30.247519	689.8638792037964	27.594555253982545
26	-195.83913	178.5586	50.052647	-524.9723	-349.30917	374.81067	345.6375	-857.41473	795.8571	820.4	129999	135.31113	48.535206	290.81384	-172.40588	-138.03418	27.26333	720.1783480644226	27.699167306606586
27	-324.5493	503.23288	75.20677	-1396.1669	-86.17102	317.61234	275.49548	-940.5248	680.8571	572.6	134999	135.40755	48.036514	344.12558	-147.27864	-138.14536	27.286655	746.6957910060883	27.6553997375347
28	-587.41473	512.4346	10.225988	-1328.2607	-213.5546	385.20844	-28.143755	-1323.0853	844.1667	229.7	139999	137.46143	50.534626	413.6742	-178.76527	-140.43727	33.652393	770.3049266338348	27.510890296527318
29	-151.60669	275.07822	-2.406733	-1183.626	-884.92175	686.67944	-36.106487	-1869.1646	145.0	626.7	144999	145.88127	60.136024	488.97586	-156.8247	-149.19377	47.431934	796.6100208759308	27.46931113867924
30	-432.08972	600.77264	-2.437275	-2082.4763	-327.79065	550.7464	-22.786531	-1696.4061	432.33334	235.5	149999	156.00914	72.66144	507.31415	-233.17674	-159.54382	57.74021	821.7433500289917	27.391445072491965
31	-411.04468	477.36813	-13.608186	-1412.8025	-909.18005	280.88315	-211.37967	-1287.2888	296.29413	914.8	154999	172.7785	90.705864	517.1786	-164.58286	-176.83694	74.413345	849.6140909194946	27.40690621252983
32	-503.42917	574.59985	-14.869212	-1654.5071	-277.6367	453.48825	-35.7623	-1624.4723	407.0	358.1	159999	195.23582	106.55887	537.2596	-147.37354	-199.88116	88.55448	874.0071723461151	27.312724195420742
33	-456.9657	452.8511	-13.833542	-1283.4618	-236.14912	217.23524	-25.0337	-775.07227	428.08334	353.1	164999	225.44426	119.52563	527.77094	-196.15857	-230.4802	98.26066	898.1179032325745	27.21569408792438
34	-469.43066	484.42667	-14.370684	-1583.9646	-543.81055	786.3773	-5.9515905	-1987.441	546.0	323.2	169999	250.26906	124.823204	537.25073	-213.1675	-255.42035	102.49283	922.1102969646454	27.12089113628163
35	-910.1568	751.8967	-28.912867	-2358.2078	-339.7123	401.0296	-22.016945	-1082.0618	617.8889	340.8	174999	265.31122	129.61076	554.2271	-259.67862	-270.3437	103.56773	946.3583011627197	27.03880865914481
36	-340.08514	520.53265	-12.413893	-1968.3293	-463.41495	593.33984	-43.790634	-1964.3961	234.71428	376.7	179999	273.81894	128.5809	563.34656	-181.66586	-278.7167	107.69545	970.6451563835144	26.962365514702267
37	-323.88342	515.2906	-13.815396	-1780.527	-593.67053	576.3914	-29.447134	-2028.0538	236.40909	722.4	184999	271.68454	127.64533	584.4223	-203.294	-276.34006	109.11775	997.2490849494934	26.95267802960164
38	-807.4205	539.7575	-57.687057	-1775.9757	-1390.4807	110.25383	-1139.965	-1580.9812	583.75	1000.0	189999	268.24527	128.36209	581.53784	-218.43674	-272.79465	104.14334	1025.3656919002533	26.98330773805317
39	-663.7032	501.19952	-32.501537	-1436.1631	-115.92134	66.06014	-21.386164	-217.52968	605.44446	89.1	194999	267.11603	128.48286	553.66614	-219.18187	-271.82034	105.2477	1047.8000445365906	26.8666678636502
40	-344.60757	400.9843	-29.154655	-1373.8644	-88.95055	287.5528	264.94223	-857.5192	320.57144	517.6	199999	268.04788	128.39272	593.9103	-160.07138	-272.8124	106.76239	1073.025975227356	26.825649428367615
41	-349.20694	260.6257	-19.9245	-812.96277	-639.96814	771.022	155.67049	-2115.5269	721.8571	804.8	204999	265.86343	127.67542	538.2621	-247.08318	-270.4189	98.05255	1100.4020328521729	26.839074018524915
42	-601.5851	445.78116	-37.59385	-1246.2432	-901.8909	701.1048	-20.498219	-1991.2302	753.1429	808.5	209999	262.4107	126.92385	557.2679	-217.2001	-266.77475	84.39289	1127.5526702404022	26.846492193994067
43	-930.9775	570.9123	-83.784584	-1431.1777	-891.7542	521.4633	-267.76425	-1875.786	846.1667	1000.0	214999	256.2026	125.048676	571.2145	-160.62306	-260.4335	79.20506	1156.4490020275116	26.89416288775067
44	-469.5439	384.86935	-29.201101	-1241.7275	-1186.6641	1069.4326	-16.476154	-2339.7263	445.27274	619.3	219999	249.68515	123.92189	539.6317	-179.77536	-253.8016	76.785194	1183.3618586063385	26.894587738947436
45	-516.4253	451.7787	-43.76669	-1359.2867	-466.253	361.33948	-4.455005	-966.1269	583.0	705.9	224999	246.41228	121.82324	513.75543	-189.62086	-250.44295	74.24596	1210.2897882461548	26.895328670077852
46	-387.8283	304.40698	-18.584053	-831.2592	-1324.06	489.55954	-82.07136	-1728.3785	543.875	907.0	229999	241.31297	120.8437	542.3144	-159.94371	-245.28825	75.82844	1239.2966351509094	26.94123125076294
47	-638.2692	505.93298	-13.502423	-1378.1478	-219.8195	300.1412	-12.624827	-974.3189	680.75	349.5	234999	235.5286	120.19401	712.3671	-171.08865	-239.4095	74.20069	1264.3908252716064	26.901932498241994
48	-363.34384	395.5793	-13.153668	-1215.3795	-182.66116	437.58472	570.29114	-1172.9558	332.85715	628.2	239999	230.58156	116.01321	540.98987	-252.58507	-234.36205	71.35379	1292.1701333522797	26.92021115620931
49	-348.8478	358.2426	-3.8646648	-1158.9038	-615.67377	460.08405	24.340752	-1304.3132	515.1	909.2	244999	223.28525	111.84892	463.07007	-194.29779	-226.93088	65.51917	1320.8337786197662	26.955791439328873
50	-354.75195	253.21811	-11.51433	-722.25757	-749.07355	586.66876	81.321815	-1445.1754	671.5714	906.1	249999	215.3473	105.15533	450.50284	-167.13857	-218.8458	61.675888	1349.6539630889893	26.99307930469513
51	-277.58698	184.11998	-10.373764	-467.81116	-288.83978	231.615	73.45862	-580.7994	771.4286	811.1	254999	207.14725	97.97653	439.29633	-152.24773	-210.53908	55.199574	1378.1015574932098	27.021599208607395
52	-357.3934	182.19383	-8.115093	-647.21893	-503.22754	262.7272	-5.22474	-882.2212	756.4286	911.0	259999	199.25926	90.56022	400.66135	-177.2355	-202.50275	47.540855	1406.5877094268799	27.049763684089367
53	-311.61786	251.67911	-29.103115	-764.0322	-190.33072	442.3701	394.10876	-1087.0118	728.5	576.5	264999	192.0641	84.44362	409.3677	-156.0851	-195.23055	42.64123	1432.3265218734741	27.025028755080026
54	-351.5569	445.73932	-15.207549	-1075.2555	-277.6402	382.9889	101.55218	-1041.1719	692.1429	1000.0	269999	184.98921	78.892525	396.55118	-168.16284	-187.95096	37.455875	1462.3704538345337	27.080934374420732
55	-208.8252	204.4864	172.93785	-442.81854	-360.12363	403.58606	471.1128	-935.6181	1000.0	906.2	274999	175.82458	74.15596	343.17853	-210.69356	-178.60535	33.633408	1491.950172662735	27.12636681470004
56	-314.5034	246.08913	-9.035864	-776.4372	-35.782887	306.81512	280.42972	-891.80615	722.2857	825.1	279999	167.11806	69.59857	344.7553	-130.465	-169.79584	30.539343	1520.4215075969696	27.150384102548873
57	-29.850277	190.72699	331.23694	-371.64435	-162.24126	148.48872	144.74867	-369.04886	698.0	1000.0	284999	160.49959	65.3593	324.35678	-127.247894	-163.19391	28.69645	1548.9990067481995	27.175421208666084
58	-275.0236	652.99994	263.1492	-1556.0802	44.788757	294.32425	510.2651	-315.54102	1000.0	1000.0	289999	154.36768	58.441452	305.847	-159.59517	-156.8725	24.437403	1577.3668615818024	27.195980409096027
59	-122.39781	165.0014	4.788591	-433.66663	-155.69505	207.20381	303.81644	-426.12466	780.2857	915.8	294999	147.28001	53.269657	308.9453	-127.29986	-149.71233	22.91233	1605.395089149475	27.210086289098708
60	-115.54008	140.96916	4.239769	-438.2941	-50.206303	206.38646	286.71616	-351.26132	597.6667	804.5	299999	141.24402	50.302956	331.7418	-220.66962	-143.55475	21.6009	1632.571634054184	27.2095272620519
61	196.8778	126.83871	347.0648	-9.782106	44.369938	71.748314	162.22446	-62.910034	804.2	1000.0	304999	133.95439	47.501785	308.90707	-131.41602	-136.14606	19.06347	1661.4830088615417	27.237426409955884
62	135.29228	257.32672	506.1221	-289.06067	61.827522	205.63701	446.5763	-323.59534	842.8333	545.9	309999	127.557365	45.649582	280.4525	-143.31357	-129.663	17.694271	1686.8549466133118	27.20733788321095
63	-186.16768	398.16135	226.49753	-1084.2229	-3.184574	484.19006	349.45255	-1398.5018	769.8571	727.1	314999	122.420975	44.78765	295.3336	-98.39598	-124.52354	16.840357	1715.1457571983337	27.224535877742465
64	3.5039685	126.32584	251.91792	-273.01166	-55.942963	324.86044	324.2344	-870.24506	458.25	451.3	319999	118.683365	42.64676	297.20364	-147.44022	-120.75364	16.094082	1740.4827556610107	27.195043087005615
65	-20.617832	76.0575	47.165382	-280.55923	-457.95453	174.03325	-20.884392	-681.7222	312.8	901.8	324999	116.72071	42.141853	274.75235	-126.66353	-118.831375	16.210022	1770.875163078308	27.244233307471642
66	83.63541	153.45628	369.87396	-125.57408	27.247486	209.48747	456.8928	-321.47827	650.5	444.2	329999	113.863464	39.91237	259.74692	-96.68247	-115.81732	14.279373	1797.6161150932312	27.236607836954523
67	-436.00977	583.442	335.53748	-1204.4559	-46.439293	318.30103	377.83926	-748.7305	1000.0	725.7	334999	110.18438	37.611855	299.69778	-98.090294	-112.12398	13.205408	1825.0250425338745	27.239179764220964
68	-49.04082	141.86267	140.36292	-303.3141	216.43433	137.43315	458.51077	-57.882694	856.1667	1000.0	339999	107.39913	34.876606	309.9242	-151.29498	-109.310684	12.932559	1853.0921726226807	27.251355511300705
69	112.1194	116.50975	349.41052	-27.218857	246.58105	226.266	684.2147	30.879637	650.5714	910.3	344999	103.847374	30.805979	300.1723	-140.53952	-105.6877	11.273621	1880.876711845398	27.25908280801082
