Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time	AVG Time Per Epoch
1	-259.2105	62.03606	-158.38417	-341.23874	-44.422905	412.04303	515.9339	-632.41583	1000.0	1000.0	4999	4.02018	6.1194243	33.477833	-8.486917	-5.0582314	0.46277133	18.562417030334473	18.562418699264526
2	-296.94498	87.73006	-207.72604	-442.75723	-722.7296	100.61935	-461.23724	-823.52936	1000.0	1000.0	9999	53.24816	32.697895	162.26997	-3.2919376	-58.36246	3.8909328	40.84476041793823	20.422381162643433
3	-449.10336	252.20505	-53.39003	-840.927	-573.93085	21.04574	-529.2806	-585.8445	1000.0	1000.0	14999	185.1963	35.085983	254.48575	63.28304	-190.50467	17.001091	64.39533543586731	21.465112527211506
4	-643.41626	94.07693	-539.12103	-808.14606	-40.171745	242.02562	252.95743	-487.9216	1000.0	1000.0	19999	175.38004	27.50078	235.04274	101.3746	-176.50217	7.5334444	87.83823299407959	21.95955866575241
5	-294.05795	218.42778	54.447456	-533.96014	-430.23175	108.217094	-274.1076	-646.7177	1000.0	1000.0	24999	151.19905	25.56225	223.77107	93.88311	-152.13702	5.352339	111.38505506515503	22.277011394500732
6	-267.1837	170.45932	-44.047085	-484.49185	-504.3642	118.120094	-229.57964	-656.4235	1000.0	1000.0	29999	133.2689	26.215313	194.60028	76.49286	-134.35002	4.7444935	134.96846532821655	22.494744578997295
7	148.67142	264.65775	518.20245	-216.15913	157.45877	436.00223	818.965	-352.59177	1000.0	1000.0	34999	116.22972	30.837938	176.74551	56.088093	-117.177925	3.5627868	158.36280226707458	22.62325780732291
8	636.60236	182.1204	848.0448	372.41025	750.1741	257.2288	1106.244	284.08862	1000.0	1000.0	39999	106.04492	35.136257	173.24455	41.88893	-106.964134	3.922386	181.9012815952301	22.737660467624664
9	974.1624	241.8943	1234.3458	599.5614	871.9845	524.1067	1564.6074	61.76083	1000.0	1000.0	44999	104.10163	38.557262	186.25787	35.390987	-105.17262	4.8177705	205.3179214000702	22.813102589713203
10	1387.0377	498.3181	1847.1261	443.80255	1880.8821	442.4836	2187.1812	629.2896	1000.0	1000.0	49999	107.85296	42.65007	203.11345	30.165785	-109.00288	5.811083	228.83504176139832	22.883504390716553
11	2223.0083	140.28139	2373.6016	1997.0842	2357.0632	168.63889	2606.9001	2002.389	1000.0	1000.0	54999	118.95777	50.06385	228.76266	26.320665	-120.34042	7.142035	252.4101173877716	22.946374503048983
12	2541.598	71.86741	2625.1228	2433.0774	2635.6333	205.19743	3015.9456	2347.5823	1000.0	1000.0	59999	139.31778	60.53307	254.27461	20.816475	-140.92285	8.371366	275.8306305408478	22.985886017481487
13	2534.3523	61.331123	2611.511	2443.0906	2441.4128	621.12836	2981.2993	1210.6392	1000.0	1000.0	64999	161.32469	70.14812	276.2111	19.322674	-162.95735	9.480578	299.20357275009155	23.015659607373752
14	2752.8079	126.78937	2897.1917	2541.2322	2773.084	459.95752	3094.622	1427.3541	1000.0	1000.0	69999	181.84608	77.01654	299.99677	19.617344	-183.45563	9.803243	322.63366508483887	23.04526194504329
15	2787.392	127.58559	2952.6914	2649.0786	2406.2874	824.038	2965.2354	-16.903168	1000.0	1000.0	74999	200.43745	81.417175	316.23163	19.539295	-202.02222	10.079902	346.05920696258545	23.070613940556843
16	2001.2891	858.94946	2883.2852	522.5319	2811.748	441.4573	3039.158	1518.538	1000.0	1000.0	79999	213.91191	86.77059	331.12708	3.3795652	-215.4234	10.639512	369.44077491760254	23.09004856646061
17	3048.4246	73.0464	3155.423	2951.727	1800.4043	1207.3942	2941.502	-531.33386	1000.0	1000.0	84999	225.98154	92.41051	344.44757	-2.1331344	-227.4529	11.269348	393.2228512763977	23.13075608365676
18	2612.714	613.67114	3085.824	1404.7609	3121.6724	132.33711	3303.8154	2871.8308	1000.0	1000.0	89999	237.77731	97.13787	355.95276	-8.3582115	-239.2404	11.346949	416.64080142974854	23.146711296505398
19	2497.914	1066.437	3174.062	372.45227	3290.4023	87.82439	3407.5923	3152.5745	1000.0	1000.0	94999	248.43039	100.70202	363.76993	0.5826211	-249.90535	11.65856	440.2012732028961	23.16848816369709
20	2514.2485	904.04004	3108.8904	727.7992	2166.2097	816.51996	2950.5986	553.1844	1000.0	1000.0	99999	254.57918	105.14007	372.27783	-8.741741	-255.97157	12.014958	463.93424105644226	23.196712160110472
21	2528.4626	1213.0946	3303.637	112.58487	3203.603	172.80916	3478.8057	2949.195	1000.0	1000.0	104999	260.04956	108.48269	379.86996	14.635263	-261.4108	12.712577	487.41869854927063	23.21041430745806
22	3074.9272	71.04155	3150.5317	2960.655	2832.5906	663.1605	3275.3804	944.96857	1000.0	1000.0	109999	267.00305	110.33314	387.1847	-6.045662	-268.3632	11.923769	511.0298864841461	23.228631301359698
23	2652.1482	1068.817	3361.493	524.71533	2969.409	1082.5885	3477.549	-262.35342	1000.0	1000.0	114999	273.92712	111.68169	393.15393	-43.37198	-275.30084	12.231063	534.4344546794891	23.236280731532883
24	2800.3257	550.66254	3395.1628	1763.2236	3205.1797	275.89282	3556.276	2526.4802	1000.0	1000.0	119999	279.41086	114.27018	402.7669	-108.515755	-280.799	12.810997	557.7201445102692	23.238339444001515
25	2783.2666	488.51584	3233.0156	1851.9192	3275.7837	424.1537	3560.801	2015.3339	1000.0	1000.0	124999	286.12024	116.192085	405.4759	-40.521214	-287.52036	13.914731	581.3078715801239	23.252314958572388
26	3195.099	298.99182	3427.197	2609.0852	3430.4233	126.90659	3614.3772	3224.5159	1000.0	1000.0	129999	292.6101	117.58587	413.2654	-48.830807	-293.9819	13.864781	604.7992074489594	23.261508061335636
27	3400.894	214.07762	3632.8782	3091.8972	3718.7227	123.286766	3927.6448	3558.7332	1000.0	1000.0	134999	299.17645	118.5733	420.29434	-35.81238	-300.5657	14.459435	628.255469083786	23.26872115665012
28	3436.0593	127.67489	3570.138	3266.916	3958.2493	112.68905	4112.5	3749.522	1000.0	1000.0	139999	306.52023	119.13377	425.46005	-18.748697	-307.94586	13.890265	651.5981960296631	23.27136422055108
29	3704.7356	161.96689	3864.1294	3419.6733	3789.5789	554.8243	4198.9604	2247.4038	1000.0	1000.0	144999	314.8777	120.272095	440.3415	-15.92576	-316.3625	14.942414	675.0882499217987	23.27890524370917
30	3888.7148	30.520586	3939.4795	3849.849	3713.2544	700.87213	4100.3066	1643.0576	1000.0	1000.0	149999	324.17746	122.32961	444.10394	-30.246923	-325.71353	15.096726	698.4112122058868	23.2803738117218
31	3882.3137	108.85508	4006.4163	3728.2893	4022.522	50.81046	4102.1606	3934.009	1000.0	1000.0	154999	332.61798	124.50773	454.6369	-16.516977	-334.0988	15.329228	721.8177525997162	23.28444370915813
32	3893.4492	23.716616	3925.8662	3856.328	4189.6226	62.556355	4310.357	4076.3716	1000.0	1000.0	159999	340.7159	125.29489	462.06555	-0.08757925	-342.1945	14.441309	745.3918101787567	23.29349412024021
