Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time	AVG Time Per Epoch
1	16.990812	15.740989	171.49332	4.1624255	38.712166	1.009346	40.21515	37.00127	21.165255	22.0	4999	19.434826	19.853521	238.91681	-42.270237	-23.068247	5.1292844	15.855791091918945	15.855793237686157
2	19.132957	20.424267	203.28404	4.523774	38.89945	0.86499655	40.326233	37.023205	22.647058	22.1	9999	420.17023	395.51578	3255.3315	-1172.9402	-501.2185	2322.6975	35.450618505477905	17.725310683250427
3	91.889366	65.685005	327.97095	23.345854	181.30428	66.40937	229.04549	68.85019	49.4	98.1	14999	3085.7192	1067.622	6326.49	-2060.5706	-3359.552	84964.516	56.46167016029358	18.82055727640788
4	171.40207	51.97239	278.84387	54.56839	187.21596	3.0475395	190.91411	181.32132	89.375	89.8	19999	4699.932	1162.5859	8762.154	-2231.2751	-4964.6963	143238.22	77.41650462150574	19.354126691818237
5	25.205032	64.80964	340.21115	-1.7089971	59.93989	43.776527	165.38147	16.888344	36.94853	150.8	24999	5970.1514	1827.4366	10431.159	-4324.228	-6291.6387	178605.84	98.58932042121887	19.7178644657135
6	41.275764	70.9309	311.37555	9.163843	280.75153	76.44575	480.94623	207.99178	71.72464	197.2	29999	7564.4316	2246.3174	13556.525	-4844.1074	-7965.0654	283490.72	120.18573260307312	20.030955751736958
7	318.02878	168.49641	1096.2103	94.13358	300.966	16.576054	317.1305	255.874	191.84616	146.5	34999	9133.911	2455.5361	13974.239	-4401.385	-9547.682	359721.4	141.61694598197937	20.230992589678085
8	234.28154	47.731155	336.20166	158.74515	192.08365	6.621281	204.06071	180.03973	108.978264	93.4	39999	9997.878	2973.1624	14105.297	-4718.767	-10389.98	355655.06	162.77776384353638	20.347220689058304
9	211.62679	65.846306	560.08295	155.55946	254.18645	16.514755	290.49582	218.85321	112.8	164.6	44999	10031.014	3408.8096	14533.992	-5786.0776	-10385.942	307850.5	183.8968825340271	20.43298716015286
10	248.90096	122.32075	523.98315	20.325054	172.16583	145.72409	429.39392	22.443224	236.10527	393.9	49999	9779.319	3674.4702	14473.274	-5200.9478	-10123.2	264415.9	206.4301154613495	20.643011736869813
11	462.55664	266.11646	823.10046	39.587265	704.20276	122.34392	779.3135	414.99692	533.3	924.6	54999	9873.495	3671.315	14312.428	-5763.801	-10198.419	230565.28	230.74543738365173	20.97685811736367
12	675.2195	284.93607	1012.7437	151.59404	609.7774	222.95892	924.25745	240.5408	838.2	679.0	59999	9907.183	3512.0417	14197.202	-5213.1787	-10204.088	200697.75	254.11922574043274	21.176602323849995
13	666.3343	118.17793	787.5973	489.07288	856.71045	246.79497	990.1717	292.10883	805.5714	862.5	64999	9658.096	3265.549	13596.332	-5111.0996	-9923.82	166539.64	278.3034944534302	21.407961276861336
14	736.0894	245.39902	999.6917	396.24976	912.6719	163.74005	1062.177	553.30676	684.7143	895.9	69999	9453.326	3129.2368	13104.468	-5455.1533	-9700.587	137111.47	302.60436749458313	21.614597814423696
15	701.6975	224.64693	955.90173	378.4105	987.0031	0.75176156	988.20044	985.93665	617.0	1000.0	74999	9114.926	3035.307	12645.089	-4652.4956	-9331.13	113971.99	327.6033809185028	21.840225505828858
16	562.3754	194.26387	955.7539	260.80923	274.92123	93.907166	529.51263	172.31189	446.63635	212.9	79999	8702.459	2864.912	12417.614	-4707.939	-8902.702	100707.04	349.12346386909485	21.820216611027718
17	488.54636	307.6002	1013.23755	28.659773	297.58398	178.91093	633.09436	103.75655	472.5	388.1	84999	8251.663	2816.7734	12173.983	-4675.565	-8426.789	84449.414	371.4524989128113	21.850147093043606
18	181.41794	159.41838	688.7968	61.838547	232.3995	104.530525	495.3453	109.86218	295.86667	317.1	89999	7880.6226	2717.3477	11956.627	-7422.266	-8052.6943	77488.2	393.42709970474243	21.857061200671726
19	263.67975	123.66883	481.92612	118.241425	573.2416	115.32374	646.36597	232.39857	443.41666	939.2	94999	7746.895	2618.7236	12082.341	-8160.6436	-7913.6	77950.73	417.71019864082336	21.984747397272212
20	445.9867	232.39934	661.19696	79.05368	226.26578	93.96744	463.92758	125.541916	725.8333	507.0	99999	7591.4873	2599.4622	11903.925	-11230.808	-7752.6113	72232.22	440.58362555503845	22.029181385040282
21	680.0948	219.32019	1010.43195	399.1865	1006.8656	0.6841721	1008.2885	1005.77856	822.6667	1000.0	104999	7483.5864	2501.991	11547.862	-9366.742	-7639.323	64909.926	465.5686514377594	22.16993586222331
22	1006.9362	6.3360057	1019.17236	1001.25104	1005.25146	0.72623944	1006.3521	1003.74054	1000.0	1000.0	109999	7430.2397	2463.3296	10907.309	-10272.288	-7578.925	56121.656	490.5556130409241	22.29798249764876
23	901.01227	135.00124	1003.11206	640.69794	689.2853	257.42865	982.6973	298.96548	928.8333	969.9	114999	7276.2305	2353.846	10533.21	-7733.2764	-7415.088	48646.88	515.319926738739	22.405214278594308
24	365.52347	218.00928	781.2411	86.681114	253.5555	108.39393	442.87018	133.7516	450.0	304.0	119999	7051.867	2127.0166	10279.19	-7013.058	-7180.1553	44490.977	537.0404758453369	22.376686573028564
25	332.06314	197.57664	685.21674	117.60932	255.7887	235.67618	801.99036	78.236015	478.77777	351.4	124999	6744.239	1964.4613	9828.909	-9023.896	-6860.7544	37939.035	559.054601430893	22.362184123992918
26	680.9677	308.06906	1021.58435	130.21878	912.68866	238.71141	1060.085	327.80002	737.7143	890.7	129999	6438.7866	1813.4663	9220.395	-5627.8013	-6550.8145	33642.734	583.3730597496033	22.437425457514248
27	1004.2262	7.9580183	1018.7567	996.88257	992.61163	0.7759864	993.9749	991.44037	1000.0	1000.0	134999	6188.9844	1691.6685	8783.366	-5186.55	-6292.222	29536.807	608.2062511444092	22.52615752926579
28	676.38824	416.02887	998.9329	79.34085	578.3432	432.21902	1171.771	61.567234	666.25	525.9	139999	5849.88	1555.097	8305.271	-4245.938	-5940.525	25325.145	631.0901417732239	22.538933711392538
29	407.48694	362.017	1019.6748	108.22917	118.03841	46.545452	255.54852	93.44888	404.25	159.0	144999	5454.867	1431.0981	7597.874	-3856.458	-5535.2407	22125.516	652.5756094455719	22.50260729625307
30	636.22705	411.7903	992.01904	88.449905	32.38688	0.98720706	33.330517	30.0536	680.7143	63.1	149999	5040.162	1338.7256	7120.503	-3420.6985	-5112.1685	18435.555	673.5087311267853	22.45029109319051
31	371.4062	200.75798	661.8632	92.833374	851.63605	10.496421	867.35657	832.7753	517.7778	1000.0	154999	4672.1577	1250.7358	6712.341	-3038.5718	-4738.32	16161.829	698.3555953502655	22.52759991153594
32	912.24445	116.28589	1002.0293	711.3941	341.7474	137.47691	695.85004	172.90201	1000.0	245.1	159999	4331.326	1124.4983	6081.406	-2650.2915	-4391.7974	14304.732	720.0073962211609	22.500231184065342
