Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time	AVG Time Per Epoch
1	55.438293	17.390661	147.90836	26.78525	27.632126	2.4109378	34.864723	26.792038	6.101343	3.1	4999	26.70828	13.026085	61.252605	-0.4374951	-23.703533	1.9559277	15.409068822860718	15.409071445465088
2	54.598457	16.986645	129.27475	26.798923	27.634579	2.411588	34.868664	26.782192	6.012019	3.1	9999	29.471664	13.738664	63.67699	5.2429338	-25.559162	1.0734252	34.590553760528564	17.295278191566467
3	29.35984	3.806937	35.988808	26.604696	27.633167	2.4146104	34.876	26.736788	3.3053536	3.1	14999	26.870527	12.88307	63.854908	6.212625	-23.401571	1.1169856	55.168328046798706	18.38944347699483
4	29.42056	3.8329167	35.672066	26.608534	27.634815	2.4342968	34.93609	26.73459	3.31279	3.1	19999	24.53152	12.337487	66.39505	5.8618555	-21.915508	1.0452062	75.58042407035828	18.895106554031372
5	29.332582	3.7928064	35.515915	26.611893	28.428772	3.2224305	34.925358	26.710144	3.3018494	3.2	24999	23.367268	11.967526	66.65621	5.633518	-21.256157	0.8483503	96.03875923156738	19.207752227783203
6	29.427954	3.8338354	35.632854	26.624294	26.8353	0.05227504	26.897919	26.7029	3.3141153	3.0	29999	22.545656	11.463222	66.05611	5.714899	-20.749916	0.72881526	116.57813763618469	19.42969004313151
7	29.301147	3.7765217	35.543385	26.605814	27.62087	2.3954692	34.80571	26.709223	3.2988126	3.1	34999	21.96366	11.126996	65.76273	5.9787335	-20.377811	0.6518922	137.06484937667847	19.580693074635096
8	29.213667	3.741621	35.8095	26.617636	27.611124	2.4329565	34.9091	26.750765	3.288158	3.1	39999	21.538607	10.754696	64.96084	5.989233	-20.12023	0.5853034	157.40110421180725	19.67513832449913
9	29.271313	3.774576	35.69135	26.604053	27.631107	2.4431295	34.956757	26.686792	3.2951252	3.1	44999	21.222704	10.50528	63.95911	6.4494967	-19.935059	0.54389656	177.93003797531128	19.770004484388565
10	29.527615	3.8750176	35.60237	26.611727	27.639668	2.3977258	34.831947	26.75295	3.3260145	3.1	49999	20.983118	10.304672	62.70091	5.6335173	-19.793928	0.5337411	198.4370460510254	19.843704867362977
11	29.411537	3.828776	35.731968	26.627659	28.433252	3.235867	34.96607	26.66271	3.3119206	3.2	54999	20.768251	10.164172	62.386383	6.1097493	-19.665354	0.50019413	218.9613902568817	19.905581105839122
12	29.401989	3.824986	35.732986	26.620115	27.596722	2.4154503	34.84074	26.656239	3.310596	3.1	59999	20.642946	10.054667	62.254597	6.3320713	-19.607288	0.46621275	239.5959689617157	19.966330965360005
13	29.409197	3.8285825	35.66328	26.624313	28.417797	3.2344897	34.88907	26.721077	3.3119206	3.2	64999	20.510578	9.930363	63.41592	6.6640244	-19.533266	0.44115072	260.0767865180969	20.00590682029724
14	29.35103	3.801368	35.56833	26.63444	27.589298	2.4119394	34.82365	26.689718	3.3046927	3.1	69999	20.33853	9.823414	62.16247	4.78536	-19.421577	0.43890038	280.3996410369873	20.02854597568512
15	29.333847	3.798835	35.58811	26.613983	28.420162	3.2610927	34.981075	26.633213	3.3018494	3.2	74999	20.248442	9.758518	64.29966	6.7351866	-19.356441	0.4221446	300.9615533351898	20.06410369873047
16	29.44106	3.8425741	35.57062	26.601944	29.20512	3.7010996	34.9188	26.741167	3.31565	3.3	79999	20.166492	9.659595	64.02803	6.340018	-19.306969	0.4031263	321.37234258651733	20.08577160537243
17	29.49002	3.85987	35.635246	26.624369	28.448757	3.2392743	34.975834	26.694904	3.3215947	3.2	84999	20.0832	9.579437	63.241592	5.356704	-19.247568	0.39496386	341.873010635376	20.110177222420187
18	29.41662	3.8312678	35.569107	26.608831	26.812551	0.07313318	26.884953	26.673815	3.3125827	3.0	89999	19.99779	9.515108	62.558582	5.996574	-19.187864	0.38972563	362.27837109565735	20.126576317681206
19	29.22069	3.745992	35.707424	26.617855	27.591732	2.4307778	34.881496	26.662045	3.2888157	3.1	94999	19.944963	9.454521	63.414856	6.277055	-19.160221	0.39241123	382.77605533599854	20.146108288513986
20	29.311417	3.785367	35.775745	26.618258	29.248173	3.6641622	34.849583	26.814585	3.29967	3.3	99999	19.883244	9.357224	64.824936	5.996185	-19.129295	0.37765685	403.3223946094513	20.166119861602784
21	29.45141	3.8389351	35.60157	26.622416	28.41824	3.2229123	34.904705	26.745756	3.316976	3.2	104999	19.856258	9.340715	65.21379	5.9617395	-19.114683	0.3654932	423.8236072063446	20.182076624461583
22	29.168243	3.7198417	35.552338	26.610819	26.826761	0.05094234	26.880342	26.71098	3.2823374	3.0	109999	19.787664	9.299415	65.372765	5.422977	-19.072325	0.37250558	444.3271610736847	20.19668925892223
23	29.340185	3.7947433	35.691513	26.607948	29.212147	3.7239559	34.945198	26.702024	3.3031704	3.3	114999	19.769308	9.248033	63.523853	6.530484	-19.061943	0.3478598	464.79846692085266	20.208629079487014
24	29.38518	3.8176818	35.68201	26.619188	28.392756	3.2297404	34.886242	26.662432	3.3092716	3.2	119999	19.713207	9.228416	66.29674	6.482433	-19.028015	0.34602216	485.2186276912689	20.21744292974472
25	29.525131	3.8713408	35.70534	26.577255	28.428432	3.216478	34.879284	26.72999	3.3257978	3.2	124999	19.682709	9.179426	65.467064	4.4050303	-19.00895	0.3436827	505.8961021900177	20.235844163894654
26	29.250008	3.7592847	35.75973	26.605686	26.830265	0.042950515	26.8906	26.754381	3.2922976	3.0	129999	19.633856	9.149603	64.62472	6.657383	-18.976904	0.3463434	526.2778253555298	20.241454922235928
27	29.375074	3.818875	35.575947	26.60631	26.781445	0.06849292	26.87527	26.678282	3.306217	3.0	134999	19.609983	9.11225	63.681824	6.3467865	-18.95745	0.33141693	546.7224853038788	20.248981007823236
28	29.36407	3.8064163	35.78718	26.611479	27.627941	2.4037352	34.838154	26.734394	3.3055556	3.1	139999	19.598448	9.078514	63.527863	6.398952	-18.961372	0.33552822	567.2323296070099	20.25829757111413
29	29.246523	3.7545419	35.621067	26.628452	28.41101	3.2590024	34.9715	26.67652	3.2922976	3.2	144999	19.556738	9.05323	66.25336	6.543166	-18.93031	0.3311282	587.633974313736	20.263240559347743
30	29.156181	3.7094123	35.74258	26.621244	28.444376	3.234462	34.922466	26.721691	3.28084	3.2	149999	19.531607	9.014686	64.67762	6.4464836	-18.909573	0.3285056	608.1323256492615	20.271077609062196
31	29.287336	3.7727876	35.557137	26.60036	27.612158	2.4242053	34.882797	26.681475	3.296638	3.1	154999	19.53037	9.02904	65.27517	6.478307	-18.91653	0.3304778	628.5016722679138	20.274247554040723
32	29.472431	3.8493552	35.6125	26.58723	29.24465	3.7002802	34.98457	26.728043	3.319389	3.3	159999	19.47801	8.983941	66.46614	5.776358	-18.874908	0.30788618	648.9073162078857	20.278353713452816
33	29.488142	3.8579767	35.584118	26.625216	29.246347	3.717189	34.955013	26.765741	3.320717	3.3	164999	19.452232	8.941036	63.16667	5.75055	-18.860113	0.32005516	669.4894664287567	20.287559646548647
34	29.425983	3.8347144	35.64391	26.624212	28.421116	3.2087393	34.875637	26.738264	3.3134527	3.2	169999	19.454826	8.92473	65.48866	5.6901994	-18.866518	0.32205883	689.9838502407074	20.293642731273877
35	29.172977	3.725615	35.71648	26.625921	26.787683	0.08730992	26.88533	26.641005	3.2823374	3.0	174999	19.433634	8.907512	65.65799	6.546115	-18.847656	0.3112204	710.5209815502167	20.300599527359008
36	29.44244	3.8367844	35.54603	26.619638	28.44785	3.2198105	34.89655	26.780043	3.31565	3.2	179999	19.418997	8.865477	64.09975	6.921709	-18.851519	0.32885656	731.0015242099762	20.305597967571682
37	29.255863	3.7598102	35.652077	26.609972	26.814846	0.060220163	26.900476	26.700747	3.2929559	3.0	184999	19.414345	8.872581	64.76231	6.4301047	-18.855112	0.33439517	751.5360221862793	20.311784447850407
38	29.419737	3.827568	35.63307	26.62413	29.25596	3.701606	34.944515	26.76829	3.3134527	3.3	189999	19.385157	8.86165	63.157322	6.54614	-18.8201	0.3110635	772.0459558963776	20.31699890839426
39	29.370504	3.8159454	35.544743	26.596752	27.628428	2.4178216	34.88106	26.765728	3.3068783	3.1	194999	19.339855	8.829628	64.46383	6.097712	-18.781206	0.3116675	792.4775457382202	20.319937125230446
40	29.456495	3.8497655	35.791462	26.60671	26.819036	0.066442624	26.910053	26.675327	3.3171864	3.0	199999	19.344854	8.8109045	66.09777	6.796571	-18.79837	0.31444874	812.9730083942413	20.32432526946068
41	29.368246	3.8057382	35.71118	26.584866	29.241802	3.6909063	34.94401	26.635286	3.3068783	3.3	204999	19.34364	8.809726	63.11412	6.373904	-18.790096	0.2935801	833.62109541893	20.332221891821884
42	29.382673	3.8148081	35.549614	26.610525	27.597248	2.4112306	34.827724	26.636606	3.308405	3.1	209999	19.339802	8.806282	62.16992	6.068795	-18.798946	0.30778712	854.1525056362152	20.336964482352847
43	29.271975	3.763287	35.641705	26.615597	27.613308	2.432861	34.910954	26.743996	3.2953198	3.1	214999	19.325409	8.78464	63.089962	4.6837144	-18.784662	0.2962591	874.5196752548218	20.337666910748148
44	29.44018	3.8474636	35.614384	26.596394	30.065695	3.9558444	34.91777	26.792683	3.3154407	3.4	219999	19.303467	8.750849	62.782665	5.5331984	-18.768332	0.31163365	895.0610723495483	20.34229714762081
45	29.399427	3.8241825	35.566734	26.609297	29.203836	3.7239568	34.942318	26.630783	3.310596	3.3	224999	19.29869	8.750309	62.452747	3.408866	-18.764725	0.28864935	915.4882967472076	20.344184414545694
46	29.384544	3.8164585	35.593204	26.59193	29.225626	3.6955137	34.953465	26.684938	3.308405	3.3	229999	19.263569	8.744368	61.718407	5.6128263	-18.737488	0.2980817	936.0762646198273	20.34948406012162
47	29.230774	3.7489643	35.586277	26.612976	28.41688	3.2539668	34.96341	26.725857	3.2901316	3.2	234999	19.282179	8.755124	60.858696	3.7829642	-18.753298	0.28182516	956.4440393447876	20.349873223203293
48	29.484917	3.857018	35.61562	26.626884	27.63329	2.396247	34.821453	26.777622	3.320717	3.1	239999	19.248095	8.736796	62.914474	5.6360836	-18.726084	0.28630581	976.9721138477325	20.35358574986458
49	29.211847	3.7365115	35.702374	26.582525	28.435955	3.2280118	34.914078	26.753475	3.2875	3.2	244999	19.23224	8.703285	63.31371	3.7827592	-18.716875	0.2899323	997.4915764331818	20.356970986541437
50	29.362524	3.8057227	35.824047	26.614964	28.41128	3.2367964	34.920723	26.707504	3.3060145	3.2	249999	19.261654	8.7414255	62.793304	6.37074	-18.74736	0.2833941	1017.9639542102814	20.35927912712097
51	29.471657	3.85132	35.65486	26.614319	27.637913	2.4208987	34.900066	26.762217	3.319389	3.1	254999	19.260565	8.71451	63.393353	7.1135263	-18.751892	0.27468657	1038.427589416504	20.361325329425288
52	29.254017	3.7619414	35.70481	26.620949	29.256083	3.7090263	34.972374	26.713049	3.2929559	3.3	259999	19.241259	8.687484	63.549725	6.278788	-18.740244	0.29275468	1058.8885893821716	20.363242140183083
53	29.483025	3.8551035	35.600235	26.614508	27.6159	2.4344008	34.91844	26.748175	3.3209302	3.1	264999	19.241089	8.712904	65.75109	6.1390123	-18.73597	0.29609415	1079.2839012145996	20.363847237712932
54	29.290857	3.7706897	35.655655	26.624718	27.614206	2.4180462	34.86444	26.653337	3.2972972	3.1	269999	19.235254	8.713812	64.621506	5.219851	-18.734856	0.28118956	1099.7380681037903	20.36551981502109
55	29.221386	3.7446785	35.766827	26.619747	28.41506	3.2315788	34.89397	26.71606	3.2888157	3.2	274999	19.242695	8.706988	65.48055	5.746623	-18.745022	0.28416935	1120.358191728592	20.37014897519892
56	29.456852	3.8491848	35.610245	26.635725	27.609257	2.422285	34.873882	26.686028	3.3171864	3.1	279999	19.224306	8.694208	65.27808	6.6646595	-18.724422	0.3057564	1140.8439893722534	20.372214134250367
57	29.234966	3.752534	35.51034	26.61499	27.641317	2.4256291	34.917446	26.76114	3.2901316	3.1	284999	19.225273	8.670304	64.67889	6.6339755	-18.730488	0.2728225	1161.3809990882874	20.375105284807976
58	29.251764	3.762904	35.569447	26.597708	28.455053	3.2261693	34.915466	26.77348	3.2922976	3.2	289999	19.203264	8.669163	67.549164	6.5720673	-18.71167	0.28411517	1181.8126103878021	20.376079522330187
59	29.186853	3.7274208	35.671238	26.619759	28.39921	3.2639506	34.945522	26.714714	3.2844942	3.2	294999	19.18585	8.653348	65.14231	6.5724163	-18.6927	0.26925838	1202.221792936325	20.376640594611732
60	29.516998	3.868289	35.591328	26.589647	28.459812	3.2196162	34.9417	26.769014	3.325133	3.2	299999	19.20002	8.661106	63.287758	6.303872	-18.711876	0.2873474	1222.6876113414764	20.378126895427705
61	29.386423	3.8174808	35.718014	26.609201	28.444447	3.2360125	34.96665	26.745771	3.3090668	3.2	304999	19.186735	8.634627	62.436104	6.4882665	-18.707438	0.26912344	1242.9528594017029	20.376276418810985
62	29.530985	3.8784227	35.587433	26.623522	26.818409	0.030623125	26.870981	26.781578	3.3260145	3.0	309999	19.173635	8.650853	64.06629	5.6935616	-18.690836	0.2707432	1263.338800907135	20.376432307304874
63	29.217876	3.741168	35.639824	26.616322	27.629416	2.397307	34.820293	26.757404	3.2879684	3.1	314999	19.19451	8.657883	63.3973	5.4419055	-18.711023	0.28257084	1283.622343301773	20.37495786046225
64	29.427921	3.8342395	35.557964	26.617691	29.214283	3.7042527	34.89098	26.692352	3.3143237	3.3	319999	19.174822	8.638482	65.996574	6.5481224	-18.696806	0.2699725	1304.240838766098	20.378763135522604
65	29.353945	3.8073008	35.693237	26.622498	27.610895	2.4403846	34.93011	26.718006	3.3046927	3.1	324999	19.166466	8.614447	66.88454	6.4604654	-18.685644	0.26326063	1324.810287952423	20.38169676707341
66	29.336477	3.795215	35.662582	26.611668	27.586792	2.398252	34.777905	26.671944	3.30251	3.1	329999	19.134836	8.619018	61.10487	6.7675686	-18.655525	0.26473403	1345.1908373832703	20.381679383191194
67	29.330065	3.7913096	35.58447	26.611921	27.614574	2.4186504	34.86829	26.698254	3.30165	3.1	334999	19.139711	8.602237	64.398315	6.2422147	-18.666016	0.26604596	1365.6814105510712	20.38330467067548
68	29.523167	3.873952	35.662052	26.602812	29.23003	3.6892939	34.939976	26.603542	3.3253493	3.3	339999	19.142498	8.589392	63.50621	6.4037814	-18.674791	0.26437077	1386.2221043109894	20.385619212599362
69	29.23751	3.7490966	35.61558	26.59941	28.420893	3.2243807	34.89106	26.665487	3.2909808	3.2	344999	19.143965	8.587601	63.45532	6.4587793	-18.67465	0.2718548	1406.6656408309937	20.386458590410758
70	29.313328	3.7806008	35.545433	26.621168	27.633596	2.408701	34.85878	26.759083	3.300132	3.1	349999	19.11492	8.58595	60.83513	5.2227907	-18.649853	0.26496455	1427.328560590744	20.390408039093018
71	29.499857	3.8648925	35.69325	26.617882	26.827175	0.0552378	26.908348	26.740042	3.3224733	3.0	354999	19.15023	8.590983	64.536446	6.0936556	-18.684828	0.25443935	1447.6395285129547	20.389289157491334
72	29.277124	3.7705603	35.6492	26.593943	27.602352	2.4275746	34.882057	26.645882	3.295979	3.1	359999	19.120087	8.567759	65.0078	5.638053	-18.655033	0.26765117	1468.1229741573334	20.390596893098618
73	29.466791	3.852293	35.7149	26.62053	26.82964	0.05192135	26.883764	26.724215	3.3185136	3.0	364999	19.133524	8.566643	66.55817	5.419321	-18.665836	0.24856862	1488.5312774181366	20.390839442814865
74	29.192863	3.7320905	35.589962	26.612743	27.590307	2.4180906	34.840836	26.637571	3.285151	3.1	369999	19.131796	8.554331	62.058887	5.853423	-18.672565	0.2500295	1508.9898388385773	20.391754607896548
75	29.47247	3.852089	35.533783	26.60031	27.632587	2.4151533	34.875816	26.701185	3.3191772	3.1	374999	19.121265	8.561349	64.4624	5.1686296	-18.660503	0.26495388	1529.4905619621277	20.393207524617512
76	29.32114	3.790016	35.624866	26.600027	28.434824	3.2105074	34.908813	26.679008	3.301189	3.2	379999	19.115746	8.5547285	61.66398	5.978345	-18.65011	0.24656431	1549.7355608940125	20.39125741155524
77	29.389477	3.826127	35.663197	26.61597	30.0322	3.95012	34.90658	26.743572	3.3090668	3.4	384999	19.086432	8.554513	63.12496	6.3113136	-18.62404	0.2672491	1570.1898591518402	20.392076114555458
78	29.457455	3.8452294	35.571056	26.61841	27.60648	2.4396396	34.922516	26.661926	3.3171864	3.1	389999	19.116617	8.551338	65.39623	6.3705473	-18.65675	0.24869643	1590.5998933315277	20.392306349216362
79	29.42478	3.8323443	35.762066	26.58456	26.781775	0.08260636	26.875856	26.639572	3.3141153	3.0	394999	19.088154	8.542529	63.71979	6.0185237	-18.625475	0.25335264	1611.2346649169922	20.395375532439992
80	29.074728	3.6707928	35.71193	26.603718	28.423029	3.2510536	34.96296	26.70531	3.2714193	3.2	399999	19.088264	8.529507	61.80699	7.24034	-18.633095	0.25607738	1631.708771944046	20.396359673142435
81	29.234985	3.75189	35.581158	26.604542	27.60545	2.4357407	34.910633	26.675493	3.2909808	3.1	404999	19.08348	8.524735	64.9148	6.4928017	-18.628603	0.25581434	1652.197401046753	20.397498804845927
82	29.207127	3.736005	35.632965	26.613937	28.395123	3.2306197	34.877186	26.715597	3.287311	3.2	409999	19.069021	8.513825	65.02233	6.5837245	-18.617907	0.23751055	1672.6572155952454	20.398258752939178
83	29.175072	3.7196884	35.528965	26.619347	27.613028	2.425833	34.88973	26.74048	3.2836506	3.1	414999	19.106653	8.534423	66.03742	6.5614576	-18.648287	0.24882007	1693.243103981018	20.400519350925123
84	29.350637	3.8032074	35.580402	26.604462	26.818619	0.05850668	26.882841	26.682467	3.3046927	3.0	419999	19.087507	8.508564	65.32897	6.397462	-18.636969	0.25281268	1713.7429857254028	20.401702239399864
85	29.381552	3.817647	35.569523	26.620491	28.432978	3.219341	34.895763	26.726938	3.308405	3.2	424999	19.082928	8.508179	64.92723	6.6228046	-18.63121	0.25011444	1734.232260942459	20.40273250131046
86	29.252066	3.7604523	35.621384	26.580647	28.417871	3.2378192	34.895702	26.69069	3.2922976	3.2	429999	19.069138	8.525277	66.680664	6.195934	-18.619139	0.24932392	1754.5643932819366	20.401911571968434
87	29.22046	3.7447367	35.571865	26.606768	28.46558	3.228123	34.936504	26.807219	3.2888157	3.2	434999	19.0731	8.503534	61.798946	6.2614517	-18.624475	0.24609467	1775.105357170105	20.403509877193933
88	29.52259	3.8727503	35.65174	26.622032	26.776943	0.04666962	26.828098	26.683983	3.325133	3.0	439999	19.073889	8.501184	64.59428	6.3580146	-18.626059	0.2559846	1795.3702476024628	20.401934658939187
