Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time	AVG Time Per Epoch
1	-43.53678	3.9694884	-34.67326	-52.464607	-7.612643	3.5674818	-2.5275283	-14.03568	50.0	50.0	4999	-2.1908016	0.93347627	1.1033326	-7.037067	1.4500072	0.053209685	15.187297344207764	15.187299728393555
2	-43.586464	3.87408	-35.6701	-59.402405	-7.993261	0.7265156	-7.2732635	-9.439549	50.0	50.0	9999	-2.0740204	1.386978	4.354975	-7.9725447	1.2364662	0.047745865	34.98911261558533	17.49455761909485
3	-8.236502	2.8932226	-2.8845663	-16.536556	-6.800238	2.61186	-3.934133	-13.001129	50.0	50.0	14999	-0.84637654	1.9732596	6.7204084	-8.069443	0.11670608	0.065144874	55.56515860557556	18.52172040939331
4	-9.029931	2.7095313	-3.936058	-14.932489	-9.618872	2.902047	-5.0168457	-13.491455	50.0	50.0	19999	0.036760416	2.1920059	19.55646	-8.32548	-0.6126285	0.11674448	75.68222117424011	18.92055583000183
5	-9.921593	2.947304	-3.672376	-16.075268	-9.366658	2.297592	-4.196922	-12.154452	50.0	50.0	24999	1.2556629	3.309014	18.140131	-8.104531	-1.7883503	0.21818343	96.72239232063293	19.344478845596313
6	-8.590473	2.5208743	-3.444978	-14.027204	-6.464817	2.415755	-3.2959127	-10.718706	50.0	50.0	29999	0.76716006	2.460456	11.703817	-9.393138	-1.1840504	0.11904148	117.66683602333069	19.61113969484965
7	-7.2519817	2.2576146	-3.5976057	-14.872313	-6.2527122	2.1895683	-3.069117	-11.84946	50.0	50.0	34999	-0.028717976	2.0821426	8.48255	-8.562011	-0.31509423	0.07548811	138.84900522232056	19.835572481155396
8	-6.881773	2.3405886	-2.5590417	-13.196964	-5.0790215	2.2588089	-1.3838491	-8.385141	50.0	50.0	39999	-0.7235616	1.6448468	5.9602146	-10.2340555	0.4369704	0.038850997	160.88479614257812	20.110599786043167
9	-7.195797	2.419931	-2.3707168	-11.881091	-5.6206484	2.0528471	-1.8271261	-8.382791	50.0	50.0	44999	-1.1753241	1.3928887	5.579665	-9.874595	0.91076154	0.031891182	182.18062043190002	20.242291424009537
10	-7.006003	2.329541	-2.7241244	-13.550425	-4.3570952	2.148545	-1.9962475	-9.085359	50.0	50.0	49999	-1.3759787	1.3427752	4.897394	-9.809095	1.1465697	0.030726062	204.110271692276	20.411027359962464
