Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time	AVG Time Per Epoch
1	2.7280204	6.313358	43.327663	-12.009106	84.88098	27.18382	146.7621	55.946533	21.558441	198.4	4999	29.288513	29.332268	150.0684	-45.56402	-36.66066	6.961429	20.336339712142944	20.33634328842163
2	2.0796971	5.9608893	35.343098	-11.046698	76.5243	22.074276	138.27588	57.191757	20.991632	189.4	9999	247.41273	117.87663	753.6439	-393.20154	-279.08304	352.76547	44.98131537437439	22.490659594535828
3	78.11285	17.055332	104.939964	49.552547	90.52104	32.972076	164.92076	59.085506	191.46153	204.6	14999	542.7664	151.48018	878.46655	-369.93118	-570.1495	843.2684	70.34209632873535	23.44736607869466
4	95.55051	66.96282	387.2944	53.951645	84.83502	29.690956	140.23749	48.06545	199.20833	198.0	19999	395.28143	162.88637	908.5227	-316.4182	-406.56296	475.3464	96.05045819282532	24.012615144252777
5	13.679983	43.594513	414.0962	-3.249279	1.4207618	0.48988748	2.3695881	0.6742489	36.09655	27.0	24999	319.83698	187.35185	907.61914	-379.4638	-336.1288	749.5544	120.70862770080566	24.141726064682008
6	2.6396103	0.7919989	4.8939877	-0.73775667	2.4824202	0.4508997	2.9711866	1.627878	41.781513	41.5	29999	265.129	193.35771	1478.3022	-344.3011	-266.27448	830.3383	145.45598578453064	24.24266465504964
7	-11.739807	10.841188	15.825423	-73.34831	-2.9324155	14.014484	24.633848	-14.256123	33.489933	49.1	34999	426.1179	313.4217	1772.5135	-888.39417	-470.76294	2272.3044	170.2796449661255	24.325663907187327
8	16.674946	43.707115	194.05032	-48.619377	-16.354465	1.3368936	-13.619901	-17.838776	66.32895	29.1	39999	1177.3727	338.0255	2443.6934	-3802.031	-1242.0214	5514.138	194.94879388809204	24.368599593639374
9	-27.840096	44.331673	62.86957	-169.16771	180.38835	85.44726	281.844	9.283722	106.19149	279.4	44999	1655.8853	450.49054	3849.3882	-5372.8247	-1740.4524	9164.4	220.82967615127563	24.53663092189365
10	-0.22047481	87.4127	210.94844	-172.43005	-10.706743	129.85497	202.56102	-324.03076	184.66667	125.7	49999	2004.6727	505.38223	4173.079	-4012.874	-2083.8225	11370.987	245.1026222705841	24.510262489318848
11	53.305073	132.53975	441.50854	-195.05385	83.74208	108.645096	338.04028	-99.38901	166.86667	141.9	54999	2182.7412	544.2089	4363.6304	-1711.3237	-2261.5225	13156.277	270.206050157547	24.56418663805181
12	41.120094	87.94845	283.17197	-138.96568	2.7900867	79.339615	205.2137	-91.06781	131.71053	166.7	59999	2356.652	574.35297	4592.481	-1723.9918	-2436.5923	15129.781	295.7397394180298	24.64497850338618
13	-15.176181	77.793	226.96637	-156.43639	-83.48366	39.44157	-32.984543	-148.20187	131.94595	154.8	64999	2462.157	610.3549	4829.0835	-1694.0648	-2538.6978	16167.037	321.0201482772827	24.693857743189884
14	17.731543	107.26136	231.78839	-263.2668	155.11057	72.21141	255.02708	28.592985	140.02777	151.5	69999	2495.0027	642.2327	4838.0894	-2142.3867	-2569.559	17466.67	346.2703857421875	24.733599305152893
15	130.76259	105.23331	318.0036	-111.128395	46.37017	128.3746	313.72986	-220.72137	151.84375	238.2	74999	2492.7534	640.4256	4710.939	-1563.574	-2564.0444	17068.861	371.65149331092834	24.77676639556885
16	49.866848	158.79143	487.2088	-348.86514	60.634785	104.81972	249.42262	-49.124435	217.625	183.9	79999	2470.5251	624.4058	4540.14	-2202.8977	-2537.4028	15571.576	397.03904151916504	24.814940258860588
17	48.90478	78.57864	219.45929	-124.93527	16.210392	79.9253	154.32072	-136.21793	153.80646	159.6	84999	2401.7607	601.66437	4414.6504	-1732.2595	-2462.8464	14658.6045	423.7601363658905	24.927067069446338
18	75.16098	94.09909	312.41147	-64.99047	-22.78462	66.84651	64.0969	-201.98065	136.6842	128.4	89999	2330.8638	591.6048	4433.8037	-1571.8483	-2391.1506	14402.328	448.5445101261139	24.919139636887444
19	24.30767	103.98847	417.45688	-145.67407	29.899792	72.49047	113.481544	-74.05501	140.33333	168.5	94999	2317.185	581.38635	4387.099	-1545.5929	-2375.9253	13448.869	474.3120357990265	24.963791533520347
20	10.874153	80.22338	183.46857	-212.94385	36.127033	89.705315	215.29182	-41.230732	130.26315	115.4	99999	2265.5776	568.1251	4209.2773	-1337.8854	-2320.7773	12380.754	499.51109170913696	24.975554728507994
21	25.715467	93.548874	258.1852	-184.13132	55.50664	105.97604	353.04736	-33.221478	159.3871	181.0	104999	2187.0334	562.9116	3969.2617	-1778.5593	-2238.1848	12065.614	525.0218586921692	25.00104100363595
22	-24.465975	97.05955	227.64658	-219.83582	96.2793	91.32648	252.32713	-46.284973	152.06061	166.0	109999	2098.7388	553.2506	3870.4497	-1672.0206	-2147.5493	10909.972	550.1582481861115	25.007193218577992
23	6.9756107	89.24208	186.84729	-154.19499	112.23338	88.2044	273.43988	-27.386917	183.25926	132.4	114999	2047.9042	548.25604	3582.3923	-1624.2404	-2095.5083	10176.589	575.6641728878021	25.02887717537258
24	103.61328	138.1877	488.73993	-142.11287	160.86157	135.1733	494.81863	5.821969	155.57576	145.5	119999	1990.8181	530.8915	3618.615	-1259.8716	-2036.5372	9408.91	601.7759449481964	25.073997805515926
25	135.08678	120.07719	352.1236	-99.96263	-12.113919	68.659874	85.863754	-172.3505	153.6875	146.2	124999	1933.758	505.9342	3696.539	-1766.5454	-1977.1426	8701.736	626.9943187236786	25.079772901535033
26	90.79839	121.108025	348.40625	-85.79765	140.49132	160.54672	542.8419	8.813866	173.13792	173.6	129999	1860.5753	477.83777	3530.0188	-1468.503	-1900.596	7811.366	652.3255243301392	25.08944334433629
27	24.53617	75.49638	197.40851	-216.00252	-49.96592	66.33726	53.978645	-157.48897	148.29411	162.5	134999	1777.0085	454.0273	3578.7024	-1072.8834	-1813.9012	7015.32	676.6594588756561	25.061461519311976
28	13.914505	104.43711	298.97815	-281.3985	4.359271	41.191147	101.88323	-60.05917	151.36363	134.8	139999	1697.2488	443.93787	3860.5608	-1309.487	-1732.4915	6695.089	701.2318124771118	25.043993413448334
29	33.507835	90.16798	316.90314	-154.03189	44.86841	54.43998	202.48726	8.932597	153.65625	56.5	144999	1622.5189	441.6893	3801.1907	-1249.5105	-1655.4799	6394.9497	725.5501637458801	25.018971278749664
30	63.00325	90.84097	355.96774	-84.13759	52.955975	71.36887	170.46576	-82.57076	133.47368	205.3	149999	1561.6476	442.26315	4060.2434	-1076.9996	-1594.7682	6094.808	750.6642963886261	25.022143284479778
31	55.960373	87.20786	289.3056	-145.78886	-17.319012	125.852646	91.96684	-371.48483	155.9375	177.3	154999	1527.3896	438.6589	3700.3945	-1298.9202	-1559.191	5860.295	776.3085925579071	25.042212747758434
32	46.786102	127.271645	402.07346	-133.86299	32.039307	173.5292	481.88284	-139.4144	235.45	271.5	159999	1488.4635	440.13733	3680.5945	-1264.6974	-1519.0895	5599.194	802.977260351181	25.093039453029633
