Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	LossQReg	Time	AVG Time Per Epoch
1	-116.37248	152.20692	5.681449	-399.39175	885.3755	22.601828	900.31006	834.00433	354.2143	1000.0	4999	2.6390278	2.099788	14.183858	-8.975676	2.6388106	2.1004095	14.417359	-8.967361	-4.835852	1.0412157	1.0880361	-12.232136	-3.7528338	0.6456338	0.34896976	36.71658635139465	36.716588258743286
2	-66.23547	109.64331	3.7709079	-376.70804	905.1278	14.374168	933.30084	888.1644	208.18182	1000.0	9999	8.745378	3.5484202	30.835865	-13.023905	8.745547	3.5510354	30.592966	-12.52892	-3.8579063	1.5504469	5.79389	-14.409207	-9.955521	1.8899248	1.0707873	79.98916912078857	39.9945855140686
3	2.5957003	33.735466	90.807594	-110.50571	568.4179	228.13434	830.79926	38.6679	190.37038	855.6	14999	15.010628	4.467311	41.522686	-6.726624	15.010831	4.4698815	41.87668	-6.421376	-3.584611	1.7118142	7.8464794	-13.81698	-15.994695	3.8050485	2.1839087	128.2049102783203	42.73497072855631
4	8.250872	30.798521	59.953373	-53.232227	553.01166	125.22815	912.41943	442.6687	432.5	1000.0	19999	19.215094	5.0251937	55.62965	-7.2386775	19.215588	5.0281315	52.251312	-9.754104	-3.4028122	1.8569691	10.339708	-13.97073	-20.025713	4.7396736	2.7654138	177.89743041992188	44.47435808181763
5	38.80635	66.03724	254.84377	-61.602802	567.8602	272.07486	887.5064	27.312374	254.39131	769.3	24999	22.536964	5.6808496	54.065544	-14.399408	22.537477	5.6832786	54.165558	-12.590649	-3.2249405	1.9220421	14.0351	-14.009997	-23.250986	6.2985916	3.6932175	225.51988172531128	45.103976774215695
6	66.457924	55.249035	181.38133	-14.127222	759.7798	246.67467	949.769	127.352066	242.75	914.6	29999	25.62432	6.430324	58.29353	-18.47351	25.624723	6.4339986	58.163273	-18.463076	-2.9989238	1.9557881	13.933851	-16.521519	-26.283518	7.203978	4.2749734	274.41115069389343	45.73519233862559
7	75.17125	66.74126	228.54642	-9.294939	653.8656	164.71312	938.9068	276.59595	248.90475	932.9	34999	28.396212	6.9237623	61.998447	-18.190582	28.396627	6.9247565	61.625374	-15.785586	-2.7866266	2.0705674	13.042409	-16.74418	-28.98687	8.811991	5.250208	324.70083117485046	46.38583329745701
8	110.6953	103.73228	277.98773	1.6448594	543.1672	360.33865	970.82056	31.362764	372.07693	534.8	39999	30.755201	7.227496	69.24394	-16.491196	30.755533	7.22755	68.730896	-21.891317	-2.6445441	2.167742	14.500287	-15.035571	-31.35876	8.988145	5.3844047	372.9879102706909	46.623489052057266
9	133.83444	88.52185	315.2081	17.324541	635.7797	353.55435	965.4151	87.81747	318.3125	731.4	44999	33.020016	7.5220876	67.40066	-19.279274	33.020084	7.518673	69.01485	-15.882355	-2.5573149	2.2484002	17.994839	-17.59091	-33.62854	9.248512	5.57444	422.6686029434204	46.963178369734024
10	152.64256	128.16891	398.7999	2.4352224	598.93384	278.10663	939.9186	38.564995	405.5	818.5	49999	35.27927	7.7369595	73.67654	-36.663876	35.279446	7.7326875	73.92879	-21.753067	-2.4913626	2.2626905	17.314081	-18.718178	-35.846046	9.883393	5.9776874	472.4275426864624	47.24275448322296
