Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	LossQReg	Time	AVG Time Per Epoch
1	-236.69864	68.365974	-136.23253	-344.24387	-10.756234	0.93471456	-9.217901	-12.252841	1000.0	1000.0	4999	2.0542798	1.656138	12.599977	-3.8140287	2.054543	1.6551888	12.841783	-3.772134	-3.561791	1.0943782	9.016292	-9.856041	-2.8746176	0.60414314	0.3277584	35.90675210952759	35.90675377845764
2	-280.88284	44.260983	-237.59668	-342.56976	-47.882877	8.0912	-40.111454	-64.54346	1000.0	1000.0	9999	6.008649	3.069879	21.423933	-5.4360356	6.008102	3.069637	22.141155	-6.986599	-2.7965076	1.8140329	11.930171	-12.261077	-6.9023213	1.5361439	0.86633545	78.65159392356873	39.32579791545868
3	-100.812775	63.22161	16.056128	-164.28674	193.03226	70.40361	232.07462	-15.103109	1000.0	1000.0	14999	10.75585	3.9095335	32.219765	-4.9533787	10.755895	3.9073825	33.944653	-4.461981	-2.5904944	2.003997	14.413616	-11.723581	-11.618348	2.3111262	1.3165393	123.19745659828186	41.06581950187683
4	78.069214	99.35565	237.74811	-63.909966	565.3425	507.66373	1051.5485	-86.32041	1000.0	1000.0	19999	14.470416	4.6033316	42.923576	-2.8455286	14.470367	4.601429	42.3716	-2.8421516	-2.7846692	1.8664296	13.800936	-11.044871	-15.200834	2.3656921	1.3497292	167.85363960266113	41.96341037750244
5	240.08333	90.181465	396.71893	135.14969	996.7843	139.89159	1247.2802	824.98157	1000.0	1000.0	24999	18.133291	5.051753	47.488907	1.0162047	18.133186	5.0502043	46.789917	1.4314625	-2.5560277	1.9683977	14.396032	-12.234628	-18.831772	2.4240577	1.3832667	213.07124066352844	42.614248514175415
6	432.0546	52.8222	520.2023	365.60233	964.08777	131.36253	1214.6625	763.47424	1000.0	1000.0	29999	21.993032	5.195133	54.70428	5.623487	21.993053	5.192938	55.698593	4.905804	-2.3440404	1.9597015	15.018461	-12.277254	-22.626957	2.7296383	1.5600817	259.2465786933899	43.20776343345642
7	584.03864	69.622795	646.7969	464.94388	1051.0496	37.946613	1124.3127	997.12384	1000.0	1000.0	34999	26.21814	5.6899476	60.97373	7.2709627	26.218302	5.6879683	60.566315	8.0305395	-2.1501398	1.9960626	18.475805	-13.614399	-26.782589	3.1436815	1.8055974	305.3565936088562	43.62237082208906
8	744.1726	117.08865	947.5087	604.0216	1029.9075	222.66826	1312.069	572.09155	1000.0	1000.0	39999	30.48246	6.457043	70.47088	11.220222	30.482779	6.4548616	70.425674	11.549122	-2.0022216	2.0214965	13.191939	-13.469011	-30.992723	3.5814538	2.06232	351.52976274490356	43.94122064113617
9	933.5843	242.94748	1411.281	736.41064	2221.6272	374.19144	2698.342	1513.7192	1000.0	1000.0	44999	35.034824	7.8405514	80.8378	13.324224	35.03478	7.8396225	81.66024	13.672066	-1.7032753	2.1478212	17.899723	-12.645635	-35.52055	4.162943	2.4069254	396.70020866394043	44.07780117458768
10	1335.0039	361.55792	1780.854	882.2135	2428.8994	402.3647	2851.6228	1861.5284	1000.0	1000.0	49999	40.68381	10.787492	94.39236	16.634289	40.683678	10.787327	94.919426	16.456842	-1.3594066	2.321737	20.980558	-12.54329	-41.125175	5.7930303	3.3488598	442.31562900543213	44.23156311511993
