Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	LossQReg	Time	AVG Time Per Epoch
1	19.478092	19.836046	162.01118	5.027863	55.340443	2.4259732	59.20747	50.56451	23.64762	31.7	4999	4.4405046	3.1553302	24.24109	-4.237553	4.4404864	3.1551406	23.830397	-3.2691374	-0.9402196	1.5575979	9.436115	-9.0969515	-5.1907845	0.5846452	0.31131095	31.151207447052002	31.151209115982056
2	17.898981	15.221954	152.2847	4.738569	143.54541	17.894524	161.06151	115.42085	22.238937	71.7	9999	14.036438	7.7326903	57.753056	-37.897316	14.035682	7.728537	57.96361	-32.92112	1.0070574	2.3117456	23.872677	-10.631508	-16.312328	4.3935347	2.49883	69.81834721565247	34.90917456150055
3	201.59204	38.324863	317.69363	99.69724	204.75851	1.5544251	207.7431	201.83331	93.54717	108.8	14999	33.217373	15.080666	96.094215	-20.963133	33.21216	15.074543	91.49598	-19.080608	1.4483514	2.5923054	28.595058	-11.188047	-35.95252	45.436	24.262873	111.7915050983429	37.26383566856384
4	271.95367	22.05146	317.04233	191.98157	291.11636	1.5173751	293.74716	288.84158	119.88095	124.5	19999	50.484875	20.883766	147.96487	-30.281126	50.483185	20.889988	146.58134	-30.795292	1.4013485	2.7118266	21.322224	-10.445418	-53.0304	43.01402	24.128344	154.05222272872925	38.513056218624115
5	267.68546	46.88738	422.1345	46.925278	296.94485	7.8178287	309.84283	286.9302	110.08889	118.9	24999	64.68082	26.532183	174.36853	-38.470264	64.680695	26.531784	172.58717	-38.699345	1.5178809	2.7091773	30.571142	-11.614966	-67.175156	41.890404	24.36869	195.1762671470642	39.035253810882566
6	325.44833	64.41472	402.2378	209.69884	104.42023	1.2975475	106.72494	102.12246	121.04878	58.1	29999	79.11111	31.801483	189.01949	-43.152725	79.112305	31.784054	185.69257	-41.850178	1.9312845	2.766059	31.556593	-10.294773	-81.72548	68.80617	39.211	236.26583671569824	39.37764084339142
7	367.24127	79.079544	589.1611	114.39948	285.90146	2.2625785	290.33398	282.49857	132.05263	113.8	34999	93.65963	36.754883	198.84329	-51.037956	93.66346	36.738605	198.04408	-52.867245	2.077236	2.9524264	37.59678	-10.3148365	-96.31747	83.01177	47.664192	276.6185863018036	39.51694117273603
8	206.92737	141.50574	475.79086	8.322549	382.09988	3.8701167	388.78183	376.14276	84.0339	131.0	39999	102.419044	41.565105	203.97943	-53.420807	102.41706	41.5592	206.0023	-60.873516	1.8744771	2.7979856	29.443943	-10.542925	-104.72191	95.512314	55.387833	318.33464431762695	39.79183083772659
9	472.34738	100.44802	672.3495	177.76494	577.5264	34.39843	622.06445	523.52	149.73529	171.0	44999	108.33157	45.29012	205.64713	-38.0132	108.32891	45.280132	217.47833	-49.061237	1.8776056	2.72341	26.961344	-9.982437	-110.41294	76.87076	46.156116	361.33504128456116	40.14833815892538
10	521.6477	131.84499	706.3305	166.1078	565.3969	4.021166	573.5515	560.12854	161.74193	167.6	49999	114.51088	48.879204	231.1622	-46.64978	114.50886	48.864597	224.32605	-51.26743	1.9901689	2.7971246	27.890835	-12.515192	-116.75574	70.384384	42.954247	402.49828815460205	40.24982903003693
11	544.8431	106.718376	682.31445	328.36926	605.885	5.1743155	612.2864	599.45166	165.86667	173.5	54999	121.332726	51.52374	233.0207	-46.070946	121.334274	51.494247	227.86382	-63.360863	1.7848421	2.6951532	28.233578	-11.420112	-123.5719	69.200836	42.11849	443.8253629207611	40.34776043891907
12	521.5854	83.11491	691.13336	388.20886	425.72705	23.074574	465.75302	398.00552	159.45161	139.6	59999	124.68089	53.747646	227.20508	-75.18423	124.68182	53.726738	223.93108	-77.61443	1.7667527	2.6430094	28.59681	-12.639706	-126.82615	64.11894	39.106205	485.8962330818176	40.49135295550028
13	604.78394	70.99661	706.4876	464.7824	540.08936	44.05173	607.9644	463.91183	181.7037	162.3	64999	127.99746	55.282963	230.49776	-70.4037	127.99773	55.27143	230.68546	-76.7225	1.7308798	2.6221535	25.169466	-10.317102	-130.03465	62.426044	38.113255	529.602700471878	40.73866943212656
14	659.2592	71.32877	717.27844	427.85754	663.8258	3.348306	670.9644	659.2667	194.76923	193.6	69999	132.53761	56.531906	248.29617	-70.38431	132.53708	56.527527	238.91339	-73.32729	1.6944335	2.6190574	25.799152	-12.537811	-134.7511	66.47813	40.191544	573.7047758102417	40.978912711143494
15	712.8852	100.69874	1161.8019	584.48517	710.4672	2.7301352	716.3488	706.92426	212.73914	217.6	74999	136.78615	57.69275	253.49107	-84.74339	136.78484	57.689842	258.09152	-77.5522	1.6915904	2.5982807	25.798155	-10.724482	-138.98615	70.18147	42.32065	616.2115490436554	41.080770095189415
16	1159.9523	652.3744	2874.1194	531.45386	699.87366	2.2595847	703.9595	695.83734	363.0	218.2	79999	142.8581	59.322536	303.75858	-72.855446	142.85861	59.314938	309.25198	-78.83525	1.7298976	2.6138277	21.579899	-11.876991	-144.75537	78.78338	47.312595	657.1237418651581	41.07023400068283
17	722.038	124.40839	1031.3767	414.8657	629.48663	2.4826531	633.3685	626.34845	218.08696	181.6	84999	148.34583	60.63673	309.11514	-90.92352	148.34712	60.638546	309.23935	-63.082653	1.8145393	2.6411543	24.87272	-11.5658655	-149.92332	99.37768	59.4874	698.0405652523041	41.06120984694537
18	771.1767	177.2058	1468.7604	618.8627	690.7346	2.989681	694.9603	685.0772	228.45454	210.9	89999	151.40053	61.051983	303.15692	-82.51449	151.4024	61.057716	301.9187	-81.82202	1.7316618	2.636772	23.66652	-11.812207	-153.2395	91.439	56.51264	740.8646953105927	41.15914988517761
19	930.11884	298.3542	1763.5984	686.7433	732.9054	2.5611382	736.8927	728.6179	279.66666	213.1	94999	154.67397	61.93816	291.9688	-94.71175	154.6757	61.927067	287.96964	-85.09106	1.6881033	2.5551836	22.082449	-11.251482	-156.28061	83.90068	52.517963	783.0252017974854	41.211852864215246
20	806.2075	190.73473	1498.7667	709.51874	783.6392	43.91399	890.3256	746.34033	238.95238	248.4	99999	157.36726	62.209316	281.40222	-100.74005	157.36794	62.202087	275.06503	-90.92821	1.6328928	2.5255072	22.575974	-14.0562	-159.12395	74.894684	47.743553	825.050544500351	41.252527344226834
21	1179.7908	615.89813	3138.3022	724.96954	752.97986	27.010792	804.2805	717.97046	360.07144	229.1	104999	161.08957	62.63483	283.7724	-114.43192	161.09106	62.664043	278.89163	-101.80392	1.5952947	2.4976072	23.952307	-12.52084	-162.5578	107.46217	65.77653	868.0309491157532	41.33480723698934
22	1052.3855	425.08627	1970.162	455.04892	2486.7437	544.4327	3428.2634	1882.0948	324.06668	710.5	109999	164.90182	62.631714	284.71106	-73.098976	164.90077	62.681187	275.24216	-70.80866	1.58408	2.503715	28.880274	-13.103148	-166.4153	110.2172	67.70885	915.1820657253265	41.59918491406874
23	1393.9272	898.2938	3255.077	592.086	3345.9563	293.63297	3480.177	2478.863	427.5	962.2	114999	168.14198	63.047283	276.4676	-89.344666	168.14053	63.129276	266.9827	-85.01407	1.6456816	2.4485795	24.515848	-10.654569	-169.40552	95.25111	61.3096	960.9391160011292	41.77996165856071
