Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	LossQReg	Time	AVG Time Per Epoch
1	55.2401	16.357122	129.12534	26.824656	146.28459	33.37881	213.5179	92.00634	6.0815086	15.8	4999	21.56807	12.993516	62.121944	0.11236302	21.563318	12.996578	62.79188	-0.17205383	0.63064915	1.3080434	5.3108053	-9.804917	-23.333487	10.599481	5.426973	27.704824447631836	27.70482611656189
2	54.79056	16.515469	128.93634	26.783455	340.89557	104.53801	586.777	222.10071	6.0325694	36.7	9999	45.489956	33.892296	133.79929	3.242385	45.489655	33.89588	135.34393	3.768916	1.6263853	1.5779498	6.5517483	-8.587941	-54.61203	13.992353	7.402001	62.2496395111084	31.124820709228516
3	442.2253	212.0792	1193.5719	156.32524	471.03192	149.43669	782.10815	250.52841	47.55238	50.6	14999	85.715385	62.893307	199.83319	-1.6358879	85.71547	62.89023	200.61159	-2.0647593	1.871167	1.6469431	7.687335	-9.318492	-99.59965	53.93035	28.585258	98.02949905395508	32.67650039990743
4	610.4412	282.97733	2167.7114	288.15134	7973.794	2831.2852	9344.969	905.6418	65.5	853.3	19999	124.0651	86.14662	263.96103	0.41387	124.065155	86.139305	266.25772	2.8770728	1.8027645	1.534856	9.41894	-10.007002	-138.95338	35.433506	20.114025	136.36382627487183	34.090957045555115
5	4978.57	3988.3467	9347.971	503.08475	9329.553	0.7164625	9330.667	9328.763	532.8889	1000.0	24999	171.101	108.4119	320.64792	-0.06213057	171.10158	108.40704	321.57867	3.2472425	1.9361577	1.5014092	10.56509	-7.239331	-187.80345	42.228546	24.24934	175.23284029960632	35.04656848907471
6	9338.146	9.504858	9348.518	9322.565	9344.568	0.66741896	9345.395	9343.619	1000.0	1000.0	29999	222.15904	127.14264	367.8221	0.53049505	222.15895	127.13762	368.28482	2.4342737	1.9454055	1.5088792	12.300008	-10.552812	-239.81224	56.9487	32.32558	214.38813972473145	35.731356938680015
7	9340.92	6.309596	9345.492	9328.715	9353.928	0.32007572	9354.386	9353.4375	1000.0	1000.0	34999	267.17026	142.45267	415.70865	0.6107679	267.1709	142.44748	418.17456	-2.1723797	1.9661152	1.5170615	11.820821	-8.751065	-284.79254	65.37874	37.432446	253.87023377418518	36.267176559993196
8	9345.543	2.5965042	9349.132	9341.763	9347.217	0.2890107	9347.687	9346.843	1000.0	1000.0	39999	310.77545	155.35732	470.56015	-0.5690117	310.7749	155.35365	472.788	0.019449055	1.9945438	1.4875344	13.48231	-10.769458	-328.8933	77.80391	44.778687	293.16318011283875	36.64539781212807
9	9333.888	3.205957	9338.787	9328.962	9339.074	0.60835046	9340.116	9338.122	1000.0	1000.0	44999	351.98502	167.29353	527.484	-1.3506966	351.98416	167.29341	519.0156	-1.3984048	1.8933462	1.4821575	11.466624	-8.696631	-371.42313	89.26535	51.31543	332.6490077972412	36.96100110477872
10	9335.607	2.3650382	9338.612	9332.196	9352.472	0.13082257	9352.699	9352.231	1000.0	1000.0	49999	391.41815	176.61429	596.0505	-1.6925706	391.4177	176.6069	602.38306	-5.2407904	1.9100202	1.4618449	27.223259	-7.870654	-410.5359	95.58884	55.01909	372.11367201805115	37.21136741638183
