Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	LossQReg	Time	AVG Time Per Epoch
1	-42.843735	3.858929	-35.760536	-55.5485	-11.77141	4.352078	-4.725887	-19.93408	50.0	50.0	4999	-2.1177263	0.88261724	0.9098979	-6.137857	-2.117927	0.87992024	0.628973	-6.1364064	-0.38650328	0.84024614	2.070263	-9.365722	1.606895	0.26132396	0.1383562	33.058582067489624	33.058584213256836
2	-42.62261	4.1229587	-31.150684	-53.583775	-13.346736	4.984495	-5.833643	-19.153784	50.0	50.0	9999	-4.07142	1.5392601	1.077995	-10.691225	-4.0719643	1.5368819	1.372549	-10.664125	-0.33144483	0.8514568	2.688563	-11.165817	3.582475	0.6133478	0.3479816	72.17521619796753	36.08760917186737
3	-19.34663	4.2718263	-11.280756	-38.278065	-8.133825	2.8088226	-2.5803244	-12.051108	50.0	50.0	14999	-5.0494175	1.9772471	2.476244	-13.386369	-5.0494866	1.9786748	2.268154	-13.680619	-0.22062387	0.89015067	4.693391	-9.708963	4.675727	1.2908609	0.7400855	112.43927812576294	37.47976009051005
4	-17.033237	3.9584339	-9.120765	-35.523403	-8.106192	1.9069085	-5.2057834	-10.85683	50.0	50.0	19999	-5.654661	2.2491326	17.416285	-15.242378	-5.6548014	2.250094	14.469651	-14.815178	-0.08948541	0.9367765	6.836819	-9.841011	5.4129205	1.8114424	1.0395262	152.52220845222473	38.13055258989334
5	-17.805313	5.165829	-8.412403	-30.901121	-12.925329	4.813764	-4.371878	-18.060436	50.0	50.0	24999	-5.9501815	2.5821369	6.4544373	-15.763509	-5.9504476	2.5847719	7.4231677	-15.962139	0.012107743	0.96418965	3.293635	-9.912289	5.790467	2.2304914	1.2803111	193.21563816070557	38.64312801361084
6	-20.078297	3.95986	-10.335635	-28.0615	-13.9201145	0.9828035	-11.652919	-15.258447	50.0	50.0	29999	-6.114534	2.710768	2.0642576	-17.286312	-6.1144457	2.711369	2.812474	-16.90783	0.034850672	0.9677557	4.189016	-8.603922	6.000995	2.4808464	1.4327275	233.53406071662903	38.92234377066294
7	-18.001942	4.1233454	-8.139994	-27.634193	-12.750849	2.571996	-9.190076	-17.76847	50.0	50.0	34999	-6.451991	2.9125102	3.1181319	-18.364092	-6.451838	2.9141362	4.6203856	-19.34321	0.057489272	0.96989435	4.063553	-11.682228	6.3940263	3.0393422	1.7470562	274.1666362285614	39.16666259084429
8	-16.831154	3.4529092	-8.014358	-27.066769	-10.578241	2.540007	-4.404666	-13.803005	50.0	50.0	39999	-6.6907177	3.0465066	7.1002965	-18.687128	-6.691705	3.0446455	8.023514	-19.427301	0.123547286	0.98298335	4.9994354	-9.004623	6.6816936	3.5814493	2.0531454	314.83382511138916	39.35422843694687
9	-14.587635	3.7242718	-7.3990827	-27.392262	-11.361297	3.5372782	-4.147007	-16.262493	50.0	50.0	44999	-6.882187	3.2061636	8.692217	-19.348951	-6.883222	3.2062652	11.402617	-18.88443	0.1760372	0.987625	5.0782638	-9.800056	6.9085	3.8271773	2.2008855	355.72460532188416	39.524956385294594
10	-16.737434	6.3519707	-6.547953	-34.069675	-16.337025	4.2771506	-8.979475	-21.129505	50.0	50.0	49999	-6.8941703	3.3237529	12.242577	-25.035198	-6.894522	3.3263345	12.788791	-19.76211	0.20625345	1.0023215	5.0211444	-9.001287	6.932704	4.041951	2.3219893	396.5865020751953	39.658650398254395
