Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	LossQReg	Time	AVG Time Per Epoch
1	1.8168967	5.5090775	25.438917	-13.719587	273.49893	6.438412	285.22632	262.75638	19.896414	153.4	4999	3.41401	3.134624	17.304504	-3.8700671	3.4135861	3.1342874	17.182648	-3.496054	-1.2712814	2.3811922	8.806467	-14.514419	-5.055943	0.6491769	0.35220084	35.454416275024414	35.454418659210205
2	1.8277739	6.0696487	40.75182	-10.603905	240.54622	11.6039295	258.5362	221.2751	20.341463	137.7	9999	14.561667	7.2757854	45.63602	-14.600362	14.560999	7.2798724	45.93716	-12.502389	0.96691084	3.2619522	21.642096	-14.183195	-17.844309	4.3464813	2.4821346	78.89719271659851	39.44859755039215
3	238.38272	136.24677	704.5827	48.548653	418.3509	190.92812	781.47644	174.95718	173.8	464.8	14999	30.771364	10.946594	62.552555	-19.928982	30.772135	10.942493	64.591286	-19.710907	0.49825525	3.7712452	31.341099	-14.383756	-34.03386	15.975475	9.072727	125.2715060710907	41.7571694056193
4	277.85245	182.9952	645.373	32.91241	-29.907246	7.26632	-19.0151	-47.99919	280.94736	175.8	19999	41.00867	12.092568	75.22781	-17.908112	41.009655	12.079886	79.566124	-35.05199	-0.3766079	3.625132	32.72757	-14.031215	-43.169403	19.801615	11.522549	169.57156348228455	42.392891466617584
5	242.90305	161.14664	590.9707	-6.6007795	350.6309	78.62281	499.50003	247.8615	228.57143	265.5	24999	46.840393	14.12218	85.6063	-25.843128	46.841583	14.112358	85.824356	-25.426992	-0.5651167	3.46538	28.296741	-15.587498	-48.724796	26.68209	15.436266	215.24437141418457	43.04887475967407
6	263.2325	133.06313	743.176	31.857897	188.28905	8.2815075	201.71664	173.59547	201.25926	101.6	29999	52.17615	15.281167	93.402885	-25.090872	52.176167	15.27014	92.62728	-24.996185	-0.46016207	3.3761132	36.125904	-12.962169	-53.76671	33.02133	19.150272	259.8236527442932	43.30394252141317
7	284.97736	146.29062	711.0726	30.873878	282.92368	65.270546	439.88196	215.29738	207.16667	144.9	34999	56.572247	16.70254	98.1169	-25.979738	56.572643	16.697308	100.47854	-27.987848	-0.4898457	3.345706	34.153522	-12.568031	-58.052002	32.404266	18.9742	304.4878673553467	43.49826710564749
8	297.47018	113.605865	484.38733	11.281776	272.89398	15.381672	293.1522	245.59204	191.84616	145.8	39999	60.693268	18.267992	104.81911	-34.647575	60.69387	18.2572	106.53832	-36.784184	-0.4155318	3.4946175	32.68145	-12.216973	-62.08277	34.863274	20.474085	349.6613280773163	43.70766630768776
9	268.92548	77.1165	461.64285	83.48502	346.08325	56.92833	490.30008	280.51218	159.71875	173.3	44999	64.85599	19.967676	111.20852	-30.634369	64.85596	19.960863	112.43465	-50.04493	-0.2469793	3.454434	35.170784	-13.630057	-66.13891	37.79668	22.13244	395.01178455352783	43.89019854863485
10	298.99646	62.289303	479.54785	197.26189	351.52548	23.421486	390.36127	321.7462	171.03448	172.8	49999	68.69397	21.893335	117.6308	-30.2971	68.693726	21.884798	119.26253	-40.293194	-0.0679989	3.4473443	38.07835	-11.913984	-69.92148	44.10725	25.616209	440.3350033760071	44.03350052833557
11	298.7117	89.06525	482.8009	170.0261	304.56204	58.462624	391.57135	212.1403	168.13333	161.1	54999	72.20132	23.729097	131.08247	-29.855953	72.201454	23.721817	130.42601	-35.346622	0.05249753	3.4378958	34.937126	-15.222162	-73.20347	46.78634	27.21035	485.9762842655182	44.17966242270036
12	297.1612	65.023155	456.74084	179.61694	280.45312	77.55014	422.98642	186.01006	156.125	149.1	59999	75.47101	25.425531	134.08853	-41.97124	75.470726	25.418926	132.69786	-40.321186	0.22182183	3.5209413	41.961617	-12.672371	-76.50053	53.065937	30.745226	531.2314682006836	44.269289235273995
13	309.71893	66.93965	511.35123	161.91312	326.95996	51.29347	411.08752	249.46404	158.70967	173.8	64999	78.276184	26.68428	138.73328	-43.199684	78.276405	26.674585	138.48785	-48.063965	0.21009651	3.454246	34.473824	-13.893804	-79.1839	61.12869	35.107056	576.6470987796783	44.35746932029724
14	307.9438	79.18201	485.37457	183.82584	281.78387	53.710743	363.47473	203.69989	161.03226	163.9	69999	80.51116	27.736197	144.43846	-40.03575	80.51139	27.731066	140.6957	-39.099174	0.21783851	3.4021788	35.14026	-13.451466	-81.35493	58.30634	33.7544	622.1693770885468	44.44066997936794
15	311.03488	114.94637	782.56757	178.03117	322.45758	63.139153	475.681	271.04373	171.96552	162.5	74999	82.80052	28.80858	147.28922	-34.85284	82.80002	28.80807	145.4975	-34.458035	0.15691556	3.3748872	36.687202	-13.391325	-83.71786	54.658524	31.783957	667.411951303482	44.494130245844524
16	318.84708	84.722275	504.1709	200.67062	271.70538	39.10426	370.5052	237.02092	164.96774	134.6	79999	84.7215	30.009731	149.43646	-39.817898	84.72137	30.009333	150.29134	-44.812855	0.15136404	3.3671043	33.3415	-12.5017185	-85.59697	53.78345	31.430113	713.0880150794983	44.568001076579094
17	324.04184	85.007866	619.61066	177.78316	427.72626	20.087698	454.70386	393.4976	160.35484	182.5	84999	86.51307	30.921307	151.35168	-39.747887	86.51351	30.918665	148.21652	-35.742653	0.22712976	3.3399467	32.86312	-13.454369	-87.48681	53.894363	31.455412	758.7399337291718	44.63176093381994
18	355.1406	104.03364	670.87665	222.6263	313.41382	49.411392	386.83374	255.51413	176.46428	143.5	89999	87.97652	31.516104	148.07904	-37.726494	87.97578	31.512926	149.34283	-42.47556	0.19699155	3.3538826	34.661545	-12.795307	-88.77109	55.25232	32.28773	803.8878312110901	44.6604352262285
19	353.71713	104.10501	712.3174	240.87672	327.11383	66.06197	447.73022	218.2985	179.96428	169.5	94999	89.37289	31.770086	148.15839	-46.119625	89.37269	31.770828	147.84145	-34.031223	0.14540681	3.3172343	36.42244	-12.510208	-90.107346	53.072826	31.233812	849.8585834503174	44.729399266995884
20	393.57837	112.46257	690.4572	231.22432	322.13992	48.37862	401.37708	240.31317	184.33333	150.7	99999	90.475525	31.865692	147.28014	-42.70965	90.475235	31.860767	147.82355	-45.0938	0.18430719	3.356674	36.506752	-13.07523	-91.09219	51.829266	30.662138	895.7810847759247	44.789054369926454
21	361.66742	84.14966	560.566	249.41637	213.90149	36.376728	322.1228	194.20828	183.22223	108.3	104999	91.36276	32.06134	148.25458	-52.464268	91.36192	32.064526	146.22731	-42.314083	0.12128463	3.3607664	40.294968	-14.106195	-92.06407	51.4231	30.5582	940.6884050369263	44.794686067672004
22	407.38522	116.14348	718.2166	222.09328	561.5124	262.64554	1263.1189	334.4017	192.68	262.4	109999	92.416306	32.159515	150.09924	-47.383167	92.41579	32.157352	147.11435	-41.072666	0.07597205	3.2616713	34.94249	-12.97224	-92.959404	50.762737	30.191553	987.0558965206146	44.86617723378268
