Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageQ3Vals	StdQ3Vals	MaxQ3Vals	MinQ3Vals	LossPi	LossQ	Time	AVG Time Per Epoch
1	-38.0838	76.66148	26.792004	-377.86664	720.24084	18.076933	749.55	690.9467	101.918365	1000.0	4999	-0.59427655	1.7609779	10.761426	-12.85003	-0.59391946	1.7608612	10.695689	-14.855375	-0.5939854	1.7614032	10.568131	-12.715987	-0.27068123	0.36049214	29.024208068847656	29.02420997619629
2	-108.60341	137.4972	24.560612	-351.21854	764.7463	21.854912	785.4865	712.5772	327.8	1000.0	9999	0.89329696	3.3622427	24.452065	-17.140955	0.8938082	3.3623095	24.576797	-17.120928	0.89410067	3.364806	25.70489	-16.727987	-2.8002748	1.2143257	63.5182204246521	31.759111404418945
3	410.96463	273.7259	731.34955	-19.963188	487.13263	311.68115	840.01465	8.935485	724.5714	794.1	14999	3.0779836	4.1626425	33.22324	-20.41507	3.077879	4.1618176	33.96203	-21.494705	3.0776517	4.163551	32.61887	-20.148134	-5.133677	1.7662684	98.06805205345154	32.6893515586853
4	326.6834	279.23615	764.07623	13.992293	815.7365	161.29521	911.0239	345.56842	578.4286	1000.0	19999	4.074063	4.4265065	40.30574	-23.070116	4.0742497	4.426712	39.779724	-22.220182	4.073899	4.4283276	41.146515	-22.768393	-5.705516	2.1992292	133.92307996749878	33.48077046871185
5	808.41486	45.765533	847.79675	721.1911	889.1207	12.256313	906.51764	863.6218	1000.0	1000.0	24999	4.803109	4.7079964	40.82151	-23.86559	4.802909	4.7084675	39.790936	-24.100697	4.8028736	4.708359	40.546387	-23.046774	-6.2432714	1.8772588	169.93133068084717	33.986266708374025
6	688.97046	292.42627	853.79443	36.758118	908.4183	19.072102	928.7018	881.6	839.8333	1000.0	29999	6.127923	5.247365	36.81318	-23.899359	6.128062	5.247466	37.07098	-21.782766	6.128113	5.247628	36.226753	-22.85377	-7.433996	1.5712372	205.9765112400055	34.329419016838074
7	832.44305	17.274511	864.76355	815.0014	881.9919	12.392852	915.4031	869.7931	1000.0	1000.0	34999	7.5850673	5.779317	35.06854	-22.88445	7.585491	5.779086	34.979023	-23.47505	7.585055	5.7796354	36.720776	-23.786366	-8.769615	1.423678	242.0640833377838	34.58058367456709
8	853.743	13.980929	869.7725	831.936	891.29785	21.707941	921.9382	866.50946	1000.0	1000.0	39999	9.256171	6.241402	35.170876	-23.836319	9.256202	6.241334	34.67531	-22.063232	9.2559	6.2418013	35.020885	-23.69574	-10.3566675	1.3654636	278.13793420791626	34.767242074012756
9	882.2174	4.6804714	889.0647	876.3939	927.67004	2.3784676	931.9257	924.3623	1000.0	1000.0	44999	11.055006	6.705194	38.822914	-22.921852	11.055298	6.704778	36.91345	-22.035236	11.054955	6.705232	36.90607	-26.891409	-12.106673	1.3563181	314.39538049697876	34.932820346620346
10	886.0293	11.265857	901.7657	871.4014	903.3832	18.655552	937.31805	857.5292	1000.0	1000.0	49999	12.842354	7.281174	37.15212	-24.762886	12.842448	7.280954	38.41312	-22.467371	12.842085	7.2816367	35.67753	-25.348728	-13.901187	1.4009707	350.52771973609924	35.052772235870364
11	869.86	12.390962	891.351	853.3428	914.23596	17.866367	936.106	881.93134	1000.0	1000.0	54999	14.629062	7.9420767	38.52655	-23.537952	14.629021	7.941844	38.256638	-22.510408	14.628942	7.9419966	37.04627	-24.089151	-15.650724	1.4273964	386.63534665107727	35.148668029091574
12	868.2756	13.29547	889.3756	852.2454	922.6844	6.532639	931.9815	911.8864	1000.0	1000.0	59999	16.298628	8.46631	42.277905	-21.70385	16.298658	8.466105	41.219383	-22.299313	16.298613	8.466339	40.62438	-23.577852	-17.272219	1.4372324	422.9269621372223	35.243913650512695
13	897.9662	4.149628	902.1933	890.02325	903.1403	20.854094	935.87335	857.5734	1000.0	1000.0	64999	17.953348	9.026969	41.881775	-21.693027	17.953466	9.026832	41.164658	-20.717018	17.95322	9.0273695	39.90369	-21.328207	-18.908949	1.4261391	458.9252960681915	35.30194599811848
14	882.47217	9.535294	894.3276	872.2483	945.0088	13.603284	969.39185	926.1593	1000.0	1000.0	69999	19.544788	9.588919	42.73208	-22.608463	19.54471	9.589035	41.306293	-22.271317	19.544767	9.588985	41.579765	-22.69627	-20.481388	1.44601	495.0640985965729	35.361721464565825
15	885.318	8.337576	893.7833	870.2743	936.2733	27.50469	967.7579	878.7026	1000.0	1000.0	74999	21.016085	10.152445	44.806892	-23.569387	21.016174	10.152184	43.442448	-23.90054	21.016035	10.152479	45.254898	-24.667864	-21.930326	1.4852734	531.2374277114868	35.41582864125569
16	892.743	14.93786	911.3367	870.6714	832.5535	362.19336	970.6021	-252.65582	1000.0	1000.0	79999	22.385448	10.601121	41.717896	-26.136415	22.385422	10.600892	42.99822	-24.857458	22.385242	10.601398	43.221806	-25.872774	-23.39193	1.4615233	567.6884067058563	35.48052553832531
17	876.9957	10.241542	892.56067	865.6336	941.00653	48.605057	977.5459	840.97504	1000.0	1000.0	84999	23.67141	10.954217	44.289738	-25.256483	23.671516	10.95435	42.64996	-25.497799	23.671406	10.954505	47.65942	-24.550194	-24.68683	1.4625113	603.9020528793335	35.52365029559416
18	884.53357	13.866199	908.12964	870.1778	951.1782	22.504587	976.1831	907.2215	1000.0	1000.0	89999	24.968304	11.3692	44.95978	-25.595705	24.968433	11.368618	44.764866	-25.563103	24.968184	11.36918	44.636692	-25.047907	-25.956478	1.4399447	640.1128127574921	35.56182305018107
19	895.88947	25.401451	918.64014	846.2864	848.79395	280.70123	975.14764	14.711002	1000.0	902.1	94999	26.403387	11.896332	43.75615	-27.795038	26.403608	11.895882	42.770985	-27.790043	26.403479	11.896322	42.96002	-28.527052	-27.32451	1.4187121	675.4349081516266	35.549205792577645
20	768.05597	258.02216	930.05176	253.1575	936.7212	37.96443	976.8473	873.24963	1000.0	1000.0	99999	27.541899	12.744631	47.869556	-28.963654	27.542019	12.744399	46.354744	-29.061182	27.541864	12.744696	45.94801	-29.6701	-28.458035	1.5193015	711.4129219055176	35.570646214485166
21	889.6325	50.670948	936.56793	798.7851	935.02344	24.804926	949.7816	861.73047	1000.0	1000.0	104999	28.47089	13.391995	46.27597	-30.649712	28.470886	13.391933	47.931797	-30.262302	28.470625	13.392652	47.687218	-30.75872	-29.297789	1.5816863	747.3345439434052	35.587359337579635
22	921.23254	15.126312	940.71497	897.6368	922.217	5.769376	928.6807	910.7744	1000.0	1000.0	109999	29.492325	13.935999	45.554386	-30.88522	29.492235	13.93633	44.649136	-30.74467	29.492058	13.936699	44.44137	-33.393513	-30.396381	1.5875356	783.1954920291901	35.599795178933576
23	782.1298	218.1492	909.0141	347.0229	865.58417	13.188861	891.39386	840.2151	1000.0	1000.0	114999	30.287169	14.9069805	44.567753	-35.850952	30.28726	14.90665	44.92825	-34.505493	30.286955	14.907397	44.55714	-33.357002	-31.173498	1.5913799	819.482666015625	35.62968122440836
24	888.8832	13.654069	906.15717	872.26733	902.82263	28.215324	926.574	834.7943	1000.0	1000.0	119999	31.427418	15.28489	45.829853	-37.244545	31.427488	15.284629	47.124214	-37.049694	31.427176	15.285358	44.952522	-36.01336	-32.355927	1.6614945	855.5299694538116	35.64708214998245
25	924.01337	6.496454	933.74304	916.1079	934.35046	30.56823	980.2729	888.4252	1000.0	1000.0	124999	32.23595	15.418573	45.47354	-40.52966	32.235813	15.418998	44.74729	-40.682816	32.23573	15.419194	45.114212	-41.75144	-33.224987	1.8673913	891.2748854160309	35.65099549293518
26	856.0067	26.262894	903.788	823.328	860.40625	66.79581	954.6819	788.4396	1000.0	1000.0	129999	32.666004	15.512749	45.73288	-39.43792	32.666065	15.512641	47.462135	-39.945843	32.66588	15.513007	46.051167	-39.58561	-33.78658	2.0267968	927.4169704914093	35.669883572138275
27	809.6526	24.481964	847.4814	780.1251	551.0535	143.81982	810.87305	437.2786	1000.0	1000.0	134999	32.80789	15.442144	48.31349	-40.938858	32.808075	15.44198	50.043148	-40.644527	32.808006	15.44238	49.37869	-40.389397	-34.012314	2.3239665	963.3269035816193	35.6787742861995
