Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageQ3Vals	StdQ3Vals	MaxQ3Vals	MinQ3Vals	LossPi	LossQ	Time	AVG Time Per Epoch
1	-248.9302	24.759659	-217.21182	-293.50323	-471.11163	9.755959	-458.1521	-489.72656	1000.0	1000.0	4999	-0.3888645	1.1889695	7.345572	-5.692191	-0.38934785	1.1903851	7.125818	-5.85529	-0.38900042	1.1895264	7.1017666	-6.029727	-0.22256333	0.25937495	20.03946876525879	20.03947114944458
2	-261.03287	83.23538	-148.76555	-407.67947	-599.4958	16.74251	-574.41876	-624.4732	1000.0	1000.0	9999	0.9370537	2.802246	15.188287	-9.412326	0.93712103	2.8023872	15.370947	-9.210463	0.93667513	2.801849	15.924108	-8.965282	-2.0682392	0.7016001	43.96551465988159	21.982758402824402
3	-324.95587	221.20415	22.565815	-565.167	-17.75272	29.093054	39.97117	-51.529705	1000.0	1000.0	14999	1.4348271	4.396695	21.666897	-16.771345	1.434955	4.396977	22.276117	-18.13543	1.434779	4.396748	23.385942	-17.214817	-2.5000267	1.1858125	68.82918000221252	22.943060874938965
4	254.85039	232.87445	618.1753	-61.385143	424.56778	435.84326	939.97614	-86.89358	1000.0	1000.0	19999	0.75998974	5.331828	30.441736	-21.724762	0.7608307	5.332941	34.74498	-23.068085	0.7603887	5.332545	30.747488	-25.03027	-1.7908798	1.1921865	93.76786518096924	23.441966950893402
5	446.16748	124.85529	653.516	309.1075	939.7912	142.17677	1176.5889	657.84515	1000.0	1000.0	24999	2.0386753	6.6248007	42.465435	-18.682236	2.039308	6.6243215	43.094517	-19.613823	2.0391643	6.6247153	41.90214	-21.050964	-3.0685248	1.8295832	118.78608727455139	23.75721788406372
6	1102.0758	327.72134	1732.8702	824.87286	1518.6686	270.28983	1930.126	1161.3828	1000.0	1000.0	29999	4.917004	7.826806	48.876484	-15.829777	4.9168887	7.825198	48.675037	-16.264206	4.9171805	7.8264437	48.237892	-17.239416	-6.0536366	2.934269	143.6619963645935	23.943666458129883
7	1569.4149	215.0871	1934.4387	1286.6545	2291.5703	402.94724	2584.8286	1328.5029	1000.0	1000.0	34999	10.406014	10.671844	62.5619	-16.324665	10.405775	10.670376	64.69729	-18.17531	10.406418	10.670122	62.79692	-18.029434	-11.744365	4.09146	168.67565488815308	24.09652246747698
8	1743.7845	410.02063	2307.8604	1165.6819	1995.5319	432.17398	2542.5657	1301.4875	1000.0	1000.0	39999	16.738161	13.191228	75.6298	-16.359241	16.738379	13.188507	75.23981	-15.930789	16.738691	13.18796	74.661224	-18.278414	-18.17998	5.1039443	193.60028886795044	24.20003640651703
9	2368.3594	551.0995	2807.4802	1390.9177	3042.687	115.11063	3251.242	2843.9883	1000.0	1000.0	44999	23.959066	16.533772	90.89037	-14.109776	23.959064	16.52992	90.26085	-13.976064	23.958263	16.53106	91.35814	-14.954007	-25.451641	6.8524127	218.4491536617279	24.272128423055012
10	2775.975	505.8636	3171.3093	1800.4159	3420.761	129.77858	3668.5925	3245.6743	1000.0	1000.0	49999	32.607014	21.11494	109.97406	-13.754481	32.606544	21.11097	109.51225	-14.771727	32.605644	21.112934	108.62756	-21.942137	-34.22473	9.144411	243.48509550094604	24.348509788513184
11	3470.1187	146.70271	3715.253	3255.0999	3766.1914	101.249435	3954.158	3572.019	1000.0	1000.0	54999	42.366364	26.601906	129.25563	-14.109837	42.36588	26.597641	128.68742	-16.23026	42.365585	26.59943	128.60701	-15.231965	-44.138226	11.53526	268.6567680835724	24.423342748121783
12	3636.7134	461.26202	3899.5474	2715.434	3822.8113	594.7813	4386.202	2201.7349	1000.0	1000.0	59999	53.3889	32.827915	146.2912	-13.442162	53.389446	32.822525	146.09592	-14.182661	53.388756	32.824875	145.1212	-15.16161	-55.28969	14.312722	293.4640357494354	24.45533647139867
13	3487.0972	803.3185	3971.2524	1883.2476	4197.6504	134.87622	4428.2344	3956.8384	1000.0	1000.0	64999	64.6416	38.3208	166.94421	-12.221856	64.64169	38.31569	166.00887	-11.765365	64.64135	38.31731	167.3539	-11.794979	-66.72082	16.982063	318.3785309791565	24.49065637588501
14	4004.1829	126.123276	4207.2266	3853.5457	4364.5723	108.68559	4486.391	4118.199	1000.0	1000.0	69999	76.06559	43.610977	182.95816	-9.893349	76.06647	43.606537	183.93112	-10.238165	76.06571	43.60849	184.34404	-11.229111	-78.06545	20.079798	343.4102461338043	24.52930348260062
15	4303.4062	77.32033	4410.6797	4214.4526	4579.312	82.91485	4703.729	4441.21	1000.0	1000.0	74999	88.10439	48.843094	198.47057	-7.0977793	88.10495	48.83856	196.77446	-7.248945	88.10383	48.84134	197.60582	-8.71672	-90.2834	22.810316	368.35939598083496	24.557293192545572
16	4486.468	58.346916	4576.4434	4406.6387	4699.4736	111.66028	4907.536	4506.7256	1000.0	1000.0	79999	100.082146	53.70439	215.63132	-2.0073462	100.08258	53.700203	215.21207	-2.0893002	100.08279	53.701534	214.25652	-13.223028	-102.14399	25.723034	393.20294761657715	24.575184360146523
17	4425.8857	96.97005	4564.4043	4309.225	4879.2676	88.69083	5055.902	4774.199	1000.0	1000.0	84999	111.943436	57.883366	228.75124	-3.4230921	111.944016	57.878403	227.7925	-2.7534342	111.94295	57.88173	227.32419	-5.36444	-114.15865	27.972004	418.3434913158417	24.60844080588397
18	4670.1416	47.924995	4723.5806	4602.8086	4972.172	117.16339	5152.685	4705.097	1000.0	1000.0	89999	123.59475	61.609615	244.22978	-14.95999	123.59509	61.60502	243.17159	-13.219974	123.5941	61.60832	242.78279	-12.609234	-125.676575	29.610975	443.35652446746826	24.630918118688797
19	4184.323	731.56116	4837.984	2886.8123	5208.1436	114.97785	5409.253	5015.8667	1000.0	1000.0	94999	134.36124	65.16268	255.40773	-13.393015	134.36185	65.15811	254.93388	-13.703968	134.36124	65.16084	254.70267	-14.828531	-136.97209	31.781069	468.2388207912445	24.64414856308385
20	4678.622	63.952293	4747.0454	4577.59	5287.9307	92.66542	5405.7764	5068.16	1000.0	1000.0	99999	144.87454	68.5531	266.17484	-15.730285	144.87502	68.54912	264.92432	-14.562033	144.87425	68.55204	265.3419	-16.968513	-147.18283	33.898544	493.25545930862427	24.66277309656143
21	5005.516	127.78836	5207.37	4854.294	5341.644	85.77281	5502.1304	5177.2603	1000.0	1000.0	104999	155.13232	72.12232	277.45987	-28.95179	155.13275	72.11863	276.5575	-24.264643	155.13211	72.12198	275.91376	-25.951855	-157.5907	35.76547	517.9518103599548	24.664372012728737
22	5059.544	122.90948	5183.5933	4859.4043	5533.6025	78.47512	5655.2354	5399.845	1000.0	1000.0	109999	165.57225	75.287476	298.01944	-36.988415	165.57219	75.28485	297.44574	-31.96927	165.57237	75.28697	296.90814	-32.09104	-168.18492	38.507133	542.7611584663391	24.670961835167624
23	5141.441	135.75616	5392.627	4981.561	5716.9106	83.26744	5852.889	5551.3267	1000.0	1000.0	114999	175.22787	78.805	309.84296	-38.795315	175.22816	78.8013	306.2314	-38.052498	175.22784	78.80436	307.41644	-39.50129	-177.81593	40.083836	567.5553350448608	24.676318997922152
24	4859.0073	522.42365	5297.168	3836.62	5254.8438	134.99945	5470.344	4975.864	1000.0	1000.0	119999	185.23465	81.698235	316.90805	-46.01729	185.23524	81.69568	315.55606	-42.071808	185.23506	81.69796	315.99734	-39.137245	-187.9167	43.00395	592.5588302612305	24.689951330423355
25	5248.148	157.16975	5411.1807	4958.726	5327.87	578.096	5753.774	3649.9937	1000.0	1000.0	124999	193.93793	84.63345	327.10858	-47.128178	193.93822	84.62912	325.46698	-41.309013	193.93806	84.63232	326.2302	-43.395344	-196.21083	45.72328	617.2932736873627	24.69173104286194
26	5326.8447	37.93059	5367.058	5274.183	5929.173	193.02483	6070.15	5376.813	1000.0	1000.0	129999	203.67636	86.87044	334.23477	-61.016945	203.67674	86.8683	331.63254	-58.17409	203.67673	86.870255	333.56735	-57.844604	-206.3257	48.59791	642.3713934421539	24.706592119657078
27	5492.191	120.352684	5621.028	5329.697	5927.8457	64.56791	6069.5967	5830.2056	1000.0	1000.0	134999	212.83829	89.034744	345.86493	-61.194782	212.83885	89.03082	347.7386	-59.878056	212.83896	89.03305	346.23248	-56.827595	-215.825	50.19117	667.2919201850891	24.71451564188357
28	5560.169	139.82265	5734.2183	5362.093	6069.537	98.55488	6197.2324	5908.293	1000.0	1000.0	139999	221.98062	91.24334	357.50208	-63.40886	221.98077	91.23922	358.9361	-58.66047	221.98082	91.24271	357.02747	-56.060867	-224.26572	51.359425	691.9904878139496	24.713946061474935
29	5621.042	131.76468	5781.0137	5474.502	5970.662	56.276485	6047.3755	5846.1157	1000.0	1000.0	144999	230.79185	93.139946	367.8841	-69.297104	230.79106	93.13792	367.78314	-62.946266	230.79147	93.13857	368.26105	-59.79561	-233.10193	52.25592	716.9613018035889	24.722803584460554
30	5727.1045	145.70367	5871.559	5483.0415	6292.183	57.399506	6409.3394	6176.768	1000.0	1000.0	149999	239.69652	94.92339	375.66748	-79.705666	239.69646	94.91967	374.44922	-64.12279	239.69646	94.921165	375.54056	-65.997955	-242.3717	53.12364	741.9016349315643	24.7300545612971
31	5693.3794	52.53191	5784.6187	5623.6406	6247.3506	44.83807	6313.0063	6140.4883	1000.0	1000.0	154999	248.44374	96.39883	385.13998	-73.28228	248.4436	96.39544	383.94107	-79.382454	248.44377	96.397156	381.6239	-72.268776	-251.4365	53.98604	766.8243429660797	24.736269197156354
32	5875.6025	158.69362	6069.397	5670.7314	5922.128	123.576324	6060.769	5648.647	1000.0	1000.0	159999	256.21777	98.358154	393.62418	-76.6451	256.21793	98.35321	393.6593	-66.33351	256.21796	98.35527	391.14603	-73.864914	-259.2153	54.812126	791.6994435787201	24.740607663989067
33	5814.4053	141.81723	6056.2783	5670.122	6544.772	72.9933	6674.698	6399.9404	1000.0	1000.0	164999	264.3334	99.953415	404.4145	-69.6609	264.33356	99.95038	403.22855	-62.98502	264.33368	99.95057	402.2605	-59.757896	-267.03503	56.466812	816.7919919490814	24.751272533879135
34	5781.973	189.6858	5934.556	5418.64	6552.8525	113.02414	6805.587	6416.1494	1000.0	1000.0	169999	271.84283	101.39259	408.8803	-75.68212	271.8433	101.38915	408.13028	-69.17178	271.84314	101.389854	409.62405	-69.04703	-274.50827	56.371956	841.7785098552704	24.75819152242997
35	5823.243	42.88651	5863.361	5759.358	6383.6978	108.28688	6531.8755	6174.6357	1000.0	1000.0	174999	279.09055	102.87007	415.42114	-74.79301	279.09003	102.86782	417.21826	-71.271454	279.0902	102.86828	415.0503	-64.465775	-281.75052	58.135796	866.3754832744598	24.753585290908813
