Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageQ3Vals	StdQ3Vals	MaxQ3Vals	MinQ3Vals	LossPi	LossQ	Time	AVG Time Per Epoch
1	19.541912	18.128098	147.78537	4.219823	38.61892	1.0807744	40.605465	36.858387	23.041475	22.0	4999	3.1616712	2.339484	17.096663	-1.8347917	3.1616678	2.3394816	17.218042	-2.0572116	3.161628	2.339339	17.278992	-2.0585692	-3.8514836	0.1651203	20.47679376602173	20.47679615020752
2	16.503754	15.287618	127.06676	4.14571	39.153816	0.7835319	40.498375	38.361294	21.12288	22.3	9999	11.513763	5.6185637	45.479046	-12.926997	11.513665	5.61737	45.53087	-8.5630665	11.513636	5.614307	44.729633	-8.132437	-13.5043	1.9545357	46.020169496536255	23.010086178779602
3	47.730743	41.94084	206.58862	10.946912	208.50894	1.2975299	209.95282	206.06003	27.486187	108.2	14999	23.35845	9.197611	61.58829	-18.551586	23.358004	9.198396	62.96016	-21.73365	23.358372	9.193317	60.96072	-21.378216	-25.923948	10.081489	72.96972513198853	24.323242664337158
4	188.88986	18.266357	209.32393	104.74359	190.03047	2.4382567	194.19595	186.68544	94.679245	97.8	19999	36.14136	11.651705	70.80912	-37.34453	36.141636	11.655802	74.79093	-40.47654	36.14089	11.650617	71.11117	-33.710407	-39.06667	21.044338	99.75575160980225	24.9389386177063
5	176.43758	9.967112	202.07468	157.27345	164.95506	2.804252	167.78055	159.2456	92.12963	84.1	24999	44.49845	13.616191	80.89406	-47.119854	44.498302	13.622823	81.05415	-45.41833	44.49805	13.616498	79.172554	-39.16173	-47.109947	22.715689	126.60029196739197	25.32005891799927
6	175.5402	11.081927	198.16483	112.679726	192.75008	6.628306	200.9909	178.41542	88.1579	94.5	29999	51.721344	15.003129	82.75777	-36.755367	51.720806	15.007273	85.645584	-33.805183	51.72109	15.003545	84.715706	-39.91836	-54.449562	23.279514	153.5968201160431	25.599470456441242
7	178.91444	12.2689	215.71716	146.2712	177.65067	1.4668279	179.83807	174.58359	94.43396	91.6	34999	57.97711	16.826607	90.43349	-35.375652	57.97667	16.830769	89.25137	-38.247368	57.976685	16.827757	89.85353	-35.12598	-60.38441	23.584684	180.69572591781616	25.813675505774363
8	202.79214	38.540348	281.4762	72.417885	248.76443	3.7525983	254.15334	242.5504	93.66038	104.2	39999	61.057117	19.62266	108.510475	-65.28804	61.057377	19.62301	104.88344	-64.93002	61.057396	19.621662	102.90267	-74.609055	-63.621304	25.5386	208.2012574672699	26.02515748143196
9	271.2129	42.154175	343.7339	156.09428	313.24402	1.8966925	315.68057	310.53088	110.933334	126.2	44999	64.056114	21.781406	108.72498	-59.445774	64.05629	21.785076	122.1748	-60.990635	64.056496	21.782219	109.274414	-47.94995	-66.82042	27.506832	235.2357783317566	26.137308994928997
10	329.27975	16.319576	371.93033	303.50177	305.79507	1.9589372	308.71393	302.25125	131.57895	124.6	49999	68.79872	21.786882	113.524086	-39.55472	68.79913	21.78899	113.11762	-44.17553	68.799446	21.78541	114.02925	-35.59684	-71.573494	27.71635	262.3277018070221	26.23277039527893
11	311.02057	37.521378	330.9566	88.35818	324.11124	2.050255	326.49994	318.79196	129.63158	138.2	54999	73.96329	22.888668	116.9092	-31.292736	73.96415	22.886452	117.63066	-27.038166	73.963615	22.889635	116.707184	-32.284473	-76.71509	27.932056	289.61520075798035	26.32865478775718
12	309.8773	17.561993	365.6145	278.46973	324.3013	3.020222	328.22885	318.41785	131.1282	134.5	59999	78.893	24.491905	118.88427	-34.204945	78.89289	24.490934	119.19736	-40.117672	78.89334	24.491705	118.68656	-39.726696	-81.77858	30.50117	316.9849970340729	26.415416578451794
13	300.3432	11.997137	328.19745	276.64343	269.81262	7.6960163	286.24072	261.29932	128.02563	114.4	64999	83.00215	25.835297	123.8692	-39.43811	83.00242	25.833353	123.47457	-40.52893	83.002525	25.83591	124.85847	-37.983795	-85.8744	30.754957	344.1521644592285	26.47324362167945
14	299.05798	13.786973	320.30624	258.99146	299.13248	17.522997	318.89215	255.67319	128.1282	127.2	69999	87.000404	26.941805	126.8744	-40.63471	87.00126	26.93903	126.4746	-74.02841	87.00171	26.940212	127.93653	-64.37252	-89.60115	31.488728	371.3377797603607	26.52412727900914
15	323.9597	51.37639	456.25217	192.91827	342.25983	3.1829746	347.53723	337.68906	131.07895	132.0	74999	90.055145	28.167276	135.9944	-43.334564	90.055695	28.165394	135.5845	-64.83952	90.0555	28.16615	136.92197	-49.672497	-92.53022	32.06617	398.50898575782776	26.56726582845052
16	319.2631	27.432379	364.87817	259.3031	360.24106	37.89151	391.78745	264.07465	131.23685	138.4	79999	91.976685	29.430674	142.95435	-34.570103	91.976654	29.433397	142.1582	-58.19557	91.97635	29.434671	141.42856	-36.507614	-94.23647	31.246319	425.6493058204651	26.603081732988358
17	351.5464	41.943314	509.68353	253.17786	368.84003	3.6041358	376.69864	363.63666	134.24324	148.5	84999	93.46691	30.536526	173.75102	-56.35664	93.46717	30.53589	165.92455	-48.872128	93.46758	30.536743	171.99715	-57.80481	-95.61628	29.543053	452.96448040008545	26.644969561520746
18	375.1051	36.812134	437.64273	296.4615	415.23917	5.8032665	424.62415	408.1613	139.75	157.2	89999	95.09783	31.30396	182.60428	-40.850513	95.09769	31.30295	182.95457	-43.102203	95.09779	31.301836	180.40971	-40.5705	-97.18052	29.26756	480.43822407722473	26.69101255469852
19	412.66046	26.03396	458.44388	344.6486	431.348	7.1476912	440.3064	414.72458	148.61765	153.5	94999	97.36204	31.927883	193.28918	-40.508663	97.36237	31.928095	190.26756	-54.50692	97.362274	31.929697	192.36256	-55.47874	-99.5555	29.456944	507.70342922210693	26.721233229888114
20	428.6778	30.827154	521.2054	362.54575	446.6683	45.35841	546.7123	407.6755	150.09091	154.7	99999	100.46704	32.67855	223.1714	-50.15333	100.46712	32.67753	211.76794	-56.4458	100.46679	32.677807	213.61525	-54.46337	-102.76529	30.045275	535.1764421463013	26.75882222652435
21	498.07068	59.52284	594.70233	379.6082	415.34644	2.5430713	419.80136	410.3933	161.48387	145.4	104999	105.1367	34.318832	226.86469	-54.81089	105.13698	34.3189	218.93515	-57.369797	105.138245	34.317074	224.64749	-55.09334	-107.66226	32.933136	562.3629570007324	26.77918851943243
22	512.8971	50.65613	649.09283	403.6141	493.3128	14.7137575	520.6124	476.08145	167.46666	174.0	109999	110.03643	36.412773	219.26796	-57.51685	110.036766	36.41096	217.50519	-79.15967	110.0367	36.414318	215.3064	-72.38296	-112.585815	36.178394	589.7259397506714	26.8057246316563
23	476.32004	135.4175	751.06006	308.73926	385.15646	3.9283571	390.0493	378.20135	168.89655	151.0	114999	115.04515	38.753017	227.4042	-53.417694	115.04524	38.75499	225.27748	-57.249027	115.04565	38.755856	228.29042	-62.14272	-117.573784	39.251965	616.9843318462372	26.82540582573932
24	432.0693	157.97043	715.82385	154.96886	467.63092	203.55681	682.1525	195.20213	165.25807	169.8	119999	119.79818	41.62023	228.32372	-52.026653	119.79726	41.62668	229.24904	-60.04192	119.79814	41.62619	228.80443	-81.3388	-122.52864	50.238865	644.3142538070679	26.846427390972774
25	636.79877	241.42049	1053.545	184.08054	498.24677	76.277504	679.55347	432.9233	224.27272	184.4	124999	125.39104	44.386482	232.37578	-59.42943	125.39067	44.390106	233.51837	-48.819965	125.392296	44.386772	232.34612	-53.26251	-128.43855	55.1697	671.5629470348358	26.86251796722412
26	672.21204	184.4845	976.904	346.28693	891.4588	102.51112	1001.6873	737.44006	222.90909	280.4	129999	129.48079	46.34576	236.91574	-56.19025	129.47957	46.349842	235.38164	-56.89424	129.48026	46.351334	236.9486	-66.19131	-132.41364	57.618183	699.2145578861237	26.892867711874153
27	743.1919	162.20279	1266.6056	602.90735	657.277	6.8168926	668.1521	646.14166	235.7619	202.8	134999	132.14684	47.874744	233.38184	-68.16035	132.14696	47.87226	234.04128	-57.32213	132.14714	47.875153	237.34203	-76.49165	-135.29716	57.26463	726.8407661914825	26.92002844810486
28	702.1266	114.81362	922.17584	551.50116	689.9603	26.52555	725.50964	644.3927	216.56522	212.4	139999	134.1709	49.1386	231.2236	-56.578465	134.17056	49.136463	231.29431	-53.33063	134.17133	49.13654	232.71213	-62.74097	-136.85916	60.376675	754.2792747020721	26.9385455931936
29	872.45044	387.47504	2119.9792	346.04895	688.307	12.541755	709.1697	665.61993	270.78946	211.4	144999	136.44614	50.370987	234.86777	-67.36208	136.44586	50.36679	239.08037	-56.360394	136.44664	50.36828	239.00267	-57.32002	-139.48529	57.654026	781.5341835021973	26.949454677516016
