Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageQ3Vals	StdQ3Vals	MaxQ3Vals	MinQ3Vals	LossPi	LossQ	Time	AVG Time Per Epoch
1	54.266018	16.68972	156.51503	26.739868	28.40331	3.2500193	34.945698	26.685272	5.9772725	3.2	4999	19.311514	8.587426	43.463352	-0.26426488	19.31368	8.589229	43.47932	-0.14293483	19.311617	8.590539	43.222572	-0.37816873	-18.42099	3.3778071	19.86634588241577	19.866348028182983
2	55.27455	17.747246	156.82033	26.759766	29.236938	3.732161	35.01659	26.6454	6.0863748	3.3	9999	28.306227	12.757175	59.23439	4.4095855	28.306211	12.762631	60.070633	4.592756	28.306383	12.761235	59.12574	4.448553	-24.833513	4.1125407	44.805418491363525	22.402710556983948
3	29.330421	3.7945364	35.575172	26.630524	28.39774	3.2208033	34.843437	26.652033	3.30251	3.2	14999	26.815905	12.937068	61.22506	5.0139437	26.815804	12.941789	62.229424	5.9292703	26.816124	12.939779	61.20028	6.0552535	-23.393543	4.7518663	71.20896697044373	23.736323197682697
4	29.259998	3.759924	35.57754	26.598112	27.647736	2.4106047	34.878387	26.765896	3.2940013	3.1	19999	24.351728	12.106608	66.667404	5.702963	24.35161	12.10981	67.8954	6.163853	24.351946	12.107588	68.508934	6.3956966	-21.806356	4.647144	97.58560705184937	24.39640235900879
5	29.284798	3.7767034	35.5768	26.605663	28.440851	3.246104	34.98938	26.71799	3.296638	3.2	24999	23.153475	11.621539	71.886154	6.219144	23.153666	11.620837	70.267296	6.6442275	23.153902	11.617903	71.586716	6.34124	-21.099047	4.6249433	123.99347281455994	24.798695135116578
6	29.326248	3.78999	35.59187	26.61988	28.398092	3.2566726	34.93159	26.675724	3.30165	3.2	29999	22.426924	11.196382	74.42787	6.16121	22.426958	11.195898	71.19799	6.4314055	22.427181	11.193369	69.92286	6.2221575	-20.691662	4.312137	150.70283150672913	25.117139021555584
7	29.246534	3.760262	35.68852	26.597858	27.565052	2.436583	34.872044	26.676634	3.2916393	3.1	34999	21.92261	10.896776	68.71649	6.131464	21.922335	10.896375	70.20169	6.754374	21.922663	10.894506	69.21986	6.6429143	-20.340033	4.1887784	177.08650636672974	25.29807264464242
8	29.421404	3.8323822	35.665302	26.578304	26.837683	0.0489159	26.914955	26.730536	3.31279	3.0	39999	21.521732	10.652199	65.49884	5.792276	21.521572	10.652278	66.20857	6.7232985	21.521791	10.650766	67.18573	6.63187	-20.189758	4.1756353	203.40953016281128	25.426191598176956
9	29.389177	3.8209434	35.651894	26.616747	27.616749	2.4587977	34.99051	26.679893	3.3097286	3.1	44999	21.249441	10.455975	63.049847	6.1956553	21.249105	10.456285	63.772858	6.7563853	21.249472	10.454645	63.666786	6.8255134	-19.973864	4.2296534	229.9993233680725	25.555480665630764
10	29.299019	3.7829645	35.49842	26.628473	29.21203	3.6995723	34.88991	26.651827	3.298153	3.3	49999	21.038408	10.283204	62.94592	6.36779	21.038074	10.284501	63.049343	7.042401	21.03842	10.282936	61.526432	6.726717	-19.871992	4.245575	256.68683791160583	25.66868405342102
11	29.279484	3.7702923	35.54613	26.599297	26.796116	0.080540754	26.916265	26.657652	3.295979	3.0	54999	20.840633	10.1504345	62.217342	5.898428	20.84017	10.153773	61.93471	6.993779	20.840626	10.151121	62.815712	6.978068	-19.7727	4.218487	283.22374510765076	25.747613408348776
