Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageQ3Vals	StdQ3Vals	MaxQ3Vals	MinQ3Vals	LossPi	LossQ	Time	AVG Time Per Epoch
1	-42.94488	4.026312	-34.6456	-55.0499	-10.655134	1.7264423	-8.641735	-14.635777	50.0	50.0	4999	-1.8179827	0.60918	-0.040751778	-5.279116	-1.8173572	0.6091099	1.4201127	-5.194369	-1.8173052	0.61117005	0.7041247	-5.2067685	1.1255227	0.12772729	19.86834716796875	19.86834955215454
2	-43.738453	3.70262	-35.535545	-52.876556	-9.5044155	4.5816474	-3.465634	-21.589018	50.0	50.0	9999	-2.9447985	0.89655656	0.16028589	-7.050939	-2.9447706	0.89700115	0.1908128	-7.287808	-2.9447348	0.8979418	0.20109487	-7.0718594	2.2355485	0.20097247	44.5804386138916	22.290220618247986
3	-9.6628	2.8494394	-2.9326973	-19.33538	-9.181077	2.016304	-5.5193715	-12.605838	50.0	50.0	14999	-4.0140805	1.2748545	0.81601703	-10.293487	-4.014078	1.2754722	0.55217296	-10.837798	-4.01388	1.2775958	0.5247046	-10.148514	3.3976781	0.3387675	70.44266891479492	23.480890432993572
4	-10.340855	3.6547544	-2.4001162	-19.318201	-8.079344	3.3287609	-3.4503849	-14.577254	50.0	50.0	19999	-4.754404	1.5453751	1.7145219	-11.518345	-4.754266	1.5459117	2.9806504	-11.405687	-4.754188	1.5476673	1.3121504	-11.656513	4.240211	0.51624334	96.79666686058044	24.199167370796204
5	-9.730172	3.4234605	-3.6011147	-21.919308	-8.545299	3.7383044	-3.6799989	-14.445588	50.0	50.0	24999	-5.425467	1.7267927	1.5616585	-13.245357	-5.4253073	1.7268126	4.75644	-13.500413	-5.4253936	1.7264266	2.0895164	-13.162747	4.9692655	0.7469752	122.93738436698914	24.587477350234984
6	-9.215589	3.8042035	-2.9052186	-25.536741	-7.1532197	3.0629003	-3.0015774	-14.649383	50.0	50.0	29999	-6.072449	1.8971885	5.252436	-14.665506	-6.072326	1.8968359	3.3704066	-14.826989	-6.072403	1.8956692	2.3484373	-14.647585	5.6494174	0.9756262	149.0133147239685	24.835552891095478
7	-9.437701	2.745243	-3.3766031	-19.494764	-7.8532934	2.4953423	-4.6268373	-13.143726	50.0	50.0	34999	-6.5810695	2.0821095	3.377161	-16.146898	-6.58094	2.082481	2.9421618	-15.491905	-6.580875	2.0821514	2.6773965	-15.781575	6.1839995	1.1286472	175.5587878227234	25.079827206475393
8	-10.27999	3.543596	-4.323167	-20.894316	-9.577311	2.962544	-5.223471	-16.130177	50.0	50.0	39999	-6.9558606	2.2435987	4.8841844	-17.660564	-6.9557157	2.2450638	2.719435	-18.099392	-6.9556804	2.2443755	3.0298653	-19.217232	6.576997	1.3300415	201.97028040885925	25.246285378932953
9	-10.228937	2.7482257	-4.058146	-23.013618	-8.309753	2.2867818	-6.0845428	-11.941411	50.0	50.0	44999	-7.200617	2.2968314	2.995965	-19.469498	-7.2005315	2.2984557	3.0925276	-18.880177	-7.200473	2.2971454	3.409586	-18.822317	6.8065033	1.5240514	227.9573473930359	25.3285944196913
10	-10.520177	2.8268976	-3.5828652	-19.060751	-11.976923	1.6524522	-8.878879	-13.340435	50.0	50.0	49999	-7.486767	2.2479713	3.5312016	-19.764135	-7.4867706	2.2496238	3.800622	-19.330194	-7.4867115	2.249183	3.6516974	-20.47168	7.0845404	1.7487168	254.21802639961243	25.421802878379822
11	-10.860734	3.0516346	-3.0368798	-26.260437	-8.588179	2.5259206	-4.455366	-11.810747	50.0	50.0	54999	-7.797572	2.2899256	4.854416	-19.913149	-7.7976036	2.2912385	3.8835077	-19.345417	-7.797484	2.2912874	6.716351	-18.999512	7.428211	1.9316195	280.4539885520935	25.495817336169157
12	-10.283246	3.2264686	-3.0090065	-19.24758	-11.7614	2.7454672	-6.7253113	-17.654362	50.0	50.0	59999	-8.131044	2.3922727	4.1336164	-20.508299	-8.130851	2.3937147	3.6682808	-19.79375	-8.130884	2.394737	6.0283318	-19.52768	7.779328	2.142775	306.6229588985443	25.551913400491078
13	-10.361156	3.808418	-2.769983	-19.864683	-11.064207	3.8732703	-4.0284147	-17.798628	50.0	50.0	64999	-8.434098	2.5104074	4.779363	-20.836058	-8.433996	2.5123377	4.5299315	-20.489586	-8.434109	2.5125804	2.736053	-20.210972	8.083886	2.3463647	332.8103973865509	25.60079998236436
14	-11.355394	5.833088	-2.5874193	-36.86392	-10.464375	4.342788	-6.060672	-20.589317	50.0	50.0	69999	-8.739976	2.57516	16.853464	-22.37466	-8.739489	2.5776038	6.983348	-22.142832	-8.739702	2.57788	5.398931	-21.273575	8.367318	2.5638626	359.0564708709717	25.646890895707266
15	-9.336272	3.5079339	-2.606987	-19.035837	-7.7489595	2.829474	-3.5096402	-12.056462	50.0	50.0	74999	-8.998562	2.6298988	4.6837373	-21.100828	-8.998299	2.6327715	4.7643795	-21.558897	-8.998379	2.6335309	4.7017837	-21.63289	8.625476	2.7867568	385.0913474559784	25.672756656010947
16	-10.124492	4.709614	-3.0149734	-40.850048	-8.139581	2.01483	-2.737162	-9.86332	50.0	50.0	79999	-9.21222	2.706039	9.83684	-21.200596	-9.211979	2.709131	6.428832	-22.221933	-9.212009	2.7082846	5.9310923	-21.295992	8.824072	3.0185962	411.3347017765045	25.708418995141983
17	-10.0943575	4.7020826	-2.2286453	-31.724129	-10.256468	4.5968843	-5.6556497	-22.476646	50.0	50.0	84999	-9.422983	2.7703173	5.508039	-21.181387	-9.42291	2.7712405	4.6757865	-21.70239	-9.422752	2.7721236	4.0722456	-22.029745	9.036438	3.2397442	437.70081996917725	25.74710718323203
18	-9.856292	3.0296445	-2.645347	-20.021524	-9.9070635	4.0120845	-6.091479	-18.554464	50.0	50.0	89999	-9.639663	2.861096	8.55974	-23.1977	-9.639704	2.8615663	6.700397	-23.27397	-9.639546	2.861142	5.6237626	-23.374945	9.250099	3.4506993	464.084947347641	25.782497180832756
19	-9.799822	3.484157	-3.627479	-21.095095	-6.111249	2.613666	-2.5250876	-10.576311	50.0	50.0	94999	-9.870901	2.9449015	11.644375	-24.229553	-9.871013	2.945943	8.218402	-24.674463	-9.871252	2.9459722	5.9901333	-25.578392	9.47473	3.7707531	490.09918880462646	25.794694247998688
