Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageQ3Vals	StdQ3Vals	MaxQ3Vals	MinQ3Vals	LossPi	LossQ	Time	AVG Time Per Epoch
1	2.0065212	5.6312876	32.558685	-8.486156	95.71549	21.547852	129.3361	55.777683	20.791666	209.5	4999	1.8271453	2.5671577	15.292517	-3.694452	1.8273197	2.567119	14.896611	-3.747081	1.82724	2.5681634	14.476965	-3.3187945	-3.639355	0.29311588	20.794689655303955	20.794691562652588
2	2.2578268	5.6641192	29.174458	-6.9058814	74.98004	23.809145	131.6916	50.31563	20.640495	188.2	9999	12.063556	6.1843476	38.241653	-7.164506	12.06339	6.1825495	38.246136	-6.7688375	12.063464	6.183315	38.60496	-8.050753	-15.832259	1.931784	46.85506510734558	23.427533745765686
3	63.41186	56.59372	160.68169	-90.19368	-18.70856	9.222401	-4.520983	-37.711166	177.21428	105.9	14999	21.88786	7.7223206	58.53295	-16.445211	21.887901	7.7202077	57.060387	-14.497075	21.8879	7.7194595	58.571964	-14.763955	-24.860802	3.9715652	73.86178779602051	24.620596567789715
4	4.0078864	21.269758	367.29443	-48.58761	3.8483472	0.33320642	4.4011583	3.4955852	16.160257	12.3	19999	24.304094	11.459455	69.12329	-29.066835	24.303894	11.458224	70.29196	-31.565895	24.30395	11.457095	67.99847	-28.519766	-26.401539	10.375511	100.04079008102417	25.010198175907135
5	23.123774	68.112434	388.46762	-13.385145	74.04405	29.364553	126.13107	35.948864	31.813334	140.4	24999	24.628212	13.856681	70.31554	-35.70183	24.628448	13.8553295	71.47868	-36.764416	24.62819	13.85666	71.25897	-37.65666	-27.578966	13.156179	126.77123284339905	25.354247045516967
6	184.65678	172.56302	476.21906	-46.862823	312.68353	43.763588	380.37723	259.90488	174.72414	168.5	29999	30.767752	12.885575	83.52255	-41.321987	30.767715	12.88788	80.40523	-39.65933	30.768	12.885886	84.67375	-40.54909	-33.90464	11.025127	153.56922030448914	25.594870448112488
7	344.77588	150.09232	671.90076	26.0081	512.12256	395.67584	987.9426	98.657845	241.80952	533.9	34999	36.67988	14.393005	94.53236	-32.800068	36.679855	14.394923	93.50377	-34.75537	36.68011	14.392594	97.0105	-35.764114	-40.333496	14.660991	182.00009202957153	26.00001338550023
8	413.7613	176.1962	974.19916	242.86267	340.57285	41.40133	444.59378	291.73422	288.35294	179.9	39999	41.669	16.84088	106.8987	-44.81493	41.668858	16.839252	105.23596	-43.992897	41.669212	16.840332	106.417854	-46.340366	-45.47792	19.395351	209.00750041007996	26.125937789678574
9	359.18933	111.980064	541.8682	35.97685	327.05386	25.881708	388.836	296.89398	207.0	151.5	44999	46.94331	18.502024	107.97023	-67.34012	46.94345	18.492208	106.119286	-65.52775	46.94389	18.496775	105.58631	-68.94199	-50.771965	20.326475	235.71104073524475	26.190115849177044
10	310.82584	82.10772	636.6079	163.66565	375.03064	157.30806	822.7866	203.43398	166.96774	216.7	49999	52.571487	19.824104	111.93628	-70.97089	52.57105	19.819437	110.25615	-73.632416	52.571785	19.822983	108.15026	-74.93436	-56.325493	22.680859	262.6915111541748	26.269151282310485
