Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	Time Steps	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AVG Time Per Epoch
0	-82.46843	154.89948	19.310537	-594.13556	141.34285	-0.020313354	0.13467851	0.4124636	-0.48339868	5000	-4.2033196e-08	2069.2146	-0.077408284	-1423.6882	0.91894025	0.023774333	0.3592	79.0	8.388210535049438	8.388212203979492
1	-100.93747	161.78293	9.51995	-564.0529	190.11539	-28.130068	1.1330562	20.24001	-28.335327	10000	-7.906556e-09	560.615	-0.08248309	-137.07849	0.90323114	0.032849453	0.363	79.0	17.121183156967163	8.560592651367188
2	-61.919216	115.36802	23.123507	-481.9173	134.64865	-36.90827	5.0113926	37.032055	-37.85422	15000	-2.142191e-08	452.50214	-0.0868355	-94.431915	0.88666993	0.03732275	0.3788	79.0	25.62483525276184	8.541612386703491
3	-82.614365	135.33487	3.531918	-498.49228	182.85185	-29.224415	7.548422	25.376005	-34.272243	20000	-1.3744831e-08	308.95193	-0.08467176	-91.01436	0.8760546	0.027377747	0.382	79.0	34.32311201095581	8.580778419971466
4	-54.24485	96.40046	4.849791	-459.64056	128.25	-29.732756	10.080722	13.425605	-40.01585	25000	-1.5632622e-08	372.06332	-0.08813971	-86.37726	0.8643287	0.029267993	0.3996	79.0	42.719101667404175	8.543820714950561
5	-50.679543	89.8633	32.22848	-409.35037	139.6	-28.195412	8.440137	11.141256	-39.58612	30000	5.4456293e-09	247.72647	-0.09287878	-92.4393	0.8514384	0.031668346	0.3942	79.0	51.39607501029968	8.566012779871622
6	-61.92266	81.736275	6.0182495	-389.52554	158.64516	-24.723106	10.234035	20.877958	-39.79004	35000	-3.2782554e-09	227.99695	-0.09654903	-64.648865	0.8415793	0.03164218	0.4326	79.0	59.530587673187256	8.50437000819615
7	-41.455265	81.57913	9.633838	-433.89807	140.54546	-24.333557	10.738985	17.835115	-40.461075	40000	4.9591065e-09	311.8397	-0.096294135	-118.55989	0.82783085	0.029765489	0.4234	79.0	67.70570683479309	8.463213622570038
8	-79.10566	109.96154	6.2412868	-375.39072	224.81818	-24.981337	10.18742	24.93796	-40.84268	45000	-3.813207e-09	168.2389	-0.095626585	-61.813408	0.8180958	0.033590052	0.4372	79.0	76.27638792991638	8.47515442636278
9	-40.906643	76.59241	12.819371	-335.47345	136.80646	-25.63045	7.95549	3.026712	-39.12932	50000	-1.9311905e-09	255.2873	-0.098914966	-121.80113	0.80699223	0.03258132	0.4374	79.0	85.16883301734924	8.516883516311646
10	-41.917286	77.780106	38.278942	-264.00366	199.2381	-18.62662	12.582362	25.345648	-36.73922	55000	1.4084578e-08	228.87595	-0.099773414	-116.27021	0.79194134	0.018118577	0.4322	79.0	93.55500841140747	8.505000938068736
11	-47.23039	69.74599	47.860767	-249.47083	156.42308	-18.749187	9.190074	15.59772	-35.72386	60000	4.6938657e-09	308.59244	-0.10141051	-92.076584	0.7788525	0.024883954	0.446	79.0	101.71420168876648	8.476183672746023
12	-68.73534	90.73371	27.564089	-296.76218	270.46667	-21.905643	7.935493	13.290121	-35.67553	65000	-4.076958e-09	167.3553	-0.09894154	-64.94003	0.7675559	0.0306467	0.4534	79.0	110.18499565124512	8.47576904296875
13	-34.908123	74.431755	105.78544	-255.40916	210.7619	-18.429216	7.1168933	16.355822	-33.288185	70000	1.6081891e-08	249.73997	-0.100495845	-120.130905	0.75649935	0.04322123	0.4678	79.0	118.80369663238525	8.485978484153748
14	-35.03311	53.64842	13.798666	-166.53043	233.10527	-18.158087	8.227805	19.472382	-29.179024	75000	3.4809113e-09	101.62595	-0.10136357	-57.512043	0.74458045	0.029694833	0.4696	79.0	127.26520848274231	8.484347375233968
15	-30.126238	62.968403	42.877064	-161.7657	303.8125	-11.712911	7.040871	19.08384	-22.03385	80000	-3.080368e-08	166.7286	-0.10187776	-74.271454	0.73131895	0.027806632	0.488	79.0	135.5061490535736	8.469134479761124
16	-15.632836	50.8753	48.121384	-139.47563	260.3684	-9.733935	8.138721	21.59766	-21.914125	85000	-6.7949296e-10	138.84694	-0.09966457	-51.133865	0.7222783	0.032314695	0.4684	79.0	143.85971426963806	8.462336259729723
17	-25.08948	42.17575	38.372406	-137.80286	174.23077	-5.866829	6.6378093	22.932695	-17.62457	90000	1.3765693e-08	192.92567	-0.10519285	-83.492386	0.7069415	0.028815687	0.486	79.0	152.78643345832825	8.48813529809316
18	-18.836346	37.439926	36.506123	-146.72374	172.92308	-9.807547	5.887194	27.250578	-23.15948	95000	-2.1064281e-08	148.15236	-0.10691062	-48.019394	0.69462043	0.028095294	0.4998	79.0	161.07003211975098	8.477370224500957
19	-10.779293	35.588013	38.54522	-179.9409	153.90323	-7.152881	6.3377075	20.524715	-24.31781	100000	-3.8981436e-09	173.29578	-0.11045852	-53.672417	0.68560994	0.034692947	0.5256	79.0	169.45870900154114	8.472935593128204
