Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	Time Steps	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AVG Time Per Epoch
0	-384.8236	33.5878	-333.96652	-438.85202	1000.0	0.062347595	0.26476368	0.77112454	-0.6433826	5000	-2.0623206e-08	1413.1508	-0.086160615	-1119.8812	0.9189437	0.015528781	0.3596	79.0	6.959714889526367	6.959716320037842
1	-327.89987	23.331661	-286.9078	-354.01605	1000.0	-28.304878	1.8232131	-3.3127701	-29.738108	10000	-1.5133619e-08	156.19203	-0.08801485	-22.532867	0.90816057	0.030225638	0.3762	79.0	13.439465761184692	6.719733953475952
2	-339.68582	75.375946	-223.23471	-457.56372	1000.0	-32.28759	2.3745944	-4.0606785	-33.754467	15000	-5.3260476e-09	209.47755	-0.088396534	-20.300735	0.89827335	0.030134259	0.3732	79.0	19.888652563095093	6.629551649093628
3	-293.7757	60.99402	-218.82794	-376.66727	1000.0	-32.87118	4.327772	7.808754	-35.76391	20000	-4.36306e-09	175.64638	-0.09237618	-38.541718	0.889721	0.026285974	0.3972	79.0	26.2894229888916	6.572356224060059
4	-286.5481	73.862656	-171.37018	-372.7518	1000.0	-26.95853	8.916995	31.561426	-33.248608	25000	1.6391277e-11	216.707	-0.089795426	-64.77434	0.88024503	0.025179537	0.376	79.0	32.91636371612549	6.583273124694824
5	-245.5055	62.885376	-186.45065	-364.679	1000.0	-27.34685	4.4517293	4.871292	-32.566803	30000	6.788969e-09	172.02338	-0.09633721	-25.9962	0.8744396	0.03336217	0.409	79.0	39.591917753219604	6.598653316497803
6	-200.27737	60.441093	-115.69496	-304.02823	1000.0	-24.335928	4.1257377	3.6045647	-31.39124	35000	5.00679e-09	187.4485	-0.096751355	-27.914383	0.8649606	0.030848853	0.423	79.0	45.911625623703	6.558803933007376
7	-215.67053	92.85292	-90.48322	-364.71368	1000.0	-21.110916	5.0295305	7.7022796	-30.625662	40000	3.4332275e-09	198.7376	-0.0981452	-24.663467	0.8590318	0.033605747	0.4314	79.0	52.58910059928894	6.573637783527374
8	-170.99747	65.96865	-79.819626	-282.22137	1000.0	-20.85453	6.2653947	20.65099	-31.403713	45000	2.2649765e-10	194.2651	-0.099031344	-37.79103	0.85044396	0.037514143	0.4318	79.0	59.15717387199402	6.573019531038073
9	-184.25388	44.561817	-127.91506	-231.11012	1000.0	-17.399157	5.296357	5.7557974	-30.122967	50000	1.7756223e-08	199.2083	-0.10283936	-35.458008	0.83751595	0.033756975	0.4434	79.0	66.01051211357117	6.60105140209198
10	-140.50171	62.298336	-70.93186	-243.68991	1000.0	-18.979185	6.74869	16.649113	-31.43127	55000	-9.116531e-09	197.7766	-0.103278324	-57.65715	0.82601994	0.037583757	0.4654	79.0	72.32447910308838	6.574952840805054
11	-111.96804	40.269207	-62.93466	-184.67702	1000.0	-18.175323	6.7567177	10.821946	-30.563438	60000	1.2516975e-10	143.804	-0.10294552	-64.1141	0.8150806	0.03428572	0.4572	79.0	78.57016563415527	6.547513961791992
12	-109.07094	44.478123	-49.757282	-186.68181	1000.0	-10.769736	4.5932293	15.573627	-28.008854	65000	1.5556813e-08	125.62285	-0.10672744	-19.902458	0.8022966	0.030359704	0.4582	79.0	84.99192762374878	6.537840769841121
13	-130.87149	63.396545	-78.227905	-255.11833	1000.0	-11.836867	5.7011614	11.787002	-28.128792	70000	2.3436547e-08	145.38658	-0.10366339	-26.238647	0.79276323	0.030054595	0.4624	79.0	91.21995115280151	6.515710915837969
14	-82.77879	30.526094	-23.545065	-108.61515	1000.0	-13.209124	5.196846	11.051431	-28.016558	75000	-6.7949295e-09	117.64168	-0.10813609	-43.80517	0.7825322	0.03331563	0.4714	79.0	98.07473683357239	6.538315916061402
15	-63.816944	51.566948	-22.342447	-158.33588	1000.0	-8.032289	5.8263206	9.238956	-24.939676	80000	-8.434057e-09	85.38601	-0.10893256	-17.702759	0.7760615	0.035713065	0.471	79.0	104.77845335006714	6.548653468489647
16	-69.36161	53.68029	4.7971525	-137.00598	1000.0	-8.434909	6.505455	18.319162	-23.673937	85000	1.3613701e-08	105.3217	-0.107138515	-17.666153	0.76664376	0.03251081	0.4694	79.0	111.1977071762085	6.5410417107974785
17	-84.23088	21.20621	-49.197357	-106.180435	1000.0	-6.072628	6.135979	17.98979	-23.617075	90000	1.5507638e-08	131.98805	-0.104979485	-27.301239	0.7566127	0.03115228	0.4682	79.0	117.70766758918762	6.539314972029792
18	-45.705963	59.926064	45.507595	-130.6694	1000.0	-7.5584908	5.5189443	15.239608	-21.665728	95000	1.360178e-08	121.66065	-0.10967575	-29.583542	0.74902433	0.027646702	0.4778	79.0	124.67691898345947	6.561943229876067
19	-64.818016	56.12351	-3.3196673	-162.49191	1000.0	-7.042647	6.775352	16.876362	-22.70057	100000	1.7654896e-08	89.90899	-0.10447168	-13.6718445	0.7378106	0.024575213	0.4736	79.0	131.3723316192627	6.568616712093354
20	-55.31048	104.14803	113.22103	-197.12453	1000.0	-8.216164	7.3806705	16.929478	-25.033524	105000	-9.10163e-09	125.60041	-0.11020939	-36.86377	0.7265522	0.039193172	0.511	79.0	137.94271612167358	6.568700835818336
21	-34.194294	50.637726	44.9244	-90.296	1000.0	-1.322529	8.952845	25.706434	-24.341074	110000	-1.3381243e-08	127.27587	-0.11013352	-29.720818	0.7182318	0.03238912	0.494	79.0	144.59254002571106	6.572388291358948
22	1.7808723	47.388565	50.68545	-61.26444	1000.0	-4.625354	9.416997	22.43769	-25.169016	115000	5.6564806e-09	102.29251	-0.10732194	-40.665947	0.7078414	0.028392877	0.4826	79.0	151.11130237579346	6.570056739060775
23	-0.53822786	81.09376	123.44119	-110.10653	1000.0	-0.4332241	6.202557	17.8159	-16.265352	120000	3.6001206e-09	138.69562	-0.112333864	-31.278915	0.69856906	0.028606012	0.5114	79.0	157.65873050689697	6.569113840659459
24	-40.177666	62.534885	3.3415499	-163.0675	1000.0	-4.470726	10.391765	21.075794	-27.557056	125000	-4.4107438e-09	76.6576	-0.11626669	-27.527752	0.687918	0.039121624	0.523	79.0	164.25081539154053	6.570032691955566
25	-27.572392	34.966072	8.302495	-90.69079	1000.0	-3.4518957	5.450026	18.572271	-18.052067	130000	3.4451484e-09	63.35867	-0.10921901	-13.755726	0.6747386	0.025959048	0.4994	79.0	170.7215187549591	6.566212333165682
26	56.625732	45.298645	108.6557	-1.3713518	1000.0	-0.2009643	5.779082	18.511044	-25.52822	135000	4.9591065e-09	94.117256	-0.11454709	-41.8369	0.6644161	0.036295936	0.507	79.0	177.00494122505188	6.55573864336367
27	72.66969	44.228912	138.90456	9.0237055	1000.0	4.6745152	7.716763	27.203386	-12.667391	140000	1.5294551e-08	102.82645	-0.11429907	-33.940582	0.6562236	0.030959018	0.5198	79.0	183.45783138275146	6.552065474646432
28	71.63512	66.29177	196.78307	-1.0055515	1000.0	6.917642	9.442195	32.43262	-16.314913	145000	2.1093339e-08	90.63102	-0.116358064	-20.89309	0.64431536	0.032589998	0.5322	79.0	189.93625950813293	6.549526255706261
29	15.342606	102.87972	132.06631	-139.36221	1000.0	-0.63962096	13.428132	29.863884	-30.832731	150000	-1.2159348e-09	75.36958	-0.11228738	-27.374466	0.6350704	0.03241859	0.5326	79.0	196.56479024887085	6.552159730593363
30	37.543987	50.73869	98.34355	-47.75024	1000.0	6.2812743	7.643991	25.95685	-14.752397	155000	1.6702712e-08	99.26687	-0.1102161	-26.572876	0.62172174	0.024204614	0.5042	79.0	203.17823576927185	6.554136699245822
31	55.46991	33.772335	89.997795	13.447979	1000.0	4.670048	7.870537	26.901382	-11.249537	160000	1.2618304e-08	73.742325	-0.11311577	-20.196545	0.61367106	0.029556207	0.5142	79.0	209.79628157615662	6.55613386631012
32	123.60951	41.508766	156.89569	45.138496	1000.0	6.510538	7.967453	27.188808	-11.405119	165000	1.1265278e-08	152.34496	-0.11735423	-74.39283	0.6015714	0.040702008	0.5484	79.0	216.69415593147278	6.566489638704242
33	106.51833	68.407486	227.21684	24.029305	1000.0	9.353786	11.794946	36.79996	-14.489188	170000	-1.2290478e-08	104.252556	-0.11072906	-31.041084	0.58985776	0.034725334	0.5252	79.0	223.09282565116882	6.561553744708791
