Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	Time Steps	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AVG Time Per Epoch
0	18.992746	20.532146	214.17017	4.48647	19.07252	-0.019166183	0.110218614	0.33401084	-0.4270489	5000	1.5878678e-08	595.33167	-0.029145835	-266.49252	0.9189431	0.014514194	0.2438	79.0	5.055898666381836	5.05590033531189
1	40.215645	45.817867	258.09155	4.294284	31.967949	16.052519	6.3295317	22.325699	-13.689543	10000	1.1324882e-09	1232.8645	-0.031467818	-356.2577	0.91140515	0.0146382125	0.2378	79.0	9.851966857910156	4.925984263420105
2	74.35709	71.89244	260.62607	6.4579144	47.219048	34.63157	10.927447	44.26914	-5.264871	15000	2.7883052e-08	1835.9246	-0.030941209	-471.93225	0.904397	0.014053328	0.2096	79.0	14.632757425308228	4.877586364746094
3	137.163	79.8786	248.5808	10.379701	71.31884	54.25981	11.684293	63.157738	0.28510326	20000	1.0761618e-08	1904.9772	-0.026574166	-661.25256	0.8948243	0.011369547	0.1594	79.0	19.425697088241577	4.8564247488975525
4	171.31766	61.80216	238.41754	14.9193	82.35	73.95545	18.603176	86.543106	-14.626568	25000	4.2915342e-09	1099.3344	-0.023104314	-240.28345	0.8799973	0.011042898	0.1606	79.0	24.103119373321533	4.820624256134034
5	202.60146	47.02204	260.57007	39.18826	93.37736	77.554276	27.22048	100.091995	-4.1910763	30000	-1.4400483e-08	733.6083	-0.023179248	-241.48776	0.87550795	0.010939767	0.1506	79.0	28.588014125823975	4.764669378598531
6	215.27386	33.045242	246.24213	32.45517	97.117645	86.896805	32.90331	114.60519	-11.210093	35000	5.64456e-09	265.49988	-0.020155119	-90.00525	0.87612695	0.010943858	0.161	79.0	33.264729261398315	4.752104418618338
7	221.06776	13.855029	242.06842	159.75282	98.0	91.35319	37.202385	124.427475	-4.0489116	40000	2.3674964e-08	86.210335	-0.017349625	-25.670029	0.8613306	0.010703679	0.1474	79.0	37.709962368011475	4.713745504617691
8	224.77176	7.421726	237.07973	209.84021	98.9	94.11448	38.007877	129.3041	-0.074977845	45000	1.8686055e-08	25.396128	-0.021240469	-11.847933	0.8511098	0.010353273	0.139	79.0	42.15788292884827	4.6842094262441
9	229.5196	24.467852	253.99678	82.9371	101.77551	95.72897	39.153336	132.18752	-1.3614441	50000	5.622208e-09	133.43645	-0.019240245	-17.484482	0.8429034	0.012878346	0.1976	79.0	46.49339437484741	4.649339628219605
10	231.05756	23.039837	261.47827	127.40171	101.81633	96.703186	39.115406	133.74052	-3.2696445	55000	7.5936315e-09	155.60645	-0.021395154	-23.67009	0.8477995	0.009938523	0.173	79.0	51.38471865653992	4.671338233080777
11	247.85144	19.237375	296.07938	213.77812	106.71739	96.23666	39.496223	135.04282	-16.951311	60000	9.864569e-10	156.29478	-0.022878695	-76.802734	0.83041453	0.010051873	0.1386	79.0	55.969871044158936	4.664156059424083
12	264.5983	19.667858	312.06348	233.31679	111.40909	102.97288	40.050346	140.06734	-1.8544527	65000	3.5589935e-08	161.12343	-0.027524969	-71.52683	0.81911576	0.017465744	0.1904	79.0	60.56798815727234	4.659076140477107
13	280.28397	21.46399	335.77197	233.03918	115.976746	107.51885	42.92107	146.49109	-32.274757	70000	-5.7339666e-09	153.07343	-0.028406166	-64.004616	0.8014412	0.01663461	0.1734	79.0	65.150465965271	4.653604865074158
14	289.91968	52.13432	331.82565	66.041275	117.21429	113.94725	43.250748	152.305	-3.4478123	75000	-3.185272e-08	383.01492	-0.0199303	-68.6355	0.7841522	0.015043648	0.2004	79.0	69.7900960445404	4.652673180898031
15	305.95792	39.952236	338.25806	143.96593	122.875	119.082085	44.44909	154.72581	-1.7509886	80000	-3.2007694e-09	332.25064	-0.019756254	-54.084076	0.7595635	0.016215999	0.1976	79.0	74.46080327033997	4.653800323605537
16	309.08432	47.193897	353.62564	71.1763	124.175	122.17342	46.6485	161.2641	-8.2407	85000	8.52868e-09	332.92038	-0.02100318	-40.754486	0.7536329	0.014007599	0.1748	79.0	79.61035656929016	4.68296230540556
17	321.44797	41.807335	352.36157	78.60893	127.051285	122.9475	47.706615	162.89503	-5.4511824	90000	-1.46836046e-08	222.27084	-0.020195745	-41.483353	0.7313406	0.015071749	0.1624	79.0	84.21693420410156	4.678718712594774
18	341.49905	17.833006	398.193	306.64743	132.97298	125.63027	49.874775	168.29514	1.5274434	95000	1.0062382e-08	111.31191	-0.025661603	-62.227642	0.7236531	0.012664792	0.1502	79.0	88.76421880722046	4.671801077692132
19	354.71173	17.370663	394.10397	328.86063	135.83333	131.15303	51.898933	174.34917	-0.34618562	100000	-1.5363097e-08	77.5788	-0.024617905	-33.62527	0.7026548	0.01285199	0.1578	79.0	93.3159430027008	4.665797245502472
20	353.91364	51.851685	405.39078	66.24906	135.63889	137.26318	52.291172	179.20529	-1.932983	105000	-2.5715678e-09	291.84238	-0.019272283	-66.23927	0.68203324	0.017182674	0.1462	79.0	97.8492157459259	4.6594865549178355
21	382.95267	19.393013	415.7532	341.5503	144.05882	135.22993	52.038	179.62634	0.09092611	110000	3.5583974e-09	191.74101	-0.025170276	-141.38702	0.6855834	0.019986872	0.193	79.0	102.66094756126404	4.666406837376681
22	401.59573	45.012726	594.8227	312.85648	146.94118	142.94215	54.032215	188.15288	-5.7493057	115000	6.711483e-09	299.66934	-0.02425125	-138.65742	0.6742146	0.015504477	0.1866	79.0	108.02571940422058	4.696770502173382
23	402.24326	27.058304	456.35373	315.83728	146.64706	149.76328	56.81023	196.62834	1.5864855	120000	3.4153462e-09	132.36792	-0.02409603	-25.34967	0.6586513	0.0143816555	0.184	79.0	112.90098571777344	4.704207807779312
24	413.18808	46.860916	587.97986	363.403	150.06061	151.30017	55.78029	197.41248	-2.9399734	125000	-7.119775e-09	196.4676	-0.022751248	-45.241516	0.6375492	0.011327003	0.1542	79.0	117.4273796081543	4.69709529876709
25	470.3187	56.780094	616.97107	410.23325	164.26666	157.30502	54.19461	201.15749	3.3651369	130000	-2.7179718e-08	378.15286	-0.022834618	-215.82278	0.6237412	0.018468939	0.17	79.0	122.20421147346497	4.700162053108215
26	498.18628	81.62949	682.1419	409.84598	172.07143	170.56586	58.769577	216.26982	3.1424658	135000	-3.5166742e-10	291.6031	-0.022774346	-94.37727	0.60877794	0.01563493	0.1502	79.0	126.66197180747986	4.691184211660315
27	530.93365	107.74147	802.25323	416.66025	181.96297	177.93573	61.503345	227.48161	2.5730853	140000	1.6510487e-08	269.09772	-0.025293155	-62.1131	0.59689295	0.017777978	0.1902	79.0	131.2834484577179	4.688694638865335
28	612.0971	199.95067	1184.5691	367.60397	206.45833	192.38515	59.184193	237.6403	3.9450948	145000	-1.9574165e-08	1510.8763	-0.020722274	-332.3451	0.5877148	0.008116457	0.1744	79.0	136.02272129058838	4.690438730963345
29	744.7829	272.8085	1591.787	365.19315	247.7	205.87128	58.501934	248.91473	-1.3513842	150000	1.9317865e-08	1791.947	-0.02398213	-505.5183	0.5729261	0.01865883	0.197	79.0	141.01288080215454	4.7004294157028195
30	659.99805	217.97394	1252.2524	315.40347	224.77272	214.2722	61.459347	264.80798	3.7780566	155000	6.8902968e-09	3343.7646	-0.022199847	-1430.9294	0.56356233	0.006469747	0.1702	79.0	145.8126392364502	4.703633585283833
31	769.2244	252.00931	1490.7948	354.59998	258.42105	204.6446	55.069405	262.07443	7.979738	160000	-5.3822995e-09	2212.5059	-0.021605575	-867.7141	0.5600823	0.019373333	0.1872	79.0	150.2028772830963	4.693840004503727
32	675.7358	191.02339	1170.1511	246.48271	221.72728	210.45265	64.980736	275.96893	11.155855	165000	-4.2170287e-10	1231.7906	-0.022437286	-315.76947	0.561273	0.011827777	0.188	79.0	154.67725467681885	4.687189600684426
33	745.02405	235.93631	1650.0802	423.52325	244.25	209.8257	64.00474	275.3096	10.093555	170000	4.2915344e-10	1124.3112	-0.021100461	-441.758	0.5546875	0.016226448	0.1936	79.0	159.7883915901184	4.699658639290753
34	712.30963	159.73259	1283.0029	506.72424	231.4762	211.87338	68.03969	281.86404	10.23499	175000	-1.1074543e-08	196.8424	-0.022249881	-104.59249	0.55578566	0.015385974	0.1706	79.0	164.5308437347412	4.70088130405971
35	849.1168	172.48067	1388.8986	629.651	272.8889	224.22345	66.51693	290.88245	10.267433	180000	1.1914969e-08	823.9288	-0.018036947	-505.61914	0.5395714	0.014379886	0.1824	79.0	169.1110541820526	4.697529329193963
36	791.6872	181.43303	1281.8328	652.0838	256.57895	228.50314	69.70752	298.015	7.6446085	185000	-5.9068204e-09	1298.0599	-0.01691402	-670.16437	0.52409893	0.008620351	0.1642	79.0	173.7570538520813	4.696136635703009
37	863.5969	153.62166	1180.1599	591.89343	275.77777	224.02345	68.07725	292.24603	9.013717	190000	-1.6182661e-09	662.8724	-0.023912532	-556.836	0.5277091	0.017084401	0.203	79.0	179.302716255188	4.718492589498821
38	788.6941	183.7852	1227.4008	310.61707	255.36842	227.94466	71.1277	296.65936	9.180702	195000	4.5597554e-10	884.6119	-0.023271237	-529.15625	0.5139063	0.012476546	0.1842	79.0	183.88321089744568	4.7149541683686085
39	849.4015	125.6695	1040.8331	636.10266	270.3889	224.89246	70.33462	295.64542	9.815044	200000	1.2943149e-08	135.84198	-0.021869252	-71.745865	0.5077555	0.018719936	0.1848	79.0	188.98333144187927	4.724583339691162
40	901.1788	303.9823	1864.0084	377.91364	287.17648	235.1235	70.30436	301.08478	7.8969126	205000	1.1622906e-09	560.3256	-0.01870433	-148.577	0.5041227	0.014641907	0.1958	79.0	193.54814052581787	4.720686406624027
41	909.4014	202.58507	1264.5165	364.6092	291.0625	239.65268	70.63546	309.24106	6.4250007	210000	-5.517155e-10	841.1719	-0.019179527	-453.70676	0.49621642	0.012956836	0.1908	79.0	198.14981174468994	4.717852700324285
42	816.4999	266.9278	1585.9899	58.70828	263.1579	233.68225	72.06577	305.05792	6.418735	215000	2.0474196e-09	1269.3293	-0.02181125	-529.201	0.4794862	0.01345847	0.2166	79.0	203.2582311630249	4.726935647254766
43	921.9651	183.96713	1344.1909	709.08496	292.0	227.7987	69.8492	301.575	8.106114	220000	6.1571597e-09	388.2386	-0.021367589	-262.9095	0.46333906	0.020709598	0.2014	79.0	208.02395129203796	4.727817112749273
44	927.8249	251.47502	1563.4021	682.9884	292.47058	234.88145	73.7178	310.16867	7.847272	225000	-3.862381e-09	149.91104	-0.026500985	-70.23326	0.4468787	0.012916246	0.2322	79.0	212.76019620895386	4.728004397286309
45	1063.5626	347.19708	2054.9297	650.89984	339.14285	257.53186	67.30039	316.70688	6.6969337	230000	-7.224083e-09	1741.0092	-0.016271014	-855.29803	0.43982035	0.00773122	0.1726	79.0	217.13819003105164	4.72039548728777
46	1043.3661	229.82085	1766.6619	819.78	329.35715	247.29735	68.131775	312.5011	6.5389705	235000	-1.2743473e-08	886.3515	-0.015172828	-265.76782	0.4266544	0.018606411	0.1636	79.0	221.71042346954346	4.717243088052628
47	1126.4192	470.7673	2716.3408	655.5634	354.64285	249.1289	68.020294	312.7522	8.170409	240000	-1.0062754e-08	691.9976	-0.01844385	-337.93863	0.42770585	0.014116834	0.1694	79.0	226.181316614151	4.712110802531242
48	1130.2811	232.22493	1614.8428	742.98566	356.2857	253.54495	69.72813	315.4138	8.977844	245000	-1.3277679e-08	783.7618	-0.017380685	-378.53177	0.41775838	0.015068991	0.1896	79.0	230.6575789451599	4.7072975635528564
49	1108.5144	441.21118	2512.854	653.81836	348.85715	250.77458	69.42818	312.41714	9.870512	250000	-1.7249585e-08	717.2047	-0.016603002	-429.90735	0.40769583	0.013104106	0.1494	79.0	235.32923364639282	4.706584715843201
50	1034.9962	267.76266	1596.8069	705.08295	325.0	243.0101	74.896545	318.98956	9.748338	255000	-6.1839818e-09	1051.158	-0.022909125	-933.76935	0.41293684	0.028398275	0.2338	79.0	240.10824012756348	4.70800474578259
51	1082.5619	192.92241	1562.7616	761.82117	338.2857	248.95535	71.57356	320.53644	9.418637	260000	-9.894371e-10	103.7867	-0.025131546	-38.497345	0.3911478	0.01711511	0.1866	79.0	244.856543302536	4.708779715574705
52	931.19446	191.31454	1249.6503	391.23648	292.375	248.79218	74.0982	316.2161	7.592041	265000	-2.771914e-08	965.1817	-0.018644571	-260.33795	0.3816437	0.0062014363	0.1746	79.0	249.32696223258972	4.704282342262988
53	1050.1708	195.53699	1437.305	667.3158	326.86667	244.97867	70.02279	311.6268	8.287539	270000	2.3412705e-08	114.083984	-0.023910763	-66.17164	0.37019742	0.018236548	0.1848	79.0	254.46959257125854	4.712399897751985
54	1075.1752	274.80164	1519.0992	680.30396	333.92856	251.26062	71.45079	315.2599	7.493913	275000	5.4486096e-09	102.89109	-0.024918372	-42.153202	0.36899206	0.013709912	0.172	79.0	259.0168025493622	4.709396444667469
55	1091.2462	262.45627	1558.0939	380.0327	341.0	257.9001	71.20258	323.8719	8.789315	280000	-7.1421264e-09	817.5003	-0.019087126	-271.46973	0.3662953	0.009327823	0.1938	79.0	263.64364767074585	4.70792230963707
56	1212.992	398.30972	2128.356	643.0259	379.84616	257.7364	69.57903	320.74228	7.0829635	285000	-7.2970985e-09	1018.1367	-0.017836692	-265.13098	0.3632101	0.011060837	0.193	79.0	268.388179063797	4.708564578441152
