Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	Time Steps	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AVG Time Per Epoch
0	56.57406	17.684086	156.3816	26.662706	6.2241592	0.097525775	0.253857	0.43639326	-0.37964547	5000	4.899502e-08	1588.8073	-0.026410948	-1153.4917	0.9189386	0.020280937	0.197	79.0	4.671356201171875	4.67135763168335
1	63.549683	19.810469	138.61127	26.724503	6.9735007	25.362835	4.3465786	27.327068	0.8208401	10000	-3.297329e-08	594.18823	-0.028453754	-257.1627	0.8954704	0.016630024	0.1824	79.0	9.493532419204712	4.746767163276672
2	69.92184	23.429306	184.98312	35.433712	7.6569676	32.211845	8.678232	40.00981	5.328325	15000	-1.1736154e-08	521.78546	-0.029176151	-244.92627	0.86859727	0.014532361	0.1888	79.0	13.787555456161499	4.595852375030518
3	77.34798	23.48137	176.04008	26.955404	8.4517765	38.5055	15.073968	52.691452	4.7057924	20000	-1.360178e-08	351.50238	-0.03459805	-105.28262	0.8405609	0.024915094	0.2526	79.0	18.127918481826782	4.531980037689209
4	86.09146	32.85111	277.59366	26.873375	9.389098	43.037052	18.307354	62.09909	6.342929	25000	2.1945685e-09	605.4194	-0.033676535	-141.61081	0.8126241	0.02355312	0.2312	79.0	22.434362411499023	4.486872911453247
5	97.2411	34.57286	249.251	35.865723	10.584745	49.51964	22.397987	73.33427	5.2540083	30000	1.6336887e-08	539.93274	-0.034141097	-109.270874	0.7839905	0.02614778	0.2372	79.0	26.799989461898804	4.466665267944336
6	108.39345	42.061012	306.0123	35.63976	11.787234	55.426777	25.528198	83.45226	5.716742	35000	-2.9078127e-08	763.9018	-0.027699439	-128.05115	0.75394994	0.01649894	0.171	79.0	32.02901363372803	4.57557361466544
7	129.182	55.158962	369.99136	44.741108	14.030899	64.73616	28.51631	94.16562	7.0044155	40000	1.719147e-08	1310.8859	-0.025851402	-267.59692	0.7250844	0.014756563	0.1732	79.0	36.564796686172485	4.570599853992462
8	148.30748	61.90783	444.43018	54.247402	16.096775	75.29485	34.61831	110.99492	6.498554	45000	5.352497e-09	1457.3304	-0.024183957	-206.3313	0.7005009	0.013362915	0.1424	79.0	40.8456027507782	4.538400544060601
9	163.45467	70.64096	520.46826	63.252125	17.742857	84.34712	39.549377	125.857666	3.2985902	50000	-1.732409e-08	1874.463	-0.020683356	-222.67969	0.67551416	0.013757909	0.1414	79.0	45.320931911468506	4.532093358039856
10	191.34264	82.91077	621.3338	63.34823	20.754168	94.57287	42.674652	140.72612	6.230708	55000	1.642108e-09	2518.2195	-0.018487858	-396.7329	0.65382427	0.011001719	0.1128	79.0	49.594420433044434	4.508583849126643
11	202.29716	90.27961	574.4675	63.731705	21.951542	103.67853	49.900673	160.44127	0.68232167	60000	6.8306925e-09	2484.5579	-0.017155144	-275.95654	0.6307161	0.011038683	0.1032	79.0	54.16480231285095	4.513733685016632
12	219.32767	103.02639	695.2162	63.931805	23.788462	113.552124	53.570354	174.64937	2.4941258	65000	-9.399653e-09	3418.8333	-0.01441447	-438.31543	0.6046755	0.015231042	0.1018	79.0	58.53538203239441	4.502721859858586
13	254.73068	138.44923	1162.2388	63.82417	27.596685	129.63062	61.729816	194.38693	2.949761	70000	1.3028085e-08	5609.0625	-0.013726186	-779.4961	0.5834049	0.012509565	0.0876	79.0	62.62016677856445	4.472869174821036
14	264.87326	114.870605	938.7279	72.80757	28.695402	135.84195	71.45879	223.28163	-0.76266223	75000	1.9073487e-09	3461.0752	-0.011254061	-326.03784	0.5588483	0.008316822	0.0734	79.0	67.09445881843567	4.472964080174764
15	291.59543	132.51895	825.75775	72.52532	31.56962	145.7844	69.88263	234.47061	-2.2761314	80000	7.426739e-09	4248.307	-0.011712918	-759.5532	0.5377856	0.011510577	0.0814	79.0	71.34345889091492	4.458966284990311
16	324.37573	151.20839	945.9612	72.82832	35.09155	157.01013	76.45522	247.83086	-9.38728	85000	4.3049453e-09	5542.5933	-0.01027639	-718.8169	0.51580346	0.007510617	0.0528	79.0	75.67616248130798	4.4515390816856835
17	328.04535	180.58092	1393.5281	63.755386	35.482014	175.6292	83.42593	266.30002	-2.3531947	90000	7.301569e-10	8801.529	-0.010606748	-696.59717	0.49546558	0.007975307	0.099	79.0	79.83572483062744	4.435318125618829
18	408.12238	226.80345	1085.8247	73.148094	44.088497	189.55305	86.654526	278.23154	-0.39743453	95000	5.823374e-09	10627.638	-0.011267695	-1760.9775	0.47767636	0.01035942	0.088	79.0	83.98658394813538	4.420346649069535
19	400.76596	211.76366	1402.1113	73.03621	43.298244	216.50626	102.90977	312.45187	0.33715957	100000	5.529076e-09	9503.428	-0.009839343	-749.8623	0.45994067	0.005310623	0.0668	79.0	88.47063398361206	4.423531806468963
20	452.1672	284.6738	1615.7213	72.81071	48.80392	214.4984	96.1394	320.83057	0.4780277	105000	2.2888185e-09	16131.524	-0.010735562	-2456.5215	0.43995386	0.010135547	0.0998	79.0	92.78461384773254	4.4183150473095125
21	519.8496	363.18994	2192.3162	82.260124	56.101124	259.1084	104.91781	350.12354	-21.295595	110000	1.218319e-08	23761.19	-0.011059642	-2737.2246	0.4206305	0.008970397	0.0784	79.0	97.10347437858582	4.413794376633384
22	592.9865	411.99054	2379.3135	72.92206	63.974358	285.8402	108.65608	370.1385	-16.46273	115000	3.5762786e-09	27329.008	-0.0076091858	-2283.0938	0.40110785	0.0068782526	0.0826	79.0	101.35589218139648	4.406778003858483
23	589.34686	379.91187	1725.953	64.131645	63.576923	313.16257	114.17312	389.44968	-55.761856	120000	-6.437302e-10	23051.715	-0.010327486	-1364.6582	0.3821115	0.0067815385	0.0578	79.0	105.75263714790344	4.406359950701396
24	580.3674	437.27744	2576.9993	81.725555	62.594936	314.5435	110.128235	394.25766	-19.664778	125000	-1.512915e-08	29126.01	-0.007307848	-2758.0938	0.3612642	0.0042564166	0.073	79.0	110.08021950721741	4.4032088565826415
