Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	Time Steps	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AVG Time Per Epoch
0	-51.651295	7.688779	-37.10695	-68.85805	50.0	0.050301116	0.42706713	0.7643045	-0.6585464	5000	-7.944107e-08	659.3277	-0.01641355	-546.089	0.9189419	0.006328723	0.0794	79.0	4.197671890258789	4.197673320770264
1	-49.05553	6.3230405	-35.949383	-68.83714	50.0	-20.678925	5.954265	0.17020859	-27.069536	10000	-2.5179983e-08	110.2992	-0.018444845	-31.454712	0.89618057	0.009290865	0.0998	79.0	8.294870615005493	4.1474363803863525
2	-45.55711	5.5911555	-33.150234	-59.50971	50.0	-20.41606	6.39738	-2.602017	-30.99857	15000	-9.998679e-09	74.54105	-0.016331503	-23.43655	0.8772373	0.007814294	0.0932	79.0	12.539508581161499	4.179836908976237
3	-43.84586	5.4697757	-32.15244	-59.12733	50.0	-19.299456	7.9647	-0.7260397	-33.13032	20000	1.1009723e-08	52.202538	-0.01822389	-11.938129	0.8555832	0.011071953	0.1132	79.0	16.616422653198242	4.154106140136719
4	-42.91747	5.4089217	-28.926443	-57.261288	50.0	-18.606792	7.785567	-2.8272936	-33.977688	25000	6.6757204e-09	51.78824	-0.017158074	-10.151581	0.83516717	0.010758533	0.1816	79.0	20.634292125701904	4.126858854293824
5	-40.969604	6.053223	-28.225086	-57.849957	50.0	-17.422594	8.03172	-2.1674652	-34.106106	30000	-3.840029e-09	48.42196	-0.018808475	-9.6858635	0.80334866	0.0044655497	0.1054	79.0	25.013444185256958	4.168907721837361
6	-39.91737	5.1836057	-25.18017	-52.612392	50.0	-17.917791	7.631866	-1.4055114	-33.283302	35000	8.575618e-10	44.402973	-0.021304898	-8.735058	0.78186697	0.010549515	0.1124	79.0	29.145599842071533	4.1636574268341064
7	-37.526627	4.529041	-24.779005	-49.25751	50.0	-17.224567	6.969943	-2.796257	-32.4272	40000	-1.9992887e-08	40.2861	-0.01911557	-8.613714	0.7597565	0.009963843	0.097	79.0	33.406116247177124	4.175764799118042
8	-37.221336	4.379446	-24.206219	-47.439213	50.0	-16.008703	6.642753	-3.890505	-31.252274	45000	-1.411438e-08	35.095215	-0.02017042	-7.2724705	0.73743576	0.010813409	0.109	79.0	37.486828088760376	4.165203385882908
9	-36.306744	4.524168	-24.536081	-46.57057	50.0	-16.257717	6.887863	-1.5110134	-30.14294	50000	1.9530393e-08	31.939178	-0.01879301	-6.657543	0.7182667	0.0073307883	0.1076	79.0	41.70217204093933	4.170217394828796
10	-35.387398	4.728499	-27.193888	-47.00584	50.0	-15.22613	6.6933765	-3.397485	-29.203114	55000	1.1336617e-08	34.483986	-0.01925024	-8.464062	0.69848865	0.009542204	0.1136	79.0	45.86930751800537	4.169937242161144
11	-34.042206	4.1869965	-24.984823	-44.305557	50.0	-15.173661	6.274933	-2.0023036	-28.574858	60000	-6.8962573e-09	30.25445	-0.02316071	-7.8029594	0.67819977	0.009288401	0.1228	79.0	50.072275161743164	4.172689755757649
12	-33.2552	3.8950703	-26.321276	-41.651783	50.0	-14.679712	6.272377	-2.9431765	-27.592852	65000	-1.0371208e-09	25.61143	-0.019195637	-4.9427643	0.65780866	0.0082423445	0.1002	79.0	54.56081461906433	4.1969858683072605
13	-32.24694	3.968571	-24.819016	-43.504005	50.0	-13.525678	6.363804	-0.980034	-27.190567	70000	-4.3213366e-09	23.977295	-0.02115157	-5.49852	0.63860404	0.007931676	0.1264	79.0	58.64293885231018	4.188781465802874
14	-31.542019	4.2600555	-23.939903	-40.904793	50.0	-13.704878	5.906293	-1.035632	-26.92424	75000	-1.3998151e-08	21.964981	-0.019501789	-4.800804	0.61452794	0.00898372	0.1086	79.0	62.744513273239136	4.182967662811279
15	-30.221115	3.5136497	-23.653852	-38.97233	50.0	-13.539603	5.9286942	-0.6615213	-26.647182	80000	-1.3053417e-09	20.967068	-0.021865312	-4.9923754	0.59131616	0.015706308	0.1062	79.0	66.71308755874634	4.169568091630936
16	-28.648386	3.5420687	-21.043573	-38.76378	50.0	-12.958339	5.7525263	-2.2257838	-24.934294	85000	5.4836274e-10	19.30102	-0.020079099	-6.6835833	0.56850713	0.011361001	0.155	79.0	71.24042963981628	4.190613662495332
17	-28.299162	3.3872807	-19.232512	-35.779602	50.0	-11.446931	5.620238	-0.25678447	-24.375315	90000	1.3774633e-08	18.497786	-0.019738797	-5.306719	0.5455574	0.0124896895	0.12	79.0	75.30012607574463	4.183340456750658
18	-27.668467	3.4291832	-19.65958	-35.886555	50.0	-12.111857	5.3339314	-1.1577024	-23.837257	95000	9.012222e-09	16.305752	-0.024006816	-4.469281	0.5216037	0.01672708	0.136	79.0	79.53221654891968	4.185906234540437
19	-26.570808	3.3189533	-18.307392	-35.358498	50.0	-11.528197	5.2644587	-1.4048787	-23.39474	100000	5.161762e-09	14.943831	-0.020989476	-4.484209	0.49917313	0.009411625	0.1102	79.0	83.98140406608582	4.199070298671723
20	-25.220844	3.3488038	-18.134855	-34.175404	50.0	-11.270789	5.31016	-0.701477	-23.286615	105000	1.488924e-08	12.322243	-0.018329095	-3.0993538	0.47315615	0.0066536698	0.1036	79.0	88.14230966567993	4.197252920695713
21	-24.309742	3.2316	-17.093744	-31.958078	50.0	-10.889666	4.800651	-0.79560035	-22.191486	110000	-2.3156405e-08	12.264629	-0.020644236	-4.2892504	0.45337164	0.010890586	0.1308	79.0	92.61970233917236	4.209986556660045
22	-23.512964	3.0281985	-16.949102	-29.141623	50.0	-9.869143	4.9597597	0.6883811	-21.425848	115000	4.336238e-10	9.808249	-0.02114209	-2.5637321	0.42874193	0.007834188	0.1032	79.0	96.85921263694763	4.211270207944124
23	-23.023806	3.2730608	-15.826343	-32.069527	50.0	-9.611914	4.6573057	0.57106644	-20.817738	120000	-1.5355647e-09	10.455685	-0.019645263	-2.8655872	0.4000542	0.013721495	0.158	79.0	100.85965085029602	4.2024855216344195
24	-22.802631	3.3818579	-16.935675	-33.70587	50.0	-9.508307	4.546692	-1.2623323	-21.27951	125000	-2.6524067e-09	9.597189	-0.0221576	-3.1245232	0.37257856	0.010743116	0.1156	79.0	105.11752581596375	4.204701118469238
25	-21.222946	3.186213	-15.411329	-31.246284	50.0	-9.468204	4.495779	-1.5229679	-21.297468	130000	6.236136e-09	9.1627865	-0.021839714	-3.1565504	0.3519676	0.011860587	0.1098	79.0	109.07339859008789	4.195130797532888
26	-21.604704	2.8204064	-15.399655	-28.383474	50.0	-8.459014	4.3177967	-0.07714165	-19.749413	135000	3.1232834e-09	7.881714	-0.016817844	-2.204948	0.32732725	0.011687905	0.1208	79.0	113.03455209732056	4.1864649543055785
27	-20.308802	2.6082363	-13.066773	-27.19371	50.0	-8.945427	4.122412	-1.227945	-19.345854	140000	-1.3542175e-08	7.5093927	-0.018909726	-2.264481	0.30257395	0.009682567	0.0922	79.0	117.23705458641052	4.187037740434919
28	-19.94918	2.620889	-14.443098	-26.54495	50.0	-8.251364	3.9874163	-0.51843405	-17.648653	145000	3.0923635e-09	6.788545	-0.02006848	-2.4950342	0.2857086	0.008176215	0.099	79.0	121.38741993904114	4.1857731671168885
29	-19.259079	2.8163261	-13.402433	-25.621176	50.0	-7.9230313	3.964479	-1.1262002	-18.323406	150000	-9.647198e-09	6.1517153	-0.018513935	-1.7858219	0.26684755	0.012509401	0.1318	79.0	125.47332191467285	4.1824441194534305
30	-19.13972	2.8716233	-13.060243	-27.421902	50.0	-7.9175982	3.742325	-1.2752175	-17.960457	155000	-1.5474855e-08	6.6434455	-0.020846516	-2.1230435	0.24683335	0.009683435	0.1142	79.0	129.59696555137634	4.180547345069147
31	-19.401024	2.7056646	-13.785157	-26.302408	50.0	-7.7340937	3.8788807	0.98092777	-18.629744	160000	-1.513958e-09	5.845931	-0.024027	-1.5101528	0.2249051	0.01024716	0.1354	79.0	133.76393008232117	4.180122874677181
32	-18.204947	2.7970352	-13.125635	-26.147856	50.0	-7.610348	3.8907628	0.19254087	-17.54728	165000	1.180172e-09	5.4573636	-0.017592046	-1.7798109	0.20055193	0.00959875	0.1398	79.0	138.5503089427948	4.198494268186165
33	-17.83946	2.8072965	-12.392989	-25.25945	50.0	-7.344548	3.702922	0.7620026	-17.665003	170000	3.0145049e-09	5.517289	-0.017185196	-1.6936228	0.1769151	0.007757287	0.0786	79.0	142.89820742607117	4.202888509806464
34	-17.057348	2.7081113	-11.658804	-23.830273	50.0	-7.1362453	3.57964	3.0051625	-17.23389	175000	7.152558e-11	5.563991	-0.017672744	-1.7540872	0.15664703	0.010529433	0.1232	79.0	147.1840043067932	4.205257313592093
35	-17.451178	2.697777	-12.117176	-24.885382	50.0	-6.8730063	3.4510508	0.7747646	-16.731802	180000	1.0150671e-08	5.1579137	-0.020901177	-1.2659259	0.13848262	0.013555995	0.12	79.0	151.3403606414795	4.2038989663124084
36	-16.114372	2.559376	-11.205946	-25.366703	50.0	-7.0996485	3.3926985	-1.2855222	-16.823463	185000	-2.953019e-08	4.490773	-0.017338417	-1.6523883	0.113369875	0.010397499	0.1198	79.0	155.4166305065155	4.200449524699031
37	-16.038033	2.380795	-11.24518	-22.706335	50.0	-6.416798	3.3570416	2.0381615	-16.432606	190000	1.1198223e-08	4.1023464	-0.020344	-1.5871856	0.08770004	0.015802784	0.1312	79.0	159.65797233581543	4.201525637978001
38	-15.5178795	2.3529456	-9.900802	-20.60375	50.0	-6.2807326	3.3352878	-0.46503815	-16.703176	195000	1.7493964e-08	3.267558	-0.017772734	-1.0826411	0.06483347	0.005617206	0.088	79.0	163.81132674217224	4.2002904781928425
39	-15.536851	2.199633	-10.874105	-21.034075	50.0	-6.134053	3.1254423	0.21989033	-15.645401	200000	3.8951637e-09	2.937829	-0.018878683	-1.0109984	0.04258656	0.008281456	0.1292	79.0	168.0630419254303	4.201576101779938
40	-15.161953	2.5509481	-10.047194	-21.977692	50.0	-6.1387916	3.1898508	1.7105802	-15.56459	205000	-8.1643465e-09	3.0181127	-0.018997569	-0.90287614	0.022135785	0.013442163	0.1276	79.0	172.02451491355896	4.195719928276248
41	-14.83095	2.4069583	-10.314009	-23.939587	50.0	-5.906976	3.0703804	2.564031	-16.60128	210000	9.918213e-09	2.7584858	-0.016159052	-1.0265124	-0.0013937996	0.010350489	0.1492	79.0	176.1155140399933	4.1932265644981745
42	-14.374578	2.2042603	-10.068832	-19.57838	50.0	-5.873124	3.0034056	0.29320183	-15.097614	215000	-1.3577938e-08	2.434346	-0.018326357	-0.8030944	-0.022806454	0.011759468	0.1144	79.0	180.43529391288757	4.196169670238051
43	-13.667537	2.199704	-8.903084	-19.618982	50.0	-5.7321296	2.9336917	-0.2985699	-15.9861	220000	-3.218651e-10	2.5100718	-0.018661672	-1.0158209	-0.04543681	0.0067009605	0.0912	79.0	184.50234580039978	4.193235180594704
44	-13.410816	2.089532	-9.581939	-19.471317	50.0	-5.3753824	2.8863099	0.13585886	-14.874829	225000	8.773804e-09	2.008204	-0.0167419	-0.80556154	-0.065194055	0.0071355584	0.1192	79.0	188.7413330078125	4.19425188700358
45	-13.521676	2.1736085	-9.481592	-18.818125	50.0	-5.313638	2.8198292	0.4060445	-15.228656	230000	-9.205937e-09	1.7571057	-0.01876262	-0.6272918	-0.08701577	0.010675779	0.1286	79.0	192.83147764205933	4.191988701405733
46	-12.610943	2.0077472	-9.024262	-18.86502	50.0	-5.3268304	2.7546728	0.48300683	-16.0406	235000	2.5093556e-09	2.0469894	-0.019921323	-0.95283425	-0.1094033	0.0062579303	0.101	79.0	196.96885108947754	4.190826669652411
47	-12.999865	2.5444016	-8.831093	-19.302572	50.0	-4.9101515	2.7772212	1.9848021	-14.6094	240000	-6.559491e-09	2.4007974	-0.020973392	-1.1571109	-0.13390994	0.010550966	0.108	79.0	201.11386275291443	4.189872185389201
