Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	Time Steps	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AVG Time Per Epoch
0	8.197251	9.507489	41.272186	-9.912628	31.51266	-0.13623023	0.23946428	0.6176391	-0.7344342	5000	1.1634826e-08	55.378044	-0.07448473	-23.374287	0.9189437	0.033417534	0.356	79.0	7.41791558265686	7.417917490005493
1	17.06279	15.038818	72.1294	-3.7811148	43.850876	2.9938762	3.7962089	12.40475	-12.661006	10000	-1.2767315e-08	99.384766	-0.078500494	-31.407257	0.9135614	0.03714432	0.3842	79.0	15.036556482315063	7.518279075622559
2	18.86623	15.693427	82.92904	-20.97139	46.462265	5.787223	7.569432	24.07527	-25.948126	15000	1.2493134e-08	87.334854	-0.07774785	-20.61139	0.90262806	0.026657617	0.3566	79.0	22.802392721176147	7.6007983684539795
3	42.44049	47.851086	248.90489	-2.5883842	61.444443	10.542318	8.8996	33.23075	-19.823318	20000	1.4579296e-08	767.082	-0.07975815	-323.71964	0.88985103	0.029278772	0.3704	79.0	31.68890929222107	7.922227919101715
4	59.351612	56.12124	264.659	5.1961923	80.196724	24.018585	19.611473	64.68679	-27.933603	25000	3.9070844e-09	718.46906	-0.082896195	-209.67786	0.8756593	0.023786774	0.361	79.0	39.496553897857666	7.899311065673828
5	95.480316	85.057274	354.20398	3.2722044	101.081635	34.77545	23.014359	69.97394	-33.594475	30000	4.893541e-09	1194.2412	-0.08281795	-372.03503	0.87323004	0.025197664	0.3658	79.0	47.737802267074585	7.956300695737203
6	152.09093	95.91518	367.55072	7.3108597	142.65715	45.425404	28.431112	81.019455	-43.76907	35000	2.2429228e-08	1232.2823	-0.081594825	-570.3914	0.8632214	0.022245347	0.364	79.0	55.560545206069946	7.937220982142857
7	186.89587	128.73463	540.47845	22.5854	152.46875	64.289276	29.378952	98.41527	-19.40349	40000	-2.5629998e-09	1272.7701	-0.0824134	-507.807	0.85523725	0.018267374	0.3852	79.0	63.0682258605957	7.883528530597687
8	156.80212	118.15678	459.82837	14.280641	146.11765	64.60875	36.845913	116.84254	-27.782528	45000	-1.3273954e-08	868.2206	-0.082123265	-396.7049	0.8440002	0.021654004	0.381	79.0	70.64712381362915	7.8496806091732445
9	260.74988	128.31076	515.41675	10.883885	183.92592	75.77468	35.00539	123.3372	-23.350044	50000	5.030632e-09	1163.6807	-0.08232622	-749.186	0.8353054	0.029293036	0.3908	79.0	78.39852213859558	7.839852452278137
10	198.83658	105.36842	477.93082	29.99099	172.27586	78.29718	41.23582	124.04456	-28.339478	55000	-3.488064e-08	1302.2845	-0.08386274	-717.35474	0.82885784	0.013933065	0.3912	79.0	86.14186787605286	7.8310791145671494
11	231.279	115.258064	418.177	36.242683	181.88889	70.09577	38.896492	124.23069	-17.170654	60000	2.2172928e-09	1017.2227	-0.08258413	-390.28717	0.817717	0.03097662	0.409	79.0	93.93036818504333	7.827530821164449
12	297.37576	139.1839	691.16754	53.96995	222.95454	85.27083	36.535717	127.522224	-17.59069	65000	6.762147e-09	709.7862	-0.08280528	-331.23157	0.8088742	0.03462522	0.4226	79.0	101.59281134605408	7.814831807063176
13	277.54892	182.88246	1001.6594	58.93748	226.95454	83.937874	36.645897	126.08078	-18.16943	70000	-7.504225e-09	641.5635	-0.08273331	-291.30383	0.8007271	0.017442092	0.3894	79.0	109.18465161323547	7.798903839928763
14	293.84787	183.91373	1034.5101	2.1644113	202.20833	87.85659	33.67142	127.75245	-21.08888	75000	1.3077259e-08	548.37537	-0.082919985	-306.23096	0.789492	0.02898854	0.4012	79.0	116.715749502182	7.781050109863282
15	285.46002	109.666626	624.3972	134.82951	207.875	94.55549	36.565685	128.43939	-22.371962	80000	-8.153916e-09	640.0912	-0.08049155	-260.4604	0.78651804	0.014656301	0.3936	79.0	123.75508141517639	7.734692692756653
