Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time	AVG Time Per Epoch
1	-66.362335	106.29455	14.008437	-396.80078	-48.24653	25.032455	-25.957819	-112.62324	166.26666	16.5	4999	12.62549	14.403877	71.68749	-6.773058	-15.890535	1.7684958	29.515888929367065	29.51589059829712
2	-47.536938	86.16126	8.693915	-388.99728	-925.8744	1331.9291	-27.618856	-2982.8682	134.67567	312.8	9999	213.53365	132.03972	603.6262	-547.8453	-237.61105	116.9215	68.28318977355957	34.14159572124481
3	-156.45607	324.10965	-27.64922	-1966.318	-127.22671	56.91466	-32.495766	-230.31984	58.45714	39.3	14999	619.30865	100.35108	832.2149	-574.40045	-643.4929	1439.8865	106.84048628807068	35.61349606513977
4	-426.62976	870.51575	-22.374374	-2648.6921	-1235.2336	1320.5248	-18.513248	-2886.47	163.75	436.8	19999	705.9561	109.79912	914.47906	-487.88477	-726.0833	1322.8188	148.31203842163086	37.07801008224487
5	-400.4845	820.1459	-14.88134	-2567.9316	-346.9077	741.74097	-20.22458	-2562.273	163.44827	135.6	24999	718.4299	104.53093	910.8614	-405.838	-737.0918	951.5717	187.72246527671814	37.544493436813354
6	-634.87006	894.3801	-27.333092	-2421.885	-298.15714	677.9687	-17.719337	-2327.1572	278.8421	127.5	29999	698.5572	99.2176	841.7467	-636.9371	-716.6746	643.2635	226.87462091445923	37.81243713696798
7	-333.08017	637.17523	-19.696657	-2101.1174	-72.91438	63.973892	-24.261517	-218.49995	166.6207	38.5	34999	658.1155	94.42067	845.3771	-658.0487	-674.9161	638.903	265.94910073280334	37.99272901671274
8	-426.71606	692.2828	-8.609976	-2002.4506	-303.2399	645.3055	-25.598637	-2231.429	225.5238	141.4	39999	609.2502	90.47691	796.1465	-432.1897	-624.7263	514.8685	305.46563243865967	38.18320435285568
9	-262.69873	514.37476	-14.526664	-2095.5625	-869.31836	1002.8518	-19.0401	-2184.8413	143.8	472.9	44999	552.758	85.40577	747.987	-394.371	-566.9248	569.793	347.38074254989624	38.59786054823134
10	-588.28424	788.13104	-14.085441	-2218.0972	-816.828	297.61868	-29.802963	-1061.3938	312.125	846.3	49999	500.45596	82.717476	708.2915	-372.38037	-513.5127	338.70056	391.86030864715576	39.1860310792923
11	-492.90228	763.96234	-21.250233	-2167.6685	-840.97864	1146.629	-29.57754	-2627.909	281.2353	347.5	54999	450.79596	83.50685	647.74567	-347.4513	-462.686	327.0295	433.263756275177	39.38761440190402
12	-643.8965	815.5107	-31.75189	-2113.468	-516.47253	921.6176	-18.24934	-2372.0425	387.83334	320.3	59999	409.1439	91.708565	628.8135	-490.80203	-420.2771	280.99826	474.4394235610962	39.5366188287735
13	-620.7168	787.1985	-6.895469	-2097.3318	-761.6315	913.75836	-31.232098	-2306.5215	344.58823	391.5	64999	372.96655	104.46752	629.5355	-281.08633	-383.52255	259.5684	516.0113499164581	39.69318094620338
14	-324.64954	467.83975	-27.965303	-2137.6438	-619.92346	819.91473	-21.750553	-2397.7979	220.63158	268.0	69999	349.63394	119.01714	595.9208	-380.5987	-360.12375	315.56506	556.8114230632782	39.77224465778896
15	-405.60672	652.36053	-21.462053	-2254.3906	-162.71025	197.21219	-14.794628	-719.14685	208.17857	150.8	74999	334.81998	138.49306	631.9868	-365.32892	-345.6092	391.8182	597.1330051422119	39.80886716842652
16	-363.82077	609.17163	-26.386257	-2295.2554	-402.06244	743.6045	-17.461725	-2589.1257	216.65218	194.0	79999	341.4635	166.37263	693.3928	-468.22195	-353.0726	495.9535	637.575254201889	39.84845353662968
17	-437.20663	713.2223	-14.209038	-2392.2566	-515.91656	731.656	-37.54264	-2369.4973	212.08333	270.4	84999	364.90015	195.23122	839.0388	-337.8906	-378.28964	696.7481	678.2597360610962	39.89763164520264
18	-340.4037	388.71808	-23.823128	-1549.8181	-179.70303	160.2274	-10.375953	-511.3079	187.18182	106.4	89999	414.25378	229.43956	909.63324	-665.33844	-429.6383	997.3261	718.3183188438416	39.906573401557075
19	-366.1853	545.1043	-18.229582	-2309.324	-695.52234	1038.145	-40.17663	-2910.817	179.3871	262.7	94999	468.63034	259.84247	1055.342	-1260.7748	-485.81046	1288.7678	759.3733415603638	39.96701810234472
20	-594.6366	871.0556	-31.730885	-2667.3794	-551.23035	675.3153	-20.268456	-2315.9158	251.45	238.2	99999	528.6556	295.1906	1204.2266	-650.76135	-547.4776	1487.9419	800.2329246997833	40.01164634227753
21	-412.77682	575.63654	-18.132998	-2306.953	-528.22327	817.30695	-27.777382	-2850.7432	186.07408	195.6	104999	605.4027	343.3519	1433.8508	-630.3122	-627.2151	2144.2405	840.9388189315796	40.04470577694121
22	-771.22064	1004.97003	-15.735211	-2602.6243	-150.51733	148.94795	-18.525251	-521.88806	324.5	71.0	109999	684.84064	387.72873	1562.2034	-806.63806	-709.6807	2570.6147	880.9785401821136	40.044479207559064
23	-260.83206	402.4473	-16.08273	-2276.744	-171.98843	148.98833	-26.698366	-563.8043	140.11429	80.4	114999	791.0285	428.94382	1764.8695	-942.1144	-818.235	3507.5093	920.8396122455597	40.036504994268
24	-529.5384	689.1008	-63.20812	-2439.8635	-857.96405	1017.82935	-49.373604	-2605.2393	245.61905	336.5	119999	886.1645	450.37198	1986.2557	-655.7747	-916.1284	4549.0103	962.1921002864838	40.09133760134379
25	-435.28687	614.36694	-22.472029	-2408.9463	-531.7625	629.99554	-15.700975	-2042.0408	212.28572	225.5	124999	1014.3807	498.31253	2116.628	-1262.5952	-1047.9445	5659.3784	1002.7907252311707	40.11162910461426
26	-517.6851	626.9851	-16.138203	-2301.258	-288.2213	401.90927	-37.8649	-1467.7965	251.40909	129.0	129999	1150.2311	541.91406	2296.119	-939.31726	-1187.4967	6600.9194	1043.5720613002777	40.137387064787056
27	-362.95215	581.4792	-18.830421	-2269.1592	-366.13226	360.73727	-32.72711	-1167.1494	179.46428	158.5	134999	1285.0526	583.24585	2561.3093	-1372.1531	-1325.6932	8148.6606	1083.7207622528076	40.13780609766642
28	-482.95474	744.1808	-18.705103	-2600.2466	-880.0348	1228.7191	-27.31317	-2878.8677	214.34782	333.2	139999	1422.0685	637.59906	2853.3323	-1621.0037	-1467.4229	10072.223	1125.3951561450958	40.19268422467368
29	-600.7787	678.69366	-71.31669	-2466.8992	-123.89569	58.276783	-39.285885	-227.2604	279.5	61.2	144999	1591.3447	707.7403	3261.8745	-1603.5656	-1641.4164	12460.348	1165.6652202606201	40.19535250499331
30	-393.0588	624.9236	-23.052935	-2397.3743	-302.43393	485.55316	-25.309572	-1692.2773	173.625	122.7	149999	1767.2764	781.3864	3734.031	-1689.784	-1822.3408	15895.76	1205.9361498355865	40.19787173271179
31	-757.162	983.52356	-16.315351	-2501.6475	-979.7798	1081.1592	-58.446957	-2771.654	343.35294	365.9	154999	1988.8846	891.06537	4678.971	-2137.0278	-2051.6372	19711.068	1247.9020607471466	40.25490527768289
32	-386.42792	671.17896	-26.302624	-2573.2961	-1072.3789	1089.6864	-56.621353	-2670.1716	170.53572	455.9	159999	2292.3013	1025.9319	5875.971	-3344.7808	-2364.4023	29292.191	1290.3545479774475	40.32357969135046
33	-460.67798	602.1723	-22.46576	-2240.5894	-701.2834	977.08813	-70.02381	-2830.967	201.125	271.7	164999	2623.0002	1178.7028	7009.0493	-2822.9204	-2705.36	40690.855	1331.8079543113708	40.357816876787126
34	-686.0669	784.3546	-30.796745	-2552.2715	-622.5725	917.35156	-52.433712	-2733.9963	284.25	234.5	169999	3081.6094	1393.7007	7623.029	-2574.8386	-3177.0303	53311.32	1373.2244250774384	40.3889537488713
35	-273.75	445.45908	-20.828524	-2246.5237	-856.88153	932.3759	-35.39844	-2947.0266	133.86842	320.4	174999	3528.8438	1538.377	8170.808	-3763.307	-3637.6687	70560.9	1414.7382555007935	40.42109308923994
36	-871.7405	906.03564	-36.529255	-2598.6313	-592.11945	844.50024	-38.992813	-2365.4998	360.875	258.2	179999	3915.0054	1675.4487	8802.963	-3482.3171	-4033.2324	80581.2	1456.2022104263306	40.450061466958786
37	-848.26556	735.17883	-39.458633	-2257.2866	-260.438	293.36264	-64.278046	-1057.3137	394.66666	105.7	184999	4394.021	1874.0247	9747.552	-3269.914	-4524.148	94236.31	1496.7687849998474	40.45321046983874
38	-472.88022	561.4804	-36.197002	-2150.2805	-224.68643	204.47293	-45.631638	-702.52356	214.33333	85.7	189999	4854.9346	2049.2024	10416.157	-4695.7305	-4997.788	123450.6	1537.21213555336	40.45295100463064
39	-436.64523	543.54333	-27.961567	-2043.2153	-966.1001	966.89777	-50.454174	-2729.0537	195.07692	388.5	194999	5294.734	2169.324	10384.012	-4085.2705	-5445.1133	141613.36	1579.5533428192139	40.50136783184149
40	-525.3519	626.0712	-54.255863	-2609.0757	-140.95993	72.27227	-20.460934	-267.84744	218.33333	72.9	199999	5631.6445	2261.9182	11352.143	-7087.0107	-5793.1616	157453.69	1619.4546599388123	40.48636655807495
