Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time	AVG Time Per Epoch
1	-311.2222	102.94504	-210.18375	-473.90402	-595.94055	19.377632	-568.5045	-631.6002	1000.0	1000.0	4999	6.805727	8.127347	45.402397	-8.898511	-8.432076	0.81776756	31.137553453445435	31.13755512237549
2	-290.20642	58.204784	-181.46759	-352.18683	-536.5897	119.29116	-332.98898	-754.10846	1000.0	1000.0	9999	65.57679	33.0647	153.92331	-5.058481	-70.66583	7.194534	68.72764134407043	34.363821625709534
3	-355.6463	304.80203	73.987724	-626.3928	-827.1761	134.99365	-644.8105	-1098.6477	1000.0	1000.0	14999	147.62013	32.08861	213.35797	60.360466	-150.87985	17.179712	108.30498456954956	36.101662158966064
4	-390.40268	92.79195	-240.08473	-499.00293	-520.13544	56.058754	-396.7167	-635.3726	1000.0	1000.0	19999	154.20213	33.743176	206.89487	71.999275	-155.80188	13.455778	147.99858975410461	36.99964785575867
5	123.83193	360.92044	603.9659	-376.19827	191.45639	292.60437	549.2009	-383.50818	1000.0	1000.0	24999	141.8122	31.255384	192.4821	62.5617	-142.8595	8.079525	187.1058132648468	37.4211630821228
6	429.48468	386.03207	1091.5668	-9.724732	98.507706	357.24612	936.30524	-246.8749	1000.0	1000.0	29999	132.92554	30.846653	182.43002	47.188152	-133.99484	6.8026514	227.05639481544495	37.84273282686869
7	1290.5891	243.4699	1633.3665	964.0524	913.7204	769.68005	2000.571	-114.37428	1000.0	1000.0	34999	132.22087	32.725086	188.56882	41.602783	-133.52722	7.8577685	266.39565658569336	38.05652267592294
8	848.4368	949.98157	2114.9578	-169.65665	1114.9641	881.43854	1966.3589	-589.1523	1000.0	1000.0	39999	137.38737	41.02408	213.1838	26.090813	-138.8394	8.8040495	306.18299317359924	38.27287441492081
9	2082.1997	237.89378	2337.9917	1685.3115	2235.482	310.2403	2642.876	1516.7024	1000.0	1000.0	44999	150.61931	49.693695	236.05812	19.088875	-152.14627	11.343757	346.1030831336975	38.45589839087592
10	2319.8047	485.09576	2709.3005	1362.603	2218.2598	1009.3706	3043.6318	17.413336	1000.0	1000.0	49999	170.9291	57.918846	270.68433	15.4513235	-172.71948	14.342453	386.15055775642395	38.615055966377255
11	2399.6536	796.8135	3306.3462	921.0942	2184.0269	850.1408	2815.143	-28.248358	1000.0	1000.0	54999	194.67075	67.190834	300.36658	-0.81497395	-196.6411	16.462368	426.40445041656494	38.76404116370461
12	2539.6057	1415.8066	3456.5713	-265.11108	2329.0288	1165.371	3503.8933	384.923	1000.0	1000.0	59999	219.73703	73.909065	355.13104	2.7394269	-221.67955	18.569113	465.9976963996887	38.83314154545466
13	2236.8862	1024.3163	3380.4106	507.9028	2621.8735	1227.3344	3497.3882	-391.0795	1000.0	1000.0	64999	239.25856	84.69505	382.58615	9.754388	-241.35948	22.430304	506.2933042049408	38.94563895005446
14	2867.3208	975.0276	3556.7034	945.4189	2903.447	1296.0981	4058.117	513.31885	1000.0	1000.0	69999	259.4376	93.55532	401.34195	1.231084	-261.5569	24.575294	546.3609964847565	39.025785616465974
15	3658.8765	243.03871	3959.7305	3350.9712	3343.8462	725.8797	3767.5012	1333.3329	1000.0	1000.0	74999	281.7946	98.04523	417.61444	-13.621605	-283.91266	25.249388	587.2304060459137	39.14869389533997
16	3848.7446	76.02163	3978.979	3768.3123	2855.938	1601.053	4065.9263	158.62158	1000.0	1000.0	79999	304.1826	101.297905	445.4055	-4.12271	-306.36606	26.024452	627.279620885849	39.20497642457485
17	3523.013	711.606	4132.807	2126.231	3498.3179	1334.8438	4378.8457	-87.3246	1000.0	1000.0	84999	325.21957	103.697266	458.0172	-40.277824	-327.42004	28.526009	667.8955681324005	39.28797470822054
18	4154.2803	56.288754	4214.7905	4075.485	4428.829	181.71635	4713.586	4032.1284	1000.0	1000.0	89999	343.3819	108.05179	479.38184	-16.100044	-345.6627	30.43376	707.7737839221954	39.32076589266459
19	4194.7026	123.407936	4393.692	4072.6123	4544.3135	138.24258	4720.9375	4305.7847	1000.0	1000.0	94999	363.19995	111.094	494.10248	-8.448587	-365.54895	30.62745	748.1336810588837	39.3754570107711
20	3612.4792	1335.3956	4507.589	958.5039	4509.6226	299.3558	4749.428	3686.0742	1000.0	1000.0	99999	377.33325	118.44873	517.1873	-1.4989002	-379.72876	33.126827	788.4900639057159	39.424503314495084
21	3874.6997	907.4476	4487.574	2075.664	4083.2292	415.16483	4570.044	3040.8525	1000.0	1000.0	104999	388.28268	125.48947	528.07635	-98.90909	-390.7125	38.967648	829.0756499767303	39.479792969567434
22	4568.1265	257.0115	4985.3237	4235.037	4792.0356	260.1461	5100.104	4260.6084	1000.0	1000.0	109999	403.13803	123.7058	542.6517	-17.214104	-405.68564	36.72351	869.4751355648041	39.52159717949954
23	4683.9365	92.9754	4845.8696	4578.108	4911.77	127.25855	5037.312	4615.201	1000.0	1000.0	114999	421.91937	116.89989	559.22076	-1.8862536	-424.5484	35.530533	910.0346026420593	39.566721947296806
24	4688.0703	312.26044	4951.0005	4100.5503	5347.8486	127.90468	5611.731	5126.2817	1000.0	1000.0	119999	440.02625	110.34299	585.8462	13.953071	-442.70126	35.831165	950.7872881889343	39.61613709727923
