Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time	AVG Time Per Epoch
1	18.983488	17.9268	164.13522	4.1789145	145.96294	6.2029347	154.87772	136.11383	21.812227	85.9	4999	16.179907	12.610867	71.90896	-27.945902	-19.093231	3.9683058	29.39269757270813	29.392699480056763
2	19.268959	15.696822	158.17097	5.3938046	90.98131	2.9502497	96.00009	86.48079	23.13889	52.0	9999	100.9194	66.76779	380.8722	-219.28609	-122.30194	158.77563	66.17979621887207	33.08989918231964
3	109.939766	80.77667	325.16605	7.106412	136.34866	32.796013	186.31284	102.401535	65.41333	79.6	14999	325.61047	130.9045	697.9279	-477.2815	-369.3991	1416.9174	104.51728439331055	34.83909543355306
4	163.69876	70.094086	494.65448	23.735304	179.78159	9.235462	195.65312	165.57326	92.67273	143.8	19999	496.1085	198.9441	1061.6652	-536.3614	-546.2111	2397.7766	143.54192280769348	35.885481119155884
5	202.79852	101.76304	420.96048	13.036683	585.4304	348.75504	1058.4452	110.82382	144.60606	502.3	24999	695.4905	262.71155	1315.1571	-645.88367	-754.8415	3745.5803	184.10559177398682	36.82111878395081
6	409.55695	212.20789	898.27167	11.169419	435.65656	32.079533	490.56345	384.66803	235.72728	149.7	29999	890.8859	308.06076	1631.1201	-499.0675	-953.8687	5231.837	223.0937783718109	37.18229675292969
7	503.67673	283.1341	1282.5988	107.90965	165.67651	57.032974	283.98712	128.82591	198.04	92.2	34999	1083.3688	363.67722	1914.0645	-1286.3552	-1152.0913	7162.224	262.0238997936249	37.431985991341726
8	402.28622	235.98752	974.2689	65.20529	464.5207	86.764305	532.10614	233.6081	173.93103	187.5	39999	1263.2119	432.7229	2257.7346	-963.75214	-1334.571	8469.427	301.37469959259033	37.67183768749237
9	433.2314	247.80075	843.03455	19.53632	481.25766	274.807	1073.8702	237.71452	191.96153	240.2	44999	1433.1094	514.30945	2462.3914	-1177.8455	-1510.453	10870.519	341.9547221660614	37.994969341490005
10	769.5336	340.0065	1458.7112	82.99488	807.8397	460.10266	1834.6549	307.84564	264.73685	309.3	49999	1630.4868	585.58466	2994.579	-2033.3512	-1713.6604	13352.885	382.26908826828003	38.22690899372101
11	527.31305	303.2027	1039.765	101.3745	615.09	205.49747	950.0657	322.07837	416.36365	479.5	54999	1882.4791	682.86426	3222.345	-2014.5891	-1974.5748	16523.674	423.3405020236969	38.485500357367776
12	588.655	247.72789	1088.5098	221.18585	183.50078	137.09981	346.69467	19.983463	402.46155	88.5	59999	2100.004	721.2622	3319.268	-2301.0364	-2193.8262	18719.068	462.8432250022888	38.57026892900467
13	452.93484	290.2717	1212.9258	41.7989	208.74907	125.558655	514.47327	61.391655	239.09525	155.8	64999	2214.0256	753.1914	3344.4072	-2706.1694	-2306.8474	19855.31	503.52818179130554	38.73293720758878
14	615.7301	350.82883	1127.1436	89.96714	744.59735	416.1106	1401.2163	232.81618	296.0625	358.0	69999	2300.7075	768.8042	3306.978	-2378.1575	-2391.836	22032.23	544.6225786209106	38.901613099234446
15	869.281	381.46652	1742.8262	334.0622	908.2379	168.65636	1290.691	761.2948	358.8	316.7	74999	2358.434	800.4917	3545.3884	-3168.9905	-2451.8103	21133.26	585.9674382209778	39.06449602444967
16	774.6155	512.865	1783.154	185.3148	848.5672	398.87057	1837.2655	286.7147	310.125	358.4	79999	2425.1277	844.68494	3634.4426	-1675.955	-2517.1511	20495.19	627.628820180893	39.22680139541626
17	323.20322	319.11923	1228.5039	19.10321	233.45488	389.916	1321.794	26.107105	226.81818	180.6	84999	2458.746	873.85	3616.6204	-1951.6853	-2550.2068	21803.127	668.1226034164429	39.301329738953534
18	188.29355	118.65383	597.4035	21.217184	342.0434	182.77716	752.67914	120.07395	198.76	336.5	89999	2492.0664	888.28705	3643.9236	-2659.743	-2582.4731	23960.979	710.1307549476624	39.45170874065823
19	462.66925	381.6169	1096.761	95.1062	322.62936	219.6064	799.4453	137.89117	389.30768	172.4	94999	2524.5825	863.343	3633.7827	-4906.857	-2613.636	26013.262	752.2719519138336	39.593260739978994
20	527.02563	356.21628	1788.3031	96.590004	221.25427	40.265675	337.8399	185.00818	251.9	125.3	99999	2517.0618	845.74225	3633.308	-2243.9944	-2603.4785	22977.27	794.7901473045349	39.73950747251511
21	308.13824	236.72209	891.8361	28.370405	321.8523	225.78479	771.7677	81.4369	240.2381	307.5	104999	2469.6067	836.3476	3659.1384	-2506.2964	-2551.985	22454.3	838.6196961402893	39.93427148319426
22	421.29834	225.77989	847.69495	87.35299	486.05353	288.6238	946.70807	129.02489	378.18182	521.3	109999	2466.352	819.75525	3791.6743	-2704.4373	-2549.5679	20987.479	882.3773555755615	40.10806171460585
23	548.1977	417.50922	1526.3597	89.293236	441.86847	263.81238	985.5706	114.39257	448.6154	417.9	114999	2517.871	818.23236	3928.4277	-3472.256	-2599.98	20156.037	924.6607730388641	40.2026423993318
24	302.7859	315.8133	1149.917	22.409754	268.95468	273.8907	871.5763	78.631165	265.44446	260.8	119999	2529.015	820.9504	3934.7896	-2706.9563	-2609.6345	22702.701	969.700117111206	40.40417164564133
25	371.5424	290.4086	1205.0228	12.32959	158.97128	108.990715	364.83212	50.336323	282.66666	150.2	124999	2532.8308	807.2189	3865.9856	-2258.5776	-2612.796	21418.049	1010.3486964702606	40.41394795417786
26	297.68488	105.534195	496.27628	94.93019	287.53625	77.11445	504.13245	206.56557	215.04347	142.8	129999	2535.7017	793.2598	3817.6865	-2717.547	-2613.6133	21403.695	1051.377362728119	40.43759094751798
27	318.01367	194.6818	789.3406	87.22595	681.26965	610.41846	2210.7542	140.073	155.72728	369.1	134999	2579.5564	804.7432	3920.8154	-2757.4277	-2659.784	23949.445	1095.5092566013336	40.57441699946368
28	373.6734	244.43617	904.1734	35.286034	37.925785	10.548441	54.394085	22.395952	171.6923	69.0	139999	2574.0325	829.9402	4127.5576	-1698.376	-2649.7375	23581.885	1136.266063451767	40.5809309227126
29	201.55865	335.99597	1105.4772	12.520436	40.989754	23.489723	77.31824	24.820353	185.28	84.1	144999	2587.5789	841.44385	4395.8623	-2242.4534	-2665.9211	23449.037	1176.0035467147827	40.55184651243275
30	292.23587	273.31046	778.67084	21.446867	1006.18567	269.49307	1367.1835	560.6027	392.53333	730.6	149999	2653.4775	855.6145	4298.1543	-2916.5042	-2732.3022	24325.08	1222.5454087257385	40.75151369571686
31	771.23535	425.27167	1374.4788	45.092808	995.01105	1.3189783	996.9182	992.85956	663.1429	1000.0	154999	2638.3096	845.06226	3928.7966	-3529.9565	-2714.9983	23888.756	1268.804262638092	40.92916983942832
32	936.3407	352.95746	1362.2279	278.6828	939.55096	347.6601	1375.8118	161.82326	769.8571	675.2	159999	2597.762	824.4581	3863.1265	-2751.8787	-2672.6543	22075.252	1313.222466468811	41.03820215165615
33	646.0408	428.5933	1283.9856	101.15859	121.03499	14.217822	151.97113	103.662575	549.8889	128.2	164999	2562.457	798.88776	3741.2153	-1959.7142	-2633.9153	20344.994	1355.3737342357635	41.07193140550093
34	372.90738	271.8081	855.5174	36.545296	691.73175	454.76248	1395.9801	188.71222	331.4	617.4	169999	2504.414	762.5443	3685.7085	-2564.6716	-2573.7861	20450.816	1400.021150112152	41.17709272048052
35	440.93127	354.7567	1494.2925	44.16444	516.4705	406.69083	1693.0112	240.12125	269.75	276.2	174999	2425.0444	729.1416	3630.275	-2118.4644	-2489.5867	19583.363	1445.7829222679138	41.30808354786464
36	497.12927	545.58295	1717.4031	97.19645	354.22266	266.03674	1076.4337	106.02706	322.22223	198.8	179999	2359.1086	700.2645	3499.1948	-2609.455	-2419.3997	17263.729	1489.2114462852478	41.366984731621216
37	250.36261	192.06654	999.8767	78.366776	611.4372	297.82727	1334.45	342.10382	196.70833	454.6	184999	2283.476	684.2739	3322.1729	-3038.5386	-2342.2812	16330.957	1532.981108903885	41.43192192670461
38	766.80005	511.63278	1449.9437	43.878445	106.514015	136.49414	450.57254	29.121462	584.1111	121.6	189999	2221.34	656.9709	3324.355	-1821.345	-2277.419	14555.616	1575.0262622833252	41.448059596513446
39	459.27707	342.7827	1158.3507	35.78886	348.21054	185.34167	670.9018	89.3027	320.84616	289.8	194999	2136.7493	619.65753	3111.7517	-1756.4816	-2189.0413	13215.837	1619.2607779502869	41.5195071880634
40	921.4472	764.146	2206.5793	14.943093	491.8376	188.06546	787.2487	194.55247	445.92307	255.7	199999	2060.5034	591.2034	3045.8748	-3023.7202	-2110.2007	12748.852	1661.3143191337585	41.53285804390907
41	570.7813	371.73257	1459.2194	26.287113	1462.3564	541.5288	2122.0742	575.84625	257.94446	698.8	204999	2029.2671	581.93787	2988.6775	-1745.9357	-2079.381	12284.424	1707.5281825065613	41.64702889977432
42	756.1682	476.784	1841.1	22.860184	951.3524	598.41425	2131.2688	181.70895	333.0625	416.9	209999	2026.798	590.0818	2938.7527	-1723.8173	-2076.4153	11594.406	1753.586844444275	41.752067775953385
43	963.2485	507.62567	1933.4717	142.2221	986.7127	618.25934	2362.7144	150.8555	360.53845	384.4	214999	2015.9207	598.5913	2865.4956	-1766.672	-2065.599	11344.292	1798.6778585910797	41.82971769155458
44	783.3158	532.603	2017.962	47.088814	714.7995	705.79913	2298.976	97.01827	310.94116	316.1	219999	2000.3652	605.1452	2900.7666	-2140.0874	-2051.2163	11347.983	1842.2308382987976	41.868882737376474
45	1023.70764	545.9096	2260.5803	85.837906	1223.1533	521.30237	2028.4895	403.27054	470.6	562.0	224999	2006.339	612.0972	2897.2737	-1729.7896	-2057.3276	11533.3955	1884.7756004333496	41.88390227423774
46	1068.5281	608.7235	2288.0908	364.97412	84.48782	39.565968	128.1218	41.135036	523.5	71.1	229999	1999.9772	611.4856	3117.0723	-2111.119	-2049.7449	10992.825	1924.8155698776245	41.843816788300224
47	447.17422	406.04733	1533.0496	45.715183	957.2318	120.065254	1011.1675	597.4642	293.86667	938.6	234999	1976.2339	616.99646	3416.4768	-2285.274	-2025.3126	11555.81	1968.6502306461334	41.886175170857854
48	926.45416	311.39807	1307.0223	279.4223	1031.7861	3.1085694	1035.7905	1026.1277	881.1667	1000.0	239999	1979.4985	621.1644	3499.5369	-2146.4485	-2030.8994	10740.799	2012.922350883484	41.93588235477606
49	714.32153	458.46558	1209.1545	47.43104	990.8346	190.25746	1144.0149	432.37134	651.5	921.9	244999	2017.6476	613.3567	3384.5251	-1515.0773	-2068.8755	10839.502	2060.0213763713837	42.041252632530366
50	523.72565	323.67368	1043.5729	244.18515	852.4723	302.3941	1257.358	549.15485	415.81818	549.7	249999	2052.2803	572.15546	3240.3115	-1836.1969	-2104.8528	11642.073	2106.1525053977966	42.123050155639646
51	486.56296	350.63873	1487.4764	185.38164	353.24057	135.697	525.68396	213.9041	224.2	149.2	254999	2016.9961	546.6328	3128.4167	-1860.952	-2066.711	11878.672	2150.046975374222	42.157783877615834
52	452.07965	293.93417	1332.7612	119.327934	764.4796	178.91817	1059.3306	510.17062	171.82759	243.7	259999	1947.6364	521.3065	2720.365	-1810.4104	-1993.9114	11132.452	2192.1960089206696	42.15761560201645
53	414.62656	209.62007	1177.4187	197.40942	630.9772	209.73187	1131.5201	419.95386	146.97058	264.3	264999	1892.4763	516.49286	2675.6445	-2158.5486	-1938.0636	10045.706	2232.9088504314423	42.13035570450549
54	581.47296	380.72867	1311.1431	187.59618	806.17944	319.37344	1386.9504	331.65366	253.6842	416.8	269999	1894.8705	530.4665	2731.5608	-1876.9862	-1940.7538	10397.607	2276.8064930438995	42.16308325308341
55	831.0265	394.50595	1352.8632	81.939606	1163.3429	520.78265	2366.8396	734.1321	658.0	480.9	274999	1875.0435	532.2721	2712.606	-1745.454	-1918.306	10029.547	2319.183064222336	42.16696488640525
56	671.1544	414.5536	1084.0466	25.401789	983.571	153.29063	1050.1106	528.28516	632.6667	923.3	279999	1797.7786	518.64557	2612.1062	-1742.8807	-1836.5388	8837.161	2366.863510131836	42.265419870615005
57	367.30682	315.38885	1215.8424	105.51497	1033.8813	523.54517	1688.8334	259.6156	237.80952	645.3	284999	1703.759	495.00146	2374.0498	-1628.6478	-1741.0416	8404.895	2409.414763689041	42.270434500878316
58	1696.8685	424.24872	2195.032	1137.431	1660.0242	642.77496	2176.7007	495.24933	892.6	797.3	289999	1637.1443	473.51666	2477.9521	-1273.3175	-1673.5144	7658.616	2453.6990327835083	42.305155778753345
59	536.4661	442.6099	2009.8059	22.298807	218.8547	6.870814	229.0705	209.55354	204.48148	113.3	294999	1621.3839	480.68546	2510.1072	-1503.686	-1659.709	7195.2114	2494.791361808777	42.28459939714205
60	579.08655	659.8146	2673.2178	186.37248	643.60803	69.94368	775.84845	570.01996	239.7	290.1	299999	1667.6956	529.3626	2611.7795	-1544.2455	-1706.5004	7530.6714	2535.848378419876	42.264139676094054
61	1527.5546	494.00742	2136.5046	750.67993	1031.9365	0.66661423	1032.9889	1031.076	753.3333	1000.0	304999	1660.4277	524.9439	2493.9805	-1795.5503	-1696.7468	7208.91	2582.223301887512	42.33152958213306
62	1057.9999	36.565147	1130.6688	1033.9196	1061.1145	27.65669	1131.0007	1041.5552	1000.0	1000.0	309999	1587.3922	485.4321	2314.9658	-1390.3575	-1619.9907	6039.8735	2627.5039296150208	42.37909568125202
63	1168.1487	173.33694	1489.6372	1043.651	932.355	401.18842	1457.4293	315.13184	970.6	711.8	314999	1509.4403	446.27634	2147.387	-1473.4235	-1541.0692	5581.723	2671.257626056671	42.40091473715646
64	679.37177	421.715	1308.9797	176.30511	438.49774	417.18573	1571.6042	159.1722	489.27274	308.8	319999	1453.233	424.0798	2180.2688	-1604.7074	-1483.7817	5317.074	2713.8709585666656	42.404233764857054
65	710.87885	548.1473	1658.4392	59.944317	1054.802	611.84125	2279.0837	379.09473	375.42856	432.4	324999	1398.34	400.62515	2079.6626	-1452.0096	-1427.0974	5171.9976	2759.0477900505066	42.446889114379886
66	924.5319	727.041	2344.7417	184.84406	600.7148	497.5337	1584.9731	234.18506	389.46155	299.1	329999	1348.5314	382.2428	2065.4614	-3072.3254	-1376.9893	4834.435	2801.987357854843	42.45435394662799
67	824.54395	726.7213	2569.2554	211.0845	183.24478	41.072052	274.05035	150.4849	341.86667	94.5	334999	1312.9241	373.31445	1991.1791	-1593.0616	-1339.9633	4680.054	2847.1594660282135	42.49491743543255
68	637.9959	575.9693	2655.5352	248.26826	962.26575	353.16315	1735.3395	527.56506	254.5	491.4	339999	1279.5565	364.50916	1937.8585	-1198.9895	-1307.2158	4375.8623	2893.5292031764984	42.55190007826861
69	885.7274	784.0768	2285.0066	26.098415	884.55066	263.01785	974.64844	95.55974	482.5	915.7	344999	1261.2987	359.88208	2265.222	-1669.4963	-1288.2568	4273.347	2939.327496767044	42.59894925960596
70	848.2725	369.4844	1455.57	338.40817	469.7646	62.442467	554.94904	363.45563	399.35715	162.0	349999	1299.711	386.1597	2301.5476	-2656.4587	-1331.3142	4566.4614	2981.298590660095	42.589979907444544
71	739.78577	308.64285	1591.3779	320.20074	1052.558	3.0542717	1059.0615	1047.0802	318.8	1000.0	354999	1397.1351	436.64465	2307.502	-1347.1516	-1429.3812	4961.7847	3030.2854840755463	42.68007727072273
72	1030.4114	451.8544	2010.6818	456.38382	1344.7349	560.3532	2417.22	760.4155	428.0	501.7	359999	1423.568	450.46954	2554.1929	-1486.5953	-1456.6783	5218.8145	3074.1296541690826	42.69624522659514
73	1311.4974	715.9088	2330.6719	317.1806	320.7644	50.408783	439.71234	282.3718	629.6667	187.0	364999	1485.5437	477.0861	2566.072	-1439.7141	-1518.4764	5097.56	3115.4723196029663	42.677703040919894
74	889.6789	602.87524	1825.592	369.22073	1032.4801	0.58067966	1033.8755	1031.85	503.66666	1000.0	369999	1451.7466	462.9986	2159.3406	-1529.5894	-1480.8716	4963.3223	3158.6149077415466	42.683985265525614
75	1013.44977	232.37598	1365.6003	568.6631	1154.4214	273.00677	1590.105	783.67883	888.8333	782.1	374999	1385.694	439.8664	1964.2535	-1549.2877	-1413.5006	4545.7026	3203.8567159175873	42.71808958053589
76	860.10693	299.26996	1133.5032	361.65143	528.4924	257.06146	920.4571	230.70421	761.1429	614.1	379999	1346.3086	420.46487	2190.7583	-1671.3959	-1374.0374	4375.4834	3250.810891866684	42.7738275559325
77	345.9703	242.23613	1155.7266	77.37528	1576.5193	451.00223	2075.8105	714.8453	243.52632	750.0	384999	1331.6093	415.76385	2360.6335	-1314.7479	-1362.446	4596.125	3296.705924510956	42.81436269004624
78	942.1675	670.0308	2225.7573	262.8215	1296.3007	603.4573	2090.5579	403.2484	418.41666	602.8	389999	1473.9008	494.61554	2402.8035	-2629.8604	-1510.3383	5332.1694	3340.910055398941	42.832180231045456
79	1182.7354	521.5308	1808.7092	349.1026	1223.4614	233.20279	1457.4482	604.44055	703.4286	891.6	394999	1516.707	512.1253	2316.6045	-2289.5798	-1548.0872	5481.9995	3383.392297744751	42.82775063152555
80	939.9574	483.24603	1428.3334	223.58366	773.85297	89.32062	906.65686	599.26135	748.4286	978.2	399999	1441.3629	448.7561	2206.0886	-1511.6311	-1469.0166	4923.99	3425.8375997543335	42.82297002673149
81	278.2316	256.96124	903.67804	37.32765	286.61942	183.96484	623.174	84.03239	403.08334	305.2	404999	1357.2697	397.4214	2027.9606	-1794.3124	-1383.1416	4372.3	3467.058669090271	42.803193472049855
82	1085.8766	363.60846	1415.5986	377.44983	1446.9769	48.2209	1513.2128	1330.8173	891.8333	1000.0	409999	1279.7473	364.6037	1833.5581	-2211.4263	-1303.425	3971.9136	3509.3239510059357	42.79663357502076
83	765.48846	447.04715	1353.7015	149.76166	1122.7444	124.90128	1375.6177	946.39026	687.5714	933.4	414999	1225.3243	337.3239	1765.2538	-1459.6622	-1248.4272	3374.891	3551.396676301956	42.7879117913993
84	1555.7269	575.448	2045.4088	348.56564	697.74835	431.663	1148.4216	122.20227	732.0	619.8	419999	1183.5631	328.84293	1711.1038	-2074.9685	-1205.4668	3226.368	3592.540591239929	42.76834039744877
85	920.5745	389.41797	1482.0258	269.1761	1177.7478	526.4695	1912.7972	560.90045	577.6	659.7	424999	1132.7018	311.97617	1619.906	-1173.8846	-1152.9395	2902.3755	3633.518468618393	42.747276129442106
86	1335.4204	742.3894	2604.0771	524.3667	903.38214	819.526	2544.3308	454.41135	540.0	366.0	429999	1082.3759	302.7116	1585.8529	-1277.0405	-1102.2438	2722.2288	3672.8816344738007	42.70792600443197
87	1997.589	748.67804	2573.5981	354.9249	1895.5652	983.66425	2795.3013	300.82263	836.0	677.6	434999	1058.5496	297.85474	1563.1562	-1146.1104	-1078.7754	2583.6167	3713.9642090797424	42.689243812670654
88	1071.7823	727.9858	2583.1145	401.2161	1913.4304	671.6041	2626.6272	853.3159	385.2	731.7	439999	1041.0206	294.80618	1618.1979	-1437.9456	-1061.1094	2444.2222	3755.3872339725494	42.67485495588996
