Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time	AVG Time Per Epoch
1	55.37741	17.761717	193.40916	26.758932	27.615997	2.4123006	34.850708	26.689447	6.095122	3.1	4999	24.286848	13.162556	92.644905	-0.56711876	-22.297087	3.611772	27.86989688873291	27.869898796081543
2	54.611526	16.208801	119.48744	26.766174	26.821075	0.045466103	26.875336	26.726225	6.012019	3.0	9999	26.625626	13.523341	123.46194	4.9898834	-23.94119	2.5813675	62.468299865722656	31.234150886535645
3	29.437471	3.8861122	53.77681	26.637053	27.60554	2.4280338	34.885544	26.645979	3.3149867	3.1	14999	25.241423	12.81653	131.11565	5.539559	-22.80565	2.398123	98.7925124168396	32.930838187535606
4	29.351658	3.8052783	35.654266	26.61109	29.19971	3.6876173	34.857185	26.71131	3.3046927	3.3	19999	23.714031	12.182757	136.68889	5.914072	-21.543783	2.2644799	135.38721799850464	33.84680497646332
5	29.235804	3.7534642	35.805626	26.616365	27.623272	2.4520116	34.975037	26.625523	3.2901316	3.1	24999	23.145506	11.759099	124.3567	5.909675	-21.10305	2.1324685	171.96115159988403	34.39223074913025
6	29.260693	3.7616339	35.551617	26.593636	27.629953	2.445271	34.96359	26.690956	3.2938077	3.1	29999	23.18021	11.917835	147.00414	5.1675344	-21.212591	1.9383554	208.94337487220764	34.82389612992605
7	29.393362	3.8210022	35.546074	26.625738	26.813	0.06554844	26.892199	26.65686	3.3099337	3.0	34999	22.78635	11.724054	144.53969	3.9910028	-21.010963	1.7443575	246.0442521572113	35.14917918613979
8	29.488008	3.857404	35.819927	26.621159	28.415379	3.2235246	34.890205	26.680498	3.320717	3.2	39999	22.469917	11.3377075	147.83627	4.7779284	-20.802134	1.6329848	282.9022886753082	35.36278638243675
9	29.338486	3.7939525	35.67936	26.617783	27.60491	2.4288898	34.889137	26.666922	3.3031704	3.1	44999	22.263676	11.149134	127.87244	5.032675	-20.666185	1.5607035	320.1074070930481	35.56748988893297
10	29.479033	3.8517952	35.62421	26.612408	26.834743	0.035538115	26.875263	26.762232	3.320053	3.0	49999	22.06999	10.932118	146.03754	3.5746272	-20.537266	1.4950058	357.2157235145569	35.72157256603241
11	29.372473	3.8126752	35.607777	26.591446	29.227808	3.7007754	34.921284	26.710854	3.3068783	3.3	54999	21.919468	10.873143	128.93613	4.897568	-20.412045	1.4440644	394.4267885684967	35.85698099569841
12	29.274906	3.775133	35.657207	26.6039	30.037415	3.9625015	34.971386	26.75464	3.2946606	3.4	59999	21.82619	10.686086	133.15576	3.569244	-20.367466	1.3647032	432.2457401752472	36.020478546619415
