Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time	AVG Time Per Epoch
1	-43.212944	3.7523773	-33.66418	-51.204548	-9.300277	2.2977774	-6.89808	-13.71662	50.0	50.0	4999	-2.0931783	0.8957703	1.0362133	-6.6820464	1.3781184	0.05291222	24.394409894943237	24.39441156387329
2	-42.944405	3.71403	-34.655804	-51.762695	-8.222493	1.3010195	-6.716817	-10.265013	50.0	50.0	9999	-2.1525936	1.5487059	5.662969	-7.750511	1.3140758	0.069030076	54.580034255981445	27.29001820087433
3	-10.818559	2.573241	-4.2095647	-17.743979	-7.4358077	2.3518784	-3.8410218	-11.4020405	50.0	50.0	14999	-0.56074715	1.8514848	7.368291	-6.9429913	-0.20096743	0.10974607	85.67208003997803	28.557360649108887
4	-9.30602	2.5559576	-2.7445948	-15.69787	-8.00284	3.3922448	-3.16534	-14.235369	50.0	50.0	19999	-0.18053417	1.8396063	9.149258	-6.705887	-0.43671727	0.12989302	116.96931910514832	29.242330312728882
5	-9.535135	2.9607363	-4.161982	-18.267569	-8.842508	2.8451447	-3.4363708	-13.008441	50.0	50.0	24999	0.43145978	2.703449	14.835204	-8.622274	-1.0563147	0.43019965	148.25694799423218	29.651389932632448
6	-13.033242	3.8577225	-6.136167	-24.667946	-13.716772	6.879146	-7.0016503	-29.278957	50.0	50.0	29999	4.2526345	6.160579	40.032448	-9.623888	-5.4183493	3.3111124	179.76926231384277	29.961544076601665
7	-20.363718	10.528444	-6.1954174	-74.83689	-19.219482	3.7455668	-13.762508	-25.332102	50.0	50.0	34999	17.623514	15.14791	129.16939	-10.118647	-20.941021	32.71111	210.97607612609863	30.1394396850041
8	-38.35103	12.760256	-15.793069	-84.93422	-48.24824	13.566454	-24.265644	-67.63726	50.0	50.0	39999	59.79627	36.638622	302.29395	-25.04455	-69.66246	330.6295	242.5802252292633	30.322528421878815
9	-46.305733	12.892688	-20.883268	-87.60932	-31.853104	10.306443	-20.566778	-54.147766	50.0	50.0	44999	147.93063	75.0548	547.5232	-80.965385	-169.50485	1781.433	274.0848388671875	30.453871223661636
10	-38.878117	10.642368	-16.537718	-68.87306	-33.90441	11.967085	-17.470448	-58.403645	50.0	50.0	49999	275.48865	124.21878	938.9961	-111.96233	-312.901	6053.545	305.62101340293884	30.562101578712465
11	-41.223286	11.365081	-11.647923	-69.94704	-38.63523	12.441531	-24.512535	-71.791664	50.0	50.0	54999	458.09506	185.275	1462.5425	-185.58394	-518.39	17149.736	337.3890564441681	30.67173259908503
12	-37.58927	11.555763	-15.307553	-63.695774	-48.15873	4.076956	-39.47225	-54.839264	50.0	50.0	59999	691.38025	281.6163	1913.0731	-135.36786	-776.2562	36050.03	368.8744013309479	30.739533603191376
