Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time	AVG Time Per Epoch
1	1.3039726	5.212435	21.456877	-9.36038	86.24567	28.0048	149.48468	55.02885	19.594488	199.7	4999	23.664692	20.317947	105.01135	-31.187956	-29.84741	5.6235447	30.586134672164917	30.58613657951355
2	2.9945402	6.4776216	25.766275	-9.118824	-19.942396	9.62239	-12.563265	-40.40071	21.830435	76.5	9999	179.1363	96.35849	443.35602	-207.32695	-209.33014	201.55693	67.99778914451599	33.9988956451416
3	-0.32377088	51.446186	286.78973	-77.12707	-19.189035	2.071606	-15.601928	-22.74022	70.43662	35.8	14999	484.9911	182.27904	1057.4535	-295.3335	-541.15015	1575.2516	106.3131275177002	35.43770988782247
4	20.676405	77.702965	335.8961	-60.534157	103.765625	100.39082	300.33252	7.600263	117.68293	136.6	19999	784.67456	252.51904	1514.3053	-349.59756	-848.7544	3272.639	145.25971698760986	36.31492978334427
5	94.60464	103.32772	308.85196	-143.2679	24.520388	95.889366	273.55783	-86.54136	154.81818	146.6	24999	1082.1138	330.65625	1870.4592	-582.0815	-1156.1821	6363.5806	184.66511058807373	36.933022594451906
6	19.556099	91.5446	333.30566	-88.64817	89.76709	91.93464	240.49966	-57.43377	163.0	142.4	29999	1373.3815	397.02634	2137.071	-837.3461	-1453.4176	7750.341	224.6928083896637	37.44880187511444
7	94.274765	114.56344	327.20886	-134.4029	44.844902	87.02686	220.26682	-66.71147	166.34483	161.3	34999	1571.1559	451.83093	2303.8481	-800.6181	-1652.8435	9381.562	264.5894432067871	37.798492193222046
8	108.26074	113.2314	403.8537	-105.52128	18.09776	88.69649	249.46837	-71.38225	184.14285	142.3	39999	1715.3287	477.2035	2458.6453	-3349.3486	-1796.8492	9418.82	305.9681305885315	38.246016561985016
9	77.19421	112.5945	426.48224	-134.46843	76.546745	127.780624	385.80475	-115.22303	110.46667	224.3	44999	1780.2721	504.5535	2600.5396	-1321.6201	-1858.3907	10506.861	346.90785098075867	38.545316987567475
10	75.91282	121.99964	413.54376	-104.43022	57.10243	52.779713	165.05643	-10.376999	162.90323	127.2	49999	1773.2278	528.13385	2590.3706	-1285.0363	-1847.1696	9871.482	386.2622649669647	38.62622671127319
11	33.27051	89.66561	343.17505	-67.4388	130.11667	208.74643	550.28894	-25.790968	145.81818	204.0	54999	1736.3936	540.55505	2585.4268	-913.3801	-1803.9084	9966.157	426.2344675064087	38.74858815019781
12	125.3402	138.66449	433.909	-42.65096	88.05025	143.58028	381.34247	-90.56058	183.32143	225.1	59999	1697.0449	550.78424	2583.0562	-1073.4861	-1759.218	9256.744	466.76385951042175	38.89698849121729
13	103.207306	135.11536	554.23987	-115.85588	-26.43124	21.019907	11.943884	-55.7927	193.16	97.6	64999	1637.4562	555.1242	2574.779	-1221.9198	-1695.7528	7757.1606	506.81960344314575	38.986123488499565
14	44.817856	111.137794	341.1163	-119.69495	29.456024	34.795887	118.63368	-9.053402	196.11539	117.9	69999	1578.0576	545.036	2562.0813	-1519.0312	-1632.8883	7594.9688	546.743723154068	39.05312325273241
15	114.55122	186.7667	667.92065	-100.02182	100.158165	127.11352	388.83853	-39.9302	201.76	143.5	74999	1529.264	527.8056	2485.0889	-898.76447	-1580.149	6931.417	586.7384748458862	39.1158984820048
16	124.06449	110.9435	365.7537	-122.29947	305.85696	213.4806	859.6969	136.16992	188.11539	307.9	79999	1471.3842	508.96008	2496.117	-1063.162	-1519.0406	6548.7656	627.6439304351807	39.227745816111565
17	152.20903	100.61773	373.22195	-45.090813	318.6563	390.66156	942.7536	-13.842519	205.34782	401.5	84999	1423.757	494.1882	2350.2598	-907.4696	-1469.6353	6204.143	668.6773991584778	39.33396479662727
18	181.61223	239.67867	673.65765	-124.285904	53.512585	117.62449	326.93573	-152.02129	297.6111	182.2	89999	1406.8284	476.21643	2239.6328	-1110.847	-1451.8373	6411.3066	708.9236288070679	39.38464615080092
19	117.117714	123.500175	544.89667	-125.65892	158.50887	95.90605	337.50192	-25.340252	208.625	202.3	94999	1394.3455	458.6803	2237.985	-915.6668	-1437.7213	6117.5674	751.7157571315765	39.563987355483206
20	106.96021	148.83488	724.9016	-36.92268	106.881615	210.64632	378.84317	-359.8591	153.36363	257.0	99999	1377.2334	448.11768	2357.9023	-947.43567	-1418.6941	6377.717	793.1672036647797	39.65836037397385
21	81.45691	184.2007	754.4281	-147.09558	75.68188	61.708588	175.49608	-53.20951	220.90475	166.6	104999	1364.9286	446.71658	2480.1487	-856.4261	-1406.1708	6709.0527	833.7510681152344	39.70243196260361
22	143.08975	147.32466	665.6903	-102.28841	395.81607	393.0971	1159.5289	-100.71691	163.19354	396.0	109999	1375.0118	449.5284	2584.8894	-1087.9594	-1416.9882	6896.217	888.8024663925171	40.4001122713089
23	137.12427	138.98105	589.1708	7.8594317	64.54569	92.0507	186.09956	-124.8974	150.97144	129.6	114999	1398.2739	453.17834	2615.0884	-1088.1398	-1441.099	7228.668	942.541440486908	40.98006272315979
24	73.30788	160.24767	647.4113	-406.40134	126.18886	134.85551	418.5194	-50.48503	169.34483	199.7	119999	1408.369	452.9849	2579.783	-1051.184	-1451.6136	7506.01	995.5434756278992	41.48097829023997
25	80.9663	132.34328	623.3793	-34.654716	78.669785	48.642605	172.91772	20.698849	204.64	115.5	124999	1423.2485	454.27945	2605.5059	-1004.3624	-1467.3698	8033.3374	1047.8769228458405	41.91507703781128
26	115.26467	108.27566	413.26022	-51.879864	137.8652	250.38765	841.5187	-37.58308	160.54839	324.1	129999	1473.5299	471.0145	2610.1826	-1368.3894	-1519.9655	7965.218	1100.5255255699158	42.32790500384111
27	97.10906	145.60513	399.25873	-193.11014	24.733427	44.608818	125.65123	-41.566082	208.95833	139.3	134999	1506.0864	476.64658	2617.297	-920.07263	-1550.7546	7917.8247	1152.2627413272858	42.67639794173064
28	103.843094	182.9323	987.0042	-106.61355	142.95541	159.25676	572.1118	-33.56823	165.86667	182.9	139999	1509.8213	472.90735	2899.8267	-879.6075	-1554.9882	8085.6826	1204.5779013633728	43.02063943658556
29	100.75686	123.11863	430.70435	-151.14395	191.27419	119.29409	398.499	10.564005	166.86667	120.0	144999	1530.2211	482.08743	3253.5576	-1615.0992	-1575.9854	8838.476	1257.0100026130676	43.34517263544017
30	224.38153	210.12218	915.866	-73.74975	30.056427	112.928955	191.33652	-245.2292	208.83333	145.7	149999	1527.9323	483.1006	3314.642	-1383.6549	-1572.258	8716.682	1308.5592436790466	43.61864155133565
31	97.66617	165.58122	947.7156	-112.199936	20.28947	72.99825	229.1815	-35.716644	122.17073	85.6	154999	1530.5001	483.85815	3715.9204	-1317.1946	-1575.403	9952.79	1360.1832132339478	43.876877938547445
32	87.490036	140.06895	371.78885	-172.7965	28.688528	113.74741	208.04279	-107.64058	178.92592	171.8	159999	1553.9824	499.35294	4001.9333	-1082.5469	-1599.2052	9828.917	1412.0169248580933	44.12552899867296
33	-1.3991004	103.720184	395.55933	-173.06818	-30.55421	114.00126	188.2524	-159.4589	153.44118	235.4	164999	1605.6685	523.25024	4130.6953	-909.63837	-1653.2529	11319.932	1464.9843633174896	44.393465641773105
34	-93.95722	177.77191	166.92404	-755.71625	-15.7847	99.02887	96.63599	-290.45422	236.61905	168.1	169999	1692.3649	547.3754	3881.2234	-1353.8582	-1742.7352	11943.156	1517.373587846756	44.62863502081703
35	16.62473	120.1726	333.96164	-348.44183	160.1446	141.44214	433.16818	6.533365	137.44444	207.8	174999	1764.4556	567.9437	3541.511	-1300.135	-1816.0166	13066.715	1569.376456975937	44.83932741710118
36	168.05025	269.956	954.3528	-32.27628	21.298412	56.333534	159.18648	-47.544952	250.0	151.3	179999	1801.8839	576.12976	3219.7817	-1218.5376	-1853.6686	14023.498	1622.0995750427246	45.05832162168291
37	80.24271	95.184944	286.4931	-194.77043	43.01229	26.281475	99.525795	14.7873335	149.27272	128.4	184999	1783.0398	564.1106	3070.051	-2289.8887	-1832.3553	14398.138	1674.0272805690765	45.24398063324593
38	46.186176	180.99435	491.27548	-333.4649	78.40204	102.42916	300.683	-3.1539888	206.25	177.3	189999	1737.6769	546.8457	3160.41	-1485.6768	-1784.9872	13291.9795	1726.4799592494965	45.4336832197089
39	163.60666	259.2653	992.1852	-188.34912	445.34848	356.56223	1045.343	4.669882	239.05	464.1	194999	1706.5397	529.2208	3271.645	-2527.915	-1753.4094	12767.957	1780.8725764751434	45.663399464044815
40	151.44623	188.01082	792.941	-108.87545	80.7186	265.21698	869.4803	-91.41348	218.58333	186.1	199999	1693.3229	516.726	3413.4988	-1825.1288	-1739.6752	12581.403	1833.7183413505554	45.842958617210385
41	46.069626	123.65919	365.8626	-150.75026	2.2415223	146.23392	316.04318	-220.50305	198.76923	265.9	204999	1680.5438	509.80576	3468.7004	-1499.4393	-1726.0648	12168.753	1886.936982870102	46.022853322145416
42	20.4942	161.10236	453.41724	-282.83618	129.92778	127.01008	264.0201	-187.74614	167.96552	163.0	209999	1655.6171	504.44357	3401.994	-2097.7727	-1700.3424	11783.587	1940.4002957344055	46.200007115091594
43	101.34556	126.50425	435.98846	-125.030266	52.096783	124.16503	262.30637	-175.11026	209.68182	251.5	214999	1636.1764	498.90268	3267.3027	-1810.4666	-1680.5172	11624.975	1993.0351374149323	46.349654413932974
44	221.6507	331.40237	1279.2612	-48.621445	176.83804	332.06067	848.2528	-144.09088	300.05554	284.2	219999	1627.136	489.65292	3136.5327	-1507.9813	-1670.6711	11165.749	2045.9250638484955	46.49829696525227
45	95.0149	115.91205	411.84735	-71.7674	252.51163	147.18562	598.0165	58.030224	189.92308	260.2	224999	1623.7606	483.4636	3109.2036	-1484.3944	-1668.5154	11193.157	2098.8405334949493	46.64090079731412
46	204.20767	200.52437	644.8251	-29.762657	175.35703	62.543118	280.00696	55.95743	318.5	218.9	229999	1618.3663	475.3099	3187.2148	-1686.5447	-1661.5662	10459.286	2151.5986812114716	46.77388443117557
47	119.78569	118.73594	451.47263	-72.71572	132.32013	91.67638	384.95905	59.11694	230.86363	308.2	234999	1612.7512	474.87576	3542.8484	-1206.047	-1656.6025	10521.012	2204.7524087429047	46.90962577880697
48	50.860962	131.94705	362.26532	-181.4717	144.64725	150.33078	540.66016	10.619589	237.2381	272.4	239999	1633.2958	476.2897	3587.7744	-1480.1124	-1677.7094	11107.936	2257.3663442134857	47.02846555908521
49	40.22856	137.31049	455.69086	-194.22946	195.47427	229.56557	794.3407	-102.60059	224.59091	268.1	244999	1653.5575	481.6499	3584.6423	-1071.6714	-1697.4382	11816.967	2309.552104473114	47.133716466475505
50	172.63702	187.93742	731.44696	7.254598	238.98013	214.70236	730.7891	20.362263	206.13043	277.6	249999	1668.5345	486.62906	3545.7651	-2054.628	-1712.882	12217.965	2361.904546737671	47.23809099197388
51	107.60711	120.542175	341.92468	-185.6157	198.07755	212.80656	767.1962	28.892267	199.76923	241.5	254999	1666.5645	479.9582	3375.324	-1205.8392	-1710.274	11852.834	2415.260454416275	47.35804819125755
52	82.47538	196.84912	473.8348	-495.21497	124.811646	109.885735	328.97977	-64.656876	201.88	218.4	259999	1654.8751	476.93457	3200.805	-1938.3496	-1697.2598	11337.23	2468.236581802368	47.466088152848755
53	126.65878	234.47754	773.6477	-337.08655	196.64156	189.54704	556.151	23.079702	212.375	222.3	264999	1634.3795	471.129	3123.6604	-1339.2352	-1676.8668	10992.483	2521.4930896759033	47.57534139111357
54	155.25768	248.39966	807.4365	-229.48267	167.92589	102.04563	425.3597	21.77792	293.35294	146.7	269999	1617.1941	460.3565	3463.2205	-1384.6453	-1658.2343	10833.554	2575.0028927326202	47.68523881170485
55	165.8954	180.5872	500.06903	-279.01334	128.56229	46.074512	227.65823	42.10693	208.2381	169.6	274999	1594.7377	457.76	3604.8506	-1310.4995	-1634.8442	10376.7	2627.7086906433105	47.77652170007879
56	251.02281	274.51352	1090.1765	-62.421867	124.64262	83.737625	269.60333	-9.503996	255.04546	145.4	279999	1576.3041	451.97855	3590.0322	-1351.151	-1615.791	10369.875	2680.456648349762	47.86529734304973
57	224.20927	201.82195	962.3724	-28.549345	152.89725	186.04268	483.87146	-82.18262	217.56522	257.0	284999	1546.1859	445.38898	3472.0808	-1484.9259	-1584.4409	10262.221	2733.341269493103	47.953355642787194
58	16.770216	119.6212	218.02058	-296.72287	-2.1633866	188.6667	377.43848	-413.19632	200.36	357.1	289999	1508.3578	434.3086	3274.2456	-1680.1183	-1545.6613	9875.819	2786.99449133873	48.051629210340565
59	148.5887	162.27316	515.694	-268.85648	149.97687	70.24393	304.63474	62.644493	214.66667	159.8	294999	1475.165	420.23755	3250.4026	-2106.578	-1511.461	9396.141	2839.3224704265594	48.124109712697695
60	234.794	148.64354	577.2766	21.041422	254.20589	189.6737	695.2381	47.214226	198.14815	251.8	299999	1447.8065	413.2612	3208.6174	-1428.6251	-1483.6791	8849.586	2893.0347855091095	48.21724647283554
61	133.71385	155.19766	519.26666	-174.95157	223.88052	254.68808	884.43286	-0.8178146	189.92592	301.6	304999	1421.7435	405.3079	3198.6296	-1279.1238	-1456.8588	8570.629	2946.882390975952	48.309547455584415
62	136.1985	104.178474	380.22592	-74.1385	181.08882	186.07455	541.41766	-68.59178	149.69698	231.4	309999	1397.3799	400.96133	3210.249	-1335.2893	-1432.5955	8545.286	3000.430289030075	48.39403696598545
63	230.16138	291.01028	1208.4346	-73.94489	127.05492	176.12308	481.14615	-50.487843	225.31818	178.8	314999	1377.5219	396.84995	3162.6636	-1398.9255	-1411.9806	8531.526	3052.789763689041	48.45698042521401
64	120.0303	227.8002	765.7457	-176.68509	50.547077	135.40915	421.08014	-121.914375	223.82608	237.3	319999	1375.0062	396.18066	2965.1677	-1436.1014	-1409.758	8468.477	3106.417619943619	48.53777536377311
65	142.27574	235.51503	1090.9519	-215.99371	288.3485	134.69849	499.12036	100.291794	190.1923	177.1	324999	1370.6652	393.42172	2908.9082	-2399.1707	-1404.9496	8507.176	3158.7855632305145	48.596701035132774
66	192.84064	155.75502	455.53555	-65.96446	266.5577	197.50406	615.53894	-112.84182	228.45454	237.3	329999	1354.202	392.0882	2799.3445	-1742.0405	-1387.6741	8229.959	3211.6971204280853	48.66207762920495
67	312.23047	227.18002	859.04364	43.61721	357.49567	294.87332	1135.8844	62.820465	276.0	283.7	334999	1339.8296	389.8059	2754.6982	-1377.3542	-1372.4427	7718.5967	3265.734142065048	48.74230067053838
68	174.87794	129.61057	518.9333	-41.133896	14.527731	117.06685	307.0234	-108.601295	209.58333	200.5	339999	1323.4305	389.47366	2593.6006	-1433.1782	-1355.3224	7522.2666	3319.0619974136353	48.80973531568752
69	86.59292	154.88518	500.72107	-76.247116	75.54234	109.78408	337.28604	-10.812973	206.83333	221.3	344999	1298.3551	383.53378	2433.5505	-1927.013	-1329.132	6976.9087	3372.170923948288	48.87204241061556
70	175.57193	193.63963	727.41077	-197.36812	294.99426	238.84099	709.1227	34.613922	261.6842	350.6	349999	1259.1171	368.0692	2253.4878	-1657.5613	-1288.274	6461.229	3426.146960258484	48.94495661599296
71	118.41147	175.02733	703.6643	-116.7441	230.72823	148.81538	498.28702	59.47478	237.80952	256.3	354999	1223.6793	352.91815	2159.4038	-1197.7499	-1252.2026	6023.2344	3479.491567850113	49.006923521068735
72	172.64857	138.33922	472.64285	-43.602627	233.10051	136.32155	546.0965	104.125275	221.65218	177.6	359999	1184.6581	340.32684	2003.3743	-1234.2604	-1212.1106	5743.183	3532.8098471164703	49.066803475221
73	168.01282	172.70876	575.5915	-104.10067	174.91899	149.36691	555.75433	14.098419	206.95833	265.5	364999	1133.8198	325.69955	1880.5461	-1175.7825	-1160.1129	5347.708	3585.5282969474792	49.116826083562145
74	207.58372	180.48518	856.3464	12.047797	174.35197	122.08529	363.05948	20.18312	207.04347	188.7	369999	1085.3473	303.45227	1697.467	-2315.5396	-1110.0844	4898.413	3638.414864063263	49.167768465506065
75	141.69572	221.12694	857.6033	-157.89977	188.93497	208.58769	612.0373	-70.999084	250.0	360.0	374999	1034.6123	290.058	1646.9103	-1201.5774	-1059.049	4548.634	3692.5120379924774	49.23349387804667
76	144.21135	229.17007	672.117	-170.77374	184.77469	262.974	901.9808	-69.256935	234.57895	307.8	379999	992.62164	282.19092	1590.4849	-936.7982	-1015.47	4173.9146	3744.4290521144867	49.268803354940914
77	178.67574	226.185	585.66266	-175.16963	86.92757	202.00906	491.37845	-109.79924	286.8421	285.3	384999	950.5405	275.2108	1473.7465	-980.77844	-972.2366	3782.6096	3797.239713191986	49.31480150718193
78	79.22889	132.95415	456.94916	-66.24916	109.90798	172.1562	577.45325	-63.060844	264.3158	168.5	389999	908.2379	263.86832	1421.4935	-1030.5734	-928.4412	3358.492	3849.5263333320618	49.352901746065186
79	189.96562	190.53735	583.8679	-185.9789	-42.621586	132.80435	215.54118	-231.05434	207.125	260.9	394999	865.17	250.93724	1383.2931	-1493.2986	-884.6031	3145.7366	3903.527717113495	49.41174328478077
80	104.1729	140.95541	536.9287	-74.75221	-49.971043	65.83624	69.4697	-139.10391	229.2381	181.1	399999	831.16254	241.6072	1354.8195	-1290.1658	-850.1363	3011.1592	3957.068876504898	49.463360995054245
