Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time	AVG Time Per Epoch
1	-77.43597	108.37907	8.447197	-343.59848	-15.552528	50.209293	33.47903	-154.87253	245.2	139.3	4999	8.44186	6.17566	40.213326	-9.57488	8.441683	6.1755476	41.143585	-10.700352	-3.4852884	2.218134	12.9185705	-16.03391	-9.789969	1.5194656	33.168747425079346	33.168750047683716
2	-50.741035	76.88856	23.638695	-346.06287	-81.17253	181.42542	6.724383	-606.66296	149.35294	159.5	9999	31.151176	9.359795	67.764206	-8.953703	31.150764	9.357054	69.50317	-15.959974	-1.0300978	3.037551	28.35297	-16.536224	-32.988407	5.9043627	74.74390053749084	37.3719516992569
3	-126.12389	208.75446	27.96963	-728.8746	241.4759	258.46417	799.52185	0.13912225	324.92856	465.4	14999	46.823994	7.4511156	75.206924	-24.572464	46.82358	7.453622	75.265594	-24.602797	-2.0144186	2.6659472	26.261005	-18.69751	-47.955	9.1442175	119.9373664855957	39.97912303606669
4	-48.238102	82.791245	27.434742	-217.9061	489.66156	190.76006	804.4279	-5.7280397	324.9375	901.6	19999	45.460426	8.292531	77.903244	-29.660769	45.459213	8.298119	76.969505	-33.32583	-2.8135436	2.2132933	19.036541	-15.9984865	-46.26726	7.6293297	167.8358771800995	41.958969831466675
5	-9.390755	69.52401	61.307514	-191.27101	619.212	112.71055	814.7188	451.5413	308.41177	1000.0	24999	42.940437	7.8143587	74.264534	-36.72541	42.939747	7.810763	75.709656	-29.240526	-3.074613	2.0870948	22.256025	-15.212331	-43.659725	6.9631796	216.32775926589966	43.26555233001709
6	36.622765	32.36525	69.423676	-11.11101	614.32605	80.15779	766.49475	448.24808	594.8571	1000.0	29999	41.28325	7.0765243	71.131905	-19.874012	41.282825	7.074607	70.6782	-50.150925	-3.2730997	1.9499868	22.367748	-18.374798	-41.950954	6.4573083	265.0015666484833	44.166928132375084
7	56.055347	36.047874	148.25581	-6.6530085	505.74936	220.39714	854.5656	260.39023	486.83334	1000.0	34999	41.1639	6.591087	69.953224	-35.94192	41.16332	6.590682	71.35322	-26.544632	-3.2938917	1.9113535	20.373245	-14.551418	-41.84261	5.65757	313.56261563301086	44.794659682682585
8	81.99495	71.13109	197.28824	3.3239923	711.19055	249.92474	890.92035	35.641937	458.2	864.1	39999	42.201813	6.213034	71.54921	-29.452557	42.20107	6.2159586	71.17437	-34.447216	-3.2743573	1.8846093	27.28226	-14.135609	-42.872486	5.4378595	361.58327436447144	45.19790959358215
9	129.61421	69.92144	229.03223	17.183493	691.8532	184.66672	922.9441	227.99559	490.0909	921.2	44999	44.094746	5.891905	71.75457	-33.467888	44.094307	5.896103	71.31661	-34.89169	-3.297232	1.8698469	24.45438	-15.535158	-44.77555	4.9582276	409.67450642585754	45.51938984129164
10	114.57728	99.73238	356.70474	2.6377099	788.68494	257.8999	1085.3632	146.02519	334.6	907.9	49999	46.670696	5.7546854	72.13889	-38.310593	46.670425	5.7560515	70.959404	-25.366455	-3.275852	1.8616743	34.618942	-13.918558	-47.346836	5.186122	457.80170941352844	45.780171155929565
11	192.9949	93.21927	374.348	53.71485	700.91534	177.07788	898.0805	206.45973	565.625	922.3	54999	49.37861	5.8099794	75.20477	-34.88161	49.37819	5.810501	74.741035	-36.333744	-3.2416825	1.8748226	28.176281	-15.188229	-50.04651	5.37424	505.94325709342957	45.99484174901789
12	229.72978	121.057465	501.24988	83.73082	890.2501	166.68858	1051.2103	503.46942	523.9	892.4	59999	52.17529	6.1917024	77.72719	-30.352346	52.174915	6.1921062	76.98815	-27.233751	-3.1980126	1.8987681	26.50499	-15.556415	-52.83318	5.469294	554.1399612426758	46.17833028237025
13	197.46402	138.8761	443.3452	16.647406	902.62305	258.76373	1040.5098	135.8796	562.3333	910.2	64999	54.663506	6.6702504	78.73717	-30.982801	54.66335	6.669125	78.18346	-37.316147	-3.196119	1.8992658	26.324387	-14.557575	-55.309277	5.512108	602.3959801197052	46.33815246361952
14	236.17381	133.33012	367.43964	1.7964275	917.2998	88.022606	1003.3495	667.67035	731.2857	1000.0	69999	57.318123	7.0086093	84.92431	-37.672707	57.31814	7.0054092	83.89275	-42.729244	-3.1767893	1.9395027	27.32933	-16.175777	-57.969776	5.1575494	651.7673676013947	46.55481214182718
15	262.643	37.568504	324.8794	228.51468	628.8168	387.63712	1009.57806	124.44619	1000.0	639.6	74999	59.85455	7.2610283	89.2773	-41.67363	59.854553	7.2627597	86.74289	-58.390877	-3.196413	1.9473977	34.840004	-14.636324	-60.505276	5.188489	698.5280587673187	46.568537378311156
16	245.5025	170.40598	591.6926	53.751797	829.896	291.00726	1435.8376	265.3704	561.8889	921.6	79999	62.261143	7.535431	88.68483	-47.499996	62.261253	7.532034	88.49523	-32.347706	-3.199331	1.9742199	37.23991	-14.877703	-62.91855	5.1086416	746.2673406600952	46.6417089253664
17	183.99245	151.40332	447.31085	17.990685	467.623	397.83136	1036.3682	36.34334	460.1	615.0	84999	64.5337	7.7011647	92.44539	-33.673893	64.533646	7.6999683	91.98729	-31.417862	-3.2030137	1.9753691	39.484547	-15.9228525	-65.18151	5.4522443	792.6641936302185	46.627305647906134
18	228.3636	145.23773	476.28586	25.59169	825.6229	378.1408	1155.548	71.493744	591.8889	810.4	89999	66.37708	7.7908883	94.41335	-40.509895	66.3774	7.7920804	94.893974	-35.58618	-3.1948168	1.9790118	29.166481	-14.370795	-67.01429	5.464234	840.0166020393372	46.66758913464017
19	179.29105	138.4602	464.3237	9.449666	739.16486	446.01392	1293.192	17.5846	342.30768	625.9	94999	68.028366	7.8675146	96.89157	-40.01679	68.02829	7.864393	96.5165	-35.641182	-3.1838105	1.9990066	36.052315	-15.779643	-68.65856	5.8673415	886.2979588508606	46.647261117634024
20	297.6085	233.46164	764.6229	47.486736	786.2036	353.7753	1055.6119	43.894115	535.44446	814.6	99999	69.36279	7.9637904	97.82044	-30.699476	69.362785	7.961122	99.371124	-38.118355	-3.1611528	2.0040236	45.850796	-16.083202	-69.97946	6.076616	933.8924095630646	46.69462057352066
21	328.30936	114.70758	518.6426	174.30324	1081.2351	465.53333	1782.1069	227.99008	586.3333	827.9	104999	70.7197	8.134443	99.090164	-32.365208	70.71991	8.130404	98.49609	-35.15351	-3.1635723	2.0241528	45.180374	-15.845697	-71.341225	6.1601887	981.8982646465302	46.75706034614926
22	351.57782	242.65921	731.8195	43.783215	731.35486	406.82465	1041.9854	43.459312	652.625	719.0	109999	72.08984	8.380715	104.41367	-40.91213	72.08988	8.381878	104.6821	-36.825245	-3.109559	2.0237346	33.14337	-14.802162	-72.69984	6.3575416	1028.4890921115875	46.74950427358801
23	334.03046	167.43674	664.37134	201.91551	597.01196	399.39215	971.04706	46.20145	1000.0	623.9	114999	73.516464	8.577107	106.94982	-44.496075	73.516464	8.581578	106.39248	-51.056026	-3.0462043	2.091603	43.75338	-14.218566	-74.134605	6.2172446	1074.7904527187347	46.730019766351454
24	231.34573	89.4347	339.7352	59.332615	906.14514	350.727	1309.5055	244.39474	531.6667	670.1	119999	74.94642	8.688914	109.2426	-52.87616	74.94665	8.68981	108.86456	-46.250603	-3.0599687	2.1045928	41.230896	-14.998356	-75.57871	6.19218	1121.12336063385	46.71347345908483
25	251.6549	144.67523	396.7766	25.977606	1147.9106	290.20697	1508.595	385.12054	724.4286	919.4	124999	76.10656	8.868876	109.47152	-40.527386	76.10627	8.867221	110.20176	-34.201996	-3.063376	2.1431828	58.6507	-14.00404	-76.732445	6.3336625	1169.2028272151947	46.76811315536499
26	419.86795	198.4609	749.01666	119.649536	1046.5876	491.23163	1692.7714	275.11172	851.6667	675.4	129999	77.06305	8.935541	112.87463	-34.455418	77.06298	8.936007	110.330666	-39.41633	-3.0790865	2.1207047	40.397766	-14.463068	-77.69116	6.345485	1215.5317685604095	46.751221977747406
27	388.1178	155.48473	634.05963	148.98297	810.6008	482.4567	1443.093	30.311655	852.3333	713.5	134999	77.99443	9.050602	112.9707	-52.336407	77.9943	9.053133	113.43294	-58.956985	-3.080284	2.1234338	41.849556	-14.917927	-78.615456	6.2415524	1262.1787481307983	46.74736111252396
28	482.06625	86.47167	587.3207	335.6577	1093.0809	450.79434	1932.8488	205.50386	852.0	834.4	139999	78.96865	9.240067	114.98539	-53.24517	78.96857	9.24622	114.1029	-45.015915	-3.0768123	2.1330523	44.77932	-15.154304	-79.59055	6.3540635	1309.8645300865173	46.78087615115302
29	232.02855	90.66874	336.83215	73.067345	555.5242	460.1537	1288.8102	61.49149	667.0	406.0	144999	79.90104	9.359882	117.603645	-82.6066	79.90106	9.361949	117.67126	-66.8551	-3.1101806	2.1232677	40.29502	-17.543436	-80.52337	6.1506896	1354.510033607483	46.707242603959706
30	435.9168	162.12941	727.968	179.95564	955.71826	473.18042	1816.1031	166.977	702.2857	745.0	149999	80.76709	9.567784	120.16806	-60.329197	80.76723	9.5691	119.34676	-40.204712	-3.1035278	2.158578	41.798588	-14.566093	-81.39092	6.473891	1401.5242700576782	46.71747574011485
31	409.5821	271.91003	826.48035	12.439264	1289.8505	510.80753	2135.7341	415.4215	717.8571	807.9	154999	81.42872	9.756866	119.52414	-63.510998	81.428505	9.760385	119.91738	-42.486473	-3.0889742	2.1579912	40.30743	-14.703236	-82.046	6.37313	1448.9329104423523	46.739771373810306
32	606.2404	409.07867	1417.9052	248.12354	945.36316	381.8962	1437.7642	35.380272	765.8571	757.9	159999	82.198845	10.135644	121.55707	-57.080612	82.19883	10.138255	119.80403	-53.48769	-3.0548272	2.1651726	49.456642	-16.279472	-82.80778	6.59037	1495.9215643405914	46.74754895269871
