Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time	AVG Time Per Epoch
1	-253.88998	78.85232	-153.54459	-338.34265	-313.30844	49.465878	-213.1462	-370.57162	1000.0	1000.0	4999	6.1202717	4.957049	32.187027	-7.2449627	6.1209493	4.954555	32.853783	-6.5977106	-2.5629559	1.9721085	12.201916	-14.089413	-7.1422687	1.21925	28.765296936035156	28.765299081802368
2	-238.8886	52.827736	-186.57008	-335.31686	-276.94327	53.472687	-172.70314	-364.2599	1000.0	1000.0	9999	25.979263	8.8366785	59.841076	-4.337737	25.978548	8.830679	59.998985	-3.9009154	-0.2917245	2.9379332	30.145676	-12.796583	-27.488407	3.8919692	63.836857318878174	31.918429851531982
3	-123.592125	169.05177	173.98819	-352.001	917.44617	382.8028	1225.1321	91.146034	1000.0	1000.0	14999	43.07747	6.0889406	75.0083	18.818384	43.07772	6.0798187	74.411964	19.66573	-1.4436793	2.6105723	16.994656	-13.235544	-43.949142	4.2695436	100.37358593940735	33.457862854003906
4	208.93784	192.99596	496.8923	-1.1284902	857.7498	674.6429	1545.8057	-63.46578	1000.0	1000.0	19999	44.12975	9.438568	79.19647	23.969366	44.1298	9.435824	80.30424	24.405603	-2.4183342	1.9857029	15.917341	-15.1525	-44.71958	3.237382	136.99522256851196	34.24880629777908
5	628.71655	660.8317	1451.3236	52.589577	1996.5881	79.03286	2154.3572	1900.5201	1000.0	1000.0	24999	46.358826	13.344889	102.24767	24.095102	46.35905	13.343862	99.00188	24.400827	-2.3983514	2.0941467	17.14474	-12.669036	-46.945175	3.3272774	173.83520078659058	34.76704068183899
6	1041.9928	670.7261	1703.4194	-94.18335	2408.86	872.8888	2918.7788	251.46762	1000.0	1000.0	29999	54.451763	20.486792	124.06544	25.315586	54.451893	20.486597	122.88326	24.906342	-1.878274	2.5964751	20.228746	-13.082307	-55.082756	4.6482396	211.02029061317444	35.17004875342051
7	2645.3994	203.60034	3045.254	2478.6584	3470.2583	66.18845	3602.362	3394.1177	1000.0	1000.0	34999	67.151886	30.419851	157.04039	26.422407	67.15197	30.418488	155.23726	26.460436	-1.2953486	3.0810194	19.640097	-13.715097	-67.803	6.8758345	247.09440660476685	35.2992012160165
8	3056.849	109.30132	3193.5771	2858.8625	3894.521	57.961304	3992.6875	3802.468	1000.0	1000.0	39999	87.806366	41.915527	185.06691	26.938879	87.80626	41.914585	184.18106	26.896137	-0.48682144	3.5719366	26.394459	-14.071234	-88.46863	9.273753	286.1945068836212	35.77431356906891
9	3495.6128	168.03595	3642.9895	3244.0989	4061.3313	73.981926	4214.451	3957.7483	1000.0	1000.0	44999	110.68079	52.659077	218.73242	27.741333	110.68085	52.658028	218.66351	27.960117	-0.0059619825	3.7742002	23.66463	-12.888023	-111.30675	10.362729	324.5299217700958	36.05888040860494
10	3803.3335	102.543625	3968.1848	3673.1316	4619.3174	101.76223	4771.1226	4421.9146	1000.0	1000.0	49999	134.71529	63.031796	248.37952	27.557018	134.71515	63.03219	248.19218	29.317476	0.35914832	3.8943615	23.783682	-13.521446	-135.3089	11.547426	362.2957351207733	36.22957372665405
