Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time	AVG Time Per Epoch
1	16.033777	11.009572	91.46687	4.9218593	138.87846	1.1301154	140.62685	137.76984	20.874477	68.3	4999	12.205618	9.239756	61.984108	-22.735588	12.20581	9.243937	62.143326	-20.765387	-0.10114632	2.0211647	17.84757	-10.794594	-13.606986	1.8750845	25.92778730392456	25.92778992652893
2	19.470993	19.881973	145.98917	5.369586	53.553215	1.0783986	55.94916	52.057304	22.674208	33.1	9999	50.968872	23.243885	154.39522	-87.64009	50.969566	23.25979	152.82147	-87.46127	1.8066778	2.7968826	34.650677	-12.913393	-55.432426	24.483597	58.54980993270874	29.274906396865845
3	153.50095	52.103764	236.95825	54.28194	194.31482	0.9617718	195.4646	192.71834	80.77049	99.7	14999	102.37334	30.58987	168.90152	-275.59387	102.37242	30.619509	166.69894	-157.69652	2.775544	3.2532377	28.691177	-12.144447	-108.13919	89.35735	92.70669722557068	30.902233282725017
4	201.90453	63.461178	276.63867	26.527872	20.165974	0.53784424	21.078842	19.70215	102.854164	21.3	19999	123.25122	38.233925	174.95117	-225.25586	123.25032	38.279194	174.67058	-198.30571	2.4007528	3.2209487	33.073082	-14.540973	-127.96199	82.14114	126.43441891670227	31.60860538482666
5	276.0101	152.42516	942.36487	32.460266	75.21025	4.4658747	82.8125	67.872795	170.93333	79.4	24999	123.52445	43.12065	266.33047	-169.16724	123.52336	43.153374	271.45328	-174.39244	1.6467	3.0484061	33.44881	-11.581274	-127.05395	64.50057	160.46565222740173	32.093130922317506
6	406.97318	375.34842	1045.8186	63.56823	1038.783	0.75561446	1039.8121	1037.4653	380.76923	1000.0	29999	125.92074	40.42556	239.1172	-140.86974	125.91933	40.45247	243.76483	-143.42589	1.6580958	2.936697	31.096634	-13.1502285	-129.14778	58.756386	198.49772119522095	33.082953890164696
7	873.1159	250.68765	1050.027	339.5115	529.2831	52.684444	603.4196	472.71564	785.6667	376.5	34999	130.64926	35.01576	212.79237	-90.552826	130.64864	35.03372	210.59473	-109.19154	1.288637	2.8586423	31.296928	-12.035878	-133.439	47.780487	233.6472110748291	33.37817338534764
8	378.2434	64.3246	635.16455	297.80066	423.86914	11.122267	440.5781	408.6698	222.5	276.5	39999	133.37053	32.651535	197.72939	-165.78409	133.37042	32.67242	199.49712	-187.1281	1.1370517	2.7485585	28.403786	-12.035814	-135.87065	43.55485	268.8253638744354	33.60317075252533
9	276.5466	64.62907	396.789	92.47199	245.20515	1.1965818	246.8149	243.41235	140.14285	110.6	44999	134.48343	36.27573	207.64566	-121.95162	134.4848	36.286438	209.33987	-114.75939	1.0603409	2.6678085	31.50233	-11.252777	-136.70041	43.22889	303.2685797214508	33.69650909635756
10	279.74796	34.07436	350.32074	217.38889	333.8935	3.511138	338.59564	328.2579	114.11364	132.2	49999	133.05045	41.78519	217.86278	-92.38663	133.05072	41.802197	218.42587	-118.79974	0.9378608	2.5786762	34.622902	-10.968629	-135.08127	37.60724	337.63495802879333	33.76349604129791
