Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time	AVG Time Per Epoch
1	54.12613	16.06339	120.0743	26.758167	225.66809	74.303795	344.29288	120.1734	5.961814	24.3	4999	45.07748	39.198223	173.96008	-0.020681832	45.079395	39.205784	174.46312	-0.09620902	1.3841721	1.6625398	7.087292	-10.6641655	-54.446785	6.009542	30.218525886535645	30.218528032302856
2	54.64897	16.9756	185.25517	26.698126	270.9065	30.773375	315.84274	212.61685	6.016847	29.2	9999	101.01827	106.78011	394.25363	-2.375026	101.01827	106.79029	397.66028	1.3962659	2.3424313	1.9842042	9.794327	-14.158931	-140.6456	14.625531	67.46103286743164	33.730517625808716
3	518.8571	263.08447	1718.1764	119.8778	496.73096	146.7732	736.98914	278.9417	55.7191	53.3	14999	181.80252	187.42325	546.9782	-9.212061	181.80742	187.42735	545.2063	-0.047318496	2.4275498	1.9277016	13.974764	-9.926371	-236.78018	79.94768	106.25809073448181	35.41936445236206
4	1592.071	2194.0479	9352.781	296.98053	9339.619	4.788621	9343.854	9332.808	170.48276	1000.0	19999	237.57358	224.56026	676.36536	-2.0003605	237.57742	224.56593	668.1052	0.4174735	2.3699343	1.7331328	13.846262	-11.253627	-287.18207	96.43261	149.40649127960205	37.351623356342316
5	9336.086	5.579186	9344.329	9329.295	9329.006	1.8679835	9330.619	9324.907	1000.0	1000.0	24999	335.11777	268.90634	757.9193	0.56502104	335.11923	268.91483	770.30865	1.3321486	2.4368982	1.632849	14.709894	-9.863771	-382.1544	116.64178	193.10899186134338	38.621798801422116
6	9330.51	5.147351	9339.748	9325.015	9346.116	0.23053184	9346.416	9345.665	1000.0	1000.0	29999	422.12195	292.68182	836.79865	-0.24200806	422.124	292.69165	841.2685	-0.5382258	2.4536934	1.5522007	26.686266	-11.84215	-464.9674	125.750824	236.2145390510559	39.36909019947052
7	9334.866	6.1596613	9342.548	9327.543	9333.486	0.5515395	9334.312	9332.643	1000.0	1000.0	34999	493.6439	305.26047	887.1704	-0.57702416	493.6452	305.2664	881.529	0.7359998	2.4327695	1.5106809	18.56827	-10.022486	-531.4056	130.49092	279.3324818611145	39.90464057241167
8	9328.258	3.8070667	9333.027	9323.118	9326.924	1.107483	9329.522	9325.777	1000.0	1000.0	39999	554.1399	307.7543	924.9255	-0.32102656	554.1397	307.7571	917.9647	0.6800091	2.3265033	1.479674	19.298824	-11.8122225	-588.9823	136.03284	322.17987537384033	40.27248468995094
9	9327.554	5.404318	9334.508	9321.096	9348.682	0.5461021	9349.591	9347.89	1000.0	1000.0	44999	611.6156	313.6072	918.5863	0.16472659	611.61743	313.60562	918.87885	-2.9187508	2.3065765	1.4811445	22.989557	-9.295446	-643.3566	138.23126	365.15548825263977	40.57283226648966
10	9352.531	3.188004	9354.513	9346.176	9354.77	1.483051	9359.132	9353.716	1000.0	1000.0	49999	655.8768	313.8557	928.2683	-1.3949738	655.8791	313.85278	889.77124	-4.4991565	2.26474	1.4249496	22.317753	-9.010558	-684.7541	140.09737	408.1442036628723	40.814420628547666
11	9011.37	411.54102	9353.717	8454.85	9355.496	2.1899452	9359.877	9354.145	964.2	1000.0	54999	686.35254	308.2132	898.7325	-0.22145078	686.35187	308.21002	890.8921	-3.6868436	2.145151	1.3985054	26.202984	-9.85952	-712.3577	138.7916	451.3461420536041	41.0314676544883
12	8687.6	1319.8666	9352.254	6047.88	9348.262	0.9115943	9349.605	9346.278	929.4	1000.0	59999	710.00366	302.79572	922.26117	-1.7244326	710.00214	302.79443	906.7219	-3.7608771	2.1005733	1.3691186	20.68219	-10.176393	-734.0744	147.45168	494.438777923584	41.20323169231415
13	9336.725	7.1789546	9347.806	9327.365	9346.982	4.9432015	9352.29	9336.901	1000.0	1000.0	64999	727.91486	295.3547	919.9115	1.1493474	727.9165	295.35306	906.8037	-2.1983542	1.9707026	1.357239	24.530718	-9.63588	-749.6967	146.29428	537.5886738300323	41.3529750934014
14	9331.388	7.994999	9346.278	9322.307	9359.082	0.3801853	9359.712	9358.58	1000.0	1000.0	69999	740.80225	288.23383	924.43005	0.6047636	740.8036	288.23508	906.09	-0.35977307	1.8833921	1.3426056	26.065254	-10.567644	-761.2482	147.06323	580.8270080089569	41.48764359951019
15	7102.644	1704.349	9329.818	3666.4048	9357.745	2.3158538	9359.835	9354.217	761.7143	1000.0	74999	754.2715	282.23996	934.24054	-4.6400285	754.2738	282.22855	917.3594	0.99284893	1.8905703	1.3280656	21.099882	-11.027358	-773.3224	166.77899	623.8153312206268	41.58768887519837
