Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time	AVG Time Per Epoch
1	-43.28709	3.944669	-32.63036	-51.599358	-7.3254027	1.7504499	-4.94267	-9.942276	50.0	50.0	4999	-3.2046888	1.4387738	0.64952844	-10.5792265	-3.2045035	1.4375592	0.65054786	-10.489296	-0.36063734	0.85534376	6.0884457	-11.846899	2.668873	0.18983315	30.060622692108154	30.060625314712524
2	-42.96077	3.522809	-34.38189	-52.104263	-9.168877	2.778303	-4.7636805	-12.778998	50.0	50.0	9999	-5.827639	1.8725591	2.251191	-12.8248005	-5.827857	1.8725152	2.0088146	-13.097861	-0.26143238	0.87550676	2.7054527	-9.764315	5.2404976	0.5100844	66.78086352348328	33.39043319225311
3	-18.01666	4.297991	-11.25966	-38.528496	-10.605385	3.3359416	-7.136095	-17.479565	50.0	50.0	14999	-6.442384	2.06869	4.0916877	-14.7685795	-6.4427485	2.0703	4.107267	-14.809526	-0.23623519	0.8872825	3.9047787	-11.301553	5.976401	0.7151599	109.0994164943695	36.36647311846415
4	-17.93644	4.2290487	-10.777543	-28.486727	-10.480319	5.2851467	-4.5255957	-19.318424	50.0	50.0	19999	-7.251654	2.4529912	4.6577306	-17.912298	-7.2513175	2.4549515	6.0057096	-17.38743	-0.23958364	0.893282	4.8933144	-9.899635	6.941351	0.92074025	150.76611304283142	37.69152903556824
5	-18.033136	4.551783	-10.450742	-28.898203	-7.005168	2.8534243	-3.397727	-13.618129	50.0	50.0	24999	-7.8601613	2.502059	4.6999593	-18.472504	-7.859796	2.5044184	3.623293	-18.807146	-0.18839501	0.90638256	6.0562887	-10.559303	7.634272	1.1280255	193.23770904541016	38.64754238128662
6	-20.010944	5.008855	-9.987564	-32.35233	-10.718013	5.025184	-4.8927484	-21.878735	50.0	50.0	29999	-8.203088	2.507323	3.6509771	-18.051971	-8.203016	2.5104938	4.511437	-18.158504	-0.12599543	0.9248326	6.1870966	-11.824386	8.010361	1.4197779	233.0452311038971	38.840872406959534
7	-18.437311	5.601229	-9.441168	-51.33802	-10.780553	4.958948	-6.601501	-22.68277	50.0	50.0	34999	-8.716158	2.6364405	28.292566	-18.071825	-8.716015	2.6379328	10.987883	-18.33537	-0.13460897	0.9208853	6.6827016	-10.30711	8.569498	1.624761	273.39862155914307	39.056946345738005
8	-16.782093	4.8240194	-10.505803	-33.529068	-8.873367	4.442725	-3.182154	-16.685701	50.0	50.0	39999	-8.939881	2.6940227	13.068511	-19.185505	-8.939627	2.6959412	5.021526	-19.22661	-0.08936517	0.9358769	6.7050166	-10.440528	8.823408	1.765886	314.6904366016388	39.33630484342575
9	-16.355654	4.8846006	-8.857137	-32.31422	-8.530554	4.1053114	-2.483905	-18.026552	50.0	50.0	44999	-9.000256	2.8145664	3.49494	-21.168097	-9.000015	2.8170826	3.933181	-21.179806	-0.05719357	0.9419019	7.450331	-15.894825	8.897425	1.7945559	354.64842987060547	39.40538138813443
10	-15.704337	4.326464	-8.045235	-28.641653	-7.38515	3.432122	-3.5682864	-12.034054	50.0	50.0	49999	-8.996988	2.8582983	6.1148405	-20.820086	-8.996838	2.8597267	3.9327564	-21.237234	-0.05541912	0.93916214	9.791215	-9.80477	8.917621	1.8364732	392.6129071712494	39.26129093170166
11	-17.476814	5.096071	-8.638701	-28.54179	-12.542464	5.234902	-3.4360209	-18.44665	50.0	50.0	54999	-9.009895	2.8756857	4.2634764	-20.391363	-9.009769	2.8777137	2.7952194	-21.408663	-0.040167946	0.9423411	7.537033	-13.058212	8.946482	1.8374258	435.30220222473145	39.572927648370914
