Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time	AVG Time Per Epoch
1	2.207578	6.318653	35.37432	-9.218444	102.27072	45.853275	231.03508	60.4324	20.214575	215.4	4999	15.173958	12.428661	57.778625	-30.580492	15.17399	12.4284	57.137955	-26.09045	0.84930384	3.167409	23.247766	-13.656088	-18.20092	2.6261563	30.216092824935913	30.216095447540283
2	2.367419	7.759432	57.49991	-12.056348	546.8568	432.8859	1066.7517	56.7142	20.713694	516.9	9999	57.46861	19.891382	108.44596	-39.66921	57.467636	19.886122	105.538536	-44.68729	2.178512	4.0936365	33.678528	-14.958286	-62.86895	22.616365	68.9386351108551	34.469318985939026
3	161.62164	169.8085	554.02454	-17.829317	43.786106	42.61341	119.02177	-41.112617	219.09091	153.6	14999	87.56293	21.599895	141.69106	-47.387634	87.56399	21.580996	141.03003	-39.857742	0.66353464	4.4113665	36.27548	-12.924412	-92.45524	38.882458	107.59804224967957	35.86601479848226
4	180.97893	132.76192	390.11255	-6.7818303	384.8207	79.961105	553.3702	271.6156	169.86667	257.3	19999	92.238815	21.54772	139.77342	-67.13363	92.23766	21.546766	143.41472	-59.9983	-0.20696601	4.003686	41.509567	-12.494823	-95.59325	39.157932	149.0513379573822	37.26283520460129
5	159.14397	83.14352	312.3991	-4.8265963	239.8794	57.276833	298.91144	142.98328	154.53125	184.1	24999	93.608025	23.282818	141.54169	-56.65289	93.60637	23.288044	139.82475	-63.277847	-0.27517644	3.771622	46.148422	-17.796618	-96.31632	40.5319	192.00912475585938	38.401825523376466
6	177.65227	121.70038	405.51788	-28.703548	391.37378	108.9152	582.7879	230.04779	166.73334	229.4	29999	93.57479	24.700274	148.34622	-53.01859	93.574104	24.700392	149.16945	-56.488815	-0.16880985	3.8132038	60.908638	-14.948038	-95.88679	39.98036	231.06045293807983	38.51007580757141
7	199.76418	118.86231	460.06427	-19.605839	265.83096	21.930794	305.15	240.98442	149.48485	145.5	34999	94.97616	25.628466	155.44603	-77.26869	94.97577	25.624878	154.93594	-62.562622	-0.23444137	3.7660477	48.111485	-13.06287	-97.02649	41.45419	269.79302430152893	38.54186092104231
8	301.08755	141.23878	612.7838	32.409664	465.81573	143.05046	842.3116	315.83023	216.25	252.9	39999	95.298546	26.13255	158.00797	-60.624565	95.299065	26.13215	156.0293	-79.46187	-0.20334898	3.714213	58.076202	-13.536422	-97.07414	39.253517	308.8986015319824	38.61232542991638
9	412.61267	160.32999	755.0184	113.30824	392.2684	175.79832	646.1683	86.050285	276.33334	373.4	44999	96.00304	26.471851	157.94382	-58.443863	96.00365	26.476793	158.82603	-55.29681	-0.32005388	3.517261	47.274647	-12.236043	-97.55095	35.16592	348.7160952091217	38.746232986450195
10	335.63232	173.52448	637.72986	70.77968	464.80255	196.98033	824.48303	229.35927	269.3889	274.1	49999	96.65057	26.406252	156.81218	-61.876583	96.650795	26.410786	160.27235	-70.32258	-0.3935258	3.4657888	45.559704	-16.641193	-98.0362	33.269714	387.69696402549744	38.76969659328461
