Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time	AVG Time Per Epoch
1	-46.136974	95.3982	31.980888	-424.01382	594.1794	133.24617	760.22327	260.21097	138.63333	1000.0	4999	-0.18071797	1.9884447	13.338055	-11.888786	-0.18022093	1.9907222	13.139837	-11.426664	-0.7867174	0.32755098	20.28544020652771	20.2854425907135
2	-29.74125	57.24174	31.909916	-399.00732	472.92587	395.04306	829.92065	-454.98642	98.05173	920.8	9999	3.606199	4.6542416	30.973871	-14.70322	3.6063035	4.6612635	32.08079	-14.007679	-6.130339	1.9079257	43.38704800605774	21.693525075912476
3	-31.585026	195.55855	164.54324	-425.68295	132.21284	161.47911	393.08817	-70.73189	515.1	493.9	14999	9.731153	6.319004	44.260082	-20.341976	9.731391	6.334278	44.397884	-18.755526	-12.81977	4.1873493	65.29054880142212	21.763516902923584
4	91.45779	136.08661	549.4904	-7.8610373	146.81018	146.05699	493.09637	-11.2265835	324.93332	384.0	19999	11.246418	7.3465104	46.37435	-22.009096	11.245655	7.363501	44.725063	-19.759539	-13.709412	5.0014253	86.73207449913025	21.683019042015076
5	239.60574	217.99327	668.164	-10.786963	461.6806	255.64497	809.12866	47.48853	557.7778	726.1	24999	11.379748	7.7758274	43.985313	-28.454636	11.379314	7.782586	43.14125	-21.376005	-13.474807	4.4714885	109.8044593334198	21.96089220046997
6	261.50192	170.42058	530.8576	8.267166	187.20895	134.96657	459.55927	13.683877	638.625	335.1	29999	11.6892	7.7157683	46.605007	-24.76045	11.68887	7.721883	45.584515	-24.014755	-13.6616955	3.8053348	130.85622262954712	21.809370756149292
7	334.57822	244.16893	713.318	41.76574	558.10596	282.88416	903.6454	4.732702	558.25	819.8	34999	12.205848	7.5838313	48.153305	-27.48808	12.205157	7.590292	47.271114	-23.885801	-14.056309	3.5666437	156.18310570716858	22.311872550419398
8	419.03766	187.90771	617.4646	125.643105	538.8821	284.42725	945.11676	46.766705	773.1429	678.5	39999	12.916467	7.433726	48.107903	-28.1977	12.915425	7.440977	47.93268	-22.406313	-14.653928	3.4836679	182.16726851463318	22.770908802747726
9	444.7046	331.4374	826.332	25.768898	509.25308	302.17612	857.846	8.875994	615.0	689.3	44999	13.959564	7.401904	48.146866	-36.625084	13.958748	7.407894	48.21438	-30.493479	-15.6332245	3.3250742	208.22149658203125	23.13572202788459
10	650.7053	49.989082	708.513	575.727	408.02155	386.57684	860.0472	6.549076	1000.0	517.9	49999	15.317115	7.171294	48.916176	-36.92509	15.315745	7.176704	49.37106	-30.47506	-16.904657	3.1336086	232.2006537914276	23.22006561756134
11	320.4744	295.3593	743.556	-0.16588031	408.38654	319.16553	826.84326	-8.69413	449.9091	563.8	54999	16.447424	7.1092706	49.706272	-25.534876	16.447475	7.1127033	50.460186	-26.728548	-18.039328	3.151948	257.09817337989807	23.372561389749702
12	447.0357	288.38046	778.7798	-9.789575	673.24695	224.83655	846.7835	159.15193	649.3333	914.0	59999	17.540173	7.2056265	49.976418	-31.479555	17.540028	7.2093577	50.670975	-34.466812	-19.048721	3.3328218	283.8885371685028	23.65737823645274
13	418.3573	332.57446	805.0695	49.624176	669.48236	381.17426	1154.1833	-0.21030813	541.6667	742.3	64999	18.733723	7.4205685	49.829174	-40.182076	18.733477	7.4273043	50.84881	-30.07432	-20.217875	3.5534656	308.74275302886963	23.749442687401405
14	404.71964	341.98892	866.1581	14.771095	574.4667	406.0664	1262.2013	-167.66035	513.0	758.8	69999	20.022182	7.60118	51.400024	-33.08813	20.02204	7.605954	51.95457	-29.308926	-21.51898	3.465446	334.9240050315857	23.923143403870718
15	544.1187	467.5242	928.66815	-274.47986	733.00714	282.28757	983.57623	77.62693	846.8333	904.0	74999	21.30615	8.111972	52.487923	-24.04315	21.30626	8.116058	52.61504	-26.062826	-22.723753	3.5601816	363.9565713405609	24.26377156575521
16	442.5558	299.30106	790.7696	68.167305	506.41254	355.676	927.8127	21.751732	601.5	631.9	79999	22.480164	8.91232	56.487236	-41.41123	22.4801	8.915549	55.997528	-30.381964	-23.90047	3.5557156	390.10560512542725	24.381600469350815
17	546.49304	305.38293	944.2735	46.738823	537.1935	279.03888	856.2658	35.624813	701.5	809.1	84999	23.822931	9.559758	57.054928	-24.226562	23.822592	9.563782	56.25689	-30.229832	-25.239433	3.7490742	419.16698026657104	24.65688131837284
18	512.61536	345.08524	956.3718	17.540384	1006.8185	316.55554	1338.5446	192.93019	621.2857	881.0	89999	25.278713	9.958004	58.981426	-35.7995	25.278854	9.9626	57.25346	-30.34519	-26.717031	3.9144	447.9188892841339	24.884382830725777
19	787.8127	347.12073	1128.1562	292.25592	704.453	298.58127	1421.0793	368.12637	928.1667	726.9	94999	26.519072	10.609198	61.99482	-37.28808	26.519173	10.612093	59.583717	-28.559164	-27.995735	4.090701	476.89714312553406	25.09984973857277
20	707.8125	490.02646	1471.7965	69.54771	821.556	372.5845	1387.6276	86.40349	695.5	743.9	99999	27.604218	11.255493	62.741474	-20.917349	27.604258	11.258491	63.35416	-22.78195	-29.146544	4.3372207	503.8977036476135	25.19488528966904
21	602.7735	341.81647	1242.2762	108.509995	1097.0607	466.74384	1658.691	39.633453	693.75	900.4	104999	28.6847	12.081183	68.10953	-26.673992	28.685114	12.083277	65.96882	-30.022562	-30.228512	4.6795297	532.3381831645966	25.349437373025076
22	596.5903	486.74768	1636.5934	58.718613	1094.2137	542.53485	1885.5629	118.743744	584.8889	786.1	109999	30.021294	13.000452	70.51331	-26.832165	30.021872	13.00258	70.013885	-29.6736	-31.576563	5.0027804	560.3690631389618	25.471321138468657
