Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time	AVG Time Per Epoch
1	-251.69864	35.547123	-220.07436	-301.94803	-392.55292	51.792446	-366.81012	-547.27374	1000.0	1000.0	4999	1.0710053	1.661975	10.835885	-6.463226	1.0712309	1.6619363	11.002606	-6.2948627	-1.9242738	0.23166974	18.938785314559937	18.938787698745728
2	-275.0739	46.56472	-214.10255	-323.4099	-322.1252	72.81264	-232.75142	-488.05673	1000.0	1000.0	9999	3.6286657	3.8126845	21.999386	-5.6609807	3.6287851	3.8140693	22.461771	-5.6000485	-5.0867314	0.67575085	41.49223327636719	20.7461177110672
3	-351.54285	111.73459	-129.20805	-420.34433	18.300236	102.96455	214.20097	-137.65962	1000.0	1000.0	14999	8.530753	5.9835706	43.27635	-7.872723	8.530621	5.9837155	44.627773	-12.509281	-9.991716	1.493067	65.44562339782715	21.815208435058594
4	521.75354	603.4486	1246.6947	-321.57172	834.72546	593.5888	1393.6117	-371.09122	1000.0	1000.0	19999	11.611759	10.734839	55.310577	-9.517933	11.611351	10.734936	54.55487	-10.298846	-12.997923	2.6253324	89.0885419845581	22.27213603258133
5	1276.476	643.43915	1879.3602	150.72551	1530.1133	787.3582	2323.0388	82.53953	1000.0	1000.0	24999	17.299656	16.586035	69.91916	-13.155678	17.298567	16.58529	71.99657	-12.943682	-18.639214	3.2983809	112.71124053001404	22.54224853515625
6	2172.612	506.3968	2633.13	1215.8975	2723.2866	490.14728	3213.1895	1537.3422	1000.0	1000.0	29999	26.807604	23.455376	93.526794	-14.59937	26.806719	23.455185	93.71222	-14.530149	-28.306953	4.3741693	136.42603302001953	22.737672448158264
7	3172.8423	216.47577	3482.8564	2876.9082	3763.6023	97.96839	3976.7512	3634.1514	1000.0	1000.0	34999	40.17171	31.248386	117.646065	-17.306198	40.17067	31.248863	118.12141	-17.788677	-42.00199	6.499372	160.1809070110321	22.882987022399902
8	2993.8403	1326.6222	3880.4905	359.0205	4020.304	130.5819	4246.2407	3827.0808	1000.0	1000.0	39999	56.523914	39.634598	142.3185	-21.16853	56.523037	39.634624	142.75916	-22.367558	-58.34238	8.6534815	183.89303636550903	22.98662981390953
9	3724.8523	113.50563	3873.6458	3529.9353	4004.2612	134.40016	4231.0083	3786.9258	1000.0	1000.0	44999	71.64266	48.292274	165.41292	-28.778505	71.64153	48.29233	166.27638	-29.07339	-73.49406	10.767662	207.53592562675476	23.059547503789265
10	3852.2495	300.06467	4212.9624	3464.6853	3888.5977	871.3731	4444.792	1314.9591	1000.0	1000.0	49999	89.51673	55.15743	198.56961	-33.272545	89.516	55.156925	198.75676	-34.371517	-91.45528	12.8207035	231.1067454814911	23.110674738883972
11	4169.046	79.15659	4263.9873	4069.2712	4355.317	134.25131	4589.242	4130.8145	1000.0	1000.0	54999	107.05089	61.5321	221.36461	-32.194714	107.05019	61.531754	220.16139	-34.480953	-109.27461	15.756075	254.7971715927124	23.16337938742204
12	4090.9727	150.04837	4275.493	3864.3445	4021.5054	1321.5758	4582.6216	66.537506	1000.0	1000.0	59999	124.71925	66.74004	238.74182	-33.362633	124.71886	66.738914	241.50633	-40.471313	-127.13384	18.381153	278.38475823402405	23.198730011781056
13	2889.1	1931.5808	4692.604	197.4361	4644.3467	98.06824	4841.505	4535.206	1000.0	1000.0	64999	138.31657	73.48467	259.74	-39.95483	138.31668	73.48265	261.14905	-39.255066	-140.41876	20.908424	302.00024223327637	23.230788010817307
14	4595.1606	76.63961	4726.016	4488.0034	4798.65	71.05445	4947.036	4685.58	1000.0	1000.0	69999	152.05383	79.91818	276.18048	-46.46801	152.05392	79.91509	274.88687	-41.765022	-154.55965	23.878979	325.7632575035095	23.268804243632726
15	4751.876	144.79083	4924.465	4588.671	5019.8643	119.83496	5157.513	4732.2417	1000.0	1000.0	74999	167.71516	84.215225	291.98956	-39.67115	167.71498	84.212166	292.88855	-44.594234	-170.17162	25.870546	349.46364188194275	23.297576268513996
16	4845.109	138.04741	5087.548	4664.5757	4920.702	126.92059	5090.2456	4692.8906	1000.0	1000.0	79999	183.2301	88.03098	309.82944	-43.17774	183.22935	88.02818	310.41385	-44.698795	-185.75356	27.34511	373.18768882751465	23.324230670928955
17	4973.7607	148.87816	5236.653	4782.077	5211.9756	138.97891	5400.3687	5026.737	1000.0	1000.0	84999	198.5306	91.291405	327.58398	-44.334793	198.53029	91.28893	328.12146	-44.82546	-200.94783	30.383556	396.94500637054443	23.34970638331245
18	5067.0146	30.758585	5126.8457	5040.4277	5165.2285	134.8757	5378.094	4928.747	1000.0	1000.0	89999	212.83463	94.4565	340.16827	-50.048866	212.83412	94.45382	342.635	-55.94395	-215.19102	31.513275	420.78199529647827	23.37677762243483
19	5102.2524	184.64584	5378.2393	4887.294	5354.3164	129.85179	5546.3896	5040.496	1000.0	1000.0	94999	226.42668	97.36678	351.01453	-53.613792	226.42651	97.36327	350.34396	-59.925816	-228.91055	32.197468	444.4667122364044	23.39298495493437
20	5259.678	178.3214	5523.6406	5002.685	5365.3525	127.50281	5579.236	5113.7886	1000.0	1000.0	99999	239.79866	99.7063	364.20532	-60.602715	239.79796	99.70395	367.18588	-63.709576	-242.44456	33.29663	468.1940085887909	23.409700536727904
21	4740.95	1179.7968	5427.079	2384.8855	5733.9453	162.81377	5954.4204	5509.541	1000.0	1000.0	104999	251.27051	103.11337	375.9273	-60.67665	251.26997	103.11123	375.2564	-64.51755	-253.95647	34.23705	491.9578092098236	23.426562445504324
22	5514.7275	136.04793	5684.5347	5324.6216	5040.3374	1665.5704	6122.1484	901.5223	1000.0	1000.0	109999	263.13995	105.44198	386.64966	-82.3859	263.139	105.43961	388.06613	-78.85933	-265.4509	35.566475	515.7453029155731	23.4429684010419
23	5658.6143	173.71889	5903.5493	5386.1597	5745.529	765.4212	6209.714	3491.7322	1000.0	1000.0	114999	275.0083	107.53133	403.92566	-81.597626	275.00748	107.531	406.04312	-82.21469	-277.49414	36.450684	539.479887008667	23.455647333808567
24	5729.415	123.39246	5927.93	5572.346	6029.4453	122.65439	6257.7954	5829.197	1000.0	1000.0	119999	287.06036	108.83281	416.784	-77.198845	287.05914	108.83138	416.8446	-76.60409	-289.28824	37.283314	563.2882394790649	23.470343391100567
25	5895.962	90.15529	6009.8506	5783.588	6030.9077	150.11897	6357.288	5813.2344	1000.0	1000.0	124999	298.30383	111.14847	440.3807	-95.01323	298.30286	111.14791	441.04327	-99.88486	-300.62677	38.770576	586.9295389652252	23.477181634902955
26	6072.221	269.08777	6418.4644	5720.044	6423.2	112.09654	6576.617	6224.8613	1000.0	1000.0	129999	309.74216	112.42229	450.2248	-108.11103	309.7414	112.42167	450.82022	-125.18065	-311.99155	39.001858	610.5975670814514	23.48452187501467
27	6108.6787	244.14317	6509.805	5760.1514	6415.322	110.355576	6574.108	6222.7744	1000.0	1000.0	134999	321.1381	114.19124	458.85953	-88.51012	321.13647	114.19155	458.7616	-82.835434	-323.5271	41.871777	634.251357793808	23.490791108873154
28	6208.5894	158.7863	6380.799	5997.2544	6163.818	164.20099	6453.193	5860.9604	1000.0	1000.0	139999	332.2192	115.55327	473.86002	-104.793396	332.21884	115.55349	478.23886	-86.122116	-334.72372	42.2756	657.9526438713074	23.498308786324092
29	6426.0005	178.16296	6606.459	6153.882	7090.3022	181.26048	7440.498	6846.6646	1000.0	1000.0	144999	342.75732	117.05794	481.305	-92.10735	342.7562	117.05817	479.01816	-102.336494	-345.18216	44.84751	681.6903665065765	23.506564436287714
30	6557.4087	146.85327	6813.5703	6369.5215	7158.3604	172.96881	7487.0293	6788.4663	1000.0	1000.0	149999	353.67883	118.47285	503.49554	-99.05706	353.6778	118.473114	502.78702	-109.271996	-356.63342	45.037064	705.4139769077301	23.51379930973053
31	6490.6943	174.17639	6619.678	6148.939	6509.05	177.4952	6675.4116	6021.736	1000.0	1000.0	154999	364.17902	119.555534	514.6263	-73.43128	364.1778	119.556244	515.32947	-76.61155	-367.06558	43.988194	729.1501443386078	23.520972467237904
32	6780.8853	281.81473	7040.12	6236.2524	7074.776	641.4177	7445.46	5206.7026	1000.0	1000.0	159999	374.10233	121.55851	537.8019	-85.22045	374.1018	121.55911	537.48175	-74.79592	-376.83298	46.072617	752.7902426719666	23.5246951431036
33	6888.1914	176.70935	7053.945	6669.667	7169.05	138.79234	7399.4766	6929.481	1000.0	1000.0	164999	384.3382	123.06717	551.95233	-78.72528	384.33774	123.06767	549.682	-67.41185	-386.72937	49.13393	776.1380071640015	23.519333615447536
34	6836.2627	83.32353	6944.486	6708.515	6548.8574	1768.5643	7534.4844	1271.9126	1000.0	1000.0	169999	394.80646	124.12104	557.68396	-90.71535	394.8057	124.12185	557.6885	-99.01965	-397.42795	51.506924	799.9180314540863	23.527000988230984
35	6956.7173	180.93166	7172.3037	6709.522	7155.2163	128.6127	7358.6167	6917.012	1000.0	1000.0	174999	404.5211	125.41734	567.00574	-121.345505	404.51968	125.41895	564.59326	-104.96132	-407.41965	53.887264	823.5073928833008	23.52878270149231
36	7084.325	198.35414	7279.247	6757.2563	7638.2305	175.87444	7929.096	7403.7393	1000.0	1000.0	179999	414.71423	126.19471	575.0523	-78.206505	414.71353	126.196266	576.7802	-77.567314	-417.70312	54.675636	847.3949501514435	23.538748681545258
37	7107.405	292.82837	7482.2354	6645.646	7481.4546	79.22504	7632.168	7361.819	1000.0	1000.0	184999	424.39185	127.476974	583.45624	-97.56692	424.39166	127.47787	582.9342	-83.91701	-427.2139	55.583443	871.1828210353851	23.545481701154966
38	7283.624	77.68763	7352.6353	7147.7617	7609.022	158.72757	7901.8574	7417.413	1000.0	1000.0	189999	433.64532	128.72261	593.7054	-82.75194	433.64438	128.72499	595.58984	-91.940575	-436.17957	58.4368	894.8933022022247	23.549823798631365
39	7330.483	254.94771	7648.1416	6881.3066	7693.7954	140.84564	7973.5513	7420.911	1000.0	1000.0	194999	442.53522	130.25732	604.65436	-113.95092	442.53384	130.25952	606.70715	-101.90275	-445.5117	60.51365	918.4745750427246	23.550630178207005
40	7551.199	123.17984	7725.39	7363.106	7642.1353	120.632774	7777.6514	7384.081	1000.0	1000.0	199999	451.32602	130.58444	613.9702	-80.56842	451.32568	130.58536	613.1206	-83.85439	-454.90756	60.8165	942.1798086166382	23.554495257139205
41	7594.8022	77.56377	7702.1323	7483.3716	8045.9014	123.399536	8164.75	7787.4634	1000.0	1000.0	204999	460.36322	131.11784	624.5368	-87.70277	460.3625	131.12045	625.1848	-66.73065	-462.8702	61.880913	965.8626811504364	23.557626416043536
42	7679.7656	314.12784	8136.396	7280.3594	7863.44	181.8402	8083.97	7523.5933	1000.0	1000.0	209999	469.03644	131.99725	630.84546	-96.00109	469.03586	132.00026	632.2261	-100.14881	-472.1722	62.2637	989.5007698535919	23.559542201814196
43	7728.8945	102.85125	7879.107	7617.8604	8318.267	157.48538	8634.608	8047.9536	1000.0	1000.0	214999	477.41342	132.74672	643.1284	-90.048096	477.4122	132.75082	643.28033	-105.52703	-480.63293	64.42242	1013.2597901821136	23.56418122247208
44	7787.9	258.3548	8081.16	7311.413	8418.687	155.92622	8725.379	8115.0757	1000.0	1000.0	219999	485.73322	133.21028	653.63873	-106.392105	485.73254	133.21448	653.42737	-90.56218	-488.3561	66.59795	1037.106149673462	23.570594359527934
45	7803.2344	326.34204	8234.877	7226.5986	8248.804	135.78407	8470.971	8023.929	1000.0	1000.0	224999	493.06046	134.49286	655.7062	-76.67184	493.05978	134.49611	658.73413	-75.221344	-495.84192	67.38164	1060.8715722560883	23.574923870298598
46	8150.0674	258.30554	8603.915	7924.6064	8256.627	144.69423	8390.734	7913.7314	1000.0	1000.0	229999	501.06607	134.65881	665.36676	-79.437004	501.0647	134.66432	666.0964	-68.446365	-504.1769	68.44856	1084.6973750591278	23.580377765323806
47	7481.0703	1541.7803	8659.024	4459.9175	8450.312	231.005	8965.546	8131.843	1000.0	1000.0	234999	508.52634	135.49619	674.47754	-120.67802	508.5259	135.50015	674.4323	-101.0594	-511.35342	71.830025	1108.5870864391327	23.58695932652088
