Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time	AVG Time Per Epoch
1	18.076664	14.352935	107.800735	4.2969246	38.85992	0.93120927	40.444874	36.984165	22.164444	22.1	4999	4.1099534	2.8312533	21.327927	-5.2821074	4.110155	2.831993	20.678978	-4.5721827	-4.9001117	0.17894264	15.35405707359314	15.354059934616089
2	17.139723	12.086945	88.546364	5.498664	50.803482	0.9733542	52.424835	48.891483	21.38889	28.2	9999	16.743258	8.073504	58.13919	-13.693369	16.743748	8.073428	56.232983	-15.382565	-19.815325	2.8081799	34.631996870040894	17.315999746322632
3	145.30814	34.11556	192.16698	41.89883	191.26083	3.1739466	195.68399	185.7167	75.71212	95.1	14999	41.851562	15.432215	78.21419	-30.743092	41.851933	15.429559	77.50098	-35.213757	-46.839848	15.190765	55.30709624290466	18.435699542363484
4	180.76086	5.2703924	192.80847	170.95992	173.4061	1.1021265	174.98877	170.99634	86.05173	86.0	19999	60.794518	16.707926	96.51225	-58.719456	60.794567	16.695368	95.846176	-56.504505	-64.561615	19.986885	76.37493467330933	19.09373426437378
5	179.76791	13.320441	206.8693	145.82816	187.1597	8.886887	203.0659	177.37799	89.63636	95.6	24999	69.26084	19.128862	107.45355	-81.78262	69.26107	19.118645	106.94353	-78.246666	-72.29052	20.009256	97.27657437324524	19.455315351486206
6	171.23788	50.04194	239.9112	18.127668	209.23392	3.6458602	218.19142	204.3384	86.98276	105.6	29999	76.866615	22.151321	116.40836	-99.48894	76.86652	22.148375	116.3624	-99.514694	-80.20147	21.262278	118.01519680023193	19.66919978459676
7	216.63948	10.298129	235.16838	186.29118	210.5981	0.9395302	212.82307	209.39307	105.6383	110.4	34999	85.023445	26.754402	128.26505	-92.77163	85.02364	26.751513	131.43811	-90.85903	-88.27118	20.15939	139.13916420936584	19.877023730959213
8	194.86966	93.64544	380.69406	38.8264	342.01346	14.976229	370.833	323.00827	90.05357	127.0	39999	90.07979	29.605776	145.81015	-127.85043	90.08073	29.606625	138.86778	-109.49463	-93.083275	21.272318	159.6807506084442	19.960094094276428
9	272.91898	137.05031	579.8776	67.23852	68.19707	5.1323395	78.352615	61.257454	104.416664	40.6	44999	95.72199	31.028095	200.71544	-64.49005	95.72235	31.022665	199.17224	-103.92052	-99.27573	27.266512	180.50279688835144	20.055866612328423
10	407.22607	78.43944	633.1542	263.14838	87.69239	150.24718	538.4134	34.959595	148.27272	39.4	49999	104.77437	30.937218	203.92021	-79.22497	104.775185	30.924366	197.48045	-64.73392	-108.745026	39.690273	201.49576258659363	20.149576449394225
11	220.83165	213.32338	639.6505	19.220987	502.62372	6.907215	518.52277	493.60593	81.629036	158.2	54999	116.72894	33.751404	240.45964	-56.73378	116.73046	33.72966	228.30806	-57.396053	-121.57899	62.483414	222.82799887657166	20.257091002030805
12	388.108	68.77828	536.96564	314.5162	343.0669	2.2759156	346.32358	339.9511	130.6579	120.5	59999	128.01912	37.408348	228.28375	-74.8335	128.01987	37.393566	225.1657	-74.680855	-132.6152	64.98775	243.57969617843628	20.298308193683624
13	355.19473	16.325134	411.9611	324.5621	466.85126	2.1437197	469.8617	463.3012	124.17073	148.2	64999	134.13379	40.845108	239.47774	-57.34288	134.1326	40.843884	239.2976	-55.217644	-138.31656	58.0905	264.8680052757263	20.374462109345657
14	346.79034	70.86621	513.0222	111.10787	281.13522	21.708385	322.93793	258.35233	130.76315	118.8	69999	137.74402	44.08716	245.95932	-61.620296	137.74309	44.07899	254.44513	-63.568897	-141.98018	51.965412	286.03349208831787	20.43096390792302
15	399.71906	101.93444	645.24634	209.87971	536.85406	48.196377	576.2717	396.0751	137.36111	163.0	74999	142.17415	47.635914	254.19962	-60.86275	142.17422	47.633945	260.1948	-57.33869	-146.13495	50.134068	306.84434843063354	20.45629003842672
16	523.79083	86.73404	659.50653	329.55096	484.6568	49.84452	545.3017	354.02036	173.48276	170.1	79999	148.08229	51.186005	262.4894	-55.53112	148.08174	51.184013	269.42648	-62.550518	-151.99615	50.40007	328.0175726413727	20.501098409295082
17	519.71857	91.29056	720.1212	355.4812	482.10236	80.3977	576.8699	294.88785	174.32143	166.5	84999	154.2336	54.586674	253.5015	-64.974434	154.23434	54.586716	265.466	-89.33902	-158.096	54.064045	349.1569061279297	20.538641663158643
18	480.6447	109.39437	659.55273	250.76537	426.83594	83.207756	555.0683	337.06122	162.15625	155.5	89999	157.31114	57.024673	252.53351	-66.67523	157.31108	57.02158	250.38281	-99.02425	-161.16466	53.800987	370.33519196510315	20.57417745060391
19	442.25583	145.48059	658.5361	67.95709	582.46387	12.412267	611.7354	565.1012	159.93549	196.3	94999	158.7928	58.510235	259.2761	-111.022865	158.79214	58.514004	252.20218	-150.99358	-162.35614	51.495014	391.5738730430603	20.609151325727765
