Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time	AVG Time Per Epoch
1	55.75935	18.797451	166.26543	26.750954	194.09734	70.00269	354.00882	82.95596	6.1375923	20.9	4999	23.035515	12.505855	59.628616	-0.3110955	23.036322	12.507855	59.357517	-0.23629284	-23.667166	2.8781884	14.50614047050476	14.506142377853394
2	55.822617	16.88312	120.11153	26.772743	347.7628	105.33083	568.6843	231.3537	6.1437345	37.4	9999	47.602158	32.808456	130.04926	3.5963023	47.60162	32.815044	130.15752	5.012783	-57.353947	6.762622	32.217151165008545	16.108576893806458
3	404.7545	135.3252	1026.743	45.207344	396.29886	99.13939	540.1966	250.56195	43.508774	42.6	14999	78.80269	60.51486	195.52805	-4.8427186	78.80283	60.51752	195.15825	0.7526454	-95.49391	27.104506	51.03942036628723	17.0131409962972
4	469.00473	222.87761	1278.9954	185.26057	721.99786	213.1045	1064.7499	362.4232	50.373737	77.4	19999	113.54084	82.18076	251.72234	2.6085064	113.541275	82.18179	250.39551	3.7402103	-131.12114	50.2643	70.02203750610352	17.505509853363037
5	1591.7708	1653.9692	9344.798	203.80377	9358.596	0.27534804	9358.995	9357.94	170.51724	1000.0	24999	142.7212	99.31217	301.00195	3.8680425	142.7239	99.310326	300.2793	2.9103813	-160.48705	124.400375	91.63395953178406	18.326792335510255
6	9334.622	3.6497283	9340.461	9329.629	9312.708	0.3544412	9313.164	9312.267	1000.0	1000.0	29999	178.3137	116.84644	341.63464	2.6123319	178.31592	116.845436	342.09384	2.9909337	-197.04478	285.1038	113.41258192062378	18.90209726492564
7	9324.299	2.5078573	9328.506	9321.847	9313.206	0.112545595	9313.459	9313.003	1000.0	1000.0	34999	214.14157	130.60184	375.46802	1.1185887	214.1431	130.6012	375.82773	3.950606	-233.52208	529.8726	135.09327101707458	19.299038989203318
8	9319.748	0.5110828	9320.432	9318.907	9310.666	0.058536757	9310.814	9310.606	1000.0	1000.0	39999	242.43802	138.3133	393.3781	1.8362181	242.43979	138.31235	389.5738	4.7041173	-261.34415	754.6467	156.9330780506134	19.616634994745255
9	9317.901	1.0940136	9319.244	9316.214	9313.437	0.18203397	9313.799	9313.239	1000.0	1000.0	44999	267.61688	142.08615	409.35855	-0.7675668	267.6204	142.08319	408.95035	4.388269	-286.22714	919.178	178.82644081115723	19.869604772991604
10	9318.444	0.30179605	9318.693	9317.897	9310.139	0.034291115	9310.214	9310.097	1000.0	1000.0	49999	289.99313	144.67397	420.5392	1.0402265	289.99533	144.67122	422.77643	4.299977	-307.46243	1030.8264	200.54885816574097	20.05488600730896
11	9317.686	0.85842085	9318.67	9316.177	9310.114	0.040286016	9310.189	9310.066	1000.0	1000.0	54999	309.40634	146.11374	432.62997	-1.164217	309.40753	146.10945	433.04416	5.044057	-326.1827	1086.451	222.44726824760437	20.222479126670144
12	9318.133	0.94259834	9319.463	9316.903	9309.955	0.41813025	9310.998	9309.521	1000.0	1000.0	59999	323.59933	144.17378	443.2029	0.11193618	323.60126	144.16609	443.1631	4.914442	-341.48294	1587.752	244.22039413452148	20.35169969002406
13	9318.657	1.201731	9319.911	9316.388	9310.738	0.12587015	9310.839	9310.386	1000.0	1000.0	64999	322.77722	134.88112	449.2608	-2.1478255	322.77988	134.87721	445.62006	4.5324225	-343.84998	3028.1943	265.9421007633209	20.457084802480843
14	8075.466	2487.8704	9319.968	3099.7246	9318.185	0.41085485	9318.579	9317.258	866.6	1000.0	69999	313.2203	123.97485	449.45956	-1.162804	313.22522	123.95247	447.9945	3.621461	-336.49332	4049.6096	287.7029221057892	20.550208892141068
15	7186.9146	3428.0752	9320.008	688.3028	9318.178	1.0919213	9319.897	9316.545	771.2857	1000.0	74999	314.24066	120.4716	456.78516	0.037061006	314.24246	120.46575	458.07733	3.9451962	-335.18344	3149.4275	309.51035618782043	20.6340238571167
16	1598.7279	2232.8276	9313.442	380.28128	476.47543	40.037365	520.3632	380.96765	171.82759	51.3	79999	307.80737	114.74813	454.73486	-2.3715465	307.8083	114.74957	448.6592	2.8989394	-323.69907	2960.3127	328.28812170028687	20.51800772547722
17	957.2362	1192.9617	5359.22	314.85693	9323.2	0.5949073	9324.359	9321.934	103.0	1000.0	84999	283.75128	102.60901	422.7305	-2.4776645	283.75272	102.602646	430.17	3.4886572	-302.20312	3479.8032	350.069402217865	20.59231790374307
18	1178.2777	1185.7938	4652.9604	333.44473	9319.768	0.1486128	9320.005	9319.546	126.72222	1000.0	89999	274.94656	97.742645	403.16232	-9.795042	274.951	97.71967	403.84085	3.6579096	-290.90686	2301.091	371.77359223365784	20.654088576634724
19	4782.406	3123.228	9316.371	1125.7294	9324.406	0.28331658	9324.913	9323.924	513.5	1000.0	94999	290.14667	103.84637	418.50906	-11.897959	290.1497	103.83465	428.56644	3.6874034	-300.89764	655.63184	393.4146943092346	20.706036642978066
20	3900.0947	2213.5051	9348.497	1748.4274	9345.596	20.162443	9358.898	9314.24	418.53845	1000.0	99999	306.1951	109.27399	436.2955	-13.543326	306.1965	109.27053	446.5194	3.4011137	-315.75308	525.6905	415.10183453559875	20.75509181022644
21	7990.257	2607.9768	9348.83	2776.7322	9349.528	0.57061833	9349.973	9348.336	855.8	1000.0	104999	328.3193	117.684685	469.57053	-10.643174	328.31903	117.68346	464.8763	3.7121391	-338.8403	489.0196	436.69382095336914	20.7949439343952
22	9341.903	1.4372339	9344.259	9340.524	9324.185	5.084148	9339.43	9322.172	1000.0	1000.0	109999	351.55536	123.02994	480.94012	-10.656063	351.5544	123.035965	494.46594	2.9829082	-362.8931	880.7878	458.3359091281891	20.83345050161535
23	9337.826	3.450127	9340.988	9331.306	9318.752	0.65648896	9319.396	9317.095	1000.0	1000.0	114999	362.4124	122.13271	478.14157	-10.180727	362.41235	122.134834	477.6553	3.8099465	-373.91983	1126.6274	479.9514536857605	20.867454580638718
24	9334.964	1.6784353	9337.003	9332.078	9352.257	0.18612139	9352.5	9351.957	1000.0	1000.0	119999	368.331	118.84176	499.22437	-12.371081	368.33127	118.84469	480.31073	2.461155	-379.31067	1345.0199	501.75808119773865	20.906586796045303
25	5847.795	3781.2732	9332.794	539.3551	9350.957	0.08646357	9351.146	9350.844	627.0	1000.0	124999	365.3458	112.392845	488.14734	-4.80544	365.3452	112.38989	483.76257	-7.6958537	-375.41553	1537.615	523.5581109523773	20.94232451438904
26	1251.2313	1055.4138	4641.829	594.33405	9294.872	1.2220534	9296.5205	9292.655	134.47058	1000.0	129999	361.16757	108.45227	469.79004	-6.592989	361.16876	108.4502	457.6525	-3.0828755	-369.6278	1368.2201	545.446704864502	20.97871949122502
27	4929.8496	3253.1765	9296.191	489.5568	9297.633	0.38468593	9298.204	9296.973	530.4	1000.0	134999	353.72638	105.017586	455.48697	-8.63389	353.72342	105.02096	456.6206	-13.334304	-361.81168	1645.5968	567.1567015647888	21.005803841131705
