Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time	AVG Time Per Epoch
1	-42.577324	3.5569975	-34.52706	-50.604103	-8.118886	2.2717617	-5.1183925	-12.920627	50.0	50.0	4999	-1.8698984	0.66466105	0.35353506	-5.8819985	-1.8702439	0.663083	0.096639425	-5.7849793	1.1993597	0.09141421	18.013081312179565	18.013083934783936
2	-43.56542	4.1230907	-32.231903	-52.231728	-8.15711	3.020455	-2.8108358	-13.160762	50.0	50.0	9999	-3.2627523	1.0110346	0.2525656	-8.230156	-3.2627356	1.0119009	0.086600855	-8.285561	2.566502	0.15200944	38.8790602684021	19.439531326293945
3	-9.388012	2.9320927	-3.5345032	-16.132677	-7.6679826	2.461194	-3.160375	-11.532479	50.0	50.0	14999	-4.311905	1.3617002	0.86562866	-10.9648	-4.3117495	1.3629119	0.8464802	-10.396544	3.6842432	0.2520189	60.38106155395508	20.127021312713623
4	-8.714354	2.7843974	-3.673437	-19.031538	-6.9590592	2.0827317	-3.948065	-11.059955	50.0	50.0	19999	-4.8644075	1.5595084	1.1473657	-11.540576	-4.8642116	1.5604794	1.1375198	-11.553845	4.351809	0.36986426	83.63972592353821	20.909932076931
5	-9.392705	3.5607653	-4.054288	-19.40928	-9.451608	3.1515422	-3.9297433	-14.136502	50.0	50.0	24999	-5.267537	1.7472832	2.8445928	-12.3413	-5.2675223	1.7476513	2.746656	-12.32965	4.8223987	0.49501944	105.7704906463623	21.154098558425904
6	-9.060551	3.2876375	-3.9741328	-19.964432	-7.5233917	1.8805834	-4.8238726	-10.716427	50.0	50.0	29999	-5.4927783	1.8370941	3.7004175	-12.545414	-5.492978	1.8368486	3.6488962	-12.269986	5.078882	0.58421093	128.88904118537903	21.481507261594135
7	-11.168214	3.7506592	-4.2008967	-18.55407	-10.738693	3.520359	-3.922306	-15.384075	50.0	50.0	34999	-5.684383	1.8712678	3.2654448	-14.022846	-5.6844363	1.8713766	2.4510803	-13.387967	5.2993836	0.6468169	150.21815013885498	21.45973607472011
8	-12.891588	4.7005186	-4.667456	-23.028278	-8.611634	1.9592152	-5.4173355	-11.143431	50.0	50.0	39999	-5.9320054	1.8915747	2.2096453	-14.471788	-5.932011	1.8914573	4.696625	-14.617317	5.5625205	0.75065196	171.33880519866943	21.417350947856903
9	-11.753018	4.1907516	-4.2632318	-28.280207	-11.47801	3.5127075	-7.047936	-18.209114	50.0	50.0	44999	-6.225133	1.9497721	2.1384747	-14.920602	-6.2251964	1.9501653	2.8652766	-14.686008	5.858109	0.8884881	193.30342888832092	21.478159030278523
10	-13.628004	4.2893686	-4.635672	-25.954716	-9.11842	4.3124695	-2.4534643	-13.790528	50.0	50.0	49999	-6.4508615	1.930381	2.1669352	-15.074191	-6.4507256	1.9324017	3.2121096	-14.7494955	6.0455217	1.0514878	215.32479405403137	21.532479786872862
11	-11.544403	3.4393594	-5.1521454	-23.033022	-9.705267	2.6753607	-5.7379885	-15.233925	50.0	50.0	54999	-6.806656	2.0877178	4.589011	-16.4678	-6.8066645	2.0894685	2.3591907	-15.795189	6.4210224	1.1910424	237.3871238231659	21.58064783703197
12	-11.269182	3.8373804	-5.924958	-23.68054	-10.577542	3.7198908	-6.3645453	-20.157583	50.0	50.0	59999	-7.0304103	2.115806	4.5319943	-17.144348	-7.0301814	2.118916	3.7083137	-16.121298	6.6341567	1.2630471	259.3890037536621	21.615750511487324
13	-9.495384	3.788319	-3.1650262	-32.88049	-7.1953874	1.0323894	-5.7256074	-9.473461	50.0	50.0	64999	-7.2064734	2.2010977	6.283559	-17.181032	-7.206418	2.2031116	5.288391	-17.02965	6.8068657	1.3355067	280.75438952445984	21.596491685280434
14	-8.588604	3.7124732	-2.868885	-22.878918	-6.4691696	2.110902	-2.625911	-9.05627	50.0	50.0	69999	-7.3136315	2.2857327	3.0569334	-17.657804	-7.313464	2.2894359	2.5635011	-17.311188	6.9429803	1.3512664	302.7712128162384	21.626515371458872
15	-9.00917	3.1435459	-3.6844814	-21.280752	-4.735677	1.9555042	-2.2042425	-9.303192	50.0	50.0	74999	-7.3241844	2.2529435	5.154613	-17.824202	-7.324047	2.2559304	5.5574145	-17.043772	6.9478345	1.344221	324.11143040657043	21.60742883682251
16	-8.05437	2.512354	-2.6002173	-13.485406	-5.8170156	1.1378521	-4.312326	-8.316126	50.0	50.0	79999	-7.3814464	2.207821	3.8523207	-17.98184	-7.38137	2.2105255	3.7120078	-16.806288	7.0288477	1.3531153	345.8759443759918	21.617246687412262
17	-8.285576	2.9822497	-2.928672	-19.799028	-6.1372466	2.1456943	-3.3802123	-9.906224	50.0	50.0	84999	-7.4734254	2.2098453	3.3289785	-18.105316	-7.4734087	2.213089	5.1122503	-17.1772	7.129266	1.4199781	367.46038937568665	21.615317148320816
18	-8.305937	3.1861565	-2.665634	-21.696499	-7.234713	3.1279743	-3.3976762	-13.161822	50.0	50.0	89999	-7.523713	2.2316294	2.9869628	-18.29534	-7.5236344	2.233236	3.1504078	-17.443157	7.1769547	1.4499806	389.08857226371765	21.616031924883526
19	-10.189175	4.8355417	-3.523384	-27.9891	-5.891284	1.8399482	-1.4632065	-8.648074	50.0	50.0	94999	-7.5556874	2.234925	3.5633545	-18.85057	-7.5557384	2.2369423	8.159697	-17.653154	7.215865	1.4819264	411.30473589897156	21.647617791828356
20	-10.67865	4.955609	-3.7455153	-30.089132	-8.084305	5.0690126	-3.7120132	-19.104584	50.0	50.0	99999	-7.582691	2.2470438	4.5254526	-18.628334	-7.5827374	2.2491994	5.477789	-18.760853	7.266138	1.5261921	432.9824628829956	21.64912326335907
21	-10.289826	5.320613	-3.6654925	-31.232157	-9.850332	6.0162206	-3.2382443	-22.903004	50.0	50.0	104999	-7.595551	2.2474737	3.070388	-18.82585	-7.5959067	2.2479458	3.6764586	-19.422266	7.2853804	1.5824664	454.66532039642334	21.650729644866217
22	-10.006042	5.1407022	-2.4700463	-25.844528	-10.452045	5.278363	-5.7001114	-19.034248	50.0	50.0	109999	-7.6286936	2.2868378	3.5575948	-20.042837	-7.6286263	2.28888	4.2334323	-19.444872	7.3210683	1.5613363	476.2996759414673	21.649985378438775
23	-9.80676	4.4232354	-3.7984087	-22.38186	-7.6398773	3.4701085	-4.058551	-14.920814	50.0	50.0	114999	-7.6627097	2.2943242	6.2649326	-19.528854	-7.662731	2.2971728	6.078717	-19.302113	7.3636155	1.5961802	497.8094336986542	21.643888525340866
24	-7.931907	3.097889	-3.0658777	-17.788034	-5.6156554	1.2829838	-4.01527	-8.073547	50.0	50.0	119999	-7.6382823	2.3329062	7.636388	-19.138206	-7.6382985	2.3357053	8.189486	-18.800606	7.343699	1.5965774	520.068273305893	21.669511487086613
25	-7.6303205	2.2998505	-2.7657344	-14.541504	-5.1235347	1.9400071	-2.051988	-9.042697	50.0	50.0	124999	-7.599045	2.3299797	7.317039	-19.381315	-7.5988574	2.3333685	6.477215	-20.61999	7.3191113	1.5655473	541.0945987701416	21.64378403663635
26	-7.3389564	2.103758	-2.7736864	-15.209805	-6.892914	2.738938	-2.2848036	-11.938081	50.0	50.0	129999	-7.5715184	2.3224921	5.271715	-19.046057	-7.5713925	2.3254921	6.2851844	-19.649515	7.3000526	1.5811365	562.8735175132751	21.648981525347782
27	-7.589139	2.0822566	-3.4109013	-16.03615	-7.0137014	1.61787	-4.5181217	-10.576625	50.0	50.0	134999	-7.5482645	2.307255	4.1828537	-19.284117	-7.5481696	2.310289	3.8296747	-18.945744	7.284128	1.5591365	584.6735906600952	21.654577511328238
28	-7.718298	2.1474447	-3.1882036	-16.741259	-5.4035797	1.582211	-2.7354152	-7.336246	50.0	50.0	139999	-7.5397553	2.3025336	6.3438625	-19.58503	-7.5397873	2.3049986	4.112782	-19.380053	7.2732587	1.5690787	605.960446357727	21.641444589410508
29	-7.791217	2.4183018	-2.825605	-18.075138	-5.571297	1.3527646	-3.5647314	-8.294219	50.0	50.0	144999	-7.5240927	2.3128583	5.198085	-21.881968	-7.524122	2.3147278	6.5844145	-21.06429	7.2584467	1.5821216	628.266820192337	21.66437318407256
30	-7.9846435	2.2473633	-3.3162758	-20.81975	-7.0409966	0.98332876	-5.728137	-9.443515	50.0	50.0	149999	-7.529471	2.3068545	6.8832407	-21.684967	-7.5294976	2.308231	4.3493805	-20.727274	7.2420387	1.6063936	650.217871427536	21.67392911116282
31	-8.039273	2.384997	-3.0104027	-18.069662	-5.9032316	1.552345	-2.8191757	-7.8778076	50.0	50.0	154999	-7.551023	2.3046134	10.281187	-18.898067	-7.5510817	2.3071709	5.3868327	-19.285398	7.275116	1.5995127	672.3942356109619	21.69013670182997
32	-7.725704	1.6559196	-3.0346591	-11.822734	-6.312283	0.7569441	-4.587908	-7.119727	50.0	50.0	159999	-7.59939	2.3373148	4.214261	-19.306404	-7.599225	2.3394616	4.613901	-20.419502	7.3159294	1.6762	694.4192826747894	21.700602635741234
33	-8.548402	4.278456	-3.461596	-41.210552	-5.5328784	1.6900505	-2.5972326	-8.55215	50.0	50.0	164999	-7.593971	2.3463044	6.697513	-20.12356	-7.5937696	2.3476632	6.4158745	-20.064827	7.3026505	1.7177327	715.8148596286774	21.691359447710443
34	-9.002273	3.4961617	-2.7880344	-27.359566	-6.0276337	1.8953189	-1.4837106	-9.043206	50.0	50.0	169999	-7.5278816	2.2998066	5.683596	-20.069265	-7.527929	2.3010523	9.204493	-20.71357	7.250232	1.6803119	737.8286414146423	21.700842457659103
35	-8.048572	2.5435874	-3.3785856	-23.163092	-6.190059	2.9176972	-2.0556943	-12.110907	50.0	50.0	174999	-7.4880123	2.2789073	8.913554	-21.771688	-7.488029	2.2807577	4.140027	-20.480673	7.214624	1.6773922	759.1802370548248	21.690863970347813
36	-7.2598968	1.9520243	-3.3825157	-14.674997	-6.187651	1.1896418	-3.5359848	-7.833247	50.0	50.0	179999	-7.4608	2.2902637	12.532669	-21.811337	-7.460716	2.2912822	9.574457	-21.316296	7.19651	1.658777	780.6062917709351	21.683508151107365
37	-7.21129	1.8447514	-3.0472476	-14.597477	-6.0915046	2.0499337	-2.1275566	-9.196012	50.0	50.0	184999	-7.4522524	2.2521172	6.2822475	-20.655478	-7.4525013	2.252744	6.1060076	-20.505632	7.1824527	1.648049	802.5739531517029	21.691187981012707
38	-7.2565556	1.8595816	-3.0716255	-12.233069	-6.1749887	2.8949912	-2.7082098	-14.144643	50.0	50.0	189999	-7.4719143	2.2450078	5.53083	-19.961977	-7.4718676	2.2467096	4.1714106	-20.483458	7.2086763	1.6320957	824.2886478900909	21.69180657361683
39	-7.369823	1.5490415	-2.53669	-10.362604	-5.979976	1.7649666	-3.3422854	-9.485457	50.0	50.0	194999	-7.452147	2.2371075	6.8502645	-19.809612	-7.452054	2.2388175	6.2238016	-20.136938	7.1793237	1.6095303	846.8660640716553	21.71451451228215
40	-7.513046	2.178014	-3.517503	-19.20895	-6.239821	1.2808211	-4.110196	-8.307468	50.0	50.0	199999	-7.4604673	2.2515697	4.6121955	-21.733433	-7.4603577	2.2528958	4.910497	-20.268785	7.204766	1.6165359	868.5760171413422	21.71440047621727
41	-7.0907106	1.9095811	-2.1989496	-13.72114	-5.6946707	1.7909541	-2.5747526	-8.296172	50.0	50.0	204999	-7.4326563	2.2678854	8.654267	-19.602232	-7.4325013	2.2688353	6.8321033	-19.976263	7.1800365	1.6478106	890.3277721405029	21.715311573772894
