Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time	AVG Time Per Epoch
1	2.0274534	5.815458	30.012653	-9.672965	-8.282337	1.1728747	-6.8435097	-10.274918	20.068548	67.1	4999	3.2084382	3.5208788	18.641846	-3.0178623	3.2086957	3.5222318	18.603909	-3.0408697	-5.307761	0.31005672	16.891814947128296	16.891817569732666
2	2.3112898	6.108707	31.194794	-10.283924	235.7835	45.637657	325.42648	162.11177	20.40244	159.3	9999	18.436386	8.566484	46.44913	-11.557272	18.436718	8.569122	45.81968	-12.444265	-22.748146	2.9538233	38.36760902404785	19.18380582332611
3	320.39972	184.1042	801.076	56.624428	562.04584	180.65007	798.825	319.4369	292.25	701.9	14999	33.93007	10.529031	66.400314	-19.527357	33.930588	10.528238	64.78888	-24.552958	-37.719128	6.8445764	63.86160707473755	21.287203073501587
4	301.55115	213.43532	841.9982	9.388496	0.067667864	2.4456475	1.0086038	-7.2671914	349.0	18.0	19999	43.04629	11.159002	74.14318	-31.510551	43.0472	11.1565695	74.53019	-26.778292	-45.863358	9.906014	85.8938684463501	21.473467588424683
5	18.25382	79.38428	349.96072	-80.174515	313.00504	175.66484	571.1418	34.2086	76.030304	318.3	24999	48.01204	11.803352	78.026535	-27.740822	48.01275	11.804099	77.45063	-29.832258	-51.0618	16.289068	109.15156245231628	21.83031301498413
6	206.73337	128.02367	434.66718	28.90697	142.04141	155.25803	414.10367	21.31766	180.28572	211.0	29999	50.818726	12.830764	83.26544	-34.248325	50.819187	12.833545	83.27213	-34.57007	-53.63275	15.395905	132.31135177612305	22.051892360051472
7	188.11766	62.316597	435.45773	33.983223	148.02663	21.435728	186.53616	121.55449	100.95918	78.3	34999	56.146423	14.94156	91.03962	-43.957424	56.146763	14.939802	90.47425	-43.857258	-59.28715	19.10196	154.70608401298523	22.10086945125035
8	244.9149	108.496284	673.23364	112.062325	222.24698	16.446974	243.69534	194.76172	146.26471	101.3	39999	62.620518	15.96218	96.868034	-46.24978	62.621506	15.955726	97.23843	-45.29576	-65.56478	19.842148	177.2808494567871	22.160106420516968
9	280.83572	133.01535	672.3674	19.418247	247.29668	43.13081	290.94537	183.7204	181.82143	116.1	44999	66.90739	17.733904	106.01147	-42.678364	66.90807	17.732298	107.84598	-40.954906	-69.637215	18.212278	199.8110809326172	22.20123142666287
10	267.28955	75.76834	418.78775	-41.711483	251.44278	54.135326	322.48734	161.8534	149.54546	114.4	49999	71.20045	19.53487	112.43826	-39.667175	71.20113	19.530956	113.197464	-38.41841	-73.89768	19.57582	222.4392385482788	22.24392409324646
11	336.45566	42.976273	432.25067	234.80766	273.36337	41.72144	310.14224	190.85782	153.15152	117.6	54999	75.35162	22.176893	122.74474	-49.81845	75.35217	22.171556	120.83934	-47.338226	-78.02982	19.796103	245.0075204372406	22.2734111439098
12	265.80017	48.31105	402.98837	153.50742	290.59772	38.160828	332.78726	184.96547	123.95	127.6	59999	79.26014	24.830788	129.80739	-50.361244	79.2602	24.826677	132.51538	-51.746284	-82.00977	20.829391	267.70271849632263	22.30856003363927
13	281.6736	45.11644	362.9563	182.75446	309.27148	22.773174	367.41022	290.2368	125.775	131.7	64999	83.43911	26.731997	134.25023	-54.18498	83.43948	26.732435	137.28531	-52.447372	-86.343254	21.542269	290.4606394767761	22.34312627865718
14	297.27026	32.271458	396.61728	230.6187	323.46033	13.113621	350.63522	304.3902	134.89189	141.5	69999	87.84974	27.873552	140.5026	-52.323685	87.84909	27.875664	143.08621	-58.73168	-90.827995	21.640331	313.0884847640991	22.363463350704738
15	287.8699	34.024696	388.32254	236.6323	285.90662	31.883333	317.7292	203.54527	138.69444	141.6	74999	91.62372	28.827904	143.85832	-46.49027	91.62333	28.829855	142.05455	-78.5657	-94.3495	20.16748	335.7897710800171	22.38598486582438
16	304.62476	29.5089	357.3122	203.47176	293.45502	33.210495	330.84155	227.65442	143.82857	139.9	79999	94.51762	29.91193	147.74759	-52.78054	94.51777	29.911877	146.35191	-58.651527	-97.19809	19.555452	358.43924355506897	22.4024528414011
17	298.89624	77.11541	423.6671	37.752567	290.12625	31.26813	319.39914	217.74495	139.94286	130.5	84999	97.26989	31.109884	150.22047	-50.696598	97.26976	31.112228	153.27805	-48.632385	-99.89575	19.232721	380.8432469367981	22.402544091729556
18	288.25394	27.772238	345.9424	204.61688	284.09857	38.62077	326.14862	193.57544	137.75676	132.8	89999	99.46521	32.46813	153.49513	-61.034763	99.46507	32.467472	154.19302	-67.98446	-102.147865	20.209446	403.54713344573975	22.419285310639275
19	347.67493	113.207214	667.7897	137.7736	460.0936	128.16956	661.0689	259.27676	148.63637	179.1	94999	101.11826	33.82346	171.1689	-84.44925	101.11892	33.82085	169.97269	-84.95584	-103.64095	21.12432	426.4979565143585	22.447260994660226
20	574.83514	453.54297	2062.5337	201.33356	361.4385	80.39839	457.02756	235.18915	263.1579	162.9	99999	103.07219	35.059322	171.85005	-76.074036	103.07285	35.05695	170.82231	-77.16552	-105.5589	21.250315	449.4560730457306	22.47280373573303
21	582.00287	337.7536	1384.6617	30.717297	531.38806	350.6723	1399.3383	252.1355	294.4375	226.7	104999	105.18068	35.4957	171.25874	-77.44339	105.18112	35.494507	172.43497	-79.884094	-107.782646	22.99997	472.6285512447357	22.506121578670683
22	671.4545	338.2313	1527.512	233.79893	643.9623	423.72208	1488.2297	253.95285	302.35294	320.8	109999	106.87156	35.68261	172.45578	-85.88576	106.87256	35.685608	172.63129	-89.27712	-109.42948	24.94567	496.2757227420807	22.55798749490218
23	721.3312	346.0822	1459.1935	255.00299	1268.8132	774.9805	2757.3013	337.31052	286.5	551.2	114999	107.92717	36.046814	177.93755	-97.78544	107.92785	36.046906	180.06969	-100.56117	-110.44523	25.07439	520.7384095191956	22.640800496806268
24	944.4316	387.3425	1774.7255	305.99384	2029.9801	889.6029	2771.1719	374.37125	359.85715	780.7	119999	109.46191	36.585384	184.03436	-92.78166	109.46218	36.588055	183.73346	-97.369644	-111.95973	25.792665	546.5336635112762	22.77223605910937
25	943.0246	726.0263	2795.576	299.22015	871.65137	151.48402	1099.2761	640.91907	353.14285	351.7	124999	111.322495	37.17265	188.75027	-93.10457	111.32285	37.176537	189.60132	-78.76976	-113.85324	25.560629	570.3101232051849	22.812405014038085
26	648.80444	255.4722	1106.2482	338.25476	660.5385	283.3901	1076.7958	201.88754	272.55554	273.9	129999	112.97948	37.621094	192.5798	-73.10712	112.980446	37.621117	193.34969	-76.496414	-115.39724	24.899979	593.718784570694	22.835337941463177
27	589.9374	425.0525	1424.7778	148.37926	336.72394	7.2027707	349.1199	325.3711	240.2381	141.4	134999	114.28666	37.784576	196.89497	-70.67329	114.28743	37.787975	196.0659	-69.327896	-116.69783	24.451706	616.4518673419952	22.831550730599297
28	1051.9034	470.41177	2048.9	380.4929	847.4188	579.47296	1736.2184	119.69321	359.07144	296.8	139999	115.24203	38.682625	202.38235	-85.43763	115.24244	38.68456	203.19107	-84.481476	-117.48529	24.903427	639.7761223316193	22.849147302763804
29	841.60846	336.6122	1539.2186	220.49449	921.98126	356.1445	1408.8632	368.5229	300.35294	332.3	144999	117.10555	39.583973	204.51787	-94.2018	117.10539	39.58613	205.10304	-90.96974	-119.44657	25.226955	663.2463049888611	22.870562314987183
30	736.12976	322.56546	1499.511	135.13396	1020.26447	404.7418	1938.7435	511.3616	270.72223	304.8	149999	119.16523	40.477966	211.61671	-95.69765	119.164696	40.483124	213.58171	-103.45418	-121.52419	26.506313	686.4864616394043	22.882882118225098
31	623.5955	272.61237	1220.3556	261.3435	576.6117	149.9583	910.7646	455.20312	255.55	246.5	154999	121.164665	41.58789	216.68176	-106.62548	121.1646	41.59039	218.80849	-111.236824	-123.61603	28.130312	709.6009495258331	22.890353287419966
32	757.1909	246.35663	1223.8502	183.33272	599.4271	348.31265	1222.13	195.67998	289.0	248.1	159999	123.4076	42.79757	222.35294	-103.73291	123.40767	42.800884	225.4012	-105.02819	-125.92479	29.014847	732.4591128826141	22.889347352087498
33	729.703	327.58838	1153.7388	181.9121	691.03796	307.80643	1322.6621	476.5809	282.27777	274.6	164999	125.360855	43.49225	228.63654	-100.84627	125.36035	43.497875	229.4162	-102.67388	-127.85089	29.235437	755.6871464252472	22.899610562758014
34	1157.8793	791.18585	3107.0544	182.14227	1460.1362	846.58057	2852.751	383.6625	404.5	594.9	169999	127.500374	44.152004	234.48535	-81.13276	127.49967	44.156048	235.51494	-97.79786	-129.99246	30.652624	780.2740833759308	22.949237802449396
