Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time	AVG Time Per Epoch
1	-51.57696	86.195854	42.305344	-333.0825	11.090698	166.01953	503.4775	-100.311905	146.33333	135.9	4999	0.954354	3.112416	23.976406	-15.745599	0.95427454	3.1124032	23.879805	-15.616588	-2.3902497	0.56710386	21.32191753387451	21.321919918060303
2	-39.447628	80.99963	11.299911	-340.91232	-437.59235	538.93604	202.68066	-1301.2688	125.30769	527.3	9999	9.319344	5.941046	45.471207	-17.256918	9.31984	5.9408493	46.065468	-18.281647	-12.624814	2.7354016	49.71862530708313	24.85931384563446
3	-54.825775	165.44394	303.85434	-399.8798	421.07495	332.24258	869.452	-36.276516	335.82352	730.8	14999	18.049454	6.367448	49.231537	-21.77981	18.050682	6.3745823	49.897484	-22.060217	-20.94025	4.2486553	81.64979577064514	27.216599305470783
4	412.34985	208.98106	662.84375	54.65279	467.9838	357.47827	780.3626	-77.61527	824.4	736.9	19999	20.63955	6.2806177	49.85165	-19.252466	20.639889	6.285078	51.772274	-22.236256	-22.973482	3.015661	113.28994274139404	28.32248628139496
5	475.42572	318.84866	713.96326	-151.14081	463.97247	383.73047	845.4586	-17.146729	1000.0	616.4	24999	22.533796	6.242939	52.005947	-14.5836	22.5341	6.244282	52.526627	-15.617325	-24.475328	2.4170113	144.38788390159607	28.877577209472655
6	529.53955	322.9806	763.4651	8.723599	731.87665	38.84484	804.30414	681.1848	723.0	1000.0	29999	24.212292	6.5651765	51.59172	-14.292544	24.212904	6.565336	52.315544	-13.676089	-25.872885	2.0295813	178.1710081100464	29.695168375968933
7	790.3377	38.636738	822.0232	715.0244	492.06787	409.0021	940.1601	-20.894258	1000.0	611.6	34999	26.758099	6.910043	52.39796	-14.582086	26.758411	6.9101768	53.088577	-15.015302	-28.302763	1.7258984	209.09722590446472	29.871032578604563
8	650.19324	286.41226	822.5721	12.268508	689.5504	339.47348	898.31	9.685337	837.1667	813.3	39999	29.38685	6.9995723	53.6779	-12.329878	29.387032	7.0000696	52.827305	-13.490316	-30.814932	1.6923262	241.7290482521057	30.216131299734116
9	570.6682	318.36685	837.88184	11.742	903.32776	18.197945	925.05347	869.7564	839.1667	1000.0	44999	31.885872	7.204811	53.007046	-12.425464	31.886341	7.204398	53.91231	-22.002073	-33.17867	1.6110561	275.47160935401917	30.607956806818645
10	705.6525	319.85623	872.3005	-8.927468	751.73004	363.6702	981.8567	20.241827	837.8333	824.8	49999	34.14773	7.5321326	55.576847	-13.959748	34.148132	7.5312705	55.183975	-18.0853	-35.32312	1.5046002	307.96440982818604	30.796441149711608
11	866.10095	16.50409	891.66156	845.7564	735.2871	386.98114	942.791	-76.81113	1000.0	901.7	54999	36.446983	7.866633	57.00109	-11.33657	36.44718	7.866788	57.19959	-15.159143	-37.610207	1.4046692	343.1641981601715	31.19674550403248
12	885.06213	24.566055	925.41394	862.11456	902.2088	40.773056	994.2254	871.8574	1000.0	1000.0	59999	38.800068	7.9074616	59.041485	-15.677406	38.8002	7.906564	59.600113	-18.460766	-39.899517	1.3598291	381.1631009578705	31.763591905434925
13	824.2746	45.68517	866.5161	735.52386	857.75586	67.35148	989.21045	768.89825	1000.0	1000.0	64999	40.95994	7.9344788	60.768253	-16.335022	40.960182	7.934079	61.519997	-17.249182	-42.032963	1.3203143	419.1996579170227	32.24612773381747
14	866.71936	23.590696	891.2956	824.5727	668.66205	497.56992	944.88184	-634.12537	1000.0	1000.0	69999	43.018208	7.880517	62.623898	-17.981998	43.018425	7.880491	62.155136	-17.529974	-44.10396	1.3114133	457.3903076648712	32.6707365001951
15	845.6725	77.55285	927.7757	697.85504	930.9588	24.78043	969.28906	897.48883	1000.0	1000.0	74999	45.044273	7.9023347	63.9653	-22.768951	45.044483	7.90195	63.00581	-23.452726	-46.090958	1.2677883	495.71224904060364	33.047483428319296
16	897.6854	17.645708	922.4306	877.62714	903.80676	23.211565	969.38293	886.3018	1000.0	1000.0	79999	46.8273	7.9253287	67.0067	-17.368225	46.82766	7.9246445	65.71482	-22.325243	-47.882988	1.3019445	533.3163070678711	33.332269325852394
17	897.632	29.870184	933.5454	859.6456	731.0979	470.0837	957.39465	-673.4652	1000.0	1000.0	84999	48.47245	7.86635	66.68371	-17.793457	48.472775	7.8653517	66.630005	-17.483515	-49.503414	1.2968025	570.9402692317963	33.584721845739026
18	888.51355	30.293018	924.6518	850.3543	933.6953	19.276983	963.9782	905.82025	1000.0	1000.0	89999	49.9592	7.845316	67.578926	-16.4547	49.959442	7.8443956	69.449394	-16.250328	-50.95635	1.3069946	608.2933161258698	33.79407322406769
19	941.8942	21.63453	979.75006	914.8651	1035.051	41.440804	1073.7383	966.11163	1000.0	1000.0	94999	51.318054	7.9197416	70.554504	-21.882149	51.31826	7.918496	71.98972	-19.286276	-52.318115	1.2825754	645.9561450481415	33.99769194502579
20	922.77014	23.648483	959.31726	890.2604	982.0192	12.212668	1003.6487	954.8278	1000.0	1000.0	99999	52.578903	8.022198	71.03041	-19.200138	52.579132	8.020658	70.17177	-26.699667	-53.634426	1.3252513	682.730391740799	34.13651969432831
21	407.60742	682.793	955.0999	-738.4532	978.9323	13.305939	1003.2042	954.44214	1000.0	1000.0	104999	53.304962	9.045358	73.599754	-23.036913	53.305492	9.044338	70.02902	-27.971886	-54.3851	1.5086694	719.8164665699005	34.276974712099346
22	984.7125	24.049816	1021.36884	950.7444	1019.3649	5.8557405	1027.5831	1007.3044	1000.0	1000.0	109999	54.257885	10.410545	71.116005	-21.520594	54.258137	10.409688	71.5015	-22.326807	-55.297394	1.4499041	756.6970992088318	34.39532286470587
23	990.2744	24.66344	1018.65546	958.29065	996.2513	8.492104	1007.17706	978.19495	1000.0	1000.0	114999	55.47419	11.232344	75.42285	-18.064869	55.474167	11.233468	75.0729	-23.79343	-56.61751	1.4693813	793.0224084854126	34.47923523446788
24	1017.88995	42.87191	1099.5424	981.5813	1117.9886	12.347614	1144.0803	1098.1228	1000.0	1000.0	119999	56.74659	11.817123	74.584175	-23.144947	56.74651	11.8177	73.96387	-19.862776	-58.02635	1.6272441	829.4535675048828	34.56056540211042
25	1068.4053	171.96559	1200.6102	733.7245	1194.7609	364.0328	1439.281	182.82626	1000.0	1000.0	124999	58.714405	12.59189	77.2734	-18.75011	58.714447	12.592509	77.239044	-25.79614	-59.734787	1.4564506	865.9583764076233	34.638335132598876
