Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time	AVG Time Per Epoch
1	-249.90652	75.22898	-143.4313	-376.62518	-525.2319	1.7401447	-522.6987	-528.80865	1000.0	1000.0	4999	-0.038131226	2.055942	9.325193	-10.439389	-0.038298257	2.0573342	9.10723	-10.3222475	-0.45753175	0.35418835	24.201014041900635	24.201016187667847
2	-296.20914	45.67444	-228.24687	-357.0179	-505.54907	22.764938	-464.97946	-537.1634	1000.0	1000.0	9999	3.4391217	5.867527	50.693375	-10.65133	3.4395964	5.8665648	49.726078	-11.210688	-4.8593698	1.4324106	53.65273571014404	26.826369047164917
3	-369.3087	134.16339	-101.80749	-453.0924	-448.71802	76.87591	-320.91138	-608.74835	1000.0	1000.0	14999	10.215832	8.823599	38.871284	-10.984167	10.215439	8.82359	39.706993	-10.827171	-11.762801	1.8529359	84.76293516159058	28.25431267420451
4	-38.393852	380.98975	617.26776	-388.7019	349.95233	266.09872	929.5313	54.320263	1000.0	1000.0	19999	11.238753	13.256193	46.04164	-17.534367	11.238268	13.25643	46.580444	-17.920263	-12.384211	2.2330127	116.1857271194458	29.046432435512543
5	673.39923	150.2615	856.0519	426.572	732.13586	395.28964	922.858	-448.16718	1000.0	1000.0	24999	10.442833	14.965137	51.076893	-22.051926	10.443627	14.964653	52.100834	-21.906643	-11.719136	2.4951012	147.29460096359253	29.458920621871947
6	872.2336	75.89554	996.2683	784.96655	966.5715	244.97144	1350.6896	421.29092	1000.0	1000.0	29999	14.659282	13.979173	75.98517	-20.589695	14.661141	13.978312	75.63244	-21.140032	-16.102713	3.011534	178.17887115478516	29.696478923161823
7	1048.2644	203.42522	1382.0902	827.8253	1608.0162	359.46857	2124.427	1017.65967	1000.0	1000.0	34999	21.099379	13.863538	85.06163	-17.016687	21.100578	13.8631	82.17264	-16.177588	-22.4045	3.3908005	209.76288032531738	29.9661260672978
8	1230.1833	573.23096	1852.279	243.07538	1247.4122	351.2594	2150.947	913.05853	1000.0	1000.0	39999	28.3819	16.901922	100.15052	-20.896671	28.383476	16.90012	100.9256	-19.460606	-29.71485	4.782714	241.15048503875732	30.143810868263245
9	2692.0342	235.08504	2970.3198	2313.556	3107.0532	176.64012	3447.0823	2861.5999	1000.0	1000.0	44999	38.537956	24.219463	124.50143	-26.769684	38.53856	24.217838	124.46478	-25.292728	-40.017075	7.6596236	271.83545422554016	30.203939570320976
10	3113.8208	125.92937	3352.671	3001.111	3296.9746	779.3037	3686.0813	971.22546	1000.0	1000.0	49999	53.12461	34.354103	149.34665	-43.94051	53.125107	34.35386	148.7887	-38.008545	-54.923557	10.411584	303.563529253006	30.35635313987732
11	3457.8354	104.06181	3597.4731	3286.0605	3716.8965	120.83781	3939.5405	3504.513	1000.0	1000.0	54999	68.2758	44.929028	175.07404	-43.569984	68.27655	44.928482	172.98647	-43.253975	-70.08917	12.338422	334.32610392570496	30.39328239180825
12	3515.6782	36.9654	3587.6602	3486.574	3756.2974	99.51635	3884.4778	3608.1152	1000.0	1000.0	59999	83.92425	55.145996	191.96344	-40.24589	83.92468	55.146187	192.03464	-38.347836	-85.847435	13.840722	365.2559185028076	30.43799340724945
13	3665.3086	140.16116	3856.71	3452.464	4037.5176	92.97129	4200.926	3909.3335	1000.0	1000.0	64999	100.47854	63.240387	210.63696	-41.68108	100.47928	63.240635	209.27219	-38.378765	-102.5573	14.9314375	397.0317873954773	30.54090688778804
14	3820.189	90.553795	3961.802	3687.412	3774.0415	126.556595	3950.4102	3513.4707	1000.0	1000.0	69999	116.79249	70.02016	231.43799	-40.229156	116.7923	70.0216	230.93108	-43.02063	-118.83329	15.842957	427.8691215515137	30.562080247061594
15	3855.1257	27.413363	3881.4956	3803.056	4151.0596	61.51515	4247.367	4071.3662	1000.0	1000.0	74999	132.62769	75.697	253.27188	-46.353256	132.62788	75.69784	250.37486	-46.087193	-134.63918	17.632973	458.5521523952484	30.57014363606771
