Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time	AVG Time Per Epoch
1	21.869108	24.810623	185.49113	5.048896	52.70647	1.7545881	55.6382	49.02649	24.014423	29.3	4999	6.8529444	5.5878787	34.58579	-16.323303	6.852968	5.586996	35.42152	-14.603428	-8.137106	0.62009454	16.728788375854492	16.728790998458862
2	16.867311	12.854753	112.11523	4.822412	101.55345	16.028666	108.72155	53.571045	21.00422	55.7	9999	32.3759	16.154264	94.5245	-48.960884	32.37591	16.159384	93.126564	-44.955692	-37.70013	9.357679	37.51928734779358	18.759644985198975
3	123.19063	90.97804	305.93246	7.545453	411.011	52.206192	494.70203	344.24197	62.692307	203.9	14999	76.22975	25.091164	135.982	-86.12345	76.23068	25.112549	130.51794	-74.21805	-83.466324	42.86963	60.32191252708435	20.1073051293691
4	267.1195	84.74333	439.872	62.406467	295.8498	5.597713	304.00644	287.4924	142.66667	123.4	19999	99.26797	26.945383	180.35175	-130.96028	99.27	26.972805	177.4173	-131.23465	-104.92397	61.973274	82.75685334205627	20.689213812351227
5	363.10443	92.58103	648.64435	196.49715	417.65616	31.150547	493.6566	385.40112	154.74193	165.4	24999	115.15256	32.571735	206.54478	-128.09535	115.15376	32.59123	204.05809	-139.87857	-121.06804	66.25464	105.25685811042786	21.05137209892273
6	304.9951	132.42845	534.8937	37.25095	285.89813	4.9896774	293.35544	280.22977	115.37778	114.6	29999	132.46483	37.975296	228.92361	-104.35868	132.46362	37.999866	225.3707	-104.16349	-138.2443	71.848526	127.60477662086487	21.267463088035583
7	261.01083	31.034718	337.94913	205.56653	304.15524	47.14261	378.6524	200.1487	112.13636	125.3	34999	143.00299	42.19327	243.4143	-128.99203	143.00267	42.217148	242.72064	-108.21739	-148.62663	78.16941	149.85774636268616	21.408249752862112
8	346.98315	105.802986	565.4526	176.13733	402.98453	50.221893	506.89954	357.91373	135.45946	151.0	39999	150.32983	45.489784	262.5361	-157.6908	150.33012	45.51541	256.0855	-158.05319	-155.70453	84.272446	172.18359327316284	21.522949427366257
9	323.14383	126.66303	727.02905	148.82072	297.75757	54.143864	403.32895	238.38351	134.32433	127.9	44999	156.66808	50.329914	273.37924	-232.70297	156.66652	50.35274	279.37683	-239.5377	-161.92235	79.214485	194.477276802063	21.60858654975891
10	292.91617	151.65804	750.25256	114.322464	560.88696	28.139755	600.683	507.79694	118.02381	167.4	49999	157.5277	54.827477	305.92154	-241.8258	157.52866	54.837627	309.03574	-268.87018	-161.93546	81.305305	217.04561734199524	21.70456192493439
11	482.5375	188.9646	823.51654	199.2262	305.37756	167.43248	682.0818	218.01599	179.92857	126.0	54999	157.65085	57.908966	305.57614	-263.01257	157.64928	57.9171	302.09933	-310.4177	-162.33818	84.62729	239.27947878837585	21.75268006324768
12	567.14154	270.39996	987.0047	136.21187	788.3955	242.1815	1235.6346	537.46716	192.0	279.9	59999	160.31715	58.390007	299.73508	-204.05159	160.31642	58.402134	296.19458	-191.71967	-164.75722	83.6216	262.19508624076843	21.84959065914154
13	676.7306	256.47073	1469.791	48.264297	683.612	14.504718	696.25543	655.15857	228.77272	211.2	64999	163.53172	58.580406	280.99026	-361.60968	163.53128	58.59168	288.57993	-348.02078	-167.5642	83.64428	284.812707901001	21.908670003597553
14	465.89496	198.22452	720.4462	23.873129	364.8835	100.18408	568.01416	204.21924	161.7742	146.5	69999	166.52118	58.701256	280.31464	-334.9897	166.5209	58.71128	286.83813	-422.5846	-170.46956	84.67341	307.1121952533722	21.936585511480057
15	602.82513	106.30632	968.3702	405.89807	580.2457	32.456177	656.505	516.634	195.92	169.4	74999	169.27954	58.595177	293.95013	-171.95421	169.27936	58.599983	285.81088	-191.29077	-173.09573	92.36824	329.63493490219116	21.97566246986389
16	622.28284	96.10685	841.9343	279.2092	557.76526	264.48022	951.4735	210.6187	192.11539	259.2	79999	170.00287	58.7571	275.83246	-229.18782	170.00134	58.761852	275.9179	-197.89804	-173.67595	83.56781	352.50247406959534	22.03140476346016
17	463.059	292.48535	1167.8713	114.47866	777.71545	313.03027	1435.3956	415.91052	208.75	282.0	84999	171.81244	58.09763	274.59027	-334.87064	171.81177	58.105587	276.55753	-175.81622	-175.40402	87.682205	375.5378499031067	22.090461885227878
18	929.1122	458.79874	2114.8247	414.66864	1427.8739	91.69844	1687.9016	1346.4012	320.75	444.0	89999	174.13066	57.91799	265.36182	-148.42456	174.1298	57.931667	264.5322	-142.07625	-177.739	86.91095	398.8908586502075	22.160603404045105
19	875.01514	187.06467	1289.8749	561.4324	825.65234	112.08114	1072.8763	686.28613	291.05884	279.3	94999	176.29822	57.3232	263.1154	-143.60973	176.29622	57.335308	261.62225	-115.37562	-179.84743	90.766075	421.7815170288086	22.199027324977674
20	906.5011	324.44388	1640.1049	347.46713	729.0368	110.705574	1055.6334	648.26166	312.375	242.0	99999	176.91563	56.771187	259.88608	-94.73481	176.91356	56.788803	262.23932	-113.84898	-180.10173	80.764465	444.75352811813354	22.237676513195037
21	874.6943	296.64056	1689.9777	484.40613	815.8275	96.67039	1055.2885	629.14496	296.2353	283.4	104999	177.11368	56.78938	265.2704	-117.88686	177.11333	56.80436	266.0811	-116.618805	-180.37599	76.07633	467.64512395858765	22.268815528778802
22	795.35956	379.4074	1947.0754	340.12955	1237.1963	700.22766	3025.0322	418.37277	278.6111	422.0	109999	178.08392	56.81627	273.3736	-143.95688	178.08408	56.832897	272.73248	-118.65824	-181.49951	76.69584	491.3253824710846	22.332972028038718
