Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time	AVG Time Per Epoch
1	55.071716	16.447075	128.7558	26.839588	192.19516	78.740814	410.5708	120.22364	6.061893	20.7	4999	26.350618	15.872323	76.62259	0.06950861	26.34832	15.876095	76.945244	-0.42053002	-27.289722	3.6775215	16.469003200531006	16.469005584716797
2	55.959072	17.6959	148.51404	26.901806	361.96622	136.55513	662.65936	250.52191	6.1576357	38.9	9999	56.394978	45.009754	178.36617	2.9648497	56.396385	45.01204	179.50633	3.224283	-71.52542	14.766188	37.10267782211304	18.551340103149414
3	736.41473	1026.659	7876.674	63.70606	2632.1987	347.8376	3264.0364	2065.9038	79.0	281.5	14999	101.37169	86.68626	267.6	0.75095344	101.37266	86.68949	266.58017	-0.16867465	-126.051476	70.23937	59.53575372695923	19.84525203704834
4	9340.15	4.5122604	9345.585	9333.446	9355.756	4.1163864	9359.945	9351.568	1000.0	1000.0	19999	161.95642	121.497955	338.961	2.1139274	161.95541	121.501915	339.87988	3.129869	-187.17355	190.46896	84.66378426551819	21.165946662425995
5	9322.572	2.5889065	9327.44	9320.267	9312.94	0.03881268	9313.004	9312.878	1000.0	1000.0	24999	217.71255	143.32668	388.76932	3.5560641	217.71216	143.32698	386.03787	3.4076068	-243.44713	583.5859	109.48617959022522	21.897236347198486
6	9319.222	1.030063	9320.46	9317.792	9314.189	0.53649527	9314.8	9312.995	1000.0	1000.0	29999	251.54408	145.13887	405.11255	2.2676408	251.545	145.13289	417.2756	3.7010648	-277.29767	1372.1029	134.38203287124634	22.397005836168926
7	9317.869	0.8098347	9319.302	9316.922	9317.885	0.22996067	9318.161	9317.42	1000.0	1000.0	34999	271.689	140.50208	435.11813	3.1882937	271.6885	140.50124	435.26645	4.164089	-295.5481	1690.6718	159.27206897735596	22.753153017589025
8	7694.478	2027.9767	9317.464	4615.8916	9308.433	0.5422529	9309.301	9307.531	826.2	1000.0	39999	303.46368	145.52715	442.42078	4.663052	303.46317	145.52783	441.69907	4.6743517	-323.7596	1030.414	184.32893538475037	23.041117191314697
9	9313.44	4.816657	9317.407	9304.037	9315.552	0.3035338	9315.897	9315.067	1000.0	1000.0	44999	322.78436	143.45396	473.34024	3.6730812	322.78625	143.4494	452.37143	4.705929	-341.97745	1459.7446	209.28791069984436	23.25421248541938
10	9316.888	0.44810024	9317.748	9316.523	9314.044	0.2856493	9314.35	9313.506	1000.0	1000.0	49999	328.3602	137.828	467.44266	1.1645297	328.36215	137.82288	461.7293	1.5975436	-348.3958	2066.8196	234.21111345291138	23.42111155986786
11	9317.347	0.5436394	9317.999	9316.413	9310.234	0.12318862	9310.412	9310.019	1000.0	1000.0	54999	332.56857	131.34734	464.53842	-0.896843	332.5696	131.33775	451.18054	0.8383092	-351.3683	1869.606	259.1242275238037	23.556748151779175
12	9317.634	1.2891989	9319.328	9315.959	9315.326	0.55223125	9315.836	9314.376	1000.0	1000.0	59999	346.81613	129.79297	461.67352	-3.2028522	346.81647	129.79202	461.11536	0.5870576	-363.08594	1158.7468	284.15349197387695	23.67945784330368
13	7943.8564	2624.7317	9317.603	1748.8593	7623.4688	3370.1042	9308.696	855.6874	852.8571	819.0	64999	362.63824	130.23122	465.27786	3.301605	362.63855	130.22768	464.3051	0.7880182	-377.5875	1034.1088	308.5041313171387	23.731087171114407
14	1021.32465	1496.4097	9316.909	371.1349	6726.6743	3961.3716	9320.434	632.5668	109.8	721.8	69999	366.9561	127.50287	457.0723	2.8564186	366.95694	127.50063	455.9844	2.3645701	-382.2442	1639.5869	332.4610683917999	23.74721929005214
15	4399.9717	2819.451	9316.955	1060.535	750.02216	164.09634	1041.5626	510.97244	472.4	80.7	74999	372.63046	127.10555	461.9037	0.34715495	372.62982	127.10286	460.27185	0.21165943	-385.8174	1036.3666	354.19633078575134	23.613088862101236
16	5347.8574	2699.7498	9316.96	2020.6401	7043.1655	2734.3374	9310.158	1069.2809	574.1111	756.6	79999	387.51385	130.27739	486.2852	0.57780915	387.51373	130.27376	482.0632	-1.7908562	-400.133	778.9211	378.43305706977844	23.652066215872765
17	2747.9094	3646.6301	9318.163	464.61868	538.92316	55.412537	641.486	427.29425	295.05884	58.0	84999	397.24402	131.97906	499.9227	0.038497806	397.24396	131.97453	503.40247	0.07828462	-410.6407	1330.78	400.22800874710083	23.542824170168707
18	4271.7334	3420.9363	9317.97	697.8659	8488.802	2463.971	9310.864	1096.8877	458.6	911.8	89999	399.80103	130.3247	503.97284	-3.9660854	399.79996	130.32686	502.57016	-1.0680417	-413.40622	1505.6895	424.8941102027893	23.605228463808697
19	6994.5337	3690.1394	9315.842	455.35672	839.3644	258.4773	1162.5742	287.40335	751.0	90.3	94999	404.1482	128.54797	507.06763	-5.320933	404.14896	128.54906	506.7464	-2.0614953	-416.3281	1266.7222	447.30046033859253	23.542129616988333
20	6577.098	3065.4343	9316.102	1685.1968	9312.156	0.22778453	9312.463	9311.632	706.1429	1000.0	99999	404.56628	126.436485	508.32187	-4.8475676	404.56552	126.44004	505.826	-4.6829257	-416.7812	1278.616	473.47620153427124	23.673810172080994
21	9099.085	432.9957	9316.548	8233.095	9310.568	0.093131505	9310.659	9310.314	976.8	1000.0	104999	404.92017	123.5676	495.21985	-12.238442	404.91962	123.57014	501.08783	-8.238128	-415.9511	1176.252	499.2025945186615	23.771552222115652
22	7986.31	2972.4377	9316.394	1339.7372	9311.846	0.17138296	9312.136	9311.445	857.3333	1000.0	109999	409.92844	121.46381	498.63397	-10.686022	409.9281	121.46571	503.50888	-7.7917223	-420.60696	1025.0946	524.9034140110016	23.85924617810683
23	4304.808	3084.6575	9315.822	1573.2286	8471.564	2504.4016	9307.075	958.3597	462.27274	910.3	114999	415.82184	121.03296	495.65048	-12.811648	415.82224	121.02735	496.66937	-29.074766	-426.3014	1153.7854	549.9464466571808	23.91071515497954
24	3466.3313	2618.9478	9318.627	752.41974	9304.352	0.17002062	9304.635	9304.081	372.2143	1000.0	119999	417.84003	119.02624	507.21756	-23.928625	417.84018	119.02801	502.73093	-45.084778	-428.1422	1141.0896	574.9658164978027	23.95690910021464
25	2477.2341	1789.5526	6184.405	304.75412	7108.682	2911.9146	9312.338	957.407	266.1111	763.5	124999	421.70438	118.67806	494.6038	-51.134304	421.70407	118.67327	498.48035	-52.539948	-431.7374	1081.0134	599.0483207702637	23.961932916641235
26	1930.948	2111.9421	9315.0	530.3048	9348.979	0.99324214	9350.285	9347.304	207.4	1000.0	129999	422.07336	118.33001	517.17773	-41.044083	422.07172	118.32984	516.432	-60.02504	-431.751	1219.9695	623.94575715065	23.99791381909297
27	2169.1255	1772.4489	6616.7065	613.72363	9319.925	10.102876	9350.232	9316.239	232.85715	1000.0	134999	421.07233	118.11276	506.87897	-43.055504	421.0713	118.12318	528.27637	-45.504005	-431.14795	1245.632	648.7616274356842	24.028208503016717
28	5753.916	2999.6025	9319.934	1834.0028	9310.047	1.4265342	9312.033	9308.37	617.625	1000.0	139999	425.6785	117.7991	512.14124	-39.894806	425.67593	117.80851	518.47345	-34.653732	-434.92856	1044.929	673.6382384300232	24.058508591992513
29	5717.752	2942.2373	9316.685	1591.7217	949.96844	188.2575	1460.041	790.0228	613.875	102.2	144999	429.85547	117.000206	511.17322	-46.939316	429.85373	117.01393	521.9384	-53.24021	-438.9951	1028.5184	695.421138048172	23.980039300589727
30	2785.4844	2099.641	9320.978	940.22406	9306.479	0.44557542	9307.091	9305.83	299.0	1000.0	149999	432.4271	117.21355	527.9947	-26.31395	432.4271	117.21334	513.6347	-22.242949	-441.7406	1080.0393	720.2873964309692	24.00957993666331
