Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time	AVG Time Per Epoch
1	-42.742588	4.347792	-34.558914	-53.277275	-10.128305	2.0551164	-7.279997	-14.167045	50.0	50.0	4999	-2.005319	0.83979636	0.7630078	-6.10706	-2.0056858	0.83970785	1.2154492	-6.159811	1.3168808	0.09664925	16.59057116508484	16.59057378768921
2	-42.590908	4.0083213	-31.853926	-53.840824	-8.995599	1.7246472	-6.4863253	-11.574604	50.0	50.0	9999	-3.813809	1.3611462	0.6525965	-9.988858	-3.8138852	1.3610264	0.980296	-10.159971	3.0870278	0.19993566	37.16279172897339	18.581397652626038
3	-10.367663	2.7016015	-4.8811803	-17.725996	-11.276056	5.824489	-5.1495	-23.578062	50.0	50.0	14999	-4.70787	1.6302238	1.5012349	-11.135155	-4.7078967	1.6300042	1.5624949	-11.045953	4.0331087	0.34932423	58.877206563949585	19.625736236572266
4	-10.178966	2.143216	-6.349974	-17.285994	-9.956499	0.8584074	-8.974475	-11.885152	50.0	50.0	19999	-5.134568	1.7030895	1.2978638	-12.123077	-5.134368	1.7030625	1.8587763	-12.075321	4.603836	0.42657694	80.71702075004578	20.179255723953247
5	-10.120729	2.8403761	-4.1292734	-21.436855	-9.482413	2.8438551	-6.9366584	-16.306192	50.0	50.0	24999	-5.6003537	1.9595609	2.5620236	-13.321274	-5.600352	1.9599063	2.3881595	-13.242185	5.1477165	0.5214498	102.215500831604	20.44310059547424
6	-10.540546	3.213399	-5.153389	-24.32219	-15.210864	17.267689	-6.1957693	-66.39744	50.0	50.0	29999	-5.860844	2.134896	2.0365102	-13.809396	-5.8609033	2.1345968	3.0225074	-13.719984	5.448763	0.61877024	123.7606749534607	20.626779556274414
7	-11.785206	6.1579056	-6.9150496	-49.100285	-10.453878	4.1031466	-5.7925706	-17.606901	50.0	50.0	34999	-6.036533	2.1181643	4.512552	-14.506332	-6.0365124	2.1174455	3.4761126	-14.587854	5.6442103	0.7037887	145.6721167564392	20.810302666255406
8	-12.180818	3.0747507	-6.557117	-21.601305	-10.921669	2.0283043	-8.875965	-15.962413	50.0	50.0	39999	-6.294778	2.1439624	4.609379	-16.536232	-6.2948537	2.1424367	3.349934	-15.50634	5.9285455	0.80368596	167.30169034004211	20.912711560726166
9	-12.084726	3.8752942	-5.29733	-22.84991	-9.397303	1.8022664	-6.8436046	-12.394512	50.0	50.0	44999	-6.513581	2.155195	5.523238	-14.709635	-6.513635	2.154053	2.8410683	-14.799775	6.158954	0.9041746	189.04935336112976	21.005483918719822
10	-9.743919	2.426035	-4.163884	-17.95935	-6.327002	2.1301825	-3.1110985	-10.590221	50.0	50.0	49999	-6.815528	2.1430619	3.6269438	-15.53023	-6.815569	2.1420128	2.4350045	-14.908279	6.432643	1.0811197	210.86530303955078	21.086530470848082
11	-9.915045	4.29525	-3.994151	-21.472355	-11.661504	4.3819222	-3.7712388	-16.904482	50.0	50.0	54999	-6.952766	2.1571064	3.4488027	-17.086153	-6.9527197	2.1566694	4.66746	-16.70148	6.5498195	1.1468117	232.54718732833862	21.140653588555075
12	-9.846895	4.1463275	-3.5699968	-21.40331	-9.093534	3.8998795	-2.8852537	-14.723882	50.0	50.0	59999	-7.0441256	2.1539226	7.6986284	-17.02703	-7.0439515	2.1542282	4.8068595	-17.089115	6.6483064	1.2001219	254.29513669013977	21.1912615497907
13	-9.451	3.664041	-3.5465205	-20.680048	-9.720324	4.953833	-3.4259818	-19.642153	50.0	50.0	64999	-7.1897855	2.2462747	11.915723	-17.73194	-7.1897826	2.24649	9.852075	-17.495989	6.7870736	1.256023	275.94688749313354	21.2266837816972
14	-9.175426	3.8668478	-3.403749	-23.868147	-7.4718323	2.1515582	-4.21493	-11.224845	50.0	50.0	69999	-7.195033	2.268969	4.204545	-19.096373	-7.195165	2.2694957	4.2446985	-18.081556	6.8102446	1.2712687	297.7768518924713	21.269775288445608
15	-8.799544	3.4236245	-3.5392735	-24.560884	-7.2995644	2.6018608	-2.6021817	-10.9088955	50.0	50.0	74999	-7.2127514	2.2608888	10.404241	-19.185184	-7.213007	2.2608757	6.779114	-18.831116	6.8483725	1.2715665	319.5502338409424	21.30334906578064
16	-8.796621	2.5723574	-3.314856	-16.027393	-8.30103	2.252075	-4.788528	-11.931041	50.0	50.0	79999	-7.2578616	2.304383	3.7813282	-17.89451	-7.2579317	2.3051698	3.6922655	-17.60199	6.912735	1.3030139	341.34666752815247	21.33416685461998
17	-8.966011	2.9542167	-3.4985795	-18.414238	-7.4175353	3.291576	-2.4809892	-14.757985	50.0	50.0	84999	-7.2823577	2.3197715	4.365758	-17.367191	-7.2826395	2.3196704	3.7729673	-17.312952	6.9524713	1.3354138	363.0712640285492	21.35713329034693
18	-9.115989	3.3979948	-3.4837859	-25.676565	-7.2070246	2.538264	-4.044401	-12.739172	50.0	50.0	89999	-7.292003	2.3032382	3.5683188	-17.814814	-7.2921753	2.3030977	3.5029	-17.756134	6.9760985	1.3433908	384.80274748802185	21.377930521965027
19	-8.606963	3.1875336	-3.8188257	-25.2614	-8.037117	2.1698415	-3.9784336	-11.68921	50.0	50.0	94999	-7.2938695	2.2898922	3.904759	-19.6631	-7.2939653	2.2901382	3.272449	-18.526417	6.988383	1.3640537	406.55895495414734	21.397839834815578
20	-8.331886	2.8553336	-3.9722908	-17.953318	-7.638765	1.7932168	-4.9809384	-10.3791685	50.0	50.0	99999	-7.3076186	2.279573	4.295507	-18.683752	-7.3077745	2.2796917	4.364169	-17.800024	7.004189	1.4012303	428.36421251296997	21.41821072101593
21	-9.650672	5.0023103	-3.6048467	-29.540815	-9.202429	4.2157464	-3.2383525	-16.341673	50.0	50.0	104999	-7.303446	2.2487004	4.190493	-18.487244	-7.3035617	2.2484472	3.9601576	-17.970661	7.0229063	1.4225166	450.15649914741516	21.43602388245719
22	-8.473756	3.3135216	-3.5756907	-22.779417	-8.214027	4.403726	-2.5460844	-16.383497	50.0	50.0	109999	-7.3087487	2.2508507	6.1272	-18.237436	-7.3089237	2.2514403	4.4353967	-17.809431	7.031005	1.422687	471.8194098472595	21.446336908773944
23	-8.576183	3.0803442	-4.1051464	-20.058668	-6.256488	1.8183035	-4.0775967	-9.727563	50.0	50.0	114999	-7.29506	2.228903	4.90644	-17.466488	-7.295193	2.229272	2.7619033	-17.316706	7.0223017	1.4076024	493.39204812049866	21.451828272446342
24	-8.295544	2.8234248	-3.6828377	-18.62054	-9.643434	5.998885	-3.4944942	-25.349953	50.0	50.0	119999	-7.283224	2.1973708	5.6391463	-18.448544	-7.2833295	2.197529	6.074771	-17.686054	7.016883	1.4628845	515.1338369846344	21.46390997370084
25	-8.755637	3.5616012	-3.78219	-26.319206	-4.768004	2.1376672	-2.28199	-8.479656	50.0	50.0	124999	-7.2779503	2.21903	5.32909	-19.088675	-7.277884	2.2199407	4.785442	-19.912653	7.0098257	1.4272845	536.8213284015656	21.472853202819824
26	-9.525188	4.0543256	-3.4322333	-22.173609	-7.6920767	3.2185624	-4.1263795	-15.656629	50.0	50.0	129999	-7.29068	2.2305899	4.499769	-18.973242	-7.290617	2.2316298	6.462246	-18.84766	7.0381985	1.4191163	558.6948971748352	21.488265349314762
27	-8.892082	3.4060483	-3.2150235	-20.205301	-7.4414535	2.8194563	-4.207619	-13.431211	50.0	50.0	134999	-7.318939	2.2237716	6.1370196	-18.103176	-7.319006	2.2244408	4.11611	-18.377882	7.0669594	1.4387403	580.5447814464569	21.501658651563858
28	-8.72044	2.76987	-3.5718703	-20.795584	-6.384875	1.736069	-3.4642394	-9.380688	50.0	50.0	139999	-7.3675246	2.19622	7.188825	-18.168999	-7.367593	2.1961966	5.7196646	-18.243942	7.1236906	1.435317	602.1270658969879	21.50453813586916
29	-7.937495	2.3548522	-2.6161969	-13.169904	-5.2621098	1.6062596	-2.924089	-9.072174	50.0	50.0	144999	-7.3908534	2.2182217	3.8854766	-19.851734	-7.390828	2.21916	4.1151047	-19.497414	7.1483803	1.4453684	623.8537797927856	21.512199368970148
30	-8.475936	3.0413754	-3.816332	-23.746342	-7.328517	1.7338762	-4.7015123	-10.028393	50.0	50.0	149999	-7.396823	2.1901789	8.7976265	-19.96684	-7.3969083	2.1898108	6.0885816	-20.45811	7.1649127	1.4729992	645.7136104106903	21.52378708521525
31	-8.233662	2.5935419	-2.9595246	-19.279217	-5.678075	1.3647842	-2.9404607	-7.0472865	50.0	50.0	154999	-7.430706	2.1877966	7.930477	-18.379278	-7.43058	2.188829	5.3996687	-19.12573	7.196247	1.4511442	667.5355114936829	21.53340366578871
32	-8.304905	2.6841607	-4.1601944	-19.749067	-6.6584578	2.4665031	-4.013566	-13.17988	50.0	50.0	159999	-7.452626	2.194466	5.653361	-18.76926	-7.4526696	2.1949153	6.455734	-19.136377	7.2305017	1.4950792	689.191656589508	21.537239335477352
33	-8.070022	2.4040024	-2.889496	-15.873861	-6.756636	2.2756524	-2.9849014	-9.767156	50.0	50.0	164999	-7.468276	2.1704113	4.427296	-19.476498	-7.468477	2.1704462	4.5807114	-20.733988	7.243475	1.5222608	710.950756072998	21.543962370265614
34	-7.5888743	1.988977	-3.4608943	-14.050913	-6.443399	1.467702	-4.613795	-9.93786	50.0	50.0	169999	-7.5187693	2.1724288	9.47804	-19.639097	-7.519115	2.1721573	2.8199592	-20.327631	7.2994657	1.5107853	732.6507551670074	21.54855167164522
35	-7.454464	1.792534	-3.774336	-12.67518	-5.6785297	1.6036841	-2.9770186	-9.3922	50.0	50.0	174999	-7.549916	2.179725	4.6287055	-18.641073	-7.5499043	2.179759	6.511857	-19.795145	7.3224	1.5357176	754.5885663032532	21.559673384257724
36	-8.180726	2.5525675	-3.9222422	-15.76208	-7.5416207	3.2360113	-2.8917165	-16.320425	50.0	50.0	179999	-7.561024	2.1994276	6.1985474	-19.340456	-7.561068	2.199459	7.5454364	-18.812077	7.330308	1.5705386	776.4105975627899	21.566961103015476
37	-7.6400304	2.1200655	-3.7645855	-14.695509	-6.3585196	1.4383417	-4.014024	-7.8436832	50.0	50.0	184999	-7.592031	2.2231545	3.6468189	-18.348785	-7.5919676	2.2235281	4.667012	-18.646833	7.357892	1.5526582	798.171707868576	21.572208378766035
38	-7.532539	2.0543652	-3.7711322	-14.135599	-6.529077	1.3753113	-4.348432	-8.869689	50.0	50.0	189999	-7.6302786	2.2098403	5.2269564	-19.077555	-7.630489	2.2095146	7.4182544	-18.706501	7.407999	1.5915623	820.0205068588257	21.579487079068233
39	-7.1809473	2.1321454	-3.1609287	-18.111374	-5.9434996	3.300288	-1.8955538	-12.109224	50.0	50.0	194999	-7.620325	2.1979868	4.9786215	-19.169802	-7.62052	2.1980808	5.3960724	-19.800005	7.399246	1.599245	841.9358615875244	21.588099063971104
40	-8.183024	2.6504078	-3.5884223	-18.788393	-5.961749	2.2391815	-3.0384042	-10.203381	50.0	50.0	199999	-7.6052094	2.1944783	3.9385645	-20.724104	-7.6052823	2.1940134	4.9271026	-20.97609	7.381671	1.5821402	863.6794526576996	21.59198637008667
41	-8.189826	3.065832	-3.8057594	-21.436653	-6.349303	1.9455963	-3.3452759	-9.468522	50.0	50.0	204999	-7.580381	2.1839259	5.136036	-20.24539	-7.580451	2.1835532	6.3126707	-21.397734	7.3470883	1.6196182	885.521368265152	21.59808220514437
42	-8.57774	3.175673	-3.2981532	-21.523983	-5.32932	1.7916198	-3.0350122	-9.076275	50.0	50.0	209999	-7.647089	2.1865544	6.0769863	-20.09799	-7.647244	2.1864877	6.022471	-19.95441	7.427755	1.6714189	907.0917327404022	21.597422247841244
43	-8.372826	2.9773762	-3.020545	-22.86002	-7.450769	2.3723533	-4.554575	-12.699143	50.0	50.0	214999	-7.7107835	2.1811004	4.3596525	-19.036503	-7.7109637	2.1804626	6.5265303	-19.789532	7.487286	1.6873758	928.5861775875092	21.595027424568354
