Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time	AVG Time Per Epoch
1	1.9476293	5.7363577	38.857273	-9.911265	-10.911575	1.8763809	-7.7123046	-13.35012	20.695833	69.0	4999	5.383929	5.063036	26.885185	-4.6921062	5.3838115	5.0631037	26.39152	-4.54459	-7.6835685	0.54189324	20.03429627418518	20.034298419952393
2	2.533485	5.9927273	32.860916	-9.3699255	-11.514025	3.0570245	-7.4298067	-17.120157	21.266949	69.1	9999	27.854164	13.044838	66.785126	-23.515089	27.853935	13.044811	66.41922	-25.060701	-32.981976	5.2990494	45.998157024383545	22.99907958507538
3	12.855324	47.042587	223.34604	-44.49574	254.16318	245.87732	779.5082	-34.97357	89.0625	494.8	14999	48.20212	15.965168	101.38402	-27.184038	48.200993	15.971451	100.81253	-28.372267	-53.102833	12.666993	75.05277180671692	25.01759123802185
4	16.727062	88.3729	360.647	-33.69617	92.544334	136.49904	395.61676	-1.1080946	123.32609	193.3	19999	53.626343	17.397135	108.61478	-28.859365	53.626705	17.397041	103.83459	-27.038012	-57.86234	15.398648	103.17485475540161	25.793714344501495
5	123.32704	106.77572	423.9034	-68.33194	263.04596	66.3956	391.79562	144.82031	189.88461	325.2	24999	59.49219	20.622185	134.18414	-53.08795	59.493576	20.628368	133.2597	-59.232426	-63.614925	24.488546	131.47953534126282	26.295907545089722
6	145.91576	108.19051	438.56274	2.7980154	63.02939	31.385544	133.07784	20.62739	139.68571	149.1	29999	65.87952	21.703037	144.69	-62.555153	65.880264	21.709314	145.6255	-62.641247	-69.735275	27.07487	158.48339366912842	26.413899302482605
7	133.88336	85.739685	309.283	-54.327694	209.1525	104.1164	370.83157	37.67893	144.58333	162.0	34999	67.86156	21.859974	143.4505	-41.475773	67.86215	21.85829	143.38261	-44.779007	-71.502014	27.618437	186.9232325553894	26.703319243022374
8	152.00232	119.839035	638.2974	6.7541804	168.51346	92.22917	311.99716	27.02781	145.70589	196.9	39999	69.72753	21.749317	144.21791	-43.799614	69.72886	21.746632	142.93924	-44.126675	-73.180824	31.067987	214.25249981880188	26.78156277537346
9	162.66612	73.44379	282.57843	-1.1393719	285.48544	213.55397	895.41364	99.4381	152.90909	253.8	44999	69.67321	21.414658	143.96124	-54.086983	69.674515	21.412588	143.74419	-51.27699	-72.8492	30.35848	242.97727417945862	26.997475147247314
10	137.06691	90.18374	321.13998	-24.084927	243.5594	218.95695	778.6952	22.585993	199.33333	239.5	49999	68.87421	21.577625	144.79399	-39.114017	68.87682	21.58052	147.57164	-39.812054	-71.9991	30.99647	270.6543867588043	27.065438890457152
11	159.5697	119.887344	465.578	-35.544106	60.522095	39.39608	140.2899	18.847116	150.47058	76.2	54999	67.56326	21.963419	144.57306	-48.633137	67.56575	21.96961	138.83984	-49.183285	-70.547165	32.226727	297.6563022136688	27.05966405435042
12	273.09818	138.99916	678.98773	47.589024	98.13099	88.676544	285.38968	22.38284	180.89285	151.3	59999	67.15724	22.074608	136.8355	-52.449623	67.1592	22.081076	136.6122	-56.07824	-70.101685	30.99795	325.63648653030396	27.136374056339264
13	246.80037	102.936775	438.7384	2.801638	311.66245	93.11844	461.30728	168.95659	185.92592	198.3	64999	67.1644	21.727743	130.89128	-54.216724	67.16526	21.731117	132.95166	-51.907448	-69.943665	28.328218	352.9060974121094	27.146623006233803
14	294.08945	132.4421	468.7376	19.432934	243.99463	115.855354	381.16733	60.56543	235.14285	207.2	69999	67.15184	21.53857	143.67555	-101.526886	67.153534	21.543734	157.94586	-48.228153	-69.784836	28.081768	381.55158042907715	27.253684452601842
15	220.73679	86.82269	449.03506	90.46737	350.72046	151.19057	684.0011	179.33861	151.27272	205.0	74999	67.496704	22.14776	163.16743	-56.479366	67.49831	22.150778	165.38084	-54.03598	-70.14096	28.78	409.329167842865	27.288611300786336
16	238.87527	145.26036	652.1579	-113.2359	286.7757	115.97206	510.08124	102.2839	163.87097	160.1	79999	67.910255	22.51266	159.23337	-43.86388	67.909935	22.520561	154.78163	-46.5028	-70.47834	29.021446	437.3260703086853	27.332879528403282
17	234.89261	116.8814	519.8283	21.998674	234.97647	76.9322	386.24783	134.80032	137.83333	130.2	84999	68.98038	23.541931	141.03802	-52.591625	68.98155	23.541838	145.7072	-50.471397	-71.63074	30.597176	464.6465826034546	27.332152044071872
18	261.90808	142.03082	680.5552	100.2533	260.0461	204.74667	744.3853	111.13069	143.48485	135.2	89999	71.34128	24.93596	144.51198	-58.34299	71.34277	24.936983	145.33069	-55.67923	-74.18448	31.980453	491.4588134288788	27.303267518679302
19	319.20578	192.83481	1062.3704	33.00931	279.73727	174.50334	539.6692	38.162643	194.40741	203.6	94999	73.96095	25.868286	155.90318	-50.76314	73.96115	25.877224	155.55637	-71.37932	-76.80516	34.3529	520.0420718193054	27.37063545929758
20	317.0313	198.10373	720.5017	-38.261993	329.408	204.10466	853.37897	162.10077	236.4762	159.9	99999	74.92724	26.47116	167.0062	-70.524895	74.92818	26.47855	175.19751	-85.37976	-77.63414	36.30683	547.1846914291382	27.35923467874527
21	493.37488	413.09564	1781.5231	45.992146	291.29492	162.05116	680.019	152.603	271.47058	160.2	104999	74.666084	27.124638	178.20567	-65.340225	74.666954	27.129574	183.10054	-61.56157	-77.392784	38.000267	575.598596572876	27.409457070486887
22	297.26407	261.96805	969.8335	25.190685	301.32138	242.803	812.42456	49.978493	224.36363	212.1	109999	74.90575	27.675299	187.67601	-64.88588	74.90682	27.679718	191.42935	-64.153435	-77.56055	39.843296	602.9489290714264	27.406769611618735
23	278.16772	248.0907	989.85223	100.98536	137.6865	50.802444	271.58322	103.03275	173.84375	93.1	114999	75.61732	28.119993	178.23438	-60.28789	75.61848	28.124462	179.99208	-65.811386	-78.32631	42.685326	630.5594584941864	27.41562871311022
24	438.16354	408.39075	1850.7328	92.907745	171.65343	208.89273	777.80505	63.881306	225.68182	169.9	119999	76.18946	28.529268	184.80069	-56.56032	76.18955	28.529118	189.81755	-53.27812	-78.8797	43.476093	658.3150427341461	27.42979351679484
25	289.88602	265.7478	1308.1285	-29.539078	323.51984	164.3444	572.65717	118.51881	173.0	157.4	124999	76.61855	28.931581	196.1811	-58.44857	76.61896	28.936728	198.62311	-52.976006	-79.28725	45.59342	685.6023991107941	27.424096040725708
26	398.37384	302.9955	1148.3462	49.04307	463.62442	251.59206	978.1871	141.64072	205.42308	244.3	129999	76.7112	29.295843	180.90765	-55.501106	76.71222	29.299252	178.27751	-87.96397	-79.25458	47.033363	714.3190724849701	27.47381055355072
27	380.15454	250.04881	1086.2091	72.20214	257.0583	205.55304	752.4837	45.904022	201.75	220.9	134999	76.53515	29.502703	171.80649	-60.017494	76.536285	29.503052	174.17183	-74.66413	-79.02483	45.47612	742.0946958065033	27.484988813047057
28	509.83566	313.15768	1596.3254	171.18523	585.8685	702.1648	2566.4756	-73.43099	242.2381	254.3	139999	76.678375	29.17465	175.99744	-71.05741	76.67865	29.177998	175.84111	-79.862076	-79.21352	45.466408	770.937007188797	27.53346461909158
29	435.56183	349.33252	1246.3538	114.59711	266.34747	239.30252	936.1568	140.75552	201.64	124.6	144999	77.26573	29.167494	187.35504	-63.777462	77.26464	29.171024	188.82181	-69.18871	-79.731064	45.97431	798.3226647377014	27.528367823567883
30	461.74057	609.35223	2858.3604	20.597202	351.71298	215.04301	651.7372	169.44606	179.33333	165.9	149999	78.40564	30.13269	193.75998	-60.118343	78.4058	30.134235	194.59856	-81.03212	-80.7855	49.9837	825.5689418315887	27.5189647992452
31	624.0024	362.99142	1542.9912	124.12829	1126.7407	536.9082	2219.628	524.3792	244.57143	350.4	154999	80.309235	31.2083	198.67307	-55.077847	80.308334	31.206896	196.71307	-61.003166	-82.8623	53.008774	855.0502848625183	27.58226732284792
32	569.32635	384.43738	1669.7522	149.28482	866.1916	548.6804	2092.0867	127.52342	218.73914	320.3	159999	82.99195	32.331738	201.37277	-58.29727	82.9923	32.331367	203.06569	-57.099083	-85.56034	56.31021	883.055802822113	27.595493890345097
33	718.6142	469.93396	1870.5105	123.23745	1022.4922	588.76434	1621.2163	153.72096	253.3158	319.3	164999	85.37913	33.898533	203.69875	-67.88007	85.38013	33.89617	205.30118	-73.10726	-88.00232	57.54113	912.2149991989136	27.64287881417708
34	706.8917	516.7944	2038.5575	71.04278	1219.3336	903.944	3334.3782	212.11044	249.25	359.6	169999	88.14761	35.447998	220.34264	-66.68376	88.148254	35.443913	205.97939	-67.59721	-90.89669	60.90068	940.7081990242004	27.66788826269262
35	670.3358	754.5046	3183.9387	11.836233	943.8541	495.60388	1553.2649	208.13199	214.16667	274.1	174999	91.095	37.213787	214.68684	-95.73262	91.096176	37.213654	216.0053	-68.701706	-93.91228	65.975235	968.7851555347443	27.67957592691694
36	626.6391	441.29608	1672.7393	22.288954	831.203	727.46783	2191.921	152.14099	208.21739	299.1	179999	94.09432	38.50734	219.46019	-70.833954	94.09411	38.501408	221.29073	-80.8313	-97.078316	68.33762	998.0656816959381	27.724046773380703
