Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	2.2961595	5.7019362	31.072584	-12.467224	-24.187244	4.8335314	-17.211086	-33.721596	20.149193	75.1	4999	13.841907	10.77385	55.706635	-13.793764	-16.612024	1.2157202	13.913007020950317
2	2.0138104	6.388596	34.748722	-11.663861	-11.0098715	57.04651	154.90482	-50.874084	20.61157	115.8	9999	96.39285	53.574806	292.57166	-127.35328	-109.04196	55.588787	32.0271360874176
3	37.50573	96.8407	361.09247	-18.077473	797.1335	299.31152	1033.8325	183.03458	77.453125	801.4	14999	282.61618	84.56242	510.4662	-171.58871	-304.6318	310.3721	53.2977659702301
4	63.25045	113.19753	403.39355	-61.371784	134.48808	99.650955	345.66757	10.366674	111.68889	128.9	19999	403.77747	98.98816	702.5961	-338.84842	-426.47336	574.8372	72.34227323532104
5	55.895493	66.387344	206.67673	-54.969772	26.352488	94.70342	163.00316	-116.38285	139.0	216.8	24999	519.34875	113.99218	774.31195	-567.0818	-542.8207	806.5559	91.52072191238403
6	14.159202	69.06424	208.54784	-94.998665	-7.717556	11.683966	4.5010242	-40.111134	119.04878	62.6	29999	592.6184	127.78485	874.90686	-335.07944	-615.2465	871.4301	109.36800765991211
7	70.822	100.426506	345.59738	-51.459976	100.005516	95.115265	223.31226	-130.24918	132.28947	144.8	34999	636.02167	149.90352	1021.0206	-294.7967	-658.2312	1045.0764	129.5634729862213
8	47.55255	102.079796	289.7734	-113.097725	58.24047	104.94818	228.52179	-140.17424	134.55263	198.9	39999	671.4274	163.41301	1118.5879	-385.29285	-692.7467	1069.0312	153.28210043907166
9	139.17632	111.54925	391.0363	-105.352066	96.13377	164.22899	498.21664	-154.37575	162.93333	116.4	44999	696.4402	176.46939	1144.2554	-437.2379	-717.2937	1082.9834	175.69404935836792
10	55.448635	94.09284	305.66675	-93.54701	18.074495	114.79419	251.18202	-201.57715	144.85715	217.7	49999	715.7226	182.08513	1127.4836	-471.18326	-735.5993	1073.4708	195.12041878700256
11	102.05831	115.09351	408.16467	-71.34179	159.44211	90.57497	329.47464	10.096511	153.09375	123.3	54999	719.4782	190.9416	1104.5188	-379.47968	-738.1309	1061.8134	214.5558295249939
12	116.21408	123.14498	445.30612	-59.891376	220.99113	185.22395	627.1677	12.139578	151.0303	147.2	59999	711.3781	192.63371	1092.7701	-430.46988	-728.63605	996.5183	235.0094575881958
13	228.9352	147.65358	570.6995	-8.405709	203.26094	137.37805	552.73706	103.5123	203.96	146.9	64999	697.3174	195.63783	1063.9252	-603.289	-713.68604	898.0639	255.818053483963
14	134.67198	194.17686	767.8666	-216.15616	269.05005	140.81894	626.61505	136.55742	209.25	176.1	69999	679.2001	199.15126	1022.05304	-417.25415	-694.589	840.5098	278.1406261920929
15	88.29803	129.13776	437.06097	-147.99275	168.9027	189.92685	596.26733	-41.52537	158.70967	174.8	74999	655.15845	202.03342	1013.9143	-559.11957	-669.57574	806.5513	302.73758244514465
16	166.08765	142.02896	644.191	-82.78893	183.00713	146.69475	498.31348	18.313465	142.08571	231.1	79999	631.56683	197.84659	940.7579	-544.5339	-645.3703	788.98444	326.321151971817
17	58.04963	233.66058	1011.0893	-206.4238	12.997854	215.49463	462.078	-272.9083	203.88	263.4	84999	606.17615	190.46342	909.2573	-620.66595	-618.9252	715.78326	350.783451795578
