Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	1.7870318	5.5240335	28.243055	-11.575453	81.162125	21.281616	125.86435	50.24391	20.683937	194.7	3999	13.857126	11.844807	53.589207	-16.799753	-17.444515	1.6626424	13.325852155685425
2	2.4162648	6.3510365	29.998709	-10.38147	91.51588	20.587406	120.36442	57.041466	21.621622	205.5	7999	113.85	66.450386	366.58463	-103.29207	-132.70958	65.07397	30.278928756713867
3	7.5564632	38.016567	222.9957	-18.91411	-12.761962	2.894865	-8.400343	-18.269442	29.444445	42.1	11999	569.2888	224.61322	1127.475	-366.423	-633.6169	1308.8121	47.65429949760437
4	-2.9558392	64.854836	302.76715	-128.76924	642.67334	394.74545	928.2229	-31.930782	67.23214	740.2	15999	911.59235	242.51909	1396.3416	-640.2333	-969.6425	2713.742	67.28612971305847
5	37.765236	123.82859	315.90048	-121.53128	55.025826	103.75672	233.51831	-102.85573	245.58824	230.6	19999	1060.9064	291.79688	1731.4224	-515.9746	-1117.795	2646.8005	85.67754340171814
6	-8.839159	50.08421	195.2808	-100.72809	22.853546	104.8207	329.43967	-70.55291	135.26666	94.3	23999	1209.2068	308.4876	1870.5715	-464.8325	-1264.138	3154.7512	103.7765097618103
7	-10.551668	51.437107	186.0239	-76.57482	40.24233	73.82108	147.33565	-67.89758	121.57576	195.6	27999	1297.4901	345.21072	2288.1975	-615.347	-1348.9762	3588.917	121.67172431945801
8	16.290148	86.86044	194.90363	-218.84004	103.09424	71.06621	227.08058	-5.5401077	152.15384	137.1	31999	1339.5593	383.44263	2554.0774	-855.8841	-1387.5688	3606.7195	139.15427136421204
9	6.6035695	61.812916	193.41309	-87.53448	143.28883	56.518436	212.16841	31.213951	115.06061	207.2	35999	1356.6433	405.46	2790.6455	-1205.0057	-1401.0925	3669.8494	158.5446469783783
10	60.076427	90.248764	227.33623	-124.636856	-23.195314	157.461	272.29535	-211.89146	146.3793	202.2	39999	1357.0837	421.75357	2907.1968	-702.53467	-1398.7731	3724.1711	177.9418923854828
11	40.765686	96.024536	221.88625	-116.960045	44.4914	97.51777	223.7656	-123.552635	138.67857	103.2	43999	1343.6512	425.5163	2902.083	-1081.284	-1381.985	3808.897	195.81037831306458
12	-12.671247	45.085644	121.52146	-106.23036	25.066116	34.482758	85.71762	-3.3947299	118.25714	64.1	47999	1315.4386	423.7674	2795.9685	-946.51953	-1351.5806	3628.1128	215.68536829948425
13	31.904526	93.496	286.5917	-85.40081	23.203312	99.90638	186.64948	-154.73592	120.65625	172.7	51999	1265.4012	422.56305	2644.874	-702.2074	-1298.693	3522.585	236.41336822509766
14	50.633785	160.26776	433.1871	-195.311	4.1788225	121.61426	147.52217	-248.77591	179.0	187.2	55999	1210.2878	416.3908	2494.3008	-712.20844	-1240.9343	2938.632	255.12471866607666
