Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	LossQReg	Time	AVG Time Per Epoch
1	-262.04794	91.11537	-130.71915	-386.14267	-30.639927	3.1976018	-26.895998	-36.635002	1000.0	1000.0	4999	2.0170305	1.9103404	15.235993	-4.86101	2.0166996	1.9115813	14.263489	-5.0888424	-3.3051002	1.269239	4.6907263	-11.048558	-2.9071836	0.67649615	0.3670282	33.996280670166016	33.99628281593323
2	-282.14948	62.084946	-181.61624	-376.74307	48.58091	7.7249503	60.107315	36.022526	1000.0	1000.0	9999	6.5207515	3.707572	26.441229	-6.0231185	6.5211535	3.7089508	26.14593	-6.716355	-2.1959765	2.1355717	12.350465	-12.506001	-7.567033	1.9754246	1.1170088	74.99546027183533	37.49773108959198
3	-170.85258	43.544983	-106.522285	-217.88512	37.94307	26.846441	88.58598	-7.930184	1000.0	1000.0	14999	12.706305	4.5661063	36.252407	-5.587223	12.706767	4.5694	35.151924	-5.3838997	-1.8640798	2.4596097	15.647724	-12.35886	-13.740347	3.1505184	1.800189	118.42645049095154	39.47548429171244
4	-46.337353	24.033998	-2.2628994	-65.62667	268.77173	225.89339	704.5145	-4.02731	1000.0	1000.0	19999	17.297997	5.8090415	49.1708	0.21635091	17.298311	5.809476	50.153698	-0.45970637	-2.1504586	2.4688919	15.922254	-11.898853	-18.212484	3.4012442	1.9372379	164.2010142803192	41.05025416612625
5	310.99118	214.21808	605.74725	68.37876	952.72644	20.156023	990.6175	922.4765	1000.0	1000.0	24999	21.83662	7.7257986	63.979523	5.0552635	21.836914	7.725137	63.208748	4.6714053	-2.2184992	2.3615015	17.898846	-12.855343	-22.63478	3.8391438	2.1928716	209.83865976333618	41.967732429504395
6	531.68585	278.44977	1044.1476	255.52591	1209.5386	122.49445	1339.0668	890.2835	1000.0	1000.0	29999	26.397308	9.334209	69.12635	7.6948113	26.397758	9.333949	69.425415	7.825038	-2.1817985	2.2798734	19.68297	-12.054308	-27.06623	4.0425334	2.3282583	256.4233412742615	42.737223982810974
7	1122.6818	370.1875	1669.3895	549.8652	2331.1165	23.37155	2362.717	2287.044	1000.0	1000.0	34999	32.046284	11.999463	89.06881	10.97483	32.046303	11.999246	84.49372	11.857774	-2.0803082	2.233087	18.724651	-13.283585	-32.623577	4.758114	2.7627292	301.4213559627533	43.060194049562725
8	1821.0668	586.3791	2435.626	1032.0043	2714.5989	165.58669	2830.9211	2242.968	1000.0	1000.0	39999	39.97477	16.47655	97.287254	13.877935	39.974865	16.47647	97.06859	15.36434	-1.7122077	2.4520798	19.777153	-14.768234	-40.49646	5.7506967	3.3549852	346.41443610191345	43.301804810762405
9	2862.0403	274.87177	3198.724	2501.7126	3369.491	113.094574	3502.8594	3111.2087	1000.0	1000.0	44999	51.333035	23.197773	122.34087	16.999	51.332817	23.197836	120.13947	17.676657	-1.0040935	2.952704	20.72809	-14.66457	-51.834576	7.712711	4.508733	394.44335103034973	43.827039347754585
10	3280.4734	199.48058	3533.0957	3016.8442	3869.4	92.49157	3967.5608	3706.651	1000.0	1000.0	49999	64.96522	30.091673	139.82123	21.532022	64.965294	30.092068	137.35172	20.000217	-0.45533466	3.201717	21.190563	-11.293847	-65.47684	10.526625	6.145012	441.2031934261322	44.12031960487366
