Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	LossQReg	Time	AVG Time Per Epoch
1	16.795366	10.804666	70.22434	3.3520682	42.135754	0.7476342	43.198452	41.177578	20.779167	24.4	4999	4.1499376	2.7487652	19.508917	-3.177581	4.149679	2.7496998	19.847033	-2.251547	-1.0196596	1.5575964	8.141592	-11.228715	-4.84261	0.40494153	0.21860297	32.24324178695679	32.24324369430542
2	18.718746	21.179615	202.81836	4.778047	183.9375	1.8547475	187.34917	180.77324	21.942982	87.5	9999	12.938756	7.503863	48.133488	-89.99332	12.938592	7.5059323	49.18773	-89.39703	0.86595935	2.3944628	16.51697	-10.674072	-15.04812	4.9062304	2.6700587	71.97213983535767	35.98607110977173
3	231.14809	66.38428	378.6356	8.948172	288.18506	1.7612177	291.0188	284.89987	105.17021	122.0	14999	29.696848	15.0806675	79.1693	-24.10746	29.696516	15.089719	79.80688	-20.996958	0.8741815	2.3979516	18.330067	-10.039122	-32.26698	19.941296	10.865547	114.45830631256104	38.15276948610941
4	322.32236	31.731878	405.70166	211.94807	343.54623	5.8611813	358.3904	338.2435	130.73685	135.7	19999	47.382504	20.329103	99.1443	-25.128218	47.37943	20.339844	99.79359	-19.301327	0.9559811	2.6317525	20.076742	-11.457698	-49.966278	25.311842	14.332525	157.68766069412231	39.42191570997238
5	338.9615	28.739876	379.63953	216.43973	374.44778	1.7189478	377.53726	371.13464	127.075	134.1	24999	62.533455	25.159908	119.0659	-26.414276	62.531513	25.16503	117.50553	-30.592793	0.76933026	2.5098286	23.789234	-10.24178	-64.96014	21.110928	12.3428955	198.8201265335083	39.76402578353882
6	352.43253	31.273884	392.7648	238.58844	307.05167	5.4099865	313.4872	296.5673	130.76315	121.8	29999	75.62232	29.827755	135.65686	-39.024536	75.621056	29.832338	136.49539	-29.245903	0.73076004	2.4856365	27.552713	-11.494764	-78.133766	20.953287	12.401752	242.44217729568481	40.40702990690867
7	382.67496	14.463097	408.51855	348.3646	416.15936	1.511547	417.914	414.08255	134.75676	144.5	34999	87.24137	34.4829	153.36061	-49.50304	87.24013	34.486977	155.391	-38.89003	0.8878349	2.5138857	28.96232	-9.996236	-89.75673	21.35435	12.726074	287.09851813316345	41.01407432556152
8	401.97964	55.12579	660.5318	221.4531	402.9113	1.3952451	404.2997	400.31213	140.91429	138.8	39999	98.48606	38.886665	183.21454	-43.08746	98.4853	38.884705	181.86221	-61.21463	0.85752666	2.5385864	41.48868	-10.483326	-101.082825	28.596634	16.574888	330.85746479034424	41.3571862578392
9	377.69083	25.79429	443.20135	288.92416	390.44736	1.6607698	391.6845	385.57962	133.1579	135.9	44999	107.315094	42.421703	186.38832	-52.608044	107.315025	42.41677	185.95398	-48.789246	0.8927038	2.5709288	26.883131	-10.918256	-109.63837	28.000856	16.646059	375.2469313144684	41.69410374429491
10	342.54883	19.563099	380.66086	300.0762	379.99756	1.7397422	382.39102	375.91956	124.75	133.2	49999	113.80073	45.496323	190.42384	-86.91546	113.80076	45.492435	190.01453	-80.53127	0.88289	2.5128264	21.032984	-13.100679	-116.35557	26.159197	15.871897	419.09103202819824	41.909103417396544
11	360.62115	35.954487	536.6241	285.4397	338.62396	1.5625508	340.34274	335.91125	128.0	120.7	54999	119.64708	47.71952	199.45619	-77.63029	119.64771	47.71841	201.96143	-89.180214	0.8673947	2.55221	27.77266	-10.955695	-122.258224	26.337318	15.92912	460.0702414512634	41.82456764307889
12	398.38855	60.856133	604.87445	332.17633	500.46396	19.737688	534.5181	459.05798	137.75	166.7	59999	125.677444	49.288677	222.27515	-77.49622	125.677574	49.286278	221.20087	-60.828217	0.88348955	2.5265052	23.839815	-9.978121	-128.3009	29.309132	17.673233	500.9143645763397	41.74286391337713
13	510.6118	144.14291	650.00195	9.454143	628.90857	2.722391	633.9801	625.062	171.93103	199.3	64999	131.5484	51.19941	230.86513	-69.12705	131.54808	51.21031	232.98946	-75.179726	0.9762191	2.6524823	23.523466	-10.576974	-134.39558	40.024223	24.312647	541.8279142379761	41.679070491057175
14	585.30963	50.24756	652.341	417.20255	610.90045	1.3705015	612.6892	608.85156	189.40741	192.6	69999	136.96541	53.088703	232.04915	-64.21565	136.9649	53.097862	234.24635	-64.93406	0.9799073	2.6094646	27.244135	-12.417869	-139.68468	38.991985	23.351671	583.9808449745178	41.71291766847883
15	572.67035	112.7553	666.0881	69.31601	643.55176	1.5141706	646.2926	641.40045	185.0	200.7	74999	142.10995	54.777668	235.78452	-97.10185	142.10971	54.77834	241.60994	-77.85237	1.1001569	2.5748029	44.753143	-12.212407	-144.74294	56.4763	32.694855	626.5926733016968	41.77284501393636
16	598.0156	119.32506	658.74646	15.278948	571.60394	4.591183	579.12427	564.6976	191.1923	181.8	79999	147.39598	55.820335	233.17928	-84.69285	147.39557	55.817127	238.09077	-83.59491	1.217354	2.5598717	29.607231	-11.666298	-149.86057	62.530544	36.757286	668.6362235546112	41.78976412117481
17	614.55945	88.20696	671.1418	324.1643	639.06305	1.8800766	643.18	636.42206	199.0	201.0	84999	151.41748	56.747723	231.71698	-103.56082	151.41753	56.72966	230.62067	-67.73303	1.2033693	2.5330777	38.279625	-11.658646	-153.72302	64.21407	38.58337	711.786200761795	41.86977666967056
18	594.5867	80.95919	683.99097	255.11035	654.2043	1.4702026	657.3556	652.6623	193.1923	208.2	89999	154.28871	57.975338	242.28944	-85.476234	154.28967	57.984776	238.76381	-87.80133	1.2585443	2.5013158	32.15901	-10.772242	-156.4533	83.593094	48.195564	753.2555816173553	41.84753247102102
19	645.18115	22.436459	682.6892	591.30566	627.0902	2.4725132	630.4361	621.122	206.875	199.3	94999	156.58397	59.12676	236.23038	-89.27635	156.58421	59.131226	246.84108	-100.72001	1.258428	2.5107443	32.233727	-11.475277	-158.9325	72.05906	42.441097	796.2995479106903	41.910502672195435
20	630.266	34.297142	680.2157	551.1775	669.18774	1.8691443	671.924	665.88916	199.72	209.2	99999	158.30527	59.730694	239.78528	-113.207466	158.30537	59.736973	237.94449	-83.35922	1.2082663	2.5295563	38.772762	-10.7099495	-160.41132	59.960087	36.23576	837.8825104236603	41.89412562847137
21	651.3044	28.276398	689.3498	581.8085	659.21295	2.6950924	662.8114	655.5745	204.83333	206.1	104999	158.78535	60.362762	239.06302	-76.923256	158.78383	60.36665	235.86485	-82.72113	1.0622871	2.5543065	42.899216	-10.640296	-160.91658	54.634438	33.16578	880.5342235565186	41.930201246624904
22	647.2682	57.579845	704.03253	412.23547	634.34656	8.439534	650.159	623.3588	205.6	198.0	109999	159.91553	60.594147	238.37302	-84.19579	159.91518	60.59165	238.2156	-98.140945	1.0074058	2.469772	41.94011	-9.903532	-161.84686	48.551785	29.855059	922.9470410346985	41.95213833722201
23	658.75714	19.274187	710.32477	621.5272	653.48254	1.6282787	655.03186	649.0057	207.75	201.9	114999	161.50818	60.8262	238.8304	-100.618965	161.50726	60.829212	238.55473	-105.66687	0.95458674	2.479931	45.300392	-11.769964	-163.46252	44.30497	27.489143	964.8638436794281	41.95060201313185
24	663.62604	14.65451	682.169	619.2582	663.45715	0.95526457	664.57227	661.7129	210.20833	210.6	119999	162.58818	60.983154	234.24513	-89.39612	162.58795	60.982586	234.3254	-84.09948	0.86458814	2.453139	40.173813	-10.830819	-164.5528	41.87129	26.07736	1007.2201581001282	41.967506716648735
25	681.5659	16.006649	722.9859	651.9219	702.0067	2.4045975	708.0511	700.1387	214.34782	218.5	124999	163.68216	60.660015	231.72966	-111.73965	163.68211	60.659122	232.00916	-97.18407	0.83976996	2.446101	30.090893	-11.437416	-165.58852	36.933586	23.47397	1050.5368547439575	42.021474294662475
26	701.93494	23.744633	771.7857	662.60724	323.0145	1.5214349	325.33316	321.57422	220.86363	136.4	129999	164.61964	60.70925	231.41095	-79.306046	164.61934	60.705044	230.77171	-107.74782	0.77174497	2.4543126	38.01373	-11.7820635	-166.66283	34.448357	22.090755	1094.200271844864	42.08462593188653
27	720.79034	40.234943	847.1907	654.69855	652.52423	4.4229646	657.4108	644.3867	226.26086	203.0	134999	165.54578	60.78221	232.59601	-95.5477	165.54614	60.78245	233.16882	-108.42662	0.7590348	2.448565	26.837503	-10.467565	-167.5774	33.981243	21.65295	1138.226578950882	42.15654005827727
28	685.0447	28.31702	731.6421	636.07275	722.84296	2.5184114	727.7101	718.87476	213.95653	224.4	139999	166.50262	61.05536	237.52402	-91.76618	166.50218	61.053684	236.60155	-86.86096	0.73310584	2.4714	29.072313	-9.918323	-168.4058	33.475403	21.25837	1181.0690002441406	42.181035816669464
29	708.243	45.918316	856.85156	610.3576	849.6922	21.3631	876.955	815.4595	221.65218	261.5	144999	167.71252	61.34666	246.87294	-92.61871	167.71233	61.345043	241.89621	-110.86365	0.6823857	2.4472017	34.78063	-12.21538	-169.6761	32.194267	20.392963	1226.1830110549927	42.28217288543438
