Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	LossQReg	Time	AVG Time Per Epoch
1	-55.651443	88.00364	-0.88939756	-343.96188	736.00183	27.81827	793.0508	694.5869	181.86363	1000.0	4999	2.9198592	2.5075452	19.875797	-7.424475	2.9200053	2.5090532	20.314651	-7.302339	-4.6265073	1.2348303	6.62163	-13.790129	-4.053524	0.9254826	0.5035591	35.213379859924316	35.21338152885437
2	-40.104626	79.18737	9.763754	-332.49106	522.631	142.50932	778.3887	217.06758	135.8	938.7	9999	9.078176	4.2364984	38.265682	-10.120932	9.077916	4.2405534	38.027946	-11.091185	-3.4449236	1.8175987	8.8833885	-13.871441	-10.364798	3.184191	1.8087449	76.98721313476562	38.49360764026642
3	-7.0818467	75.88429	121.86754	-182.02489	733.6219	230.82344	874.07495	55.053818	473.72726	908.2	14999	16.034464	5.3360977	46.113483	-9.119423	16.03408	5.340951	47.292953	-11.478141	-2.9693546	1.9727097	11.491206	-14.102955	-17.101526	5.281266	3.0460002	120.16441011428833	40.05480400721232
4	5.325075	42.94038	92.25705	-61.69601	638.2752	287.42563	800.4862	31.43842	537.55554	814.2	19999	19.86261	5.5124674	49.54595	-8.624794	19.862467	5.515487	50.150562	-8.335482	-3.097562	1.8977678	10.645554	-14.258633	-20.61345	5.8979354	3.4365337	163.03858923912048	40.75964778661728
5	26.23749	27.28629	78.84602	-30.84101	721.78284	263.07935	946.6971	18.065777	420.3846	902.0	24999	22.236336	5.6330805	50.712795	-19.948454	22.23636	5.636293	52.4297	-20.5019	-3.1821923	1.8797196	11.240205	-13.414393	-22.914656	6.293631	3.6971734	206.1148500442505	41.22297043800354
6	74.660736	59.153908	172.49304	-16.55636	642.7475	29.125929	711.04315	597.8255	558.5	1000.0	29999	24.367521	5.5945573	54.73423	-17.003954	24.367155	5.599781	54.91617	-16.151379	-3.1181142	1.89426	15.0386505	-14.345808	-25.013607	5.9585843	3.5442483	249.95677161216736	41.65946249167124
7	73.2928	69.442116	218.95433	-8.910858	647.72253	123.9486	790.06616	322.518	353.5	1000.0	34999	26.528748	5.6247797	56.173237	-26.138838	26.528593	5.6243424	55.4597	-26.427317	-3.0878677	1.8898286	14.974169	-13.541039	-27.157093	6.2573094	3.7403352	293.90476155281067	41.98639484814235
8	107.05468	72.896675	228.75473	1.0899868	679.5408	244.4063	982.63666	30.0931	442.5	903.8	39999	28.736584	5.638078	58.125347	-22.112335	28.736996	5.6337934	57.802227	-22.331741	-3.0231695	1.91605	13.0252495	-14.169548	-29.334898	6.521502	3.9012914	337.55292439460754	42.194115817546844
9	129.24506	99.42137	343.33545	-3.5405788	594.1481	135.75352	970.00806	476.3752	347.6154	1000.0	44999	31.007252	5.689384	59.96748	-18.650146	31.007572	5.6899953	59.75423	-16.98566	-2.9446876	1.9498982	14.216907	-12.67412	-31.589397	7.106146	4.2547207	381.5954830646515	42.39949833022224
10	192.23422	110.692215	347.93854	41.94198	748.7528	272.81277	986.73114	45.06354	737.7143	904.0	49999	33.08663	5.7823405	63.84304	-20.003588	33.086704	5.7873383	61.786842	-15.451721	-2.8690784	2.0095468	14.222063	-15.531611	-33.66899	7.0390577	4.2525744	425.320894241333	42.53208961486816
11	126.19828	78.67725	256.34116	9.848368	758.73663	320.42953	1026.4114	101.33252	340.3125	831.6	54999	35.083813	5.9102116	73.05543	-23.63076	35.083714	5.9114404	74.55511	-18.101448	-2.8436286	2.0061488	19.520489	-13.332561	-35.633522	8.099879	4.85714	468.72640323638916	42.611491376703434
12	159.94763	116.96889	316.8325	13.530475	479.60513	433.0629	993.7646	12.27591	532.375	521.3	59999	36.86865	5.96165	76.665825	-24.135288	36.868862	5.961002	76.08351	-24.928156	-2.805297	2.0519414	21.87246	-14.207473	-37.4388	7.684142	4.6488194	510.5942962169647	42.549524863561
13	186.71298	112.72143	400.9633	41.321327	589.10474	389.7474	973.6427	25.362782	523.1	710.0	64999	38.708836	6.0076833	76.1362	-15.3755665	38.708607	6.011404	75.93073	-22.433592	-2.7450593	2.103333	16.495668	-14.568411	-39.248135	7.8952556	4.7730203	553.2626190185547	42.5586631664863
14	211.72961	126.918304	358.3393	34.656376	742.5582	348.98798	1011.53845	36.650375	653.5	810.1	69999	40.47474	6.1203074	76.591675	-22.837921	40.47457	6.1207113	76.566696	-28.628788	-2.7187428	2.1328092	23.410336	-15.699958	-41.05604	7.6616726	4.6462564	596.6256847381592	42.61612047467913
15	258.4072	179.50972	583.7186	10.538481	514.1178	395.03705	1097.6892	91.41856	450.66666	491.8	74999	42.373596	6.31969	75.52821	-17.449038	42.37368	6.320742	77.365295	-24.25627	-2.7376204	2.1206412	25.52948	-12.591393	-42.89997	8.6506405	5.2319555	638.1176152229309	42.541174491246544
16	295.83972	169.9103	628.1227	57.93372	725.4765	450.8047	1248.0233	48.91217	747.8333	651.5	79999	44.12626	6.5641284	77.26832	-17.901741	44.12635	6.5637894	79.11394	-27.716904	-2.68005	2.1494238	24.738834	-14.613371	-44.654053	8.718177	5.286589	680.5756795406342	42.535980105400085
17	173.07079	138.92107	431.848	13.9786	755.2115	414.4039	1127.6921	39.732307	385.92307	724.9	84999	45.989326	6.7527504	83.254745	-20.03797	45.989326	6.757036	81.31397	-20.639431	-2.6714559	2.1787179	28.256071	-14.154969	-46.5191	8.715181	5.2696466	723.3200767040253	42.548239946365356
18	287.25586	80.64977	401.37238	141.71632	555.79614	523.3288	1560.6295	20.185486	771.0	462.6	89999	47.565643	7.114476	77.00285	-21.35607	47.56569	7.11761	77.869156	-26.694048	-2.6442192	2.176755	28.28675	-13.776564	-48.104683	8.833676	5.3685055	764.7879593372345	42.48822006914351
19	170.11008	157.45728	633.078	14.42037	1001.72345	137.43355	1220.2932	720.3228	336.7143	941.6	94999	49.045143	7.720535	83.88772	-39.7845	49.045444	7.724974	83.702614	-21.679615	-2.6338327	2.1975355	21.272839	-14.452518	-49.55945	10.108914	6.114108	808.8582735061646	42.57148820475528
20	352.9961	102.23822	555.4441	244.70949	930.8021	399.41138	1309.584	5.4710455	787.1667	814.2	99999	50.604603	7.961271	83.61523	-28.37981	50.604378	7.964935	85.64665	-29.659302	-2.5648894	2.2174416	29.332035	-14.10812	-51.143604	9.878887	5.994951	852.550484418869	42.62752434015274
21	222.85457	143.74588	501.80322	28.466095	831.0329	404.53113	1261.453	49.14661	488.3	748.4	104999	52.158245	8.210075	87.61771	-24.355257	52.158096	8.2089615	85.14213	-32.795586	-2.5315948	2.2698238	20.427933	-13.31588	-52.692146	10.089021	6.1414123	895.7616341114044	42.65531601224627
22	316.2434	170.543	578.3598	86.44801	766.5254	336.97983	1197.9067	82.723656	737.4286	693.8	109999	53.62403	8.472527	88.871506	-28.987148	53.62401	8.470836	88.50408	-51.34709	-2.4931822	2.280122	24.78479	-15.7400055	-54.143852	10.098647	6.137686	938.6818315982819	42.667356090112165
23	318.727	262.5162	985.95605	13.563012	738.96204	464.38867	1236.5526	26.262304	563.7	719.9	114999	55.15072	8.693237	94.65178	-31.65644	55.15019	8.695216	92.13831	-49.61648	-2.4668214	2.345761	28.481224	-13.97611	-55.678448	10.522422	6.389245	981.8089563846588	42.68734603342803
24	166.80084	106.873856	331.96585	50.5058	1188.7981	265.04947	1689.404	924.3254	431.9091	1000.0	119999	56.304157	8.950213	93.58854	-22.45672	56.30387	8.949991	93.19617	-21.453173	-2.4453106	2.3418586	23.649643	-14.530718	-56.791874	11.864839	7.1997056	1026.371657371521	42.76548582315445
25	439.55783	215.78906	651.9516	122.66004	775.71796	430.5814	1276.4476	85.20888	762.5	665.7	124999	57.334408	9.1937475	92.44016	-28.041048	57.334408	9.196091	92.56518	-17.561556	-2.462219	2.3306434	24.356934	-12.751227	-57.826645	11.343153	6.9260983	1069.3827776908875	42.77531119346619
26	326.97675	231.87709	746.6688	59.008835	1017.3789	514.46136	1852.1501	35.941185	509.2	835.0	129999	58.539524	9.400638	89.24323	-27.03481	58.539783	9.403671	90.385635	-26.409117	-2.4241977	2.3528285	26.302423	-13.88144	-59.028465	11.5665455	7.0494947	1113.1526997089386	42.81356544678028
27	393.75262	161.03038	627.87616	167.28915	996.1164	397.11102	1722.0471	49.112503	795.5714	849.3	134999	59.762024	9.536227	95.54303	-29.750303	59.762188	9.536511	92.92388	-26.643667	-2.4038496	2.364844	26.6492	-14.896738	-60.25648	11.367983	6.9479275	1156.9299430847168	42.84925723075867
28	246.79543	130.86916	517.6574	37.780342	1082.9757	683.2374	1777.0317	20.223427	420.91666	682.4	139999	60.914963	9.620699	97.443436	-32.94302	60.915195	9.617164	94.34933	-27.801573	-2.3833504	2.3985243	28.583475	-13.168587	-61.415478	12.1629	7.4182844	1199.520755290985	42.84002704279764
29	426.72217	201.1467	824.9555	288.21692	1006.92334	216.61948	1500.8007	638.362	1000.0	935.6	144999	61.86776	9.73139	95.9464	-38.341747	61.867477	9.734058	97.79334	-22.605509	-2.4017904	2.3807173	26.025314	-13.967651	-62.318096	12.075093	7.4146485	1244.106603860855	42.900227801553136
30	450.13824	306.65793	1054.4674	210.21634	1120.3948	419.15866	1708.0465	98.91317	828.2	906.6	149999	62.936295	9.736257	96.77043	-37.87947	62.936214	9.737556	95.13603	-30.64835	-2.391869	2.4387543	24.944447	-13.509385	-63.42001	11.593465	7.098142	1288.531855583191	42.95106193224589
31	320.51086	210.16557	758.2977	82.433075	1040.2761	318.2459	1368.1692	170.77177	485.0	907.4	154999	63.97429	9.925317	101.37486	-33.085323	63.97419	9.932279	100.25586	-31.309992	-2.358985	2.4756556	33.314434	-13.61207	-64.43575	12.664519	7.726155	1332.9166400432587	42.997311030664754
32	348.03122	169.64229	645.7557	17.920609	944.71497	353.4143	1677.4979	321.33838	684.375	845.1	159999	64.99289	9.969697	102.15574	-25.924614	64.992805	9.976756	105.60574	-31.996017	-2.316552	2.4996023	28.255508	-18.761889	-65.4802	12.819826	7.8051314	1376.5977237224579	43.018678933382034
33	459.31488	429.77167	1589.6423	62.853615	1742.779	491.91434	2084.152	589.31903	530.44446	930.0	164999	66.07962	10.090954	99.473175	-28.987122	66.080635	10.076073	102.26077	-32.535442	-2.246135	2.5246313	27.920065	-14.091761	-66.55213	14.283244	8.720412	1420.8117349147797	43.054901123046875
34	808.56836	496.84354	1456.5992	280.8181	1374.74	475.97733	2289.414	567.04047	739.6667	768.7	169999	67.231926	10.279555	101.29697	-38.309708	67.23226	10.268749	101.53736	-26.782394	-2.2015567	2.530095	30.25349	-14.549847	-67.660385	13.974678	8.553798	1464.146166086197	43.06312260207008
35	836.5764	332.16534	1310.8744	371.8521	1166.7703	480.304	1991.4307	300.11313	830.6667	776.9	174999	68.16018	10.586335	105.533325	-36.97622	68.15988	10.585323	104.52864	-25.131002	-2.1272357	2.5668738	32.79742	-16.324389	-68.58259	14.5881405	8.941922	1508.0202813148499	43.08629381997245
