Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	LossQReg	Time	AVG Time Per Epoch
1	-64.09336	117.39824	85.53844	-357.6056	743.7537	80.916145	822.9006	598.18494	207.79167	1000.0	4999	4.073532	3.199726	27.736458	-5.572014	4.0734024	3.200316	28.357393	-5.832432	-4.5176764	1.352893	5.3404293	-15.781541	-5.2350354	1.1047304	0.60066664	43.8351194858551	43.835121870040894
2	-47.959724	88.464676	12.926445	-351.80167	122.24077	171.40471	505.64856	-25.56156	154.88461	483.5	9999	13.610385	5.63335	52.519604	-6.3031845	13.610134	5.6305056	52.652157	-7.5468445	-2.887335	2.127043	12.838001	-14.259647	-15.063288	4.177564	2.3739603	92.80401134490967	46.402007699012756
3	-36.78162	83.93083	38.46696	-351.08066	357.92908	83.9267	524.5569	293.82254	192.51613	1000.0	14999	22.293674	6.4312353	67.49214	-14.406972	22.293215	6.432185	65.41154	-11.202305	-2.7559755	2.1582959	13.248245	-14.448906	-23.278881	8.632901	4.983916	145.7912106513977	48.597070932388306
4	-1.2106189	48.005436	67.01275	-160.76973	753.9575	89.43171	823.88885	569.12897	182.875	1000.0	19999	25.342886	7.102501	69.03893	-34.089493	25.342268	7.0976987	68.955444	-18.236294	-2.55438	2.1888635	15.731707	-14.672941	-26.076534	11.191866	6.563271	197.07025456428528	49.26756429672241
5	5.5246553	31.47582	46.07269	-87.20607	583.95306	191.99605	742.4688	39.99138	294.58823	905.9	24999	26.622736	7.4761996	65.22682	-14.193519	26.62279	7.470594	67.2159	-12.645547	-2.4394577	2.2316005	14.967783	-14.851874	-27.278313	10.810167	6.4139314	246.7039499282837	49.34079041481018
6	35.78331	24.641714	74.89548	5.188858	609.1131	292.0219	923.86957	43.139645	537.6667	772.2	29999	27.740946	7.532729	70.93547	-18.745882	27.740767	7.5318375	70.203415	-23.978819	-2.4525237	2.2542224	16.07301	-14.459099	-28.380838	10.068933	6.0092206	295.3626902103424	49.227115432421364
7	95.799904	71.257355	244.14526	1.8551881	585.33514	362.6967	977.3888	54.697674	385.33334	655.5	34999	29.223812	7.725576	72.94378	-16.6994	29.224077	7.7209716	70.64483	-27.661057	-2.4278252	2.2109866	13.644958	-14.881376	-29.775663	11.083213	6.643863	344.7833445072174	49.25476384162903
8	83.16858	61.526585	248.44461	29.666069	726.352	246.81067	987.3701	54.375175	354.66666	907.1	39999	30.271582	7.653875	66.83419	-17.893217	30.271486	7.651574	67.473015	-27.249447	-2.4687634	2.1991634	18.617603	-14.087117	-30.854137	10.421713	6.2816343	392.2770576477051	49.034632474184036
9	113.19113	69.11068	252.18552	12.066822	448.61172	291.4378	906.04724	65.05651	447.72726	468.4	44999	31.65013	7.4455047	66.517265	-21.757607	31.650082	7.4445705	69.20447	-34.263824	-2.5382555	2.2106123	15.250126	-15.899427	-32.211548	9.519749	5.758515	440.49815702438354	48.944239960776436
10	185.88855	99.73092	294.17377	20.962952	434.96988	379.90152	961.759	23.491663	656.875	483.2	49999	33.514317	7.174143	68.30416	-21.109886	33.514023	7.171943	69.39371	-24.528595	-2.590978	2.1641445	18.212576	-14.545439	-34.111214	8.433611	5.1102448	485.54488945007324	48.5544891834259
11	119.50434	102.45762	383.26013	18.713753	812.13025	314.43033	1102.7039	22.49129	289.89474	791.1	54999	35.674793	7.079037	69.901215	-25.643019	35.675434	7.073796	69.39474	-18.170366	-2.5829132	2.1573346	17.377089	-16.021442	-36.239655	9.898564	5.9908094	532.0082681179047	48.36438822746277
12	167.60214	128.03528	421.18054	16.158512	603.74005	184.66002	939.4447	151.74828	371.84616	914.0	59999	37.60979	6.9841228	68.610405	-21.382175	37.60976	6.9736323	65.821495	-18.208366	-2.5958173	2.1517587	18.636513	-13.990309	-38.170418	9.804201	5.958471	581.154040813446	48.42950357993444
13	195.27205	168.69559	536.3097	10.427763	801.38104	397.56915	1350.9872	71.8709	454.2	822.0	64999	39.562725	7.206589	67.9581	-26.443865	39.562645	7.200819	68.70547	-19.275051	-2.5248463	2.1868088	23.76308	-15.22719	-40.11227	9.755233	5.9235377	627.2142589092255	48.247250887063835
14	264.1001	169.52417	668.39325	35.527153	702.6947	417.5718	1141.3245	28.183222	441.91666	722.2	69999	41.898243	7.4684696	74.387535	-23.440634	41.89813	7.4662957	74.584724	-25.470984	-2.4907484	2.2003212	21.421219	-15.068281	-42.445328	10.34516	6.2733116	673.5545222759247	48.11103745869228
15	160.27174	147.56174	505.7446	4.9037695	567.8704	440.55673	1118.5883	75.33438	371.16666	543.8	74999	43.886543	8.006424	76.62573	-24.25484	43.886364	8.005153	77.32956	-27.901167	-2.384982	2.256096	22.763231	-17.408401	-44.437508	10.68262	6.5093174	718.2330338954926	47.88220241864522
16	176.74352	130.05046	393.8997	7.482311	626.6683	327.52902	955.2421	31.317896	448.3846	738.5	79999	45.76158	8.4655285	80.51357	-23.80634	45.761284	8.468827	80.977036	-26.485754	-2.308669	2.3007047	26.211708	-14.505375	-46.30544	11.843809	7.211243	764.2828330993652	47.7676772326231
17	220.22032	217.18242	670.2418	25.169342	902.74084	274.32895	1225.1499	184.15646	383.15384	861.1	84999	47.481236	8.983709	84.93915	-48.341984	47.48073	8.987832	87.16282	-32.38078	-2.2707539	2.3228924	21.571392	-15.912943	-47.986958	12.317036	7.532469	811.4291565418243	47.73112699564766
18	237.715	148.33124	400.0722	0.8763959	513.40674	403.17807	998.04236	30.701914	561.75	484.5	89999	49.048744	9.479219	83.36383	-36.478695	49.048306	9.484904	82.316734	-22.336025	-2.2425508	2.378145	23.092302	-13.84466	-49.57362	12.496243	7.655238	855.8056235313416	47.5447569820616
19	295.64938	211.3973	853.01154	20.889944	942.64294	264.34036	1194.0308	206.4186	505.0	913.3	94999	50.791515	9.693552	83.86628	-30.099384	50.790855	9.696037	82.46374	-25.492605	-2.219051	2.3980858	24.417221	-14.563736	-51.323517	12.216978	7.46089	902.5581665039062	47.503061495329206
20	265.21924	119.75666	450.7259	64.338905	883.82745	446.8843	1540.9352	78.4359	584.0	755.7	99999	52.52855	9.906702	84.47611	-40.81238	52.52811	9.908716	85.74124	-33.568108	-2.1754432	2.4480796	26.941021	-13.989571	-53.05786	12.918597	7.872206	948.6361572742462	47.43180799484253
21	348.617	71.069244	477.81445	281.9571	714.95374	469.4111	1305.9678	44.80468	905.4	576.9	104999	54.130714	10.068312	87.59404	-31.942526	54.130672	10.064534	87.24295	-29.898039	-2.172016	2.4652288	27.804817	-15.635642	-54.662113	12.658008	7.75402	993.879506111145	47.3275956426348
22	212.81747	145.78464	455.6528	18.767519	917.692	271.26614	1263.9755	159.63086	394.92307	911.7	109999	55.668186	10.129143	87.076	-41.60747	55.66774	10.124033	87.33805	-29.608301	-2.1347187	2.4820268	26.101517	-15.797018	-56.19456	13.714153	8.359387	1041.195839881897	47.327083739367396
23	349.63904	142.38348	525.9225	72.370476	705.3203	487.83115	1274.6694	23.881924	689.125	632.1	114999	57.06655	10.197825	90.27715	-27.656466	57.06622	10.195993	88.21067	-35.26173	-2.149231	2.481575	24.90985	-15.948018	-57.594814	13.283522	8.151411	1090.4134652614594	47.4092812123506
24	255.60045	75.65893	369.1564	152.19803	724.605	428.11362	1199.843	31.30488	527.8889	617.8	119999	58.409477	10.223284	90.80088	-30.948196	58.409187	10.2227745	92.589935	-31.487146	-2.154108	2.519845	36.43167	-15.419614	-58.95986	13.484887	8.28513	1137.8142697811127	47.408928006887436
25	487.41302	290.9654	964.3788	54.32139	781.9404	449.92676	1626.716	104.5444	715.8571	671.5	124999	59.787933	10.273869	93.42124	-37.04019	59.787846	10.273013	94.296104	-29.593874	-2.124819	2.5599184	31.021065	-13.931892	-60.305225	14.032242	8.571516	1184.0797545909882	47.3631902885437
26	317.41583	116.86209	506.5688	98.142876	1221.7662	217.0889	1666.941	853.20667	642.4286	945.5	129999	61.08585	10.239247	95.43045	-33.822895	61.08575	10.232296	97.548355	-36.312325	-2.093825	2.5913184	28.421438	-13.68672	-61.617455	14.5354185	8.873223	1232.6014366149902	47.40774765381446
27	347.10193	151.82043	610.0376	79.26526	1019.1791	360.01904	1375.9404	290.79193	680.875	835.0	134999	62.285694	10.152143	95.69394	-38.9357	62.28559	10.1442175	99.88698	-29.29943	-2.1269536	2.5947936	24.449434	-15.202475	-62.791306	14.115369	8.648107	1282.8306498527527	47.51224637914587
28	404.0034	341.46762	1221.748	136.52399	794.07196	394.42908	1161.4907	132.27579	743.0	728.9	139999	63.431015	10.253898	97.39095	-30.885067	63.430256	10.25115	97.690636	-31.237295	-2.0897164	2.6157472	30.698801	-16.32955	-63.9378	14.361335	8.778259	1329.5825119018555	47.4850897874151
29	393.54144	222.44106	879.10284	169.52908	1223.2542	423.48996	2021.5826	297.7831	586.875	916.2	144999	64.60151	10.182005	98.93063	-34.1335	64.60141	10.1828	97.888466	-43.753407	-2.0865157	2.633608	28.142136	-16.119896	-65.09118	14.401631	8.830841	1380.0636637210846	47.58840229593474
30	549.9702	465.2579	1606.2189	138.9007	913.87714	362.02347	1372.3077	141.3939	690.0	826.3	149999	65.623314	10.330101	102.68356	-36.693832	65.62284	10.337176	97.90763	-40.208042	-2.1057594	2.658443	34.927055	-15.132925	-66.1227	14.796794	9.054007	1430.075058221817	47.66916868686676
