Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	LossQReg	Time	AVG Time Per Epoch
1	-331.76303	59.797516	-242.95692	-404.15213	-117.70357	12.676167	-101.6591	-151.31844	1000.0	1000.0	4999	2.4420576	2.3324778	17.146994	-6.1891365	2.4416776	2.3325555	17.232115	-5.712906	-3.1373847	1.4405985	10.484831	-11.484361	-3.3396275	0.88981706	0.48466817	39.76299524307251	39.76299738883972
2	-344.3147	112.07215	-207.5786	-514.33154	-209.75386	12.227051	-191.81343	-228.22397	1000.0	1000.0	9999	8.750028	4.3412533	33.941708	-7.100746	8.750019	4.3393183	34.204956	-6.816065	-1.8877475	2.2375543	15.582065	-13.8573	-9.858408	2.8094797	1.5844554	87.70536589622498	43.852684020996094
3	-99.101295	80.869125	40.339382	-181.1641	166.0953	91.69132	330.1553	22.629993	1000.0	1000.0	14999	16.155605	5.291075	45.62802	-5.2325826	16.155907	5.289214	45.31293	-4.7180552	-2.0814505	2.2203002	14.521325	-13.178633	-17.059137	3.7618544	2.1629784	136.8160002231598	45.60533404350281
4	79.71587	53.482815	152.06642	-7.343669	882.7624	670.38446	1747.1531	92.347496	1000.0	1000.0	19999	21.329012	7.6667156	56.221737	0.846376	21.329348	7.665765	56.253677	2.2035146	-2.3045106	2.2045207	14.196285	-12.584312	-22.14465	3.4274054	1.9809164	186.3959276676178	46.5989825129509
5	435.8209	478.39783	1025.4235	-10.368141	1638.4277	179.70224	1817.7756	1215.3064	1000.0	1000.0	24999	26.690273	10.395635	67.26471	7.593215	26.690475	10.394861	69.411255	6.9507904	-2.227998	2.33171	15.777169	-13.037813	-27.460737	4.0212517	2.329359	234.83521246910095	46.96704292297363
6	1215.4335	541.30896	1848.2421	367.79282	2749.1736	50.636612	2831.2178	2639.12	1000.0	1000.0	29999	35.780598	15.073616	85.21434	9.919164	35.780483	15.072806	83.96109	10.866272	-1.9399135	2.4321449	17.435146	-12.315165	-36.43799	5.429125	3.1786425	283.0717828273773	47.17863082885742
7	1291.6168	877.17944	2617.3455	454.51218	3207.0513	48.206543	3268.5571	3120.2236	1000.0	1000.0	34999	45.349796	20.161423	104.57781	15.358898	45.34982	20.160688	105.6398	14.637687	-1.4659197	2.68463	22.799255	-13.256084	-45.988537	6.912233	4.0529933	331.23202633857727	47.31886117798941
8	2626.9434	693.8386	3188.5093	1260.5265	3580.0308	78.92947	3706.9702	3439.1294	1000.0	1000.0	39999	58.75612	27.59667	131.30957	18.485027	58.75581	27.59662	131.69571	18.097092	-0.6612714	3.2034562	28.606512	-12.807919	-59.4392	9.725342	5.699854	379.4008893966675	47.42511144280434
9	3225.1655	20.713184	3264.4783	3204.8835	3520.237	361.32907	3910.2898	2531.2874	1000.0	1000.0	44999	76.557365	35.255177	158.01855	21.37007	76.55712	35.25609	158.18047	20.878237	0.09721619	3.5762389	33.652466	-12.055106	-77.081085	14.403125	8.39121	427.9558639526367	47.5506518152025
10	3442.1758	103.281044	3606.2983	3307.2324	3970.4778	52.357075	4050.435	3878.6565	1000.0	1000.0	49999	94.50584	41.57365	177.20143	25.161356	94.505226	41.573914	179.0876	24.78572	0.54633534	3.7024574	31.286446	-14.679845	-94.91737	19.896637	11.56305	476.9152834415436	47.69152853488922
