Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	LossQReg	Time	AVG Time Per Epoch
1	19.206324	18.632177	148.88713	5.1438026	195.96559	1.9082735	199.03716	192.79219	22.366516	87.5	4999	6.206241	4.702804	32.056667	-10.244918	6.2063117	4.7038884	32.10957	-13.461278	-0.64551646	1.7674507	12.959517	-11.057393	-7.15183	1.4599901	0.80434555	34.81261086463928	34.812612771987915
2	20.713516	21.847984	170.88632	4.038267	90.00453	0.9014874	91.93984	89.00672	23.621496	52.2	9999	21.253088	13.439402	135.54112	-35.42426	21.252708	13.436079	133.57932	-35.44154	1.1031933	2.3993332	15.020784	-11.558919	-24.231466	12.157925	6.7178297	78.45816826820374	39.229085087776184
3	176.35892	55.753185	259.08612	15.073181	233.95158	1.2004223	236.51671	232.52625	86.0	116.8	14999	56.29474	33.13567	194.70657	-221.38228	56.292744	33.145912	191.70421	-183.7325	2.42905	2.6702683	23.391672	-10.90206	-60.955936	121.80396	65.301025	123.95452618598938	41.31817619005839
4	238.39287	26.038456	320.22617	174.35947	202.97939	0.9608215	204.7794	201.50073	114.068184	99.4	19999	91.01541	40.573788	197.86365	-114.343994	91.01346	40.473896	195.2349	-117.444695	2.6297157	2.6525471	45.335617	-10.260392	-96.34588	114.504074	64.895226	169.37162494659424	42.34290683269501
5	247.22621	27.71398	310.09256	189.9517	219.95361	1.644137	221.90388	216.58008	114.47727	105.2	24999	109.59935	45.51345	188.0161	-162.34167	109.59892	45.427708	189.51479	-171.75224	2.4861817	2.906942	35.607166	-9.950204	-114.9579	77.79366	47.337467	215.09332847595215	43.01866612434387
6	227.40121	27.438698	319.75314	196.74321	277.0351	2.5235996	280.42453	272.1624	98.37255	110.7	29999	117.06703	49.08776	178.69337	-68.46465	117.06791	49.0528	180.17671	-79.07214	1.9005708	2.869189	35.592003	-11.734218	-122.31045	60.16877	36.950592	260.83318877220154	43.472198486328125
7	287.39462	75.424835	522.9699	54.13063	475.81152	23.895065	517.2787	421.39072	123.575	177.7	34999	120.06559	49.405334	217.48944	-89.52792	120.065475	49.389637	220.03882	-84.60782	1.8155836	2.8600097	34.9002	-12.271911	-124.98956	88.434296	50.9157	306.6918408870697	43.81312070574079
8	395.77066	140.54007	762.04504	199.41962	350.6372	104.20526	555.34265	258.30716	160.48387	153.4	39999	124.666595	48.994473	244.04169	-85.8316	124.66075	48.965553	233.21025	-102.99269	2.0042574	2.8723757	37.48015	-11.706287	-128.85518	115.72815	66.225845	352.5559103488922	44.06948909163475
9	721.55804	534.3023	1797.214	189.87587	1049.5173	415.00812	1548.1251	174.00826	328.86667	494.1	44999	130.52971	47.38893	248.54517	-294.1741	130.52927	47.331028	249.01341	-207.7395	2.372392	2.9459825	51.415134	-12.781958	-134.35368	143.25308	83.413635	399.8876750469208	44.43196413252089
10	418.03964	187.51071	788.69305	148.1499	340.70926	5.5156846	348.9106	333.07947	232.68182	151.4	49999	138.33842	48.13469	242.22525	-110.640465	138.33788	48.126827	245.44627	-100.394585	2.291303	2.7598708	29.448015	-11.950058	-141.45503	126.57258	75.17294	446.1539783477783	44.61539812088013
11	328.93555	148.30876	723.86316	40.47037	466.90472	63.672318	541.771	375.59534	141.57143	163.6	54999	140.23248	52.655483	307.2804	-107.82232	140.23077	52.633324	289.2056	-76.68378	2.2385676	2.6382098	34.713387	-11.105637	-143.35143	136.44807	80.355316	492.50877928733826	44.77352560650218
12	567.8153	110.880226	750.88434	233.51997	680.03357	2.2705321	683.48645	675.8485	187.11111	221.2	59999	143.33096	55.32266	312.20868	-93.25507	143.32782	55.322475	312.8116	-102.1724	2.0371718	2.6270888	29.400581	-10.926034	-146.07225	132.85797	78.99723	539.332572221756	44.94438121716181
13	672.9996	161.89125	963.62415	312.9493	588.32825	5.0459213	596.8389	579.0453	223.5	196.7	64999	147.94316	56.08402	310.53958	-90.565544	147.94054	56.081333	313.1442	-90.19006	2.2614577	2.7698803	68.72147	-12.257758	-151.08112	116.01872	70.077415	586.2681846618652	45.097552868036125
14	695.8096	323.1979	1448.248	21.59265	809.01526	81.86761	949.0539	691.8458	239.71428	337.2	69999	150.89795	56.579964	289.21765	-88.90391	150.89223	56.575764	281.62048	-97.18262	2.2033744	2.7988186	44.615364	-10.873571	-153.77467	107.66659	65.761986	634.2410566806793	45.30293275628771
15	549.38824	262.91095	1010.3161	25.439926	800.04865	55.280632	894.334	739.74005	236.28572	370.1	74999	154.6962	55.625523	284.90002	-62.49206	154.69287	55.610012	273.73938	-70.27405	2.3995643	2.7982109	30.172554	-10.97835	-157.80463	143.51538	85.471375	681.7730286121368	45.45153541564942
16	1001.1302	369.3561	1804.5646	414.13916	1032.0186	0.5394374	1033.1234	1031.3003	620.375	1000.0	79999	159.88914	55.36332	271.67035	-91.401054	159.88353	55.404922	265.46234	-90.272964	2.3212967	2.7341065	43.50135	-10.8734045	-162.83415	141.04933	84.86859	731.9716777801514	45.748230025172234
17	1032.3395	2.3715496	1036.8751	1030.2625	989.6886	0.3032187	990.1626	989.0803	1000.0	1000.0	84999	161.23218	54.46913	270.11115	-84.02452	161.23004	54.520462	271.1771	-107.265495	1.9459821	2.6150036	33.249603	-11.89716	-164.00845	116.48909	71.270485	782.7345314025879	46.04320789785946
18	1225.1322	568.9868	1951.4097	247.49197	991.37225	0.6919176	992.8015	990.2177	565.25	1000.0	89999	161.87831	53.035892	286.88516	-109.07393	161.87831	53.08026	294.096	-139.21376	1.8354663	2.6623113	35.76286	-13.858542	-164.35948	120.6394	73.856575	832.8763418197632	46.270908024575974
19	989.8725	598.12946	2098.1316	53.079758	994.0143	0.31326628	994.67896	993.58746	501.18182	1000.0	94999	164.64775	53.064766	279.63168	-99.59164	164.64821	53.094448	283.23862	-100.89259	2.0318372	2.7388256	34.329636	-15.345855	-167.29683	124.533325	75.985886	884.1143538951874	46.532334553567985
20	1071.6572	320.05276	1707.0205	667.76447	2521.1501	355.0638	2833.5369	1702.1072	361.0	903.0	99999	167.70422	54.74717	275.0666	-102.03558	167.70549	54.797062	273.35263	-117.79678	2.012861	2.7969892	41.374313	-12.340972	-170.09026	111.32323	68.80115	933.8103444576263	46.69051734209061
21	2025.2242	705.8359	2829.5547	1048.6425	1346.1913	778.3694	2798.1963	837.86945	706.0	472.6	104999	171.35799	55.769012	273.57358	-97.666466	171.35878	55.810005	276.88068	-112.813736	1.914854	2.663485	55.87423	-13.344372	-173.79948	102.446266	64.306015	982.405891418457	46.78123303822109
22	1173.5607	657.8832	2767.6343	178.80539	1948.441	776.8172	2846.356	800.1403	415.0	660.6	109999	173.76227	55.410007	274.7183	-231.63037	173.76282	55.45086	274.92947	-159.21506	1.8533596	2.778543	46.0372	-13.601292	-175.77002	125.112976	75.77663	1030.3346292972565	46.83339233831926
23	1801.3062	1014.0471	3018.896	245.00063	865.7419	68.10489	967.5381	767.47833	606.125	289.3	114999	174.77658	55.73266	274.5045	-85.009254	174.77814	55.76602	272.7554	-86.90467	1.8072302	2.774015	60.87172	-15.528116	-176.7266	130.40895	79.09242	1079.4059746265411	46.93069466300633
24	1349.4489	469.85956	2426.7913	732.8448	426.4669	2.076692	429.01727	422.92337	415.41666	163.7	119999	176.58327	55.66665	267.87482	-68.9962	176.58287	55.72035	268.63477	-137.33348	1.9212598	2.8247745	39.286434	-12.883738	-178.536	115.39548	71.435776	1125.4739484786987	46.8947479625543
25	1125.2445	316.53104	1806.4567	764.3589	2001.3066	268.02942	2442.1023	1591.1648	342.13333	581.7	124999	177.43849	55.930218	265.11337	-124.28382	177.43845	55.97102	265.92828	-107.177704	1.790937	2.714186	39.397373	-11.748752	-179.29245	105.18384	65.79298	1175.298705816269	47.01194842338562
26	1387.6887	561.90686	2844.5376	855.5141	1014.15985	8.009714	1028.6289	997.99164	427.27274	306.5	129999	178.58572	56.522675	269.87363	-158.53159	178.58525	56.57102	271.26535	-120.0706	1.7741485	2.6858835	40.45906	-11.054115	-180.349	99.88432	62.760723	1223.314428806305	47.05055505495805
