Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	LossQReg	Time	AVG Time Per Epoch
1	55.891327	18.16167	138.5229	26.824772	218.1468	44.872906	269.6143	157.26445	6.1500616	23.5	4999	27.00396	19.391079	90.127914	-1.233263	27.004515	19.38944	90.429214	-0.06011575	0.7801507	1.378703	6.271172	-9.363867	-29.982477	11.327181	5.807469	30.208682775497437	30.20868492126465
2	56.005917	16.996494	155.79607	26.830933	498.72186	202.26129	856.1247	260.0219	6.162762	53.6	9999	63.010353	52.664757	195.82259	-0.41989106	63.00945	52.67298	196.50182	-4.798116	1.9019109	1.6539679	7.0171976	-8.47855	-77.991356	17.263481	9.185882	68.34303736686707	34.17151987552643
3	498.50055	204.04756	1256.3242	35.861813	545.0439	273.23743	1236.7101	259.90347	53.60215	58.6	14999	123.29022	95.04395	287.47974	-1.7143013	123.29279	95.050606	286.89062	-0.09923282	2.05092	1.6690917	8.292549	-8.381265	-145.68968	84.120766	45.087193	107.72037482261658	35.906792322794594
4	877.7755	1242.6411	9354.346	287.6867	8469.709	2656.0662	9355.142	501.51108	94.13207	905.4	19999	172.57843	122.445694	358.22263	3.7938724	172.57965	122.449875	361.00302	2.6977673	2.0042503	1.625498	10.290733	-9.771558	-195.0711	50.83898	29.61905	150.26974320411682	37.56743633747101
5	9353.761	0.3202309	9354.297	9353.293	9356.925	0.09888244	9357.086	9356.769	1000.0	1000.0	24999	230.97226	145.93631	429.73807	2.7778811	230.97319	145.93858	431.89636	2.4090493	2.1022027	1.51657	9.859453	-9.729948	-254.505	62.163155	36.26163	192.89918994903564	38.579841709136964
6	9346.23	3.269936	9350.2295	9340.558	9359.6	0.20650846	9359.906	9359.178	1000.0	1000.0	29999	294.21683	167.63191	479.30817	4.139004	294.21738	167.63908	481.36957	3.0974822	2.0146697	1.5114384	10.29528	-7.9444776	-317.90244	73.53689	43.889957	235.39094471931458	39.231824477513634
7	9332.969	5.9536905	9341.23	9326.999	9333.215	1.0476598	9335.124	9331.133	1000.0	1000.0	34999	354.75415	184.26146	540.6287	1.9325843	354.75305	184.27177	539.7189	3.3016207	1.9705673	1.5370877	14.832608	-9.124414	-378.34274	92.18862	54.6746	278.21335339546204	39.74476507731846
8	9334.305	6.432189	9344.077	9327.395	9346.407	0.35746935	9347.06	9345.829	1000.0	1000.0	39999	405.44598	198.29688	579.833	0.9147869	405.4478	198.29948	581.5831	3.6053867	1.9983002	1.4946936	10.538308	-8.711554	-429.09915	99.002655	59.4881	321.11485481262207	40.13935714960098
9	9342.783	1.4866481	9344.714	9340.573	9353.633	0.24522746	9354.053	9353.128	1000.0	1000.0	44999	454.88626	207.64374	626.61395	2.5960467	454.8868	207.64134	626.25586	2.8738139	2.0274398	1.4636892	11.429343	-10.509132	-478.1273	118.80878	70.475334	364.18342423439026	40.46482517984178
10	9224.189	255.85373	9354.07	8712.492	9354.085	0.0870889	9354.261	9353.945	986.4	1000.0	49999	495.92346	215.51625	664.3346	-3.0006545	495.92508	215.5108	663.08057	2.529178	2.054833	1.4662977	13.074768	-8.901075	-518.2446	119.00691	70.39928	406.9492988586426	40.6949301481247
11	9350.732	4.056661	9354.063	9343.846	9358.099	0.26804158	9358.7295	9357.639	1000.0	1000.0	54999	528.9092	222.84877	698.5665	1.0191693	528.90967	222.84505	702.6818	2.5340285	1.9771312	1.47201	22.95068	-8.383163	-551.727	128.29547	75.51929	450.22270488739014	40.92933702468872
12	9345.506	1.1508454	9347.569	9344.347	9355.502	0.2832053	9355.855	9355.083	1000.0	1000.0	59999	561.3679	226.42047	726.70105	-0.27064106	561.3694	226.42052	725.21027	2.3671644	1.9771793	1.4841285	14.687431	-9.61632	-584.6317	133.68999	78.69959	493.17807364463806	41.0981730222702
13	9344.451	2.6082752	9347.655	9340.401	9357.167	2.3393362	9358.846	9352.473	1000.0	1000.0	64999	589.0199	228.65125	744.24915	0.116979346	589.0197	228.65039	742.3168	2.7719622	1.8827515	1.44985	12.198544	-9.3337965	-611.4075	139.70493	82.72202	536.2605061531067	41.25080831234272
14	9335.537	1.848213	9337.541	9333.086	9341.632	2.364277	9344.604	9335.642	1000.0	1000.0	69999	610.8669	233.02156	769.13293	-1.0975976	610.86835	233.01285	784.5003	2.470418	1.8514735	1.4322023	12.25819	-8.8501835	-633.7628	144.55818	85.783875	579.673023223877	41.405216114861624
15	9336.52	2.202855	9338.641	9332.47	9359.42	0.27074832	9359.752	9358.9	1000.0	1000.0	74999	633.2474	234.51921	813.6047	-3.1506069	633.24817	234.517	798.36316	2.2752676	1.8259282	1.4402697	17.999397	-8.602151	-656.137	143.66179	85.147156	622.7860963344574	41.519073247909546
16	9342.414	2.4634635	9344.937	9339.129	9357.281	0.29996893	9357.849	9356.781	1000.0	1000.0	79999	651.4719	237.81308	807.18976	-1.1666663	651.4717	237.81581	815.9521	-0.16109832	1.762665	1.4294142	18.73022	-12.415623	-673.2504	139.73766	83.445465	665.9735810756683	41.62334896624088
17	9337.394	3.466079	9342.441	9333.697	9353.579	0.7520573	9354.917	9352.182	1000.0	1000.0	84999	670.78235	237.52994	821.3918	-12.081456	670.7822	237.52802	833.5964	1.0813204	1.7509665	1.4594038	13.113026	-11.351155	-692.8136	149.13487	88.75047	709.2878992557526	41.722817729501166
18	9334.611	4.3637114	9339.891	9328.498	9354.51	0.66171634	9355.683	9353.688	1000.0	1000.0	89999	684.4311	238.7246	830.86786	-3.661348	684.431	238.72017	848.1244	-2.28589	1.6048665	1.4456171	15.692292	-9.09753	-705.1392	159.75615	93.37766	752.7112023830414	41.8172891802258
19	9340.182	2.6258132	9345.218	9337.602	9357.984	0.21753179	9358.476	9357.653	1000.0	1000.0	94999	698.03973	237.96605	860.1697	-8.147946	698.0383	237.96687	888.32007	-4.545131	1.6377782	1.4256568	16.946777	-10.458587	-719.1784	151.07814	89.87619	796.0927391052246	41.899617973126865
20	9339.264	3.3317816	9342.274	9333.68	9347.375	2.1216464	9349.909	9342.918	1000.0	1000.0	99999	711.8577	237.69067	873.22144	-5.37533	711.8578	237.68867	871.9166	-1.8750074	1.598436	1.4679694	15.830173	-10.152239	-731.7011	154.72066	91.81376	839.3765864372253	41.968829441070554
21	7571.985	1974.694	9348.478	4186.6025	9353.35	0.14965704	9353.596	9353.095	810.1667	1000.0	104999	724.1008	235.73587	891.9717	-11.633234	724.1007	235.71594	906.7361	-1.8489449	1.5613145	1.4421474	17.25235	-7.6284366	-742.9968	312.3595	173.44182	883.0618484020233	42.05056432315281
22	2961.3887	2612.323	9353.273	652.48346	9353.15	0.28712565	9353.457	9352.584	316.875	1000.0	109999	730.7617	234.37813	910.27136	-8.890201	730.7603	234.32896	912.36554	-3.6918623	1.8831958	1.4253031	22.623518	-9.386042	-747.8569	581.7749	314.0661	926.8733110427856	42.13060514493422
23	9341.875	13.1105175	9353.209	9323.228	9352.433	0.4719089	9353.139	9351.754	1000.0	1000.0	114999	740.4626	235.24533	948.897	-16.430786	740.46234	235.22617	988.60535	-10.977641	1.891378	1.4313186	28.89424	-8.875315	-757.9705	611.5743	327.8329	970.4624783992767	42.194020913994834
24	9344.795	4.5321894	9352.9	9340.445	9358.243	0.2622364	9358.595	9357.809	1000.0	1000.0	119999	749.4656	235.37958	996.8736	-20.406555	749.46783	235.37115	972.17377	-15.59443	1.8808792	1.4021775	30.358023	-8.983186	-766.803	663.5759	357.18466	1013.9656407833099	42.248568465312324
25	9347.749	5.1512055	9352.368	9339.668	9356.639	0.4061224	9357.173	9355.7295	1000.0	1000.0	124999	761.6955	232.4932	1001.84576	-28.865246	761.69183	232.49786	985.203	-14.476138	1.7804809	1.3276044	24.278206	-7.8024073	-779.0953	626.543	336.97934	1057.4061422348022	42.29624578475952
26	9345.59	1.5319397	9347.875	9343.151	9352.896	0.10139146	9353.097	9352.73	1000.0	1000.0	129999	769.7847	231.671	1061.7701	-20.179956	769.7794	231.67113	1101.1039	-17.499544	1.6943297	1.4147059	26.46922	-9.059462	-786.655	646.4822	348.16226	1100.8115606307983	42.33890626980708
