Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	LossQReg	Time	AVG Time Per Epoch
1	-43.26179	3.9567604	-33.264015	-52.00589	-10.970797	0.4017542	-10.0050745	-11.422753	50.0	50.0	4999	-1.8379605	0.9105746	2.3502998	-6.1122317	-1.8388218	0.9098208	1.1496092	-6.1010995	-0.37659016	0.8490775	2.8497734	-10.711215	1.30773	0.19198814	0.10242801	37.55317497253418	37.55317687988281
2	-43.100704	4.145596	-31.870302	-54.29965	-10.326209	3.717473	-3.8103027	-16.92829	50.0	50.0	9999	-3.8176324	1.4949515	3.377462	-10.033813	-3.8176386	1.494212	2.9655347	-10.349547	-0.35302183	0.8379437	1.8196583	-8.370257	3.3274148	0.5048956	0.28616816	83.34164094924927	41.67082154750824
3	-18.410343	3.7955415	-10.448572	-27.157103	-10.305765	2.8000066	-5.323141	-13.709377	50.0	50.0	14999	-5.1453815	1.9623829	2.918974	-13.549382	-5.1455355	1.959836	2.860297	-13.798752	-0.22248666	0.8826248	2.8821092	-9.109872	4.783054	1.2001326	0.6845895	131.62551259994507	43.87517166137695
4	-17.960033	3.7728944	-8.493425	-27.795115	-10.738115	4.5752077	-4.393231	-16.557022	50.0	50.0	19999	-5.857706	2.3496878	2.5675678	-14.9934845	-5.858105	2.347971	2.5329833	-14.97081	-0.083817706	0.9291165	4.1226177	-11.629242	5.6220994	1.7628317	1.0095351	178.28373265266418	44.570933640003204
5	-17.245747	4.5587	-7.8258758	-27.224371	-8.454801	4.4307094	-2.9785125	-18.785751	50.0	50.0	24999	-6.228771	2.7305818	2.6970296	-15.964969	-6.2293496	2.7250006	3.3462834	-16.315664	0.0004511718	0.95877314	4.4389496	-13.562763	6.0810146	2.132541	1.2272743	226.63450026512146	45.32690043449402
6	-17.016472	5.240232	-5.564951	-28.49918	-11.298042	6.262724	-2.9665253	-23.083345	50.0	50.0	29999	-6.4045815	2.878785	3.4141178	-17.177702	-6.404643	2.8779194	3.3015501	-17.577595	0.065299325	0.9796828	6.364625	-11.341573	6.3055587	2.4404542	1.4028296	272.40415954589844	45.40069365501404
7	-16.998066	4.3276296	-7.073248	-25.2277	-11.228335	1.416793	-9.49329	-13.840457	50.0	50.0	34999	-6.584844	3.0325239	4.0818915	-17.470879	-6.585068	3.0335412	2.907788	-17.241768	0.10250676	0.98464835	5.37174	-9.398804	6.5474052	2.9210808	1.6629106	316.90571784973145	45.27224574770246
8	-16.77903	4.223955	-8.024368	-25.048626	-10.847588	4.1184983	-4.55662	-18.627296	50.0	50.0	39999	-6.610987	3.1374269	4.7204394	-18.258236	-6.61168	3.1369429	3.8779893	-18.008848	0.16307215	1.0053551	6.177787	-12.786045	6.604316	3.2495275	1.8494108	361.5416624546051	45.19270807504654
9	-16.492437	4.4893436	-7.5204277	-24.878647	-12.263307	4.8667607	-2.7841933	-19.523365	50.0	50.0	44999	-6.697499	3.1932166	3.6746716	-19.431284	-6.6978416	3.1933715	5.88162	-18.878597	0.19539063	1.0113063	5.835828	-10.078216	6.7353787	3.5236714	2.001409	406.2810802459717	45.142342461480034
10	-15.411513	4.609444	-6.8746114	-29.365057	-6.7161064	2.7651455	-2.4978423	-12.269769	50.0	50.0	49999	-6.8256655	3.3151486	4.422791	-20.455889	-6.8258367	3.31756	3.7971654	-19.990072	0.22511017	1.0184268	7.3778105	-10.533959	6.881836	3.841297	2.1863816	451.5285015106201	45.152850365638734
11	-14.942078	4.44831	-7.3849535	-34.427837	-9.268748	3.5993464	-4.3267817	-14.195045	50.0	50.0	54999	-6.888514	3.4055724	6.994627	-20.729591	-6.8884697	3.4072866	7.107346	-20.575949	0.25679922	1.0204991	7.261732	-9.324169	6.958303	3.998728	2.284037	496.55090260505676	45.14099136265841
12	-15.866779	4.964018	-5.636295	-27.18663	-10.926268	3.7564232	-5.2669406	-18.470287	50.0	50.0	59999	-6.9159656	3.4332106	5.578899	-21.479034	-6.9160995	3.4361253	9.149449	-21.535372	0.28404757	1.0329014	7.493296	-10.267034	6.991134	4.121396	2.3581975	541.9379255771637	45.16149399677912
13	-16.098461	3.821562	-7.53607	-25.808395	-10.22891	5.9928246	-4.451237	-20.40783	50.0	50.0	64999	-6.861569	3.4058218	5.6898108	-23.36506	-6.8616195	3.4094682	7.552923	-23.399578	0.2900251	1.0302281	7.0768914	-9.45723	6.940288	4.272278	2.4410527	587.2499330043793	45.173071934626655
14	-16.115458	5.343839	-6.2346168	-30.27221	-8.441737	2.8530982	-4.9797935	-13.61693	50.0	50.0	69999	-6.8922954	3.4593933	7.1503215	-22.516827	-6.892607	3.4614089	5.295078	-21.897654	0.2997284	1.0339214	9.341461	-10.947451	6.9911094	4.407264	2.51044	632.7588682174683	45.197062151772634
15	-14.592282	3.8639898	-6.186945	-22.785154	-8.614241	3.4382935	-2.440285	-13.2671585	50.0	50.0	74999	-6.8770027	3.548959	5.924858	-22.258335	-6.8774877	3.5493658	9.145793	-21.038877	0.29824117	1.0334895	10.337443	-10.72856	6.97335	4.2037296	2.3994195	678.1259140968323	45.20839440027873
