Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	LossQReg	Time	AVG Time Per Epoch
1	2.0742497	6.04484	39.531998	-9.624226	102.71084	10.363845	120.75507	87.76238	20.096775	216.9	4999	5.549283	4.904899	23.729849	-5.3143244	5.5491605	4.9051123	23.954746	-5.150364	-0.65580803	2.7234592	14.621153	-11.964983	-7.4854455	1.1533259	0.63873243	36.473159074783325	36.47316098213196
2	2.5281594	5.570587	32.485012	-8.195474	293.33612	22.302277	344.0307	265.7448	20.79668	171.7	9999	23.810057	11.500418	58.06031	-18.509682	23.810122	11.503607	58.224598	-23.739872	2.210337	3.6941912	30.11061	-13.121154	-28.182198	9.5051155	5.386461	82.11309289932251	41.05654764175415
3	220.2595	183.48315	835.4532	10.76427	609.2057	254.55637	947.7345	290.72366	223.13637	644.5	14999	44.553204	14.238136	87.669685	-21.214054	44.550644	14.277369	91.53186	-19.403091	0.6957692	4.4968805	37.56046	-12.116795	-48.479656	32.973537	18.61117	129.55166387557983	43.18388867378235
4	253.05984	123.85684	493.62677	36.235443	331.2143	18.582117	365.51227	310.47745	231.42857	211.5	19999	52.38509	15.456111	121.61754	-23.4085	52.38139	15.498879	117.50946	-28.316889	-0.10113541	3.9163494	31.938557	-13.063176	-54.849186	32.80639	19.23896	175.26397347450256	43.81599402427673
5	272.03906	85.81356	517.8724	107.5559	235.64644	12.172456	252.71568	216.91428	175.68965	128.5	24999	58.62278	18.642733	131.22203	-38.973907	58.621635	18.668436	133.36783	-37.862087	0.09860518	3.9528856	34.89176	-14.290517	-60.924976	38.736088	22.663862	220.21496057510376	44.0429925441742
6	207.06316	68.42987	368.28226	54.67735	172.55634	14.425847	201.56462	157.73988	126.375	99.2	29999	66.500145	20.885098	139.1777	-49.38988	66.498375	20.91702	138.89674	-37.37571	0.1054346	3.831996	34.2256	-14.618341	-68.58405	45.863132	26.799244	263.9962351322174	43.9993728796641
7	286.12088	100.20604	477.78314	18.272343	424.64517	185.65836	615.71234	81.47988	171.75862	218.4	34999	71.99412	22.795818	144.42043	-66.31113	71.994736	22.81478	144.8114	-100.63227	0.3466637	3.945662	33.681118	-13.046421	-73.9555	46.299236	27.145838	309.93044447898865	44.275778089250835
8	335.5193	112.04001	516.7356	29.828074	364.8465	38.53377	460.67722	312.32248	176.28572	157.4	39999	77.47555	24.594961	147.78732	-56.078796	77.47542	24.615168	147.57516	-99.72974	0.7668328	4.025581	36.960842	-12.842426	-79.58637	52.30795	30.762657	354.0762138366699	44.259527027606964
9	344.52908	92.34056	510.80475	169.70543	422.4853	24.429415	464.29376	379.16705	176.55556	178.6	44999	82.01936	26.384377	155.34125	-46.54265	82.018005	26.40367	160.41551	-53.307335	0.5208708	3.9816837	42.03949	-15.0661335	-83.812485	51.626266	30.713415	398.2989242076874	44.25543626149496
10	434.92783	123.1128	731.8423	266.5078	373.8439	44.467392	441.55093	319.45117	221.83333	176.3	49999	86.95525	28.47592	161.78366	-67.77992	86.954384	28.477222	162.9712	-48.331917	0.7479487	3.9486523	39.310154	-13.054671	-88.8017	55.415176	33.030087	443.70824217796326	44.37082448005676
