Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	LossQReg	Time	AVG Time Per Epoch
1	1.9321768	5.546988	22.310768	-9.584332	265.44455	3.5427961	271.28564	259.30563	20.105263	146.9	4999	3.619953	3.2841356	18.712467	-3.081624	3.6198976	3.2860613	18.89331	-2.9616094	-1.0798762	2.4786646	9.240728	-14.437196	-5.2550697	0.050699167	0.39502424	31.812369108200073	31.812371253967285
2	2.03757	6.0255065	29.446838	-9.158675	330.48505	32.710728	422.60507	308.1088	20.422764	209.2	9999	19.458	11.4203415	67.80622	-18.871042	19.458336	11.428209	66.66399	-21.009138	3.8598394	3.5660348	25.265093	-12.175592	-24.95538	0.35246372	4.805018	72.48241114616394	36.241206645965576
3	150.07407	141.0903	537.8149	-15.2142725	182.92604	119.07549	448.97906	28.224724	130.8158	177.2	14999	49.84364	18.293756	139.21936	-135.06256	49.843536	18.306734	135.11389	-153.58873	2.4874258	4.644255	41.52397	-12.592041	-55.912476	1.7825246	34.31451	117.47473859786987	39.15824691454569
4	55.664787	75.527466	338.7863	-43.581844	140.6269	107.019135	310.33286	28.917706	90.76363	213.9	19999	61.793995	20.085453	138.85106	-99.79085	61.795525	20.090994	135.52599	-81.120026	1.088096	4.4246325	34.12952	-13.580381	-65.20402	1.9184713	37.64895	158.12042450904846	39.530106604099274
5	213.96632	134.79001	427.70465	2.5556617	804.4546	235.13284	947.9082	150.47267	212.91304	897.7	24999	64.21413	21.64436	136.41725	-46.688805	64.21461	21.63871	134.76128	-41.7395	0.83204484	4.4776983	34.25219	-12.921278	-67.02481	1.6067084	31.367325	201.7777738571167	40.35555515289307
6	217.75104	146.46834	732.97504	24.11373	215.90825	29.587738	276.80948	158.77617	217.95653	125.3	29999	65.96656	22.110458	136.21124	-40.18885	65.96792	22.093788	137.06917	-35.016407	0.720462	4.4026046	35.299023	-12.925755	-68.386406	1.4746429	36.163177	241.95761895179749	40.32627022266388
7	201.52919	108.62514	369.57913	-14.258692	238.4049	23.454075	287.19565	188.72694	180.32143	135.4	34999	67.268776	22.743616	147.08763	-45.93733	67.27108	22.712757	151.44702	-40.159096	0.6748406	4.25842	34.34032	-13.729545	-69.26128	1.1499727	34.37735	282.9543216228485	40.42204632077898
8	278.0679	87.25726	477.98483	41.666466	281.71606	3.3665962	286.75385	276.03925	189.53847	149.6	39999	68.79922	24.61279	170.36336	-48.456696	68.80001	24.609112	165.11461	-49.36933	0.69664115	3.970712	32.764545	-12.499735	-70.73409	1.1141477	33.752594	322.9042947292328	40.363037109375
9	328.67355	87.25481	600.3692	164.47653	957.9756	3.8510706	960.2696	946.47766	227.77272	1000.0	44999	71.931915	26.647926	235.96619	-60.599133	71.93257	26.669352	221.3418	-54.39692	1.0532163	4.023446	33.55442	-12.363689	-74.025215	1.2085271	38.58186	366.13253569602966	40.68139312002394
10	296.8192	56.902084	439.50003	177.56549	251.90239	1.858867	255.22272	249.34535	202.12	149.5	49999	75.970856	30.793324	376.8764	-51.699932	75.97181	30.823538	366.2334	-52.271637	1.2620927	3.9733543	33.57153	-12.905134	-77.932884	1.2829902	42.70233	406.1786160469055	40.61786184310913
11	247.29367	85.043655	582.42114	53.703823	75.02919	21.693785	132.8929	60.70635	171.72414	222.2	54999	85.22438	48.624638	527.22296	-59.972313	85.22582	48.661327	519.2623	-55.811325	1.692691	4.1734767	40.08298	-12.6816635	-87.39887	1.8730156	70.706184	450.83202147483826	40.984730915589765
12	214.77362	164.8262	635.41205	0.93165964	295.11548	347.6191	871.2957	38.32349	289.125	467.8	59999	102.48934	71.84972	529.85376	-80.20639	102.49116	71.89023	526.7455	-81.22246	2.610025	4.3725505	41.05636	-13.799555	-105.09361	2.6426833	107.3442	498.9724519252777	41.581037839253746
13	352.969	303.2128	914.36304	70.06341	163.97588	104.14143	333.83832	36.130432	442.41666	170.9	64999	115.84498	75.06059	532.6601	-112.34319	115.84622	75.0928	530.6672	-118.14339	4.5778046	4.253329	53.952576	-10.590605	-120.53764	3.400231	145.9488	546.0942180156708	42.007247704726
14	239.88083	197.04984	902.8407	-21.416695	335.44806	54.416294	492.345	295.5509	303.88235	228.7	69999	147.23033	79.89458	504.18503	-109.3958	147.22624	79.935936	507.9221	-126.5131	6.408977	4.5330105	67.27629	-12.283601	-154.06331	4.881491	229.44604	593.4097747802734	42.38641265460423
15	198.66798	135.74594	411.84253	-19.492737	202.17464	63.63326	282.55627	109.946846	222.09091	247.8	74999	174.44754	88.835556	473.66748	-119.19403	174.44626	88.87137	476.50443	-120.36975	5.901792	4.6073303	52.13603	-12.276469	-180.39346	5.619354	279.83496	632.754965543747	42.18366451263428
16	247.13095	56.467316	457.48715	165.03174	133.18721	34.07544	202.43555	97.954834	166.53334	80.4	79999	181.30447	92.47821	448.48364	-131.20169	181.30107	92.50551	448.94022	-199.60196	5.392302	4.896312	55.70118	-10.546405	-185.7984	5.575821	288.65195	670.3368663787842	41.8960542678833
17	277.47742	98.13349	545.80646	155.5761	752.574	302.4123	1010.2841	317.82053	178.96428	687.1	84999	181.53123	91.56184	407.01672	-132.08025	181.5297	91.566315	416.19427	-138.9137	5.005344	5.159726	49.43905	-10.7349205	-185.47842	4.825339	257.6498	710.185840845108	41.775637837017285
