Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	LossQReg	Time	AVG Time Per Epoch
1	2.5520265	6.789837	60.85816	-9.628863	113.56117	86.92172	371.72037	59.13398	20.899582	203.2	4999	1.7406356	1.928764	14.898227	-4.9881396	2.0959713	2.5105848	15.76922	-7.359039	-1.5442983	2.321637	9.285179	-13.16836	-2.7468555	0.021748604	2.4162488	30.89939856529236	30.89940094947815
2	2.2477973	5.52545	23.372404	-11.506118	325.2639	29.701832	387.20322	291.4773	20.697096	203.9	9999	7.472958	5.087568	40.18302	-14.038277	10.099111	7.682402	38.1941	-19.845438	2.8581202	2.771869	19.467724	-13.752073	-10.891003	0.059244536	25.212765	68.29688787460327	34.14844512939453
3	379.5694	348.51187	977.2923	33.483	850.47833	229.30846	994.9229	392.4126	368.69232	856.8	14999	14.098787	8.551887	65.362114	-32.384823	19.761843	11.204201	60.670452	-40.175167	2.9113371	3.0615234	28.597113	-13.004086	-17.869518	0.13814253	73.86611	111.09728479385376	37.03242905934652
4	91.35555	238.4305	1011.32385	-3.005717	372.6017	15.029926	410.74277	353.25024	171.9	194.4	19999	13.288627	10.840072	71.99548	-46.02044	18.686771	10.902495	80.12385	-44.932495	2.3438296	2.828923	26.614431	-11.804269	-16.015224	0.13813232	60.71173	150.03324723243713	37.508312344551086
5	267.50735	169.01341	599.1309	17.516825	54.66109	3.5897791	59.01198	46.610058	212.56522	119.4	24999	13.303278	13.3967495	86.17256	-76.71531	17.632135	11.183384	90.328735	-44.751987	2.2726235	2.933615	23.18626	-10.751702	-15.478985	0.16052713	54.161613	189.0965039730072	37.819301223754884
6	196.40404	143.0278	437.89276	-10.86295	404.27634	75.45778	609.4154	325.93634	149.67647	199.1	29999	12.233942	19.644558	77.25241	-280.08826	16.901838	13.551448	89.970375	-84.893745	2.617496	3.5732033	71.78919	-12.334942	-14.275254	0.15657617	115.841736	228.46505403518677	38.07750940322876
7	175.94467	92.07752	359.0023	-1.6141903	217.34204	18.484919	244.89417	189.43517	124.925	119.7	34999	13.98456	19.90526	80.35174	-304.02176	18.315563	13.928006	74.2477	-94.97863	2.7317495	3.581789	43.233486	-12.594846	-15.724899	0.14841072	114.50143	267.7288656234741	38.24698110989162
8	248.13237	76.83857	377.7469	4.5866423	545.0593	58.528183	591.1178	407.30893	157.9375	425.3	39999	15.137808	18.046694	80.59241	-309.15005	16.294188	14.952193	77.12385	-171.33446	2.3955142	3.7339303	61.772884	-12.688011	-15.282213	0.16808675	128.10713	308.3608908653259	38.54511162638664
9	304.70584	138.8692	806.7567	71.28069	301.06238	5.5060163	310.97406	292.32684	214.0	169.5	44999	17.427797	16.67783	78.616394	-298.22723	17.846226	13.306547	67.73	-158.67682	1.8574487	3.4498923	58.131523	-11.92005	-17.230043	0.12068792	92.50767	347.4992325305939	38.61102607515123
10	356.72842	126.08029	671.3609	159.66257	287.38043	5.707524	292.1789	272.32385	275.94446	155.6	49999	16.71241	17.196411	76.04258	-210.25244	18.801125	13.628618	64.97765	-111.331764	1.9176981	3.4072568	50.067017	-12.922333	-17.100708	0.1245675	88.02477	387.13701915740967	38.71370215415955
11	388.24176	141.15967	874.48553	280.34943	587.57306	352.50244	1048.6351	177.62431	252.2	616.1	54999	16.706804	18.379755	73.98953	-304.71194	19.28352	14.064999	67.268906	-187.57846	1.985621	3.4119313	40.084423	-12.98273	-17.294668	0.12981515	96.942215	428.47454619407654	38.95223168893294
12	245.35712	177.70976	613.97174	50.56708	308.30295	58.493828	365.91797	145.56131	197.56	195.9	59999	15.49768	20.723839	80.31161	-333.9464	18.432753	14.08876	67.83089	-137.13495	2.0613265	3.5117044	44.928165	-12.667685	-16.022823	0.1608356	128.44893	469.08905720710754	39.09075496594111
13	245.91977	134.78407	493.76346	48.081757	331.08743	146.95781	612.0346	169.74956	175.3793	252.2	64999	14.674741	23.372313	84.25379	-471.3021	17.04852	14.80225	92.8898	-138.29446	2.1687844	3.5813205	57.588192	-13.003471	-14.899758	0.16792814	161.48587	510.4841499328613	39.26801171669593
14	269.35406	95.85618	471.89984	13.871948	20.422764	0.44282854	21.019802	19.912134	146.76471	39.0	69999	7.576056	53.179913	94.918945	-1433.9764	13.635212	17.266327	74.2368	-177.95778	2.9217913	4.7866597	103.871284	-13.057557	-9.010757	0.3719492	1152.5498	550.8172721862793	39.34409104074751
15	246.25294	108.41692	440.40833	6.102327	298.26608	5.041866	305.37952	289.6979	156.6875	184.2	74999	8.442728	35.543007	83.63511	-1078.7389	11.048015	17.394552	119.13833	-218.78181	3.0045297	4.42372	93.85824	-12.498263	-8.371633	0.3614146	517.6508	590.4547736644745	39.363651752471924
16	286.49673	84.327194	480.62234	68.19462	414.88715	7.99231	428.6291	405.1642	192.5	198.4	79999	8.772014	24.608608	77.45021	-638.6836	10.08163	15.375528	119.50628	-276.1843	2.5551655	3.6524053	45.81831	-12.985724	-8.082919	0.22167067	226.2116	630.5585176944733	39.40990751981735
17	313.379	139.0092	625.1716	2.8875246	7.5422506	3.7832255	15.930835	-0.72329134	189.23077	39.7	84999	5.0241933	28.698967	74.79443	-683.1976	9.604325	16.399693	114.80145	-322.8036	2.7671788	3.8880563	50.666626	-14.915976	-5.681534	0.22768554	279.1374	670.5731132030487	39.44547742955825
18	68.13771	145.72034	503.93375	-14.212746	6.0539594	1.0787617	7.4318576	4.6228156	59.238094	19.6	89999	-3.3028605	37.13207	81.70866	-1104.0171	2.764879	20.198246	118.88093	-501.9936	3.2981467	4.1033106	53.486958	-12.550089	2.6090958	0.29954356	471.8771	709.8569297790527	39.43649623129103
19	51.91578	107.04167	484.39636	1.2595943	52.38689	1.0905721	54.185352	50.755875	43.786324	64.7	94999	-6.788244	33.26083	60.68489	-804.6029	-4.735851	24.089203	96.8875	-427.61185	3.7264805	4.0969496	56.09818	-11.458101	7.521948	0.3064588	469.10025	749.1319279670715	39.42799634682505
20	116.065544	110.50138	375.61227	25.320557	336.49655	13.583246	360.79468	308.2184	92.53704	187.7	99999	-4.3768463	29.506945	67.30739	-508.4835	-5.860053	28.407698	124.08501	-676.3503	3.8084857	4.238175	54.986176	-11.1516285	6.25722	0.38221183	513.3118	789.2490234375	39.46245130300522
21	197.26346	105.47802	395.51495	0.3533315	183.14339	15.611994	202.34497	165.77399	118.11905	93.1	104999	-4.124922	26.744146	80.53714	-568.891	-0.2608374	24.62662	147.6551	-787.2759	3.1724238	3.8033051	48.80075	-12.092624	3.3601155	0.30995864	388.18695	829.0975005626678	39.48083349636623
22	157.32764	39.325924	241.34831	17.503794	213.2946	33.94852	279.42673	183.04184	87.034485	118.1	109999	-2.1625736	25.711134	71.80513	-518.28485	0.88209695	18.275116	80.89943	-364.9035	2.783686	3.497192	69.77067	-16.300274	2.2698536	0.22154856	226.6163	868.7859034538269	39.490268447182395
23	290.9728	58.27615	374.00745	166.68544	476.75446	26.587128	506.62088	431.49796	143.28572	237.8	114999	1.5296241	25.451744	64.94956	-380.94278	1.0103959	18.840347	64.58522	-193.12901	2.877353	3.4063435	40.88126	-12.60904	-0.27160344	0.18204764	176.43028	909.0813312530518	39.52527538589809
24	78.20114	155.47475	409.63864	-8.722883	-5.8718767	0.19595563	-5.546318	-6.0960712	57.643677	19.0	119999	7.8160143	21.15523	80.008354	-203.44925	6.2055216	17.376764	82.528725	-202.41519	2.7634096	3.6580694	36.806133	-12.117111	-6.634636	0.16277824	125.369576	949.0143921375275	39.54226644833883
25	11.135952	57.62326	344.8198	-34.278244	107.138405	76.221016	206.8885	41.034492	46.588783	113.7	124999	13.270715	16.421879	73.3189	-152.83139	13.624361	16.205547	69.744736	-181.33188	1.1312606	2.8926463	40.483177	-11.631603	-12.706029	0.10417413	77.46343	988.887469291687	39.55549886703491
26	143.51396	114.256485	362.27448	-0.85290086	43.11483	2.7494624	47.293262	38.771454	108.5	92.0	129999	13.959373	19.497095	77.96749	-171.82248	14.626121	16.836834	77.60747	-231.42952	0.6524949	2.7302132	34.832634	-15.337137	-13.243538	0.1034926	80.342354	1028.6075134277344	39.561827540397644
27	236.39195	126.54285	436.454	24.467936	341.96262	9.134838	352.35135	318.01	128.6923	150.7	134999	16.0451	23.982664	100.73651	-521.1174	16.481245	19.102144	87.784325	-208.8837	0.7652389	2.8211439	35.11319	-12.747138	-15.241436	0.12083037	119.6924	1068.7257342338562	39.58243470721774
28	325.661	45.013012	483.9647	231.90483	255.39262	2.6600373	261.49414	252.2257	152.06061	117.7	139999	18.195883	31.612144	87.74117	-820.599	19.148155	22.822466	110.08826	-162.45744	1.0260293	3.1533945	55.481857	-12.517854	-17.733418	0.1458655	263.1527	1108.8618111610413	39.60220764364515
29	281.6219	35.005184	379.19492	233.09087	289.53894	1.5280174	291.7128	286.30844	139.37143	135.1	144999	18.92043	39.86607	96.23027	-1255.9418	21.251785	25.056671	103.84778	-242.4754	1.2426307	3.3831773	45.73803	-14.943974	-19.038012	0.17353933	516.5356	1148.9660639762878	39.619519537892835
30	276.98825	50.944584	378.02646	101.94137	377.4715	32.16345	399.3843	285.24313	132.97368	171.2	149999	17.23865	37.79265	107.71349	-1146.77	20.171337	27.988155	112.5165	-272.6079	1.8100266	3.548944	57.39875	-12.790215	-16.906433	0.19923203	389.55533	1189.1997668743134	39.63999230861664
31	207.67793	150.26888	535.75433	34.47524	614.42175	1.4441415	616.9246	611.89276	125.15	345.5	154999	10.801683	75.310295	128.49677	-2261.3943	18.541077	28.823988	137.78476	-261.21472	2.6227822	4.3095818	48.99675	-12.353867	-13.1321	0.30450743	1972.3048	1230.299917459488	39.687094196196526
