Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageQ3Vals	StdQ3Vals	MaxQ3Vals	MinQ3Vals	LossPi	LossQ	Time
1	1.5125161	5.6696725	37.156567	-11.64988	-9.387008	0.95184374	-7.125397	-10.574863	20.444445	67.0	4999	6.056773	5.9525166	28.027643	-4.6377897	6.0571256	5.952165	27.269173	-5.690147	6.0572467	5.9533424	27.080896	-5.781282	-8.861185	1.0618966	22.290400743484497
2	2.514349	6.6091266	48.425472	-11.470652	88.04848	31.861176	166.74748	53.835445	20.854773	201.5	9999	30.05357	13.277133	69.42453	-16.644976	30.053232	13.276007	69.242874	-20.110441	30.05362	13.277275	69.859406	-21.74724	-35.60833	10.110714	54.7081458568573
3	-2.5271413	52.366314	405.27112	-16.083487	-13.026093	2.3266015	-8.903147	-16.773184	75.121216	69.4	14999	42.20162	15.617703	78.513565	-31.386114	42.201878	15.620113	79.43129	-30.584995	42.201416	15.623926	77.21536	-31.464628	-45.41562	16.570272	85.3186764717102
4	93.1156	182.78625	893.5566	-22.861492	175.25322	71.2332	375.86832	139.69586	115.62791	122.2	19999	35.270058	14.835229	74.17613	-69.90051	35.270092	14.835671	71.73697	-61.257023	35.269955	14.83674	71.487785	-62.085693	-38.907463	15.355865	116.574960231781
5	39.87616	127.49861	560.28937	-80.9393	76.7303	120.60534	307.80322	-27.019127	136.91891	148.8	24999	40.956123	15.268385	75.07998	-66.75361	40.95614	15.2707	74.727875	-66.225815	40.956375	15.270267	74.86615	-69.408356	-44.58197	16.444746	147.3241581916809
6	165.2041	101.865555	403.35193	37.013863	355.71027	169.72289	545.097	52.317207	177.67857	253.8	29999	43.638367	15.846918	82.57298	-46.163067	43.63837	15.849621	85.47921	-49.31554	43.63761	15.850435	82.65414	-48.397823	-47.51125	18.272732	177.10067796707153
7	275.80115	81.49332	548.7924	178.49638	244.78557	8.943787	256.46198	225.53539	177.42857	131.1	34999	47.47544	17.512218	89.9058	-39.654873	47.47556	17.511658	90.25754	-41.59436	47.475494	17.51395	89.787125	-39.207455	-50.92549	19.682175	207.56779432296753
8	268.36453	61.40467	392.00336	32.0262	59.95882	103.348785	256.43076	-40.847546	159.70967	163.7	39999	53.018112	19.64338	104.31874	-44.91827	53.018066	19.645454	103.9224	-43.827915	53.018047	19.648733	103.568436	-44.79599	-56.79296	20.029234	235.82275104522705
9	167.73526	88.78068	309.48526	-13.209556	255.19072	112.543274	421.80554	79.32947	169.93333	246.2	44999	56.389473	20.60304	108.85149	-74.895035	56.389004	20.605984	105.1907	-72.86218	56.389397	20.606384	106.72344	-65.366844	-59.648293	21.817478	264.6254777908325
10	225.591	97.70252	427.88284	37.42944	271.51358	108.20331	401.07257	103.18889	194.12	305.1	49999	57.40156	22.080437	106.66142	-77.505806	57.40089	22.084047	107.195595	-78.25936	57.401318	22.088533	106.93987	-82.99669	-60.84326	26.748894	298.2393524646759
11	281.91428	93.047935	495.416	86.03363	420.10986	144.0479	671.785	160.31277	248.75	498.0	54999	58.276646	23.535114	108.68288	-94.378624	58.276047	23.537006	108.35537	-92.38724	58.27633	23.54233	108.34404	-100.15365	-61.827736	31.21388	336.07199931144714
12	255.1139	108.03425	466.76395	88.487595	508.94238	168.09923	770.517	280.0666	241.14285	460.8	59999	57.986095	24.211262	111.39453	-115.05085	57.985718	24.211563	110.21702	-115.395744	57.98584	24.214687	110.153076	-115.74281	-61.429	32.44664	371.66703152656555
13	452.3328	200.88332	953.00696	152.53362	277.09262	8.034881	291.5946	263.20584	359.7857	145.4	64999	57.670975	24.3292	111.27525	-121.71018	57.670483	24.329979	110.81249	-123.84629	57.671104	24.332226	110.83316	-126.86442	-61.007996	30.5328	405.24780464172363
14	341.66708	60.633	524.2945	260.64868	348.26663	214.0683	958.24835	198.99745	196.56	320.9	69999	58.765865	24.865917	112.03943	-134.82831	58.765728	24.863873	111.500984	-134.50711	58.765793	24.868467	112.08868	-136.64523	-62.108826	28.0008	440.45842599868774
15	354.6995	101.40025	521.5468	86.8064	397.581	57.763798	502.46918	335.20993	196.72	180.6	74999	60.51173	25.173925	114.761635	-141.70845	60.5112	25.174162	114.19428	-142.53473	60.512337	25.1756	115.4351	-142.3633	-63.80213	27.97845	477.6220951080322
16	457.79364	137.05669	699.3354	17.529694	533.0852	92.417076	709.3276	323.16528	221.34782	265.7	79999	62.406273	25.310184	114.65442	-133.98987	62.40577	25.311436	114.618034	-128.13965	62.40682	25.312788	116.00954	-138.03294	-65.59751	27.373775	515.8737709522247
17	529.9706	120.72375	758.60406	184.11417	559.1747	37.90095	621.7724	509.34937	233.18182	227.3	84999	64.70716	26.116476	121.27143	-95.29948	64.70664	26.118793	122.2345	-96.07239	64.7078	26.120453	122.995255	-93.42956	-67.96295	28.3229	559.5064384937286
18	489.43967	99.252625	622.67487	214.84233	499.87637	33.67805	545.4067	431.85095	225.81818	187.5	89999	67.92926	27.51031	124.43538	-109.1396	67.92892	27.512617	123.79978	-108.745514	67.92998	27.513838	124.22901	-103.86531	-71.26762	30.966288	602.4164893627167
19	452.24707	126.32052	632.82294	156.72462	508.96362	9.6337385	529.6337	496.50842	190.15384	193.6	94999	71.123924	29.838076	141.84491	-85.11846	71.12363	29.842648	145.608	-90.248276	71.12509	29.840754	138.42903	-84.54356	-74.622185	34.100544	642.0340180397034
20	457.09225	121.12617	571.72015	82.007286	364.51193	80.12003	442.12158	167.89131	202.92	161.6	99999	74.01819	31.819101	145.6714	-105.23426	74.01796	31.82043	145.51299	-93.9964	74.01847	31.820297	146.78561	-98.539444	-77.500565	35.704033	682.0020592212677
21	407.10815	164.54593	581.0803	13.324232	405.4385	136.1039	539.45074	114.184616	168.27586	217.3	104999	76.02337	34.293674	152.43205	-108.32947	76.02302	34.295753	153.35318	-101.743004	76.02405	34.29499	154.8139	-113.45708	-79.5427	38.987392	730.7358794212341
22	421.2398	113.724174	555.51886	16.324076	481.64706	24.053217	518.7802	436.93942	189.14815	233.5	109999	77.863846	36.539173	157.30965	-121.58955	77.864044	36.541718	161.13866	-107.920334	77.86458	36.541405	158.72214	-109.848076	-81.308556	40.75888	776.5889711380005
23	468.95752	158.61932	771.9563	118.594284	518.6542	28.451502	570.9818	466.32343	227.31818	184.9	114999	79.23842	38.595367	170.64201	-137.91151	79.23815	38.597645	165.51523	-141.53377	79.23965	38.595497	161.01575	-124.70269	-82.67095	42.689426	817.9619636535645
24	516.3768	48.340183	582.56635	415.88803	509.3864	62.288074	588.58026	414.44547	227.72728	201.7	119999	80.22132	40.206318	165.1341	-140.2167	80.221565	40.207325	162.8494	-132.66098	80.222694	40.207233	163.17274	-138.18002	-83.73466	43.878906	857.4468326568604
25	578.3785	92.29261	875.72437	435.43423	637.21295	14.883351	666.3616	614.02826	229.54546	248.5	124999	81.628975	41.535725	165.99535	-152.48927	81.62933	41.535892	165.77808	-140.45557	81.63027	41.536064	165.03679	-142.41814	-85.08171	44.628017	905.2742345333099
26	554.479	81.28522	699.17487	418.68747	496.23013	7.2454467	511.97238	486.39236	212.04347	188.4	129999	82.92851	43.112267	173.5269	-142.48312	82.929436	43.113235	174.22314	-156.38083	82.931335	43.111847	174.70802	-145.65065	-86.38093	45.12218	955.9458692073822
27	494.34735	105.56794	671.3618	102.14676	451.60416	11.489589	465.71536	427.17664	198.68	177.5	134999	84.56279	43.902477	175.93721	-128.02791	84.56426	43.90188	176.24829	-128.54695	84.565125	43.90366	174.6571	-125.70976	-87.98926	44.987667	994.9844868183136
28	473.92255	126.08897	625.18353	43.03759	562.94946	3.624325	570.48	557.1649	197.15384	201.4	139999	86.221855	44.995834	178.60413	-128.5535	86.223175	44.998726	176.18378	-134.65927	86.224014	45.00017	176.7464	-129.3927	-89.5792	44.551956	1038.1582980155945
29	555.90594	33.856712	608.37604	488.9345	602.6086	15.8832245	627.39655	577.7885	206.70833	221.9	144999	88.26121	46.54713	177.78743	-119.18116	88.263245	46.547127	178.47061	-121.272	88.26489	46.546978	178.88785	-122.7041	-91.598976	42.881405	1079.5277309417725
30	559.3633	237.18034	1042.1781	61.38887	627.59094	7.4440856	640.7235	614.04266	275.3889	237.9	149999	90.02021	48.12508	182.5484	-107.514595	90.02197	48.12364	182.73607	-102.539955	90.023766	48.12408	183.17722	-98.19183	-93.47384	42.49479	1124.8848638534546
31	674.513	168.11998	1286.9327	526.2123	629.27637	46.798035	725.85724	567.8012	289.0	235.4	154999	91.04588	49.877556	187.67014	-114.53847	91.0468	49.877354	186.7729	-107.20329	91.04719	49.88108	188.76173	-119.354614	-94.25674	43.17159	1165.3944544792175
32	596.9212	123.46435	665.9718	33.787075	654.8133	16.239029	692.63965	628.7178	220.73914	240.8	159999	93.26477	51.587444	191.03027	-119.066574	93.26641	51.58922	195.13678	-126.62538	93.26627	51.59184	193.47963	-120.68393	-96.36997	41.073414	1206.9610524177551
33	609.0224	33.272926	662.27997	533.57135	634.5284	7.7364416	645.8951	624.6263	229.18182	226.2	164999	95.37118	53.012493	194.07169	-118.054504	95.371086	53.01402	194.5499	-117.68236	95.37184	53.017075	197.95767	-106.457924	-98.37253	41.990414	1247.411024570465
34	606.53796	36.382122	665.4065	501.30505	689.71783	25.926907	731.4102	649.406	224.40909	273.0	169999	97.43477	54.08475	196.82428	-107.519966	97.43404	54.086235	198.29956	-110.04411	97.43449	54.08931	197.29202	-112.374054	-100.41503	41.51405	1288.780888080597
35	628.4066	128.18524	765.76746	132.0451	695.52026	19.393888	748.1113	679.5654	265.78946	277.9	174999	99.39118	55.432602	201.1247	-123.255066	99.3908	55.43575	199.98242	-122.1846	99.39234	55.438168	202.27396	-135.6099	-102.38584	40.45948	1327.9535863399506
36	603.67584	121.670906	756.686	96.29151	675.78217	3.863436	682.2876	671.0375	225.40909	232.9	179999	101.01953	56.664047	200.4583	-142.33385	101.019966	56.666645	201.6382	-128.27232	101.01883	56.67085	200.36157	-136.05005	-104.03184	41.82395	1365.271047592163
37	620.8876	33.349842	663.80804	506.04684	666.4964	10.37617	685.81805	654.40625	217.39131	233.0	184999	103.210365	57.841953	200.54614	-127.79231	103.2113	57.841465	200.89508	-126.38597	103.2117	57.845936	201.15633	-123.44008	-106.12751	42.647926	1401.8071911334991
