Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	Time Steps	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	3.7057254	7.251324	34.76848	-10.526311	23.07558	-0.04701055	0.15126884	0.37521288	-0.61557055	4000	-1.3232231e-08	30.42342	-0.083824426	-11.026236	0.91894394	0.05186669	0.4505	79.0	3.8241827487945557
1	12.502133	13.197876	60.05536	-2.842681	33.058334	1.7791476	3.1050284	12.093689	-8.851096	8000	-1.4305115e-09	98.06616	-0.08993528	-36.769005	0.90433633	0.04565613	0.4335	79.0	7.773019075393677
2	29.421278	42.33512	247.5628	-2.8982308	46.811764	8.068403	5.7440934	22.431034	-12.593983	12000	2.3841858e-08	791.7394	-0.09094416	-318.62744	0.8908846	0.042179264	0.42325	79.0	11.606452465057373
3	40.19855	39.538986	256.4601	-1.9181851	69.68421	15.42732	17.799416	49.441948	-48.37088	16000	1.8835069e-08	433.08548	-0.08760087	-137.07278	0.8788356	0.03097603	0.3965	79.0	15.58167552947998
4	62.421806	68.39479	301.64264	-0.51817083	77.86275	22.644548	16.228264	56.434116	-31.33073	20000	2.1457673e-08	1009.5944	-0.090625934	-375.63788	0.8662179	0.025203282	0.4125	79.0	19.573888063430786
5	96.76015	96.618095	338.63297	-1.2107568	110.333336	31.95245	28.598492	81.475174	-46.145237	24000	-7.092953e-09	1450.4749	-0.09188965	-687.05774	0.85747886	0.029043999	0.396	79.0	23.54102087020874
6	163.00853	128.67041	415.08456	4.5874395	160.5	45.40296	34.65913	100.21306	-43.73997	28000	4.0769578e-08	1383.2827	-0.09429907	-734.6972	0.8467267	0.030683536	0.421	79.0	27.90712809562683
7	149.08347	108.23205	348.029	15.669435	160.0	53.338272	40.374184	116.54656	-31.853449	32000	8.5830685e-09	1142.4669	-0.08970253	-552.37067	0.8332366	0.0284299	0.41275	79.0	31.918354272842407
8	140.19225	107.18334	372.13132	10.271083	134.31035	59.24626	34.361057	116.682106	-30.093763	36000	1.1444092e-08	1202.0938	-0.09238211	-600.0793	0.82647735	0.025491077	0.42175	79.0	36.03806257247925
9	242.10254	117.55321	436.4508	30.96792	204.47368	59.825054	36.736378	122.10612	-21.341084	40000	-1.4781952e-08	1414.4865	-0.093389444	-845.199	0.8149648	0.039251797	0.42425	79.0	39.981902837753296
10	188.57582	107.60293	418.68732	29.316101	186.57143	66.35802	41.381855	125.2911	-19.766125	44000	-2.384186e-10	1047.7462	-0.08797653	-489.83472	0.8039264	0.014007043	0.415	79.0	44.00243830680847
11	220.63411	115.39343	375.4009	6.3038664	190.33333	65.8655	38.342937	127.9132	-22.948812	48000	-9.536744e-10	1218.6407	-0.090341575	-583.4939	0.79626596	0.025828827	0.401	79.0	48.09659790992737
12	270.2991	86.077644	474.42957	93.62373	218.16667	72.66039	38.02945	133.09456	-22.272512	52000	-1.4781952e-08	801.8075	-0.0924224	-312.9872	0.7917616	0.030483032	0.42475	79.0	52.03922247886658
13	283.94223	119.958694	507.26743	4.0177174	232.58824	78.385056	36.223034	132.88333	-23.507853	56000	-3.0994416e-09	587.2064	-0.09119949	-270.34586	0.7855596	0.032309867	0.43325	79.0	56.10975527763367
14	248.1123	99.510445	515.13214	38.83127	196.3	84.03406	36.19133	133.3842	-33.436825	60000	-1.7642975e-08	927.5965	-0.09024761	-481.2343	0.77169013	0.01758571	0.43275	79.0	60.1015202999115
15	268.8049	71.96075	373.768	70.33584	196.3158	85.64409	33.799335	129.91444	-22.264032	64000	-1.9073487e-09	455.84317	-0.094380096	-250.59216	0.763888	0.024291223	0.44025	79.0	64.08866691589355
16	275.2786	79.69996	429.68097	123.81174	208.73685	80.41937	41.39678	127.12897	-20.534853	68000	-1.2397766e-08	687.1177	-0.08854482	-344.16937	0.75298584	0.025663806	0.44625	79.0	68.1633551120758
17	254.07146	107.925255	484.75174	53.386856	220.94118	80.93177	38.023758	136.42741	-20.833315	72000	3.8146974e-09	701.1229	-0.09077851	-396.83786	0.74306	0.030190174	0.44425	79.0	72.34226584434509
18	253.2226	142.88757	582.23425	33.31261	220.55556	74.1829	39.57927	132.06842	-27.41646	76000	-1.4066696e-08	668.5995	-0.09410177	-341.84277	0.73386914	0.030931037	0.4615	79.0	76.40539908409119
19	279.2268	126.123	815.1073	138.26491	188.14285	83.93233	31.34346	141.11409	-26.340513	80000	2.7656554e-08	418.1226	-0.09204563	-304.9638	0.72536093	0.035449	0.4455	79.0	80.37590193748474
20	273.37503	65.16257	385.53836	106.281784	200.21053	84.408646	37.715603	137.91199	-23.699114	84000	7.390976e-09	270.471	-0.08774359	-164.73285	0.72474295	0.02973359	0.437	79.0	84.51576900482178
21	271.52316	77.23438	548.1268	150.95206	166.25	93.473625	30.023848	139.53198	8.95515	88000	-1.2278557e-08	181.87419	-0.09378491	-119.7455	0.72246647	0.042033363	0.467	79.0	88.37330746650696
22	297.6109	59.113792	412.139	183.85538	208.52632	96.247894	35.835117	135.72151	-20.386719	92000	3.98159e-08	680.6483	-0.08213857	-470.17633	0.71894956	0.0088305725	0.4185	79.0	92.2792854309082
23	253.46407	86.99304	383.6699	67.75559	177.40909	87.44099	41.725876	136.4841	-30.206783	96000	-1.9073487e-09	325.6173	-0.09246022	-190.39212	0.7104826	0.030832795	0.45975	79.0	96.25596022605896
24	263.69492	62.945026	377.06686	58.621647	161.0	93.572845	34.380165	142.18694	-23.880457	100000	-9.059906e-09	297.409	-0.086926386	-167.8196	0.6998516	0.03796528	0.4405	79.0	100.14004135131836
25	296.90338	94.256805	511.53177	143.62918	197.6842	95.90233	34.913193	145.63725	-29.753727	104000	2.7179718e-08	249.95226	-0.09316731	-139.54413	0.6931604	0.044405993	0.45275	79.0	103.93790030479431
26	307.19003	81.61981	462.77753	71.858604	198.36842	96.923	35.478043	136.83157	-25.676222	108000	-3.695488e-09	339.84625	-0.0810309	-203.23384	0.6856914	0.023521831	0.4375	79.0	107.74716424942017
27	346.16647	99.24623	570.52576	223.58688	216.82353	104.54587	28.769567	146.96681	8.570511	112000	2.5391579e-08	179.29344	-0.098824985	-99.74797	0.67739356	0.03603995	0.47175	79.0	111.93506336212158
28	290.4773	52.451817	404.05228	186.74286	175.81818	106.52585	29.330471	143.15016	7.7129865	116000	2.1457673e-08	142.31209	-0.10192833	-78.79001	0.6685064	0.033489514	0.4835	79.0	116.21407961845398
29	318.8894	77.81293	462.5089	163.20314	205.26315	98.8175	33.39894	138.44173	-19.65503	120000	-1.1920929e-09	472.66296	-0.09321366	-313.82117	0.6560853	0.02195864	0.46425	79.0	120.0061821937561
