Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	1.7950232	5.7449365	31.60304	-9.9078	-35.951706	3.684913	-29.701874	-41.92349	19.665354	83.7	4999	35.83613	29.214169	101.84812	-86.6868	-42.006947	6.98332	30.62266755104065
2	1.8933567	5.88745	35.503323	-8.951032	1.2488315	0.66843474	2.0300126	-0.103315845	20.281633	38.9	9999	157.48474	70.75295	419.50934	-186.39899	-172.21791	98.090294	66.29518294334412
3	2.9674203	43.639545	273.06323	-96.14525	-58.689278	13.828994	-35.93093	-75.211624	45.429905	120.0	14999	371.0902	68.50811	623.00476	-293.00034	-388.28265	364.39554	103.41079211235046
4	33.391502	108.058136	318.042	-143.29373	73.06346	92.53121	287.10922	-5.685563	166.16129	120.1	19999	433.9154	69.42449	733.3329	-395.67642	-447.5219	355.06534	140.40974473953247
5	36.697067	81.74501	244.40225	-85.69299	89.105286	73.14213	196.35115	-63.60955	118.35714	139.2	24999	457.31683	73.08893	761.3337	-540.557	-469.2512	365.34204	177.73461484909058
6	63.001434	106.079506	486.79803	-98.94558	33.90502	25.021624	107.19789	18.036879	120.09524	52.3	29999	468.78784	77.903305	773.2473	-472.32562	-479.6529	378.10828	214.94573736190796
7	40.747955	103.29207	398.04868	-116.58893	131.36203	130.13893	384.61853	6.6764364	108.695656	139.1	34999	478.5145	81.840836	803.112	-582.509	-488.84744	382.2934	251.18599438667297
8	81.51727	85.29507	292.12473	-159.54916	60.39674	65.01294	189.85886	14.000346	112.83721	54.9	39999	481.61057	82.9483	797.67487	-483.52557	-490.99835	381.32922	288.3453245162964
9	104.35637	120.252556	671.5319	-51.44561	110.09767	79.910545	264.62833	8.348383	127.1	100.5	44999	475.9187	79.01375	786.68756	-1424.3466	-484.5272	380.74646	325.2930226325989
10	136.12665	76.651726	354.84448	-81.417885	7.158656	4.1211557	14.693326	2.3961568	145.26471	24.3	49999	470.67047	74.62314	777.1662	-478.08215	-478.6669	338.41116	362.84993600845337
11	67.639336	87.77554	316.7445	-118.50813	-9.591803	37.790363	23.090242	-117.02806	89.51786	82.6	54999	469.50253	74.34783	710.8737	-656.64185	-477.7039	376.72284	401.2584629058838
12	100.68296	96.92321	371.21048	-1.0526515	38.28857	25.11153	68.65861	2.2066238	122.95122	115.8	59999	467.76215	72.76066	680.80566	-730.503	-475.49814	352.8047	439.59056401252747
13	140.56786	144.79504	534.1672	-2.218994	73.162865	95.754944	274.7674	-3.8898196	123.80488	78.0	64999	464.6188	70.14649	647.12177	-380.0625	-472.0574	343.8897	477.95841884613037
14	68.5399	80.63712	282.4964	-61.676994	20.641996	58.22115	162.00221	-71.39848	104.702126	80.3	69999	447.77365	67.12589	616.0421	-365.62027	-454.16534	307.22552	517.3494720458984
15	83.073685	74.45651	232.42809	-27.396473	221.58272	75.38865	405.3247	118.19354	123.8	119.3	74999	424.27377	63.248055	597.5396	-468.984	-429.83685	260.7189	559.022337436676
16	159.3034	131.81818	480.71896	-18.154112	99.83858	78.42796	237.75114	-5.8269596	118.39535	246.4	79999	398.17245	61.01401	573.3655	-435.94998	-403.34036	231.0166	601.7728164196014
17	132.2495	131.36017	503.51898	-21.706305	141.20114	82.466354	276.71	3.3199334	119.21429	144.1	84999	371.9518	58.261265	519.0652	-287.7441	-376.63406	196.98528	643.7215621471405
18	153.88995	115.88824	440.34024	-10.561155	342.67377	136.514	634.1951	137.13301	153.28125	236.5	89999	350.4503	55.279896	483.43082	-265.82938	-354.94943	165.4842	686.4265863895416
19	230.96333	180.1859	565.6621	9.40522	151.51468	195.08803	576.91315	8.883567	163.35484	108.7	94999	330.2954	54.83282	449.5632	-426.82736	-334.4156	143.77055	728.975499868393
20	154.79024	161.37645	727.5281	-31.296186	299.49707	67.073364	404.92285	191.58836	104.8125	125.4	99999	311.42923	53.28235	417.57965	-288.06284	-315.23685	133.93346	771.0089695453644
21	157.8829	102.8842	350.73886	-26.86662	329.38455	240.57556	715.7767	64.219025	129.1892	185.9	104999	292.686	52.02873	416.91727	-253.79012	-296.24115	116.8904	814.2353897094727
22	111.201935	141.19594	823.6225	4.132928	184.83972	106.51289	399.17517	19.18442	99.13461	156.1	109999	281.14017	53.227055	466.78268	-219.83376	-284.79428	114.29993	855.5902006626129
23	211.39496	152.34229	539.93866	10.832093	211.96036	235.45287	859.4476	21.86533	153.96875	248.5	114999	276.57404	53.25606	421.26993	-216.25575	-280.23627	105.16895	898.118674993515
24	387.36053	449.47485	1313.7416	-12.947962	261.54913	104.3188	382.904	94.114655	380.84616	241.5	119999	270.18195	51.58087	386.8731	-228.60832	-273.62625	92.61121	941.4466655254364
25	101.51248	140.4416	810.5532	2.1649024	297.74588	286.6812	993.8396	47.52239	94.41818	289.1	124999	262.89462	49.218433	365.5982	-341.7324	-266.175	93.74506	984.7441906929016
26	302.9052	272.17517	983.5094	-59.487118	277.6882	124.882706	436.02756	144.08049	313.75	177.8	129999	256.5396	47.02387	367.0484	-183.88637	-259.6238	86.61966	1027.9355084896088
27	258.276	174.15991	812.7138	6.856904	124.30038	105.13037	288.7452	28.925669	133.02702	69.0	134999	251.17294	45.748367	358.015	-262.53015	-254.1309	83.4434	1070.870185136795
28	329.83096	223.9654	961.1616	11.793351	269.97495	185.0599	549.905	-20.927134	253.65	266.5	139999	247.09224	44.333	349.2168	-170.8441	-249.95285	73.27304	1114.046709060669
29	215.16469	222.53801	617.83795	-112.96332	465.63165	236.67397	831.8706	63.41048	178.21428	181.2	144999	242.75583	42.513638	338.389	-210.40303	-245.44208	70.65026	1157.4016144275665
30	240.49388	193.68436	989.2606	-4.479582	546.3446	227.78314	954.03455	208.81659	121.82927	321.3	149999	238.07411	42.27129	321.85532	-218.4516	-240.67778	70.425	1200.1993894577026
31	243.36588	154.97891	816.9816	-0.43495542	310.65692	186.45616	703.0645	131.18538	154.46875	219.6	154999	237.06154	41.44977	333.93457	-156.96782	-239.67908	70.583534	1243.856772661209
